match_id,date,home_team,away_team,home_score,away_score,status
12436522,1735588800,Manchester United,Newcastle United,0.0,2.0,Ended
12436410,1735752600,Brentford,Arsenal,1.0,3.0,Ended
12436519,1735993800,Tottenham Hotspur,Newcastle United,1.0,2.0,Ended
12436520,1736002800,Southampton,Brentford,0.0,5.0,Ended
12436518,1736002800,Bournemouth,Everton,1.0,0.0,Ended
12436523,1736002800,Aston Villa,Leicester City,2.0,1.0,Ended
12436419,1736002800,Crystal Palace,Chelsea,1.0,1.0,Ended
12436508,1736002800,Manchester City,West Ham United,4.0,1.0,Ended
12436528,1736011800,Brighton & Hove Albion,Arsenal,1.0,1.0,Ended
12436525,1736085600,Fulham,Ipswich Town,2.0,2.0,Ended
12436514,1736094600,Liverpool FC,Manchester United,2.0,2.0,Ended
12436437,1736193600,Wolverhampton,Nottingham Forest,0.0,3.0,Ended
12436509,1736883000,West Ham United,Fulham,3.0,2.0,Ended
12436990,1733583600,Aston Villa,Southampton,1.0,0.0,Ended
12436450,1733583600,Brentford,Newcastle United,4.0,2.0,Ended
12436445,1733583600,Crystal Palace,Manchester City,2.0,2.0,Ended
12436449,1733592600,Manchester United,Nottingham Forest,2.0,3.0,Ended
12436462,1733666400,Ipswich Town,Bournemouth,1.0,2.0,Ended
12436444,1733666400,Leicester City,Brighton & Hove Albion,2.0,2.0,Ended
12436459,1733666400,Fulham,Arsenal,1.0,1.0,Ended
12436441,1733675400,Tottenham Hotspur,Chelsea,3.0,4.0,Ended
12436454,1733774400,West Ham United,Wolverhampton,2.0,1.0,Ended
12436456,1734188400,Wolverhampton,Ipswich Town,1.0,2.0,Ended
12436460,1734188400,Newcastle United,Leicester City,4.0,0.0,Ended
12436438,1734188400,Arsenal,Everton,0.0,0.0,Ended
12436446,1734188400,Liverpool FC,Fulham,2.0,2.0,Ended
12436447,1734197400,Nottingham Forest,Aston Villa,2.0,1.0,Ended
12436457,1734271200,Brighton & Hove Albion,Crystal Palace,1.0,3.0,Ended
12436451,1734280200,Manchester City,Manchester United,1.0,2.0,Ended
12436458,1734289200,Southampton,Tottenham Hotspur,0.0,5.0,Ended
12436461,1734289200,Chelsea,Brentford,2.0,1.0,Ended
12436465,1734379200,Bournemouth,West Ham United,1.0,1.0,Ended
12436453,1734784200,Aston Villa,Manchester City,2.0,1.0,Ended
12436463,1734793200,Brentford,Nottingham Forest,0.0,2.0,Ended
12436478,1734793200,West Ham United,Brighton & Hove Albion,1.0,1.0,Ended
12436467,1734793200,Ipswich Town,Newcastle United,0.0,4.0,Ended
12436464,1734802200,Crystal Palace,Arsenal,1.0,5.0,Ended
12436468,1734876000,Fulham,Southampton,0.0,0.0,Ended
12436469,1734876000,Leicester City,Wolverhampton,0.0,3.0,Ended
12436466,1734876000,Everton,Chelsea,0.0,0.0,Ended
12436470,1734876000,Manchester United,Bournemouth,0.0,3.0,Ended
