accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,appearances,assists,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goals,goalsAssistsSum,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,matchesStarted,minutesPlayed,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,rating,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards,player,team,player id,team id,position_group
24,0,0.0,12,75,30.49,45,239,284,62.14,2,100.0,0,12,0,0,0,0,106,0,0,0,3,20,12,2,0,0,1,1,3,0,,,0,0,0.0,0,0,0,16,13,3,0,0,-2.78,3,75.0,0,10,0,173,0,0,0,12,1080,0,,0,0,0,0,0.0,0,0,0,0,176,0,12,6.84,0,0,10,24,16,41,0,8,0.0,0.0,0,0,0,0,0,0,0.0,9,0,0,0.0,0,50,0,0,5,83.33,246,199,258,457,82.1,0,1,589,3,2,0,Gerónimo Rulli,Villarreal,128383,2819,Goalkeepers
9,0,0.0,4,14,28.57,7,53,60,63.16,1,100.0,0,3,0,0,0,0,31,0,0,0,0,1,3,0,0,0,0,0,1,0,,,0,0,0.0,0,0,0,7,6,1,0,0,,2,100.0,0,1,0,35,0,0,0,3,270,0,,0,0,0,0,0.0,2,0,1,0,37,0,1,6.83,0,0,0,8,6,14,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,35,0,0,3,100.0,49,37,58,95,20.5,0,0,140,2,1,0,Mike Maignan,Milan,191210,2692,Goalkeepers
12,0,0.0,4,26,50.0,12,81,93,76.86,0,0.0,0,3,0,0,0,0,15,0,0,0,0,2,3,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,6,5,1,0,0,,0,0.0,0,3,0,28,0,0,0,3,270,0,,0,0,0,0,0.0,0,0,0,0,29,0,0,6.83,0,0,0,6,5,11,1,5,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,19,0,0,0,0.0,52,32,89,121,20.5,0,0,148,0,0,0,Guillaume Faivre,BSC Young Boys,12996,2445,Goalkeepers
22,0,0.0,0,32,55.17,4,184,188,86.64,0,0.0,0,8,0,0,0,0,56,0,0,0,3,4,8,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,7,4,3,0,0,,1,100.0,0,2,0,29,0,0,0,8,720,0,,0,0,0,0,0.0,0,0,0,0,30,0,3,6.81,0,0,1,4,8,12,0,5,0.0,0.0,0,0,0,0,0,0,0.0,1,1,1,100.0,0,33,0,0,1,100.0,58,17,200,217,54.5,0,0,282,0,0,0,Samir Handanović,Inter,2949,2697,Goalkeepers
0,0,0.0,0,1,9.09,0,12,12,54.55,1,100.0,0,1,0,0,0,0,11,0,0,0,0,3,1,0,0,0,0,0,0,0,,,0,0,0.0,0,0,0,1,0,1,0,0,,0,0.0,0,1,0,10,0,0,0,1,68,0,,0,0,0,0,0.0,0,0,0,0,10,0,1,6.8,0,0,3,1,2,3,0,0,0.0,0.0,0,0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,0,1,100.0,11,8,14,22,6.8,0,0,37,0,0,0,Dean Henderson,Manchester United,788134,35,Goalkeepers
0,0,0.0,0,0,0.0,0,19,19,90.48,0,0.0,0,1,0,0,0,0,6,0,0,0,0,1,1,0,0,0,1,1,0,0,,,0,0,0.0,0,0,0,2,2,0,0,0,,1,50.0,0,1,0,2,0,0,0,1,90,0,,0,0,0,0,0.0,0,0,0,0,2,0,1,6.8,0,0,1,3,0,3,0,1,0.0,0.0,0,0,0,0,0,0,0.0,1,1,1,100.0,0,2,0,0,1,50.0,2,1,20,21,6.8,0,0,32,0,0,0,Zack Steffen,Manchester City,332995,17,Goalkeepers
6,0,0.0,3,22,30.14,15,26,41,44.57,0,0.0,0,4,0,0,0,0,26,0,0,0,0,3,4,0,0,0,0,1,0,0,,,1,0,0.0,0,0,0,8,7,1,0,0,,0,0.0,0,0,0,51,0,0,0,4,315,0,,0,0,0,1,0.0,3,0,0,0,51,0,1,6.8,0,0,0,14,4,19,0,2,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,18,0,0,0,0.0,73,58,34,92,27.2,0,1,126,0,1,0,Johan Dahlin,Malmö FF,7298,1892,Goalkeepers
5,0,0.0,0,15,40.54,6,34,40,64.52,2,66.67,1,3,0,0,0,0,17,0,0,0,0,3,3,0,0,0,0,1,0,0,,,0,0,0.0,0,0,0,6,6,0,0,0,,0,0.0,0,1,0,22,0,0,0,2,225,0,,0,0,0,0,0.0,2,0,0,0,23,0,1,6.77,0,0,1,9,3,12,0,0,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,8,0,0,2,66.67,37,23,39,62,20.3,0,0,89,1,0,0,Ismael Diawara,Malmö FF,858204,1892,Goalkeepers
18,0,0.0,2,32,48.48,11,178,189,84.0,0,0.0,0,6,0,0,0,0,24,0,0,0,2,1,6,0,0,0,0,0,1,0,,,0,0,0.0,0,0,0,6,6,0,0,0,,1,100.0,0,0,0,36,0,1,0,6,540,0,,0,1,0,0,0.0,1,0,0,0,36,0,1,6.75,0,0,0,7,6,14,0,3,0.0,0.0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,30,0,0,1,100.0,66,35,190,225,40.5,0,0,259,0,0,0,Remko Pasveer,AFC Ajax,2622,2953,Goalkeepers
16,0,0.0,5,33,42.31,16,89,105,68.63,0,0.0,0,7,0,0,0,0,24,0,0,0,1,0,7,0,0,0,0,0,1,0,,,0,0,0.0,0,0,0,9,9,0,0,0,,0,0.0,0,0,0,48,0,0,0,7,630,0,,0,0,0,0,0.0,0,0,0,0,48,0,0,6.74,0,0,1,11,9,20,0,7,0.0,0.0,0,0,0,0,0,0,0.0,1,0,0,0.0,0,29,0,0,0,0.0,78,54,99,153,47.2,0,0,190,0,0,0,David De Gea,Manchester United,69378,35,Goalkeepers
