team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Real Sociedad,2,72,2,2,2,1,3,2,0,6.9
FK Crvena zvezda,6,540,6,6,34,10,8,1,0,6.9
FC Bayern München,9,658,10,17,23,12,11,1,0,6.9
PSV Eindhoven,2,91,0,2,1,2,1,0,0,6.9
BSC Young Boys,1,90,2,3,2,0,3,0,0,6.9
Inter,3,171,1,1,8,3,4,0,0,6.9
Red Bull Salzburg,6,494,12,5,26,16,20,0,0,6.9
Galatasaray,6,540,19,11,24,11,25,0,0,6.88
Feyenoord,6,540,15,7,8,4,17,4,0,6.88
Red Bull Salzburg,6,540,12,6,20,4,29,1,0,6.88
BSC Young Boys,5,407,6,7,15,5,9,0,0,6.88
Sporting Braga,4,315,10,3,8,1,14,0,0,6.88
Real Madrid,12,989,10,10,30,12,17,1,0,6.88
Feyenoord,4,282,5,2,8,4,8,1,0,6.88
Red Bull Salzburg,4,216,9,6,2,1,14,1,0,6.88
Feyenoord,6,540,14,5,3,1,25,0,0,6.87
SSC Napoli,6,326,13,7,5,8,16,0,0,6.87
FC Barcelona,6,327,6,1,5,2,20,1,0,6.87
Benfica,5,434,15,6,17,13,18,0,0,6.86
FC Porto,2,210,4,0,6,1,7,0,0,6.85
Milan,6,429,18,3,9,3,25,0,0,6.85
Sevilla,4,220,8,2,9,1,8,0,0,6.85
Borussia Dortmund,6,395,12,2,13,2,14,0,0,6.85
BSC Young Boys,5,450,8,6,24,7,16,0,0,6.84
Manchester United,3,213,7,10,8,1,11,0,0,6.83
FC København,3,92,1,0,5,1,1,0,0,6.83
SSC Napoli,4,214,3,2,5,1,7,1,0,6.83
PSV Eindhoven,8,646,13,4,7,2,38,0,0,6.83
Real Sociedad,4,251,9,10,2,1,19,0,0,6.83
Royal Antwerp FC,4,223,4,3,8,4,7,0,0,6.83
Newcastle United,5,450,5,0,15,17,8,2,0,6.82
Atlético Madrid,6,414,5,11,14,7,8,0,0,6.82
Manchester City,6,341,2,2,7,7,4,1,0,6.82
Real Sociedad,7,573,8,11,15,18,13,1,0,6.81
Paris Saint-Germain,11,843,15,3,18,8,32,0,0,6.81
Borussia Dortmund,11,913,19,12,14,2,32,1,0,6.81
Sporting Braga,5,391,6,5,22,8,9,1,0,6.8
RB Leipzig,7,599,12,10,22,13,23,3,0,6.8
FC Bayern München,11,771,32,8,12,4,49,0,0,6.8
Manchester United,2,135,2,3,0,0,3,1,0,6.8
Red Bull Salzburg,1,45,0,0,0,0,1,0,0,6.8
Sevilla,2,94,4,1,7,0,4,0,0,6.8
Lazio,7,423,10,5,4,1,22,0,0,6.8
Real Madrid,11,872,14,6,14,9,27,0,0,6.8
Sporting Braga,5,272,4,1,6,4,5,1,0,6.8
FC Porto,4,308,7,4,5,9,13,2,0,6.8
Atlético Madrid,6,288,6,5,11,3,8,0,0,6.78
Galatasaray,5,384,8,11,8,9,12,0,0,6.78
Arsenal,10,902,10,7,26,20,14,1,0,6.78
Real Madrid,4,192,1,1,6,1,3,0,0,6.78
1. FC Union Berlin,3,175,2,4,7,3,3,0,0,6.77
Inter,7,473,10,0,12,11,12,1,0,6.77
Real Sociedad,5,176,7,1,5,4,10,0,0,6.76
Celtic,2,78,2,2,1,3,2,0,0,6.75
FC København,2,180,2,2,6,1,2,0,0,6.75
Benfica,2,111,3,1,0,0,5,0,0,6.75
1. FC Union Berlin,6,540,11,5,30,12,18,0,0,6.75
FC København,7,588,11,4,18,5,27,0,0,6.74
Lazio,7,522,9,8,8,2,14,1,0,6.74
Red Bull Salzburg,5,308,9,0,11,11,12,1,0,6.74
1. FC Union Berlin,3,260,1,2,21,5,1,0,0,6.73
Arsenal,6,279,6,4,1,1,8,0,0,6.73
FC København,7,464,12,10,11,3,16,2,0,6.73
Manchester United,4,334,4,4,13,11,5,0,0,6.73
BSC Young Boys,4,215,5,2,5,1,6,1,0,6.7
Shakhtar Donetsk,3,256,8,6,3,0,13,1,0,6.7
FC Bayern München,1,11,0,0,1,0,0,0,0,6.7
Real Madrid,3,12,1,0,3,2,1,0,0,6.7
Red Bull Salzburg,3,181,5,4,14,3,5,0,0,6.7
RC Lens,6,540,4,4,27,17,18,1,0,6.7
FC Barcelona,3,270,6,1,13,5,6,1,0,6.7
Red Bull Salzburg,2,180,3,2,3,2,5,1,0,6.7
RB Leipzig,7,620,7,16,15,7,12,0,1,6.69
Arsenal,7,388,8,2,4,5,11,1,0,6.68
RC Lens,6,495,9,5,12,5,16,0,0,6.68
Manchester United,2,66,1,0,1,2,1,0,0,6.65
Celtic,2,90,0,2,3,1,0,0,0,6.65
FC Barcelona,4,318,2,3,12,6,4,0,0,6.65
RB Leipzig,6,353,6,4,23,3,7,0,0,6.65
FK Crvena zvezda,4,238,4,1,1,1,12,2,0,6.65
Real Sociedad,5,121,2,0,6,2,3,0,0,6.65
Royal Antwerp FC,6,540,5,7,25,5,10,0,0,6.65
Sporting Braga,5,204,3,2,4,1,5,0,0,6.64
Red Bull Salzburg,3,153,3,2,3,2,3,0,0,6.63
Manchester United,6,462,7,3,13,7,14,1,0,6.63
FC Porto,6,188,7,1,5,4,11,0,0,6.63
FK Crvena zvezda,6,417,9,4,13,13,13,1,0,6.63
1. FC Union Berlin,3,270,6,3,9,3,8,0,1,6.63
PSV Eindhoven,3,190,2,4,2,2,5,0,0,6.63
RC Lens,4,120,2,2,3,3,4,0,0,6.63
Sporting Braga,4,360,4,1,16,7,6,2,0,6.63
Celtic,4,298,4,4,12,9,7,0,0,6.63
Celtic,6,540,15,4,12,9,25,0,0,6.62
Atlético Madrid,2,58,0,0,0,1,0,0,0,6.6
Lazio,2,180,1,0,8,1,2,0,0,6.6
BSC Young Boys,4,313,7,6,9,8,9,1,0,6.6
Manchester United,2,153,2,3,2,4,7,0,0,6.6
SSC Napoli,5,430,11,4,15,10,12,0,0,6.58
Real Sociedad,3,100,1,1,0,0,1,0,0,6.57
1. FC Union Berlin,3,260,5,1,11,7,9,0,0,6.57
Paris Saint-Germain,3,54,0,0,1,1,0,0,0,6.55
Shakhtar Donetsk,4,360,7,5,18,3,8,0,1,6.55
PSV Eindhoven,2,98,4,2,0,0,4,1,0,6.55
Lazio,4,160,2,3,4,0,5,1,0,6.55
Lazio,5,343,8,2,6,2,10,0,0,6.54
FC Porto,3,269,2,3,5,4,3,0,0,6.53
FC København,3,42,0,0,1,1,0,0,0,6.53
FK Crvena zvezda,6,540,8,12,25,6,15,0,0,6.53
FC Barcelona,3,141,1,2,5,1,2,0,0,6.53
Shakhtar Donetsk,4,284,12,1,3,2,19,0,0,6.53
FK Crvena zvezda,1,12,0,0,1,0,0,0,0,6.5
Sevilla,2,166,4,5,7,4,5,0,0,6.5
Royal Antwerp FC,3,101,1,1,5,2,1,0,0,6.5
Manchester United,4,297,0,1,10,11,2,0,0,6.5
Sporting Braga,4,324,7,5,8,4,10,2,0,6.5
PSV Eindhoven,2,84,3,0,1,0,4,0,0,6.5
Celtic,6,540,11,4,10,5,19,1,0,6.5
Royal Antwerp FC,6,409,9,5,1,2,15,0,0,6.48
Sevilla,4,329,6,2,4,1,16,0,0,6.48
Benfica,3,128,6,1,4,0,8,0,0,6.47
Feyenoord,1,79,2,0,2,0,2,0,0,6.4
Royal Antwerp FC,2,31,1,1,4,0,1,0,0,6.4
Sporting Braga,1,17,0,0,0,0,0,0,0,6.4
Sporting Braga,2,27,0,0,1,0,0,0,0,6.35
BSC Young Boys,5,325,4,1,5,3,13,0,0,6.34
BSC Young Boys,3,35,0,0,2,0,0,0,0,6.33
Royal Antwerp FC,6,452,13,3,9,4,17,0,0,6.32
Sevilla,3,197,2,1,2,2,5,1,0,6.3
Manchester United,1,90,0,2,1,0,2,0,0,6.3
Atlético Madrid,1,22,1,2,2,0,1,0,1,6.3
Galatasaray,1,75,4,1,2,0,5,0,1,6.3
Celtic,1,15,2,0,0,0,2,0,0,6.3
Feyenoord,3,81,3,0,0,1,3,0,0,6.3
Sevilla,2,31,0,1,1,3,1,1,0,6.3
FC København,2,27,0,0,0,0,0,0,0,6.25
BSC Young Boys,4,280,4,2,1,1,5,1,0,6.25
FC Barcelona,1,60,0,0,2,0,1,0,0,6.2
Newcastle United,1,45,1,0,2,1,1,0,0,6.2
Milan,1,90,0,2,2,0,1,0,0,6.1
Feyenoord,1,45,0,1,0,0,0,0,0,6.1
FK Crvena zvezda,1,65,0,0,0,1,0,0,0,6.0
Shakhtar Donetsk,1,65,1,0,1,0,1,0,0,6.0
RC Lens,2,29,2,0,0,0,2,0,0,5.9
Galatasaray,4,104,3,0,6,4,3,0,1,5.87
Benfica,4,279,8,1,15,3,13,0,0,5.8
Real Sociedad,1,2,0,0,0,0,0,0,0,0.0
Milan,1,2,0,0,0,0,0,0,0,0.0
Milan,1,1,0,0,0,0,0,0,0,0.0
Atlético Madrid,1,1,0,0,0,0,0,0,0,0.0
PSV Eindhoven,1,1,1,1,0,0,1,0,0,0.0
Manchester City,2,202,4,0,0,1,8,2,0,8.65
Manchester City,8,684,1,2,2,5,17,11,0,8.04
Manchester City,8,697,14,6,6,5,32,3,0,7.86
FC Barcelona,7,473,8,1,2,1,28,6,0,7.74
Real Madrid,11,993,20,7,5,11,60,8,0,7.74
RB Leipzig,8,599,5,4,1,7,42,6,0,7.65
FC Porto,7,651,7,8,6,2,32,1,0,7.59
Manchester City,7,299,6,0,0,0,45,6,0,7.59
Real Sociedad,7,630,15,4,14,44,32,5,0,7.56
Atlético Madrid,7,506,12,2,3,1,29,3,0,7.54
Feyenoord,6,473,8,2,1,4,25,0,0,7.52
FC Bayern München,12,1080,23,11,13,5,38,2,0,7.49
Paris Saint-Germain,12,914,15,13,14,3,29,7,0,7.48
Manchester United,6,540,13,3,8,4,25,4,0,7.47
FK Crvena zvezda,6,531,19,5,2,5,26,2,0,7.47
Real Madrid,12,864,21,12,8,1,33,2,0,7.44
Manchester City,8,534,3,2,0,2,27,6,0,7.44
FC Barcelona,10,836,5,6,2,3,24,5,0,7.43
Real Sociedad,7,532,13,3,8,6,31,4,0,7.41
Manchester United,2,167,6,1,4,0,9,2,0,7.4
Benfica,5,416,3,1,2,0,21,3,0,7.4
Real Madrid,3,152,3,3,2,0,7,0,0,7.4
Inter,6,513,10,6,4,3,17,5,0,7.38
Sevilla,6,459,11,3,3,2,16,1,0,7.37
Benfica,6,540,24,10,9,9,52,3,0,7.37
Inter,8,466,16,5,3,10,26,1,0,7.34
Arsenal,9,751,11,7,0,1,32,5,0,7.33
PSV Eindhoven,7,579,13,6,9,4,25,2,0,7.33
FC Bayern München,11,882,12,12,0,1,61,12,0,7.31
RB Leipzig,3,181,4,0,2,0,12,2,0,7.3
Sporting Braga,1,10,0,0,0,1,0,0,0,7.3
Feyenoord,6,401,4,4,1,4,17,2,0,7.3
Real Sociedad,8,563,4,2,1,1,28,1,0,7.26
Atlético Madrid,6,540,19,7,5,4,30,1,1,7.25
FC Barcelona,10,579,9,7,1,1,41,7,0,7.24
FC København,8,686,20,11,5,7,36,3,0,7.24
Shakhtar Donetsk,6,536,11,2,7,2,26,4,0,7.23
FC Porto,8,534,14,10,6,0,19,2,0,7.23
Arsenal,10,839,14,13,15,11,37,3,0,7.22
FC Bayern München,10,761,13,19,20,8,21,4,0,7.21
FC Bayern München,7,449,4,0,0,6,31,3,0,7.2
RC Lens,6,528,20,6,11,2,25,0,0,7.2
Newcastle United,6,413,15,4,2,0,29,2,0,7.2
RB Leipzig,7,292,8,4,6,2,13,0,0,7.2
Paris Saint-Germain,9,621,14,7,4,5,28,6,0,7.19
Lazio,8,647,4,7,2,2,11,5,0,7.19
Celtic,6,487,14,7,9,2,24,0,0,7.18
Galatasaray,5,250,4,4,0,0,12,2,0,7.18
FK Crvena zvezda,6,488,5,2,1,6,23,5,0,7.17
SSC Napoli,8,584,3,1,2,3,21,5,0,7.16
Sporting Braga,5,308,9,8,6,1,13,1,0,7.16
Inter,7,522,10,8,7,6,29,1,0,7.16
Real Madrid,3,39,2,0,1,1,7,0,0,7.15
