team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Celtic,2,78,0,0,0,62,1,0,2,2,6,1,6.75
FC København,2,180,0,0,0,69,2,0,2,2,8,0,6.75
Benfica,2,111,0,0,0,56,0,1,3,1,4,0,6.75
1. FC Union Berlin,6,540,0,2,0,249,18,2,11,5,35,0,6.75
FC København,7,588,0,4,0,187,10,8,11,4,24,0,6.74
Lazio,7,522,0,4,0,226,7,2,9,8,22,0,6.74
Red Bull Salzburg,5,308,0,0,0,159,11,2,9,0,19,0,6.74
1. FC Union Berlin,3,260,0,0,0,59,12,0,1,2,9,0,6.73
Arsenal,6,279,0,1,0,209,12,0,6,4,19,0,6.73
FC København,7,464,0,5,1,150,11,2,12,10,39,0,6.73
Manchester United,4,334,0,0,0,205,9,0,4,4,19,0,6.73
BSC Young Boys,4,215,0,3,0,39,5,1,5,2,6,1,6.7
Shakhtar Donetsk,3,256,1,3,0,86,3,3,8,6,14,0,6.7
FC Bayern München,1,11,0,0,0,7,0,0,0,0,2,0,6.7
Real Madrid,3,12,0,0,0,3,0,0,1,0,0,0,6.7
Red Bull Salzburg,3,181,0,0,0,61,5,0,5,4,9,0,6.7
RC Lens,6,540,0,1,0,190,10,2,4,4,41,0,6.7
FC Barcelona,3,270,0,1,1,125,14,0,6,1,14,0,6.7
Red Bull Salzburg,2,180,0,4,0,40,4,0,3,2,20,0,6.7
RB Leipzig,7,620,0,0,0,362,11,1,7,16,30,0,6.69
Arsenal,7,388,0,3,0,140,5,3,8,2,10,0,6.68
RC Lens,6,495,0,2,0,227,7,2,9,5,33,0,6.68
Manchester United,2,66,0,0,0,38,0,0,1,0,3,0,6.65
Celtic,2,90,0,0,0,88,0,0,0,2,3,0,6.65
FC Barcelona,4,318,0,1,0,179,15,0,2,3,9,0,6.65
RB Leipzig,6,353,0,1,0,190,9,0,6,4,19,0,6.65
FK Crvena zvezda,4,238,0,3,0,68,2,6,4,1,8,0,6.65
Real Sociedad,5,121,0,0,0,64,4,0,2,0,6,0,6.65
Royal Antwerp FC,6,540,0,0,0,307,21,1,5,7,31,0,6.65
Sporting Braga,5,204,0,2,0,95,0,1,3,2,8,0,6.64
Red Bull Salzburg,3,153,0,0,0,96,11,0,3,2,7,0,6.63
Manchester United,6,462,0,3,0,179,4,7,7,3,39,0,6.63
FC Porto,6,188,0,3,0,64,3,2,7,1,7,0,6.63
FK Crvena zvezda,6,417,0,3,1,97,8,2,9,4,12,0,6.63
1. FC Union Berlin,3,270,0,1,0,150,16,0,6,3,10,0,6.63
PSV Eindhoven,3,190,0,2,1,70,3,3,2,4,13,0,6.63
RC Lens,4,120,0,1,0,45,1,0,2,2,6,0,6.63
Sporting Braga,4,360,0,1,0,187,11,2,4,1,18,0,6.63
Celtic,4,298,0,0,0,271,7,1,4,4,25,0,6.63
Celtic,6,540,0,1,0,284,15,4,15,4,23,0,6.62
Atlético Madrid,2,58,0,1,0,52,1,0,0,0,3,0,6.6
Lazio,2,180,0,0,0,146,12,0,1,0,11,0,6.6
BSC Young Boys,4,313,0,1,0,124,15,1,7,6,16,0,6.6
Manchester United,2,153,0,1,0,56,0,3,2,3,4,0,6.6
SSC Napoli,5,430,0,0,0,228,9,0,11,4,18,0,6.58
Real Sociedad,3,100,0,1,0,41,6,0,1,1,9,0,6.57
1. FC Union Berlin,3,260,0,0,0,68,5,0,5,1,14,0,6.57
Paris Saint-Germain,3,54,0,0,0,35,1,0,0,0,1,0,6.55
Shakhtar Donetsk,4,360,0,0,0,158,7,0,7,5,6,0,6.55
PSV Eindhoven,2,98,0,1,0,35,1,0,4,2,4,0,6.55
Lazio,4,160,0,0,0,83,2,2,2,3,6,0,6.55
Lazio,5,343,0,0,0,157,9,1,8,2,16,0,6.54
FC Porto,3,269,0,0,0,126,10,0,2,3,9,0,6.53
FC København,3,42,0,1,0,32,1,0,0,0,2,0,6.53
FK Crvena zvezda,6,540,0,1,0,174,11,4,8,12,33,0,6.53
FC Barcelona,3,141,0,1,0,69,3,0,1,2,8,0,6.53
Shakhtar Donetsk,4,284,1,1,0,81,8,4,12,1,24,0,6.53
FK Crvena zvezda,1,12,0,0,0,0,0,0,0,0,0,0,6.5
Sevilla,2,166,0,1,0,63,2,1,4,5,7,0,6.5
Royal Antwerp FC,3,101,0,0,0,35,3,0,1,1,6,0,6.5
Manchester United,4,297,0,1,0,134,4,0,0,1,9,0,6.5
Sporting Braga,4,324,0,0,0,166,3,1,7,5,15,0,6.5
PSV Eindhoven,2,84,0,0,0,43,5,0,3,0,3,0,6.5
Celtic,6,540,0,4,0,331,16,3,11,4,35,0,6.5
Royal Antwerp FC,6,409,1,5,1,168,11,3,9,5,25,0,6.48
Sevilla,4,329,0,0,0,74,4,2,6,2,20,0,6.48
Benfica,3,128,0,2,0,28,2,1,6,1,9,0,6.47
Feyenoord,1,79,0,0,0,52,3,0,2,0,5,0,6.4
Royal Antwerp FC,2,31,0,0,0,11,0,0,1,1,2,0,6.4
Sporting Braga,1,17,0,0,0,9,1,0,0,0,1,0,6.4
Sporting Braga,2,27,0,0,0,8,2,0,0,0,2,0,6.35
BSC Young Boys,5,325,0,3,0,74,1,8,4,1,11,0,6.34
BSC Young Boys,3,35,0,1,0,15,0,0,0,0,0,0,6.33
Royal Antwerp FC,6,452,0,0,0,140,5,0,13,3,19,0,6.32
Sevilla,3,197,1,1,1,49,3,1,2,1,16,0,6.3
Manchester United,1,90,0,0,0,46,0,2,0,2,5,0,6.3
Atlético Madrid,1,22,0,0,0,11,0,0,1,2,3,0,6.3
Galatasaray,1,75,0,1,0,18,1,1,4,1,2,0,6.3
Celtic,1,15,0,0,0,2,0,0,2,0,0,0,6.3
Feyenoord,3,81,0,0,0,31,0,0,3,0,1,0,6.3
Sevilla,2,31,0,0,0,6,1,0,0,1,2,0,6.3
FC København,2,27,0,0,0,12,2,0,0,0,2,0,6.25
BSC Young Boys,4,280,0,2,0,92,8,1,4,2,19,0,6.25
FC Barcelona,1,60,0,0,0,30,0,0,0,0,1,0,6.2
Newcastle United,1,45,0,0,0,14,0,0,1,0,1,0,6.2
Milan,1,90,0,0,0,29,2,1,0,2,6,0,6.1
Feyenoord,1,45,0,0,0,17,1,0,0,1,4,0,6.1
FK Crvena zvezda,1,65,0,0,0,12,0,0,0,0,2,0,6.0
Shakhtar Donetsk,1,65,0,0,0,52,0,0,1,0,1,0,6.0
RC Lens,2,29,0,0,0,12,1,0,2,0,3,0,5.9
Galatasaray,4,104,0,0,0,80,3,0,3,0,8,0,5.87
Benfica,4,279,0,1,0,110,3,2,8,1,16,0,5.8
Real Sociedad,1,2,0,0,0,2,0,0,0,0,0,0,0.0
Milan,1,2,0,0,0,2,0,0,0,0,0,0,0.0
Milan,1,1,0,0,0,1,0,0,0,0,0,0,0.0
Atlético Madrid,1,1,0,0,0,0,0,0,0,0,0,0,0.0
PSV Eindhoven,1,1,0,0,0,0,0,0,1,1,0,0,0.0
Manchester City,2,202,1,4,1,106,4,2,4,0,7,2,8.65
Manchester City,8,684,3,15,5,393,6,11,1,2,26,5,8.04
Manchester City,8,697,2,16,0,849,59,10,14,6,52,1,7.86
FC Barcelona,7,473,2,10,4,129,9,8,8,1,25,3,7.74
Real Madrid,11,993,5,24,7,512,15,19,20,7,33,4,7.74
RB Leipzig,8,599,2,19,3,226,12,15,5,4,43,2,7.65
FC Porto,7,651,3,8,1,104,1,9,7,8,38,5,7.59
Manchester City,7,299,1,9,2,151,2,29,6,0,19,1,7.59
Real Sociedad,7,630,1,9,1,255,9,10,15,4,55,2,7.56
Atlético Madrid,7,506,3,5,1,216,9,9,12,2,30,3,7.54
Feyenoord,6,473,1,17,2,174,13,12,8,2,21,1,7.52
FC Bayern München,12,1080,2,26,7,767,51,4,23,11,58,1,7.49
Paris Saint-Germain,12,914,1,20,5,671,47,11,15,13,73,2,7.48
Manchester United,6,540,2,14,4,196,17,7,13,3,35,2,7.47
FK Crvena zvezda,6,531,1,16,2,192,17,3,19,5,43,1,7.47
Real Madrid,12,864,2,24,1,840,83,2,21,12,61,0,7.44
Manchester City,8,534,2,16,5,243,8,6,3,2,18,0,7.44
FC Barcelona,10,836,4,25,5,506,26,10,5,6,42,0,7.43
Real Sociedad,7,532,1,8,1,207,10,8,13,3,30,3,7.41
Manchester United,2,167,0,1,0,75,9,1,6,1,18,2,7.4
Benfica,5,416,1,9,3,136,12,8,3,1,17,1,7.4
Real Madrid,3,152,0,4,0,126,3,3,3,3,7,1,7.4
Inter,6,513,0,13,2,361,21,1,10,6,38,1,7.38
Sevilla,6,459,3,17,3,210,25,1,11,3,36,0,7.37
Benfica,6,540,0,4,0,284,19,13,24,10,50,0,7.37
Inter,8,466,1,14,3,269,11,1,16,5,32,0,7.34
Arsenal,9,751,1,10,2,337,14,12,11,7,30,2,7.33
PSV Eindhoven,7,579,0,18,1,331,34,6,13,6,44,0,7.33
FC Bayern München,11,882,1,18,4,311,5,32,12,12,45,2,7.31
RB Leipzig,3,181,0,3,1,60,3,3,4,0,12,1,7.3
Sporting Braga,1,10,0,0,0,7,0,0,0,0,1,1,7.3
Feyenoord,6,401,0,8,3,97,0,10,4,4,16,0,7.3
Real Sociedad,8,563,1,20,2,149,6,17,4,2,22,0,7.26
Atlético Madrid,6,540,2,5,1,176,10,6,19,7,40,1,7.25
FC Barcelona,10,579,2,11,4,194,7,23,9,7,40,0,7.24
FC København,8,686,0,9,2,128,1,10,20,11,45,3,7.24
Shakhtar Donetsk,6,536,2,9,5,145,10,9,11,2,28,0,7.23
FC Porto,8,534,0,7,0,227,13,1,14,10,32,1,7.23
Arsenal,10,839,1,7,0,527,27,16,14,13,54,0,7.22
FC Bayern München,10,761,1,9,3,495,22,3,13,19,50,0,7.21
FC Bayern München,7,449,0,7,2,179,8,16,4,0,21,2,7.2
RC Lens,6,528,2,10,3,167,8,3,20,6,32,1,7.2
Newcastle United,6,413,0,4,1,116,4,1,15,4,24,1,7.2
RB Leipzig,7,292,2,7,0,180,6,2,8,4,23,0,7.2
Paris Saint-Germain,9,621,2,11,2,367,16,8,14,7,45,0,7.19
Lazio,8,647,1,21,3,384,10,4,4,7,32,0,7.19
Celtic,6,487,3,15,3,171,7,3,14,7,33,0,7.18
Galatasaray,5,250,1,7,1,81,2,3,4,4,15,2,7.18
FK Crvena zvezda,6,488,2,11,3,74,6,12,5,2,32,2,7.17
SSC Napoli,8,584,1,11,4,193,20,6,3,1,36,1,7.16
Sporting Braga,5,308,0,2,0,260,34,1,9,8,28,0,7.16
Inter,7,522,0,5,1,217,12,9,10,8,42,0,7.16
Real Madrid,3,39,0,0,0,22,0,5,2,0,4,1,7.15
Milan,4,325,0,5,0,58,0,13,3,0,15,0,7.15
Paris Saint-Germain,9,342,1,7,2,221,9,5,7,2,19,1,7.14
Manchester City,8,535,0,11,1,301,6,3,11,2,18,2,7.14
Atlético Madrid,8,616,0,11,1,328,22,6,10,4,45,1,7.14
Real Madrid,11,790,1,9,0,456,16,13,25,9,47,0,7.14
FC Barcelona,6,327,3,5,1,142,6,3,10,2,23,0,7.13
Atlético Madrid,9,771,1,10,2,598,36,2,15,3,47,0,7.13
FC Bayern München,9,439,1,15,4,131,4,1,5,1,9,1,7.13
Benfica,5,324,0,3,0,138,2,6,2,2,27,3,7.12
Galatasaray,5,200,0,10,4,47,0,0,0,2,7,0,7.12
FC København,6,540,1,4,3,124,6,3,17,8,21,3,7.12
BSC Young Boys,6,518,1,9,2,175,11,5,14,5,34,1,7.12
FC Bayern München,12,929,1,17,2,269,9,35,13,2,49,2,7.11
Inter,7,449,2,8,3,98,4,1,10,3,23,1,7.1
Real Madrid,13,1067,0,7,0,550,26,10,21,13,55,1,7.1
Newcastle United,4,335,0,7,1,122,4,5,5,4,25,1,7.1
Newcastle United,6,540,1,5,1,236,19,6,13,6,49,0,7.08
SSC Napoli,6,469,0,10,1,247,8,5,2,4,21,1,7.07
FC Bayern München,3,206,0,0,0,170,14,2,1,3,12,0,7.07
Sporting Braga,5,290,0,4,0,250,14,7,8,7,22,0,7.06
Borussia Dortmund,12,929,5,14,1,242,16,4,12,7,42,1,7.06
FC København,7,536,1,6,0,157,13,5,9,6,31,2,7.06
Real Sociedad,7,399,1,6,2,133,7,16,12,1,22,1,7.06
RB Leipzig,8,626,2,12,1,293,8,5,21,5,46,1,7.05
FC København,2,113,0,1,0,13,0,1,6,0,4,1,7.05
Manchester City,2,106,0,1,0,30,1,0,1,1,3,1,7.05
Sevilla,4,330,0,3,0,111,6,3,13,4,21,0,7.05
FC København,7,630,1,4,1,305,19,3,19,9,36,0,7.03
Paris Saint-Germain,11,905,3,12,2,462,16,10,15,7,57,1,7.03
Real Sociedad,8,713,0,5,0,387,16,5,18,7,53,0,7.03
Shakhtar Donetsk,6,540,0,10,0,229,21,6,4,6,25,1,7.0
FC Barcelona,3,229,0,2,0,115,0,3,3,1,13,1,7.0
Manchester City,4,221,0,4,0,85,0,3,2,0,8,1,7.0
Feyenoord,5,355,0,3,0,194,9,5,10,5,22,1,7.0
PSV Eindhoven,8,503,1,8,1,130,5,6,13,8,38,0,7.0
BSC Young Boys,4,265,1,5,2,39,2,7,8,3,9,0,7.0
RB Leipzig,2,92,0,0,0,38,5,2,6,0,4,0,7.0
Feyenoord,6,467,0,6,4,115,4,7,6,3,25,0,6.98
Feyenoord,4,198,0,3,0,35,3,11,9,1,8,1,6.98
Real Madrid,8,605,0,4,0,383,13,0,9,9,21,0,6.98
RC Lens,6,289,0,7,0,86,7,3,6,1,16,2,6.97
Red Bull Salzburg,6,390,0,6,0,125,10,9,6,5,26,1,6.97
