team,appearances,minutesPlayed,saves,goalsConceded,rating
RB Leipzig,6,412,0,4,6.82
Manchester City,4,132,0,2,6.8
1. FC Union Berlin,6,276,0,4,6.8
BSC Young Boys,1,8,0,0,6.8
FC Porto,8,708,0,9,6.8
SSC Napoli,8,681,0,12,6.8
Red Bull Salzburg,6,496,0,8,6.8
Arsenal,3,86,0,1,6.8
Real Sociedad,5,217,0,1,6.78
Milan,4,149,0,1,6.78
Shakhtar Donetsk,4,220,0,7,6.78
FK Crvena zvezda,6,201,0,5,6.77
FK Crvena zvezda,5,83,0,3,6.76
Manchester United,4,204,0,7,6.75
Manchester United,2,42,0,2,6.75
Royal Antwerp FC,6,387,0,10,6.73
Atlético Madrid,10,437,0,6,6.73
Newcastle United,3,171,0,2,6.73
Manchester United,4,53,0,3,6.73
Galatasaray,6,427,0,9,6.73
RC Lens,6,495,0,10,6.73
Manchester United,4,233,0,4,6.73
Borussia Dortmund,8,357,0,4,6.73
FK Crvena zvezda,5,376,0,10,6.72
1. FC Union Berlin,5,238,0,3,6.72
Inter,6,202,0,4,6.72
Benfica,6,505,0,11,6.72
Sevilla,6,540,0,12,6.72
FC Porto,6,233,0,1,6.72
Lazio,7,263,0,2,6.71
Celtic,5,268,0,6,6.7
Royal Antwerp FC,5,358,0,13,6.7
Royal Antwerp FC,5,387,0,12,6.7
Borussia Dortmund,7,208,0,2,6.7
FC København,8,557,0,9,6.7
FC København,1,58,0,3,6.7
FC Barcelona,2,22,0,1,6.7
Manchester United,2,61,0,1,6.7
Feyenoord,2,35,0,1,6.7
Sevilla,4,215,0,4,6.7
FC København,7,481,0,10,6.7
Manchester United,3,108,0,3,6.7
FC København,6,45,0,1,6.7
FK Crvena zvezda,5,173,0,4,6.7
Manchester United,5,327,0,7,6.7
1. FC Union Berlin,3,124,0,2,6.7
Feyenoord,1,35,0,1,6.7
Lazio,5,156,0,1,6.7
RB Leipzig,7,168,0,4,6.69
RC Lens,5,224,0,3,6.68
1. FC Union Berlin,5,416,0,8,6.68
BSC Young Boys,6,164,0,3,6.68
Sevilla,4,247,0,5,6.68
Red Bull Salzburg,3,206,0,4,6.67
Royal Antwerp FC,3,263,0,10,6.67
Galatasaray,4,90,0,3,6.67
Lazio,3,136,0,2,6.67
Inter,5,322,0,3,6.66
Benfica,5,265,0,5,6.66
FK Crvena zvezda,4,299,0,9,6.65
RC Lens,2,99,0,1,6.65
Sevilla,2,82,0,0,6.65
Milan,5,352,0,4,6.64
Sporting Braga,3,31,0,0,6.63
Sevilla,6,373,0,10,6.63
RB Leipzig,4,277,0,6,6.63
1. FC Union Berlin,5,233,0,5,6.62
RB Leipzig,6,117,0,6,6.62
Celtic,6,310,0,7,6.62
FC Barcelona,7,348,0,4,6.61
Sevilla,6,320,0,10,6.6
Galatasaray,6,121,0,4,6.6
Shakhtar Donetsk,1,25,0,0,6.6
Milan,1,13,0,0,6.6
BSC Young Boys,1,20,0,0,6.6
Borussia Dortmund,2,20,0,0,6.6
SSC Napoli,2,100,0,2,6.6
Sevilla,3,186,0,3,6.6
Sporting Braga,2,55,0,3,6.6
SSC Napoli,4,69,0,1,6.6
1. FC Union Berlin,4,293,0,5,6.6
BSC Young Boys,3,57,0,1,6.6
Benfica,5,58,0,0,6.6
SSC Napoli,1,21,0,0,6.6
Arsenal,2,63,0,1,6.6
Red Bull Salzburg,4,78,0,0,6.58
Celtic,3,61,0,3,6.57
RC Lens,6,373,0,9,6.57
Feyenoord,5,204,0,3,6.56
SSC Napoli,6,164,0,3,6.56
Newcastle United,2,43,0,0,6.55
PSV Eindhoven,5,185,0,3,6.54
1. FC Union Berlin,5,358,0,7,6.54
FC Porto,3,47,0,1,6.53
RC Lens,3,113,0,1,6.53
Feyenoord,4,65,0,1,6.53
Shakhtar Donetsk,4,217,0,3,6.53
Arsenal,1,10,0,0,6.5
FK Crvena zvezda,1,8,0,0,6.5
FK Crvena zvezda,1,12,0,1,6.5
Red Bull Salzburg,1,8,0,1,6.5
Sevilla,2,81,0,4,6.5
Sevilla,3,108,0,4,6.5
Celtic,3,93,0,1,6.5
Real Sociedad,1,13,0,0,6.5
Real Sociedad,1,10,0,0,6.5
FK Crvena zvezda,6,488,0,14,6.5
Sporting Braga,1,8,0,0,6.5
Shakhtar Donetsk,5,391,0,6,6.48
Paris Saint-Germain,8,392,0,7,6.48
Benfica,2,31,0,0,6.45
1. FC Union Berlin,6,134,0,4,6.45
RC Lens,3,135,0,2,6.43
Newcastle United,3,162,0,1,6.43
Shakhtar Donetsk,1,90,0,3,6.4
Arsenal,1,62,0,1,6.4
Paris Saint-Germain,2,11,0,1,6.4
Galatasaray,2,61,0,2,6.4
