season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Formation,Lineup_Section,Jersey_Number,Player
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,30,Matt Turner
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,3,Kieran Tierney
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,10,Emile Smith Rowe
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,14,Eddie Nketiah
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,15,Jakub Kiwior
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,16,Rob Holding
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,18,Takehiro Tomiyasu
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,19,Leandro Trossard
2023-2024,Arsenal 2023 2024,2023-08-06,Community Shield,Manchester City,2023-08-06_community_shield_manchester_city_lineups.csv,10e5c045,https://fbref.com/en/matches/10e5c045/Arsenal-Manchester-City-August-6-2023-FA-Community-Shield,2023-08-06,Community Shield,FA Community Shield,Neutral,Manchester City,D,2023-08-06_community_shield_manchester_city,Arsenal,4-3-3,Bench,21,Fabio Vieira
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,1,Aaron Ramsdale
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,2,William Saliba
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,4,Ben White
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,5,Thomas Partey
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,7,Bukayo Saka
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,8,Martin Ødegaard
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,12,Jurriën Timber
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,14,Eddie Nketiah
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,29,Kai Havertz
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Starter,41,Declan Rice
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,31,Karl Jakob Hein
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,6,Gabriel Magalhães
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,10,Emile Smith Rowe
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,15,Jakub Kiwior
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,18,Takehiro Tomiyasu
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,19,Leandro Trossard
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,20,Jorginho
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,21,Fabio Vieira
2023-2024,Arsenal 2023 2024,2023-08-12,Premier League,Nottingham Forest,2023-08-12_premier_league_nottingham_forest_lineups.csv,26a7f90c,https://fbref.com/en/matches/26a7f90c/Arsenal-Nottingham-Forest-August-12-2023-Premier-League,2023-08-12,Premier League,Matchweek 1,Home,Nottingham Forest,W,2023-08-12_premier_league_nottingham_forest,Arsenal,4-3-3,Bench,24,Reiss Nelson
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,1,Aaron Ramsdale
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,2,William Saliba
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,4,Ben White
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,5,Thomas Partey
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,7,Bukayo Saka
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,8,Martin Ødegaard
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,14,Eddie Nketiah
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,18,Takehiro Tomiyasu
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,29,Kai Havertz
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Starter,41,Declan Rice
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,22,David Raya
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,6,Gabriel Magalhães
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,10,Emile Smith Rowe
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,15,Jakub Kiwior
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,19,Leandro Trossard
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,20,Jorginho
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,21,Fabio Vieira
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,24,Reiss Nelson
2023-2024,Arsenal 2023 2024,2023-08-21,Premier League,Crystal Palace,2023-08-21_premier_league_crystal_palace_lineups.csv,3b5ecd36,https://fbref.com/en/matches/3b5ecd36/Crystal-Palace-Arsenal-August-21-2023-Premier-League,2023-08-21,Premier League,Matchweek 2,Away,Crystal Palace,W,2023-08-21_premier_league_crystal_palace,Arsenal,4-3-3,Bench,35,Oleksandr Zinchenko
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,1,Aaron Ramsdale
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,2,William Saliba
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,4,Ben White
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,5,Thomas Partey
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,7,Bukayo Saka
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,8,Martin Ødegaard
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,11,Gabriel Martinelli
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,15,Jakub Kiwior
2023-2024,Arsenal 2023 2024,2023-08-26,Premier League,Fulham,2023-08-26_premier_league_fulham_lineups.csv,d8f8f8ad,https://fbref.com/en/matches/d8f8f8ad/Arsenal-Fulham-August-26-2023-Premier-League,2023-08-26,Premier League,Matchweek 3,Home,Fulham,D,2023-08-26_premier_league_fulham,Arsenal,4-3-3,Starter,19,Leandro Trossard
