season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2023-2024,Arsenal 2023 2024,2023-10-03,Champions Lg,Frlens,2023-10-03_champions_lg_frlens_goalkeeper_stats.csv,dba6efee,https://fbref.com/en/matches/dba6efee/Lens-Arsenal-October-3-2023-Champions-League,2023-10-03,Champions Lg,Group stage,Away,frLens,L,2023-10-03_champions_lg_frlens,Arsenal,David Raya,es ESP,28-018,90,3,2,1,33.3
2023-2024,Arsenal 2023 2024,2023-10-08,Premier League,Manchester City,2023-10-08_premier_league_manchester_city_goalkeeper_stats.csv,59cd18ae,https://fbref.com/en/matches/59cd18ae/Arsenal-Manchester-City-October-8-2023-Premier-League,2023-10-08,Premier League,Matchweek 8,Home,Manchester City,W,2023-10-08_premier_league_manchester_city,Arsenal,David Raya,es ESP,28-023,90,0,0,0,
2023-2024,Arsenal 2023 2024,2023-10-21,Premier League,Chelsea,2023-10-21_premier_league_chelsea_goalkeeper_stats.csv,a1c336e2,https://fbref.com/en/matches/a1c336e2/North-West-London-Derby-Chelsea-Arsenal-October-21-2023-Premier-League,2023-10-21,Premier League,Matchweek 9,Away,Chelsea,D,2023-10-21_premier_league_chelsea,Arsenal,David Raya,es ESP,28-036,90,4,2,3,75.0
2023-2024,Arsenal 2023 2024,2023-10-24,Champions Lg,Essevilla,2023-10-24_champions_lg_essevilla_goalkeeper_stats.csv,0c4b8772,https://fbref.com/en/matches/0c4b8772/Sevilla-Arsenal-October-24-2023-Champions-League,2023-10-24,Champions Lg,Group stage,Away,esSevilla,W,2023-10-24_champions_lg_essevilla,Arsenal,David Raya,es ESP,28-039,90,2,1,1,50.0
2023-2024,Arsenal 2023 2024,2023-10-28,Premier League,Sheffield United,2023-10-28_premier_league_sheffield_united_goalkeeper_stats.csv,d498f918,https://fbref.com/en/matches/d498f918/Arsenal-Sheffield-United-October-28-2023-Premier-League,2023-10-28,Premier League,Matchweek 10,Home,Sheffield United,W,2023-10-28_premier_league_sheffield_united,Arsenal,David Raya,es ESP,28-043,90,0,0,0,
2023-2024,Arsenal 2023 2024,2023-11-01,Efl Cup,West Ham United,2023-11-01_efl_cup_west_ham_united_goalkeeper_stats.csv,7fbf0cfb,https://fbref.com/en/matches/7fbf0cfb/West-Ham-United-Arsenal-November-1-2023-EFL-Cup,2023-11-01,EFL Cup,Fourth round,Away,West Ham United,L,2023-11-01_efl_cup_west_ham_united,Arsenal,Aaron Ramsdale,eng ENG,25-171,90,4,3,1,25.0
2023-2024,Arsenal 2023 2024,2023-11-04,Premier League,Newcastle United,2023-11-04_premier_league_newcastle_united_goalkeeper_stats.csv,6096abaa,https://fbref.com/en/matches/6096abaa/Newcastle-United-Arsenal-November-4-2023-Premier-League,2023-11-04,Premier League,Matchweek 11,Away,Newcastle United,L,2023-11-04_premier_league_newcastle_united,Arsenal,David Raya,es ESP,28-050,90,1,1,0,0.0
2023-2024,Arsenal 2023 2024,2023-11-08,Champions Lg,Essevilla,2023-11-08_champions_lg_essevilla_goalkeeper_stats.csv,2e9fad19,https://fbref.com/en/matches/2e9fad19/Arsenal-Sevilla-November-8-2023-Champions-League,2023-11-08,Champions Lg,Group stage,Home,esSevilla,W,2023-11-08_champions_lg_essevilla,Arsenal,David Raya,es ESP,28-054,90,1,0,1,100.0
2023-2024,Arsenal 2023 2024,2023-11-11,Premier League,Burnley,2023-11-11_premier_league_burnley_goalkeeper_stats.csv,2cb4e4dc,https://fbref.com/en/matches/2cb4e4dc/Arsenal-Burnley-November-11-2023-Premier-League,2023-11-11,Premier League,Matchweek 12,Home,Burnley,W,2023-11-11_premier_league_burnley,Arsenal,David Raya,es ESP,28-057,90,5,1,4,80.0
2023-2024,Arsenal 2023 2024,2023-11-25,Premier League,Brentford,2023-11-25_premier_league_brentford_goalkeeper_stats.csv,626c6561,https://fbref.com/en/matches/626c6561/Brentford-Arsenal-November-25-2023-Premier-League,2023-11-25,Premier League,Matchweek 13,Away,Brentford,W,2023-11-25_premier_league_brentford,Arsenal,Aaron Ramsdale,eng ENG,25-195,90,1,0,1,100.0
