league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
ENG-Premier League,2021,2020-10-31 Burnley-Chelsea,1,2020,14496,2020-10-31 15:00:00,92,80,Burnley,Chelsea,CHE,BUR,0,3,0.407341,1.23077,True,True,https://understat.com/match/14496
ENG-Premier League,2021,2020-10-31 Liverpool-West Ham,1,2020,14499,2020-10-31 17:30:00,87,81,Liverpool,West Ham,WHU,LIV,2,1,1.56302,0.269048,True,True,https://understat.com/match/14499
ENG-Premier League,2021,2020-10-31 Sheffield United-Manchester City,1,2020,14502,2020-10-31 12:30:00,238,88,Sheffield United,Manchester City,MCI,SHE,0,1,0.687544,1.89643,True,True,https://understat.com/match/14502
ENG-Premier League,2021,2020-11-01 Aston Villa-Southampton,1,2020,14495,2020-11-01 12:00:00,71,74,Aston Villa,Southampton,SOU,AVL,3,4,2.44855,1.00333,True,True,https://understat.com/match/14495
ENG-Premier League,2021,2020-11-01 Manchester United-Arsenal,1,2020,14500,2020-11-01 16:30:00,89,83,Manchester United,Arsenal,ARS,MUN,0,1,0.394113,0.998072,True,True,https://understat.com/match/14500
ENG-Premier League,2021,2020-11-01 Newcastle United-Everton,1,2020,14501,2020-11-01 14:00:00,86,72,Newcastle United,Everton,EVE,NEW,2,1,2.6311,1.21805,True,True,https://understat.com/match/14501
ENG-Premier League,2021,2020-11-01 Tottenham-Brighton,1,2020,14503,2020-11-01 19:15:00,82,220,Tottenham,Brighton,BRI,TOT,2,1,1.97236,0.324457,True,True,https://understat.com/match/14503
ENG-Premier League,2021,2020-11-02 Fulham-West Bromwich Albion,1,2020,14497,2020-11-02 17:30:00,228,76,Fulham,West Bromwich Albion,WBA,FLH,2,0,1.62247,0.482685,True,True,https://understat.com/match/14497
ENG-Premier League,2021,2020-11-02 Leeds-Leicester,1,2020,14498,2020-11-02 20:00:00,245,75,Leeds,Leicester,LEI,LED,1,4,1.74822,3.07657,True,True,https://understat.com/match/14498
ENG-Premier League,2021,2020-11-06 Brighton-Burnley,1,2020,14506,2020-11-06 17:30:00,220,92,Brighton,Burnley,BUR,BRI,0,0,1.59022,0.326933,True,True,https://understat.com/match/14506
ENG-Premier League,2021,2020-11-06 Southampton-Newcastle United,1,2020,14512,2020-11-06 20:00:00,74,86,Southampton,Newcastle United,NEW,SOU,2,0,0.985828,0.175633,True,True,https://understat.com/match/14512
ENG-Premier League,2021,2020-11-07 Chelsea-Sheffield United,1,2020,14507,2020-11-07 17:30:00,80,238,Chelsea,Sheffield United,SHE,CHE,4,1,2.87622,0.743967,True,True,https://understat.com/match/14507
ENG-Premier League,2021,2020-11-07 Crystal Palace-Leeds,1,2020,14508,2020-11-07 15:00:00,78,245,Crystal Palace,Leeds,LED,CRY,4,1,1.30169,0.847913,True,True,https://understat.com/match/14508
ENG-Premier League,2021,2020-11-07 Everton-Manchester United,1,2020,14509,2020-11-07 12:30:00,72,89,Everton,Manchester United,MUN,EVE,1,3,0.376464,1.59642,True,True,https://understat.com/match/14509
ENG-Premier League,2021,2020-11-07 West Ham-Fulham,1,2020,14514,2020-11-07 20:00:00,81,228,West Ham,Fulham,FLH,WHU,1,0,1.42614,1.84922,True,True,https://understat.com/match/14514
ENG-Premier League,2021,2020-11-08 Arsenal-Aston Villa,1,2020,14505,2020-11-08 19:15:00,83,71,Arsenal,Aston Villa,AVL,ARS,0,3,1.39037,1.98553,True,True,https://understat.com/match/14505
ENG-Premier League,2021,2020-11-08 Leicester-Wolverhampton Wanderers,1,2020,14510,2020-11-08 14:00:00,75,229,Leicester,Wolverhampton Wanderers,WOL,LEI,1,0,2.0545,0.57936,True,True,https://understat.com/match/14510
ENG-Premier League,2021,2020-11-08 Manchester City-Liverpool,1,2020,14511,2020-11-08 16:30:00,88,87,Manchester City,Liverpool,LIV,MCI,1,1,1.58487,1.18789,True,True,https://understat.com/match/14511
ENG-Premier League,2021,2020-11-08 West Bromwich Albion-Tottenham,1,2020,14513,2020-11-08 12:00:00,76,82,West Bromwich Albion,Tottenham,TOT,WBA,0,1,0.799352,1.87063,True,True,https://understat.com/match/14513
ENG-Premier League,2021,2020-11-21 Aston Villa-Brighton,1,2020,14515,2020-11-21 15:00:00,71,220,Aston Villa,Brighton,BRI,AVL,1,2,1.76514,1.50038,True,True,https://understat.com/match/14515
ENG-Premier League,2021,2020-11-21 Manchester United-West Bromwich Albion,1,2020,14520,2020-11-21 20:00:00,89,76,Manchester United,West Bromwich Albion,WBA,MUN,1,0,2.42994,0.438646,True,True,https://understat.com/match/14520
ENG-Premier League,2021,2020-11-21 Newcastle United-Chelsea,1,2020,14521,2020-11-21 12:30:00,86,80,Newcastle United,Chelsea,CHE,NEW,0,2,0.368286,1.81923,True,True,https://understat.com/match/14521
ENG-Premier League,2021,2020-11-21 Tottenham-Manchester City,1,2020,14523,2020-11-21 17:30:00,82,88,Tottenham,Manchester City,MCI,TOT,2,0,0.761142,1.66325,True,True,https://understat.com/match/14523
ENG-Premier League,2021,2020-11-22 Fulham-Everton,1,2020,14517,2020-11-22 12:00:00,228,72,Fulham,Everton,EVE,FLH,2,3,1.87028,2.2508,True,True,https://understat.com/match/14517
ENG-Premier League,2021,2020-11-22 Leeds-Arsenal,1,2020,14518,2020-11-22 16:30:00,245,83,Leeds,Arsenal,ARS,LED,0,0,1.9617,0.710778,True,True,https://understat.com/match/14518
ENG-Premier League,2021,2020-11-22 Liverpool-Leicester,1,2020,14519,2020-11-22 19:15:00,87,75,Liverpool,Leicester,LEI,LIV,3,0,3.77245,1.98397,True,True,https://understat.com/match/14519
ENG-Premier League,2021,2020-11-22 Sheffield United-West Ham,1,2020,14522,2020-11-22 14:00:00,238,81,Sheffield United,West Ham,WHU,SHE,0,1,0.692374,2.1142,True,True,https://understat.com/match/14522
