team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Lille,2,180,0,0,0,0,0,0,0,6.3
RB Leipzig,5,450,0,1,1,0,0,0,0,6.18
AFC Ajax,2,180,0,0,1,1,1,0,1,6.15
Sporting CP,1,90,0,0,1,0,0,0,0,6.1
Zenit St. Petersburg,5,444,16,10,14,4,25,2,0,7.64
Liverpool FC,3,180,6,1,0,0,15,1,0,7.5
Manchester City,9,840,13,25,8,13,36,4,0,7.49
Liverpool FC,9,794,17,9,7,1,28,6,0,7.44
Liverpool FC,5,344,7,6,5,6,20,0,0,7.44
Sporting CP,6,540,11,9,25,11,16,1,0,7.37
Chelsea,6,504,14,7,5,7,28,6,0,7.35
Manchester United,2,180,3,5,7,2,6,0,0,7.35
FC Bayern München,7,483,17,6,6,2,48,2,0,7.34
AFC Ajax,8,720,13,12,23,14,22,0,0,7.31
Villarreal,2,92,2,0,1,1,4,0,0,7.3
Juventus,7,580,8,15,17,8,11,0,0,7.27
Inter,8,720,15,9,22,9,25,1,0,7.25
Liverpool FC,10,826,9,12,12,11,21,1,0,7.22
Atlético Madrid,10,822,34,10,11,12,55,0,0,7.22
Manchester United,4,292,5,5,3,7,15,0,0,7.2
Manchester City,1,90,0,0,2,1,3,0,0,7.2
Paris Saint-Germain,2,165,6,5,9,3,7,0,0,7.2
Sevilla,5,450,4,9,15,23,12,1,0,7.2
FC Porto,5,349,4,6,14,7,9,0,0,7.2
Liverpool FC,9,810,5,13,28,34,11,1,0,7.2
Chelsea,9,762,7,12,14,18,12,3,0,7.18
Liverpool FC,8,720,16,13,23,23,21,1,1,7.18
Atalanta,4,360,14,4,5,6,15,0,0,7.18
Zenit St. Petersburg,6,497,4,9,16,6,11,2,0,7.15
Atalanta,5,450,16,13,14,15,16,1,0,7.14
AFC Ajax,8,571,12,5,11,8,18,1,0,7.13
FC Bayern München,8,571,16,10,10,8,27,1,0,7.13
Juventus,5,450,9,11,18,5,15,1,0,7.12
FC Bayern München,10,764,14,18,20,16,20,2,0,7.11
FC Barcelona,5,393,7,10,13,22,10,0,0,7.1
AFC Ajax,8,661,28,4,12,3,46,3,0,7.1
Shakhtar Donetsk,1,90,0,1,2,1,1,0,0,7.1
Chelsea,4,194,7,1,0,1,8,1,0,7.1
Paris Saint-Germain,8,720,10,4,37,5,12,0,1,7.09
Borussia Dortmund,5,358,14,7,16,2,18,0,0,7.08
Chelsea,9,840,13,6,13,15,19,2,1,7.08
Juventus,4,286,11,7,2,2,16,0,0,7.08
FC Bayern München,8,660,15,14,11,14,25,1,0,7.08
Real Madrid,12,1076,25,26,31,31,45,0,0,7.08
AFC Ajax,8,570,11,11,14,5,24,0,0,7.06
FC Barcelona,5,375,2,6,5,2,5,0,0,7.06
Real Madrid,11,959,16,12,23,10,28,0,0,7.05
Chelsea,8,603,8,7,8,10,17,1,0,7.05
Benfica,9,810,13,19,54,21,24,0,0,7.04
Atlético Madrid,5,450,7,10,14,14,10,0,0,7.04
Sevilla,6,539,7,3,21,13,11,0,0,7.03
Sheriff Tiraspol,6,540,17,6,31,9,19,0,0,7.03
Milan,5,392,8,9,20,12,9,0,0,7.02
Juventus,7,553,18,6,5,7,30,0,0,7.01
Benfica,2,180,3,2,5,4,4,0,0,7.0
Manchester United,6,534,8,5,12,11,16,1,0,7.0
Inter,6,487,5,11,13,11,7,0,0,7.0
Villarreal,12,1080,15,10,62,14,22,0,0,7.0
Beşiktaş JK,1,90,1,2,4,4,2,0,0,7.0
Juventus,4,180,6,1,3,4,8,0,0,7.0
Shakhtar Donetsk,4,360,2,7,11,7,8,0,0,7.0
Manchester United,3,233,10,2,6,8,13,1,0,6.97
FC Bayern München,7,515,6,5,13,7,9,0,0,6.96
FC Barcelona,4,345,6,5,2,8,9,1,0,6.95
Manchester City,7,577,13,9,5,7,14,1,0,6.94
Manchester City,6,326,4,12,16,13,8,0,0,6.93
AFC Ajax,3,139,6,1,1,3,11,0,0,6.93
Borussia Dortmund,3,182,5,0,3,1,8,1,0,6.93
BSC Young Boys,6,462,13,8,9,3,15,0,0,6.93
Liverpool FC,7,630,8,6,15,23,12,1,0,6.93
Lille,7,591,22,3,10,5,31,1,0,6.93
Manchester United,5,353,3,5,15,11,6,0,0,6.92
Sevilla,5,380,15,7,3,1,26,0,0,6.92
Red Bull Salzburg,5,437,6,14,17,13,14,0,0,6.92
Real Madrid,12,1040,16,11,28,7,18,3,1,6.92
Benfica,10,900,15,12,42,17,22,3,1,6.91
Shakhtar Donetsk,1,90,1,1,9,3,1,0,0,6.9
Liverpool FC,2,91,1,1,4,4,2,0,0,6.9
Sevilla,4,192,6,2,4,0,8,0,0,6.9
Manchester United,5,426,5,4,19,5,6,0,0,6.9
Lille,5,418,6,3,20,14,12,0,0,6.9
Benfica,5,236,9,3,6,8,14,0,0,6.9
Sporting CP,6,368,3,18,15,4,6,0,0,6.9
Villarreal,12,1045,10,7,60,16,17,1,0,6.89
Atlético Madrid,9,700,15,9,5,7,30,0,0,6.89
Manchester City,8,501,13,11,5,12,18,4,0,6.89
Lille,8,720,9,8,30,14,14,2,0,6.89
Lille,7,537,12,6,18,5,26,0,0,6.89
Chelsea,9,680,12,9,9,12,18,0,0,6.88
Manchester City,9,796,12,11,19,11,15,0,0,6.88
BSC Young Boys,4,347,9,7,7,5,10,0,0,6.88
Manchester City,8,637,3,3,8,13,8,2,0,6.88
Manchester City,8,663,11,8,15,6,13,3,0,6.87
Real Madrid,10,867,12,7,16,5,30,0,0,6.87
Sheriff Tiraspol,6,540,13,5,17,5,24,0,0,6.87
Sporting CP,6,509,12,7,9,2,41,0,0,6.87
AFC Ajax,3,146,3,3,2,3,3,0,0,6.87
Milan,3,270,5,3,16,7,6,0,0,6.87
Dynamo Kyiv,6,540,13,10,29,6,21,0,0,6.87
Chelsea,8,546,10,8,2,9,22,4,0,6.86
Red Bull Salzburg,7,573,13,14,29,10,18,2,0,6.86
Atalanta,6,370,8,9,20,14,10,0,1,6.85
Red Bull Salzburg,2,29,0,0,0,0,0,1,0,6.85
FC Bayern München,4,52,8,1,1,1,9,0,0,6.85
Real Madrid,9,574,10,11,15,3,20,0,0,6.84
Paris Saint-Germain,7,630,11,5,30,1,18,0,0,6.84
Borussia Dortmund,5,450,6,9,12,7,8,1,0,6.84
Atlético Madrid,3,220,8,0,0,6,12,0,0,6.83
Benfica,3,270,5,8,13,9,6,0,0,6.83
Villarreal,5,130,3,4,5,4,4,0,0,6.83
Milan,5,418,5,5,20,4,9,0,1,6.82
Red Bull Salzburg,5,328,3,4,15,4,4,0,0,6.82
VfL Wolfsburg,6,540,8,14,24,9,16,0,0,6.82
Atlético Madrid,7,585,5,6,26,15,10,1,0,6.81
Benfica,9,714,25,21,16,7,52,2,0,6.81
Chelsea,3,175,0,3,6,6,1,0,0,6.8
Real Madrid,1,66,1,0,0,1,1,0,0,6.8
Inter,1,9,0,0,0,0,0,0,0,6.8
Manchester United,1,29,0,0,2,1,1,0,0,6.8
BSC Young Boys,1,90,1,0,4,0,2,0,0,6.8
Dynamo Kyiv,1,90,1,0,4,1,2,0,0,6.8
Milan,2,91,8,3,2,3,11,0,0,6.8
Milan,5,450,6,3,11,5,32,0,0,6.8
Red Bull Salzburg,8,720,37,10,18,24,49,2,0,6.79
Manchester United,6,419,12,11,7,1,22,1,0,6.78
Manchester United,5,398,4,9,4,7,11,0,0,6.78
Malmö FF,5,413,2,13,19,5,4,0,0,6.78
VfL Wolfsburg,5,430,8,15,18,13,10,0,0,6.78
Borussia Dortmund,6,484,13,11,9,13,25,0,0,6.77
Shakhtar Donetsk,5,356,6,5,11,9,15,0,0,6.76
Dynamo Kyiv,5,450,8,6,31,2,8,0,0,6.76
Zenit St. Petersburg,5,444,2,4,17,8,3,2,0,6.76
RB Leipzig,6,484,15,8,9,11,24,1,0,6.75
FC Bayern München,2,21,0,0,0,0,0,0,0,6.75
Borussia Dortmund,4,195,7,2,0,0,10,0,1,6.75
RB Leipzig,6,405,13,7,0,2,25,1,0,6.75
Chelsea,2,100,4,1,6,4,6,0,0,6.75
Paris Saint-Germain,8,582,16,4,12,3,37,0,0,6.75
Inter,8,666,7,6,14,7,17,0,0,6.75
Dynamo Kyiv,5,366,8,5,8,1,10,0,0,6.74
Sporting CP,6,450,7,13,18,9,12,0,0,6.74
Real Madrid,3,93,2,2,1,1,2,1,0,6.73
Club Brugge KV,3,131,5,4,4,0,5,0,0,6.73
Juventus,7,627,7,9,22,19,13,1,0,6.73
Sheriff Tiraspol,6,540,3,12,33,3,5,0,0,6.72
Sporting CP,8,611,9,10,8,3,25,1,0,6.71
Atlético Madrid,10,486,9,7,10,6,21,1,0,6.71
VfL Wolfsburg,6,413,10,2,8,1,15,1,0,6.7
Beşiktaş JK,2,180,3,4,4,1,8,0,0,6.7
Sevilla,3,79,1,3,2,2,4,0,0,6.7
Sevilla,4,332,1,4,4,2,6,0,0,6.7
FC Barcelona,5,367,9,4,9,10,20,0,0,6.7
Liverpool FC,7,260,4,7,6,11,6,0,0,6.69
Beşiktaş JK,4,306,7,8,17,1,10,0,0,6.68
RB Leipzig,4,315,11,6,8,3,15,0,0,6.68
FC Bayern München,4,211,5,4,2,7,8,0,0,6.68
Sporting CP,7,529,12,11,6,1,30,3,0,6.67
Villarreal,10,447,9,4,7,3,18,0,0,6.67
BSC Young Boys,6,387,9,5,7,1,11,1,0,6.67
Malmö FF,3,191,2,4,3,2,4,0,0,6.67
Atlético Madrid,5,304,11,8,13,12,13,0,0,6.66
Shakhtar Donetsk,5,450,2,2,11,9,3,0,1,6.66
Shakhtar Donetsk,2,82,0,1,1,0,1,0,0,6.65
BSC Young Boys,2,180,3,3,5,3,5,0,0,6.65
FC Barcelona,4,234,11,1,0,2,22,1,0,6.65
Atalanta,5,435,11,6,3,5,22,1,0,6.64
FC Porto,5,450,4,2,19,7,9,1,1,6.64
Paris Saint-Germain,7,361,3,4,14,5,8,0,0,6.63
RB Leipzig,4,64,2,3,2,0,2,0,0,6.63
Atalanta,5,260,4,7,5,8,5,0,0,6.62
Atlético Madrid,6,425,11,10,22,12,17,1,0,6.62
Shakhtar Donetsk,3,192,2,3,10,4,2,0,0,6.6
Juventus,1,13,0,0,2,1,0,0,0,6.6
Red Bull Salzburg,1,9,0,1,0,0,0,0,0,6.6
Atalanta,1,90,2,1,2,2,2,0,0,6.6
Sevilla,4,125,0,1,2,4,3,0,0,6.6
RB Leipzig,6,334,5,8,11,6,12,2,0,6.6
Paris Saint-Germain,8,718,16,5,13,1,34,0,0,6.59
Sporting CP,7,561,5,9,24,4,8,0,1,6.59
Dynamo Kyiv,6,157,2,1,6,6,6,2,0,6.58
FC Bayern München,5,129,1,2,2,1,8,1,0,6.58
Beşiktaş JK,5,405,12,9,10,3,22,0,0,6.58
FC Barcelona,4,252,4,5,5,5,5,1,0,6.58
Zenit St. Petersburg,4,300,6,1,7,1,6,1,0,6.58
VfL Wolfsburg,3,204,3,2,10,6,3,0,0,6.57
BSC Young Boys,5,435,12,6,6,7,19,2,0,6.56
RB Leipzig,5,357,7,8,11,4,7,0,0,6.56
Sporting CP,8,384,11,3,5,1,15,1,0,6.55
Juventus,2,81,1,0,0,0,4,0,0,6.55
Inter,3,101,1,1,1,2,2,0,0,6.55
Milan,4,315,14,2,12,4,17,0,0,6.55
Villarreal,10,891,37,12,21,19,54,2,0,6.55
Inter,3,146,2,1,0,1,3,0,0,6.53
FC Porto,4,351,6,4,6,4,15,0,0,6.53
Dynamo Kyiv,4,160,2,0,1,1,8,0,0,6.53
VfL Wolfsburg,6,328,7,5,11,10,20,0,1,6.52
Manchester City,1,10,0,0,0,0,0,0,0,6.5
RB Leipzig,1,10,0,0,2,0,0,0,0,6.5
FC Porto,2,126,1,1,11,5,2,0,0,6.5
Villarreal,2,18,2,0,1,0,2,0,0,6.5
Beşiktaş JK,3,253,3,7,12,1,8,0,0,6.5
Milan,4,88,3,2,4,1,5,0,0,6.5
Lille,4,243,7,2,1,2,16,1,0,6.5
Red Bull Salzburg,5,161,11,1,1,3,24,0,0,6.5
Club Brugge KV,6,527,14,11,5,5,28,0,0,6.5
Villarreal,7,310,2,5,3,1,7,0,0,6.49
Zenit St. Petersburg,4,315,2,0,17,7,2,0,0,6.48
BSC Young Boys,3,167,5,5,5,3,5,0,0,6.47
Sheriff Tiraspol,3,51,0,0,2,0,0,0,0,6.47
Club Brugge KV,6,484,5,24,16,5,8,0,0,6.47
Malmö FF,6,284,1,3,10,4,5,0,0,6.47
Sporting CP,2,28,0,2,0,0,0,0,0,6.45
FC Porto,6,389,14,4,7,4,20,1,1,6.45
Red Bull Salzburg,7,279,13,11,5,4,22,1,0,6.44
Milan,5,214,7,3,1,3,9,0,0,6.44
Club Brugge KV,6,540,8,4,15,6,11,1,0,6.43
Dynamo Kyiv,5,450,2,7,8,1,9,1,0,6.42
Borussia Dortmund,5,171,0,3,6,3,1,0,0,6.42
Malmö FF,5,450,4,11,22,3,6,1,0,6.42
FC Barcelona,2,25,0,0,0,0,1,0,0,6.4
Villarreal,2,29,0,0,0,0,0,0,0,6.4
Borussia Dortmund,2,74,1,0,0,0,5,0,0,6.4
Borussia Dortmund,2,97,2,1,1,4,3,0,0,6.4
FC Porto,2,155,0,3,7,4,1,0,0,6.4
VfL Wolfsburg,4,330,4,7,17,6,4,0,0,6.4
Sheriff Tiraspol,6,312,6,1,4,2,16,1,0,6.4
Malmö FF,5,447,5,9,19,4,6,0,0,6.38
Beşiktaş JK,3,270,6,3,3,0,12,0,0,6.37
BSC Young Boys,3,117,2,1,3,3,4,0,0,6.37
Atlético Madrid,7,472,2,4,23,5,6,0,0,6.37
Sporting CP,2,63,0,0,2,1,2,0,0,6.35
RB Leipzig,4,296,2,4,8,5,6,0,0,6.35
Sporting CP,1,73,2,1,0,1,5,1,0,6.3
RB Leipzig,1,24,0,0,0,0,1,0,0,6.3
Malmö FF,1,8,0,0,1,0,0,0,0,6.3
Beşiktaş JK,2,135,4,4,2,0,7,0,0,6.3
VfL Wolfsburg,4,171,5,4,2,3,13,0,0,6.3
VfL Wolfsburg,6,363,8,3,8,5,16,0,1,6.3
Club Brugge KV,4,163,3,2,5,2,5,0,0,6.28
Beşiktaş JK,4,313,14,6,11,1,16,0,0,6.28
Paris Saint-Germain,3,64,0,0,3,1,0,0,0,6.25
Red Bull Salzburg,8,716,19,12,9,3,23,3,0,6.25
Red Bull Salzburg,2,84,1,2,2,0,4,0,0,6.2
Sheriff Tiraspol,3,82,0,0,4,0,0,0,0,6.2
FC Porto,4,132,7,2,2,5,9,0,0,6.2
Beşiktaş JK,3,189,3,4,4,4,5,0,0,6.13
Malmö FF,4,278,0,2,6,2,8,0,0,5.93
Atalanta,1,45,0,1,1,0,0,0,0,5.9
Liverpool FC,1,1,0,0,0,0,0,0,0,0.0
Juventus,1,3,0,0,1,0,0,0,0,0.0
BSC Young Boys,1,1,0,0,0,0,0,0,0,0.0
Real Madrid,2,8,0,1,1,2,0,0,0,0.0
FC Bayern München,9,632,11,2,2,8,64,6,0,7.74
Manchester City,12,987,19,8,1,3,56,10,0,7.68
FC Bayern München,8,702,19,16,6,7,39,3,0,7.66
FC Bayern München,10,798,14,4,0,1,43,8,0,7.65
Beşiktaş JK,3,261,2,2,1,2,11,0,0,7.5
Manchester City,1,45,1,0,0,0,7,0,0,7.5
Manchester United,7,520,12,2,6,1,26,6,0,7.44
Sporting CP,5,330,6,3,0,0,14,3,0,7.44
AFC Ajax,7,577,11,3,0,6,30,7,0,7.43
Sheriff Tiraspol,6,540,9,11,14,3,12,2,0,7.4
Borussia Dortmund,6,502,12,7,5,11,47,3,0,7.4
FC Bayern München,6,466,12,7,4,7,19,6,0,7.4
Chelsea,8,561,22,13,1,5,33,1,0,7.38
Real Madrid,12,902,23,6,2,6,45,4,0,7.37
Inter,8,635,19,14,9,2,28,6,0,7.35
Liverpool FC,13,1009,7,2,0,4,45,10,0,7.3
Inter,6,419,5,2,2,1,12,1,0,7.3
FC Bayern München,10,778,7,2,4,11,15,3,0,7.29
Paris Saint-Germain,5,431,13,6,5,1,37,0,0,7.28
Villarreal,12,1054,20,9,4,5,39,1,0,7.28
Manchester City,10,734,7,5,1,2,27,8,0,7.27
Zenit St. Petersburg,6,460,10,5,3,1,27,3,0,7.27
Club Brugge KV,6,540,6,8,4,16,27,6,0,7.23
Liverpool FC,7,322,13,2,1,3,19,5,0,7.23
Borussia Dortmund,6,499,12,2,5,1,23,3,0,7.22
Manchester City,7,461,9,3,1,4,35,6,0,7.21
Atalanta,5,303,9,1,2,2,23,4,0,7.2
Inter,8,531,13,7,10,6,20,4,0,7.19
Inter,7,409,20,4,6,7,31,1,0,7.19
Inter,6,496,15,5,0,3,27,0,0,7.18
Liverpool FC,4,184,2,0,1,0,14,2,0,7.18
Borussia Dortmund,4,212,7,0,0,0,16,4,0,7.18
Shakhtar Donetsk,4,269,3,2,1,0,19,4,0,7.18
Manchester City,10,842,26,14,7,19,36,4,0,7.17
Juventus,5,298,2,5,1,1,12,1,0,7.16
Zenit St. Petersburg,6,434,3,1,3,5,28,4,0,7.15
Chelsea,8,358,9,1,0,6,35,1,0,7.14
RB Leipzig,6,393,3,2,1,1,9,4,0,7.13
BSC Young Boys,6,532,15,10,3,5,59,4,0,7.12
Manchester City,11,658,6,2,0,3,20,4,0,7.11
Real Madrid,13,1077,15,16,5,9,37,6,0,7.11
FC Bayern München,8,391,7,4,0,2,19,5,0,7.1
Zenit St. Petersburg,1,10,0,0,0,0,0,0,0,7.1
VfL Wolfsburg,6,540,11,5,5,8,22,1,0,7.1
Juventus,7,472,7,5,7,6,26,0,0,7.1
Juventus,7,539,13,9,3,6,21,2,0,7.1
Atlético Madrid,9,577,19,7,10,1,36,3,0,7.09
Zenit St. Petersburg,6,485,12,6,5,3,23,1,0,7.08
Chelsea,6,426,13,0,1,1,29,2,0,7.08
Sevilla,5,275,3,5,0,5,7,2,0,7.08
Liverpool FC,12,666,12,13,3,5,16,4,0,7.08
Real Madrid,11,914,30,16,16,16,60,2,0,7.07
Atalanta,6,527,8,7,7,6,22,0,0,7.07
FC Bayern München,4,234,2,4,3,5,6,0,0,7.07
Liverpool FC,6,306,12,4,0,0,30,3,0,7.07
Real Madrid,8,350,11,0,5,1,25,0,0,7.06
Liverpool FC,13,849,30,18,4,11,46,2,0,7.05
Inter,2,101,1,3,1,2,3,0,0,7.05
Liverpool FC,10,604,13,16,9,7,30,0,0,7.05
RB Leipzig,4,182,10,3,1,4,13,0,0,7.05
FC Porto,6,301,9,4,3,1,11,0,0,7.03
Chelsea,3,96,0,0,0,1,3,1,0,7.03
Shakhtar Donetsk,6,473,9,9,3,2,11,3,0,7.03
Liverpool FC,13,824,9,0,4,10,44,7,0,7.03
Juventus,5,383,14,4,1,1,18,0,0,7.02
FC Barcelona,6,487,15,11,5,4,30,1,0,7.02
Lille,4,167,6,1,1,1,11,0,0,7.0
Manchester City,8,347,9,9,1,4,23,2,1,7.0
Manchester United,3,101,3,0,0,0,8,0,0,7.0
Sevilla,4,119,6,0,1,1,20,0,0,7.0
Sevilla,6,540,5,15,5,14,21,0,0,6.98
Dynamo Kyiv,6,486,17,9,3,4,34,0,0,6.98
Chelsea,5,160,8,2,6,6,11,0,0,6.98
Red Bull Salzburg,8,650,26,4,7,4,32,1,0,6.98
Chelsea,9,451,7,4,1,4,22,6,0,6.97
Borussia Dortmund,3,142,2,2,1,0,5,1,0,6.97
Liverpool FC,13,914,10,3,1,6,56,11,0,6.96
Chelsea,5,289,6,1,0,0,16,4,0,6.96
Manchester City,11,880,16,7,4,0,37,1,0,6.95
Real Madrid,11,803,20,9,11,8,37,4,0,6.95
Villarreal,12,1045,14,25,25,15,38,2,1,6.94
Paris Saint-Germain,5,262,6,0,1,0,10,2,0,6.94
Red Bull Salzburg,8,672,17,12,4,5,54,0,0,6.94
Chelsea,6,427,10,5,2,3,19,1,0,6.93
Manchester City,10,659,7,7,1,5,20,7,0,6.93
RB Leipzig,4,208,1,0,4,0,9,1,0,6.93
FC Barcelona,4,247,4,3,2,3,16,3,0,6.93
BSC Young Boys,5,420,13,10,6,7,18,1,0,6.92
Sheriff Tiraspol,6,530,8,6,6,14,27,1,0,6.92
Dynamo Kyiv,6,536,21,12,5,2,30,0,0,6.92
Benfica,8,501,6,6,1,4,23,0,0,6.91
Sporting CP,8,510,7,4,1,2,21,2,0,6.9
Zenit St. Petersburg,4,258,5,3,3,2,12,1,0,6.9
BSC Young Boys,6,505,8,10,2,0,15,0,0,6.9
Beşiktaş JK,1,17,1,1,0,2,2,0,0,6.9
Liverpool FC,2,180,2,5,2,3,5,0,0,6.9
Milan,3,61,3,2,0,3,8,1,0,6.9
Manchester United,6,440,13,7,2,3,25,1,0,6.9
Juventus,7,536,14,7,7,8,21,2,0,6.9
FC Barcelona,6,523,13,5,4,5,27,1,0,6.88
Inter,7,287,7,3,5,0,9,2,0,6.88
Benfica,9,810,11,12,15,8,23,1,0,6.88
AFC Ajax,8,703,14,6,12,8,39,2,0,6.88
Shakhtar Donetsk,4,343,3,0,0,5,16,3,0,6.88
FC Bayern München,8,448,10,8,1,4,30,5,0,6.87
Paris Saint-Germain,6,333,11,7,4,0,18,1,0,6.87
BSC Young Boys,5,240,3,2,4,0,3,1,0,6.86
Benfica,10,863,20,7,20,5,41,1,0,6.86
Atlético Madrid,9,578,20,14,2,12,34,1,0,6.86
VfL Wolfsburg,5,201,6,0,0,4,11,1,0,6.85
FC Barcelona,2,158,4,1,0,0,7,0,0,6.85
Sevilla,4,228,1,2,0,0,11,1,0,6.85
Borussia Dortmund,6,471,8,7,4,6,13,0,0,6.85
Paris Saint-Germain,7,406,14,7,5,3,27,0,0,6.84
FC Porto,6,320,8,2,6,8,14,0,0,6.84
Manchester United,5,400,4,9,4,7,12,1,0,6.84
Sevilla,6,463,7,3,0,4,37,2,0,6.83
Dynamo Kyiv,6,324,9,3,1,5,27,3,0,6.83
Borussia Dortmund,3,126,3,0,2,1,7,0,0,6.83
RB Leipzig,3,270,6,6,2,0,10,0,0,6.83
FC Porto,6,450,14,1,3,5,25,2,0,6.83
Zenit St. Petersburg,6,540,15,9,11,3,27,1,0,6.83
Atalanta,5,210,5,0,1,0,8,2,0,6.83
RB Leipzig,5,432,1,5,6,0,6,2,0,6.82
Sevilla,5,322,2,0,0,0,15,3,0,6.82
Real Madrid,8,210,4,0,1,1,5,2,0,6.82
Villarreal,6,524,17,3,4,2,41,2,0,6.82
AFC Ajax,7,558,17,4,10,17,26,1,0,6.81
Paris Saint-Germain,5,261,0,1,5,1,6,0,0,6.8
Club Brugge KV,6,417,4,6,1,2,8,2,0,6.8
Villarreal,9,330,10,0,4,3,16,0,0,6.8
Atalanta,2,33,1,0,0,0,4,1,0,6.8
Sporting CP,1,9,0,1,0,0,0,0,0,6.8
FC Porto,1,11,1,0,0,1,1,0,0,6.8
BSC Young Boys,1,10,0,0,0,0,1,0,0,6.8
AFC Ajax,2,24,0,0,0,0,2,0,0,6.8
Lille,2,22,0,0,0,1,4,1,0,6.8
Milan,4,252,2,3,2,4,13,0,0,6.8
Shakhtar Donetsk,5,322,4,1,0,1,15,2,0,6.8
Club Brugge KV,5,407,14,12,5,9,25,0,0,6.8
Juventus,6,264,4,4,2,1,10,0,0,6.8
Sporting CP,6,534,22,7,7,10,44,1,0,6.78
Milan,6,333,11,3,5,1,23,1,0,6.78
Liverpool FC,10,487,15,3,6,2,30,4,0,6.78
Paris Saint-Germain,5,315,8,5,2,0,13,0,0,6.78
Beşiktaş JK,5,442,19,15,7,1,25,1,0,6.78
Atalanta,4,211,5,1,1,2,15,0,0,6.78
Sheriff Tiraspol,5,101,3,1,0,0,6,1,0,6.78
Manchester United,4,210,8,5,2,1,13,0,1,6.78
Villarreal,10,645,19,10,29,3,27,1,0,6.77
Real Madrid,10,303,14,0,5,4,25,0,0,6.76
AFC Ajax,7,230,7,2,1,0,9,0,0,6.76
Manchester City,3,39,2,0,0,0,2,0,0,6.75
RB Leipzig,2,88,1,1,0,0,7,1,0,6.75
Shakhtar Donetsk,2,84,2,1,0,1,4,0,0,6.75
Atlético Madrid,4,226,6,1,2,1,11,0,0,6.75
Sheriff Tiraspol,6,540,19,11,29,11,30,1,0,6.75
Beşiktaş JK,5,109,9,3,0,0,13,0,0,6.74
Borussia Dortmund,5,171,3,1,1,1,5,1,0,6.74
Atlético Madrid,8,377,6,6,3,2,18,1,0,6.74
Atalanta,6,484,16,15,9,7,18,1,0,6.73
Sheriff Tiraspol,6,492,19,11,5,1,27,0,0,6.73
