team,appearances,minutesPlayed,saves,goalsConceded,rating
Real Madrid,9,574,0,8,6.84
Paris Saint-Germain,7,630,0,10,6.84
Borussia Dortmund,5,450,0,11,6.84
Atlético Madrid,3,220,0,6,6.83
Benfica,3,270,0,9,6.83
Villarreal,5,130,0,0,6.83
Milan,5,418,0,8,6.82
Red Bull Salzburg,5,328,0,6,6.82
VfL Wolfsburg,6,540,0,10,6.82
Atlético Madrid,7,585,0,6,6.81
Benfica,9,714,0,13,6.81
Chelsea,3,175,0,1,6.8
Real Madrid,1,66,0,1,6.8
Inter,1,9,0,0,6.8
Manchester United,1,29,0,0,6.8
BSC Young Boys,1,90,0,1,6.8
Dynamo Kyiv,1,90,0,5,6.8
Milan,2,91,0,2,6.8
Milan,5,450,0,8,6.8
Red Bull Salzburg,8,720,0,14,6.79
Manchester United,6,419,0,5,6.78
Manchester United,5,398,0,8,6.78
Malmö FF,5,413,0,8,6.78
VfL Wolfsburg,5,430,0,5,6.78
Borussia Dortmund,6,484,0,11,6.77
Shakhtar Donetsk,5,356,0,9,6.76
Dynamo Kyiv,5,450,0,6,6.76
Zenit St. Petersburg,5,444,0,7,6.76
RB Leipzig,6,484,0,14,6.75
FC Bayern München,2,21,0,0,6.75
Borussia Dortmund,4,195,0,4,6.75
RB Leipzig,6,405,0,11,6.75
Chelsea,2,100,0,3,6.75
Paris Saint-Germain,8,582,0,8,6.75
Inter,8,666,0,6,6.75
Dynamo Kyiv,5,366,0,7,6.74
Sporting CP,6,450,0,8,6.74
Real Madrid,3,93,0,0,6.73
Club Brugge KV,3,131,0,6,6.73
Juventus,7,627,0,10,6.73
Sheriff Tiraspol,6,540,0,11,6.72
Sporting CP,8,611,0,13,6.71
Atlético Madrid,10,486,0,3,6.71
VfL Wolfsburg,6,413,0,7,6.7
Beşiktaş JK,2,180,0,6,6.7
Sevilla,3,79,0,1,6.7
Sevilla,4,332,0,4,6.7
FC Barcelona,5,367,0,9,6.7
Liverpool FC,7,260,0,6,6.69
Beşiktaş JK,4,306,0,12,6.68
RB Leipzig,4,315,0,13,6.68
FC Bayern München,4,211,0,4,6.68
Sporting CP,7,529,0,12,6.67
Villarreal,10,447,0,5,6.67
BSC Young Boys,6,387,0,8,6.67
Malmö FF,3,191,0,2,6.67
Atlético Madrid,5,304,0,4,6.66
Shakhtar Donetsk,5,450,0,11,6.66
Shakhtar Donetsk,2,82,0,1,6.65
BSC Young Boys,2,180,0,5,6.65
FC Barcelona,4,234,0,5,6.65
Atalanta,5,435,0,11,6.64
FC Porto,5,450,0,6,6.64
Paris Saint-Germain,7,361,0,7,6.63
RB Leipzig,4,64,0,0,6.63
Atalanta,5,260,0,5,6.62
Atlético Madrid,6,425,0,7,6.62
Shakhtar Donetsk,3,192,0,6,6.6
Juventus,1,13,0,0,6.6
Red Bull Salzburg,1,9,0,0,6.6
Atalanta,1,90,0,3,6.6
Sevilla,4,125,0,1,6.6
RB Leipzig,6,334,0,5,6.6
Paris Saint-Germain,8,718,0,11,6.59
Sporting CP,7,561,0,13,6.59
Dynamo Kyiv,6,157,0,3,6.58
FC Bayern München,5,129,0,2,6.58
Beşiktaş JK,5,405,0,13,6.58
FC Barcelona,4,252,0,5,6.58
Zenit St. Petersburg,4,300,0,6,6.58
VfL Wolfsburg,3,204,0,4,6.57
BSC Young Boys,5,435,0,10,6.56
RB Leipzig,5,357,0,10,6.56
Sporting CP,8,384,0,13,6.55
Juventus,2,81,0,1,6.55
Inter,3,101,0,1,6.55
Milan,4,315,0,7,6.55
Villarreal,10,891,0,16,6.55
Inter,3,146,0,2,6.53
FC Porto,4,351,0,4,6.53
Dynamo Kyiv,4,160,0,4,6.53
VfL Wolfsburg,6,328,0,5,6.52
Manchester City,1,10,0,0,6.5
RB Leipzig,1,10,0,0,6.5
FC Porto,2,126,0,5,6.5
Villarreal,2,18,0,1,6.5
Beşiktaş JK,3,253,0,9,6.5
Milan,4,88,0,3,6.5
Lille,4,243,0,4,6.5
Red Bull Salzburg,5,161,0,8,6.5
Club Brugge KV,6,527,0,19,6.5
Villarreal,7,310,0,8,6.49
Zenit St. Petersburg,4,315,0,9,6.48
BSC Young Boys,3,167,0,4,6.47
Sheriff Tiraspol,3,51,0,1,6.47
Club Brugge KV,6,484,0,18,6.47
Malmö FF,6,284,0,8,6.47
Sporting CP,2,28,0,1,6.45
FC Porto,6,389,0,6,6.45
Red Bull Salzburg,7,279,0,8,6.44
Milan,5,214,0,5,6.44
Club Brugge KV,6,540,0,20,6.43
Dynamo Kyiv,5,450,0,10,6.42
Borussia Dortmund,5,171,0,6,6.42
Malmö FF,5,450,0,13,6.42
FC Barcelona,2,25,0,1,6.4
Villarreal,2,29,0,1,6.4
Borussia Dortmund,2,74,0,2,6.4
Borussia Dortmund,2,97,0,1,6.4
FC Porto,2,155,0,7,6.4
VfL Wolfsburg,4,330,0,5,6.4
Sheriff Tiraspol,6,312,0,9,6.4
Malmö FF,5,447,0,12,6.38
Beşiktaş JK,3,270,0,8,6.37
BSC Young Boys,3,117,0,2,6.37
Atlético Madrid,7,472,0,7,6.37
Sporting CP,2,63,0,3,6.35
RB Leipzig,4,296,0,8,6.35
Sporting CP,1,73,0,4,6.3
RB Leipzig,1,24,0,0,6.3
Malmö FF,1,8,0,1,6.3
Beşiktaş JK,2,135,0,6,6.3
VfL Wolfsburg,4,171,0,4,6.3
VfL Wolfsburg,6,363,0,6,6.3
Club Brugge KV,4,163,0,6,6.28
Beşiktaş JK,4,313,0,11,6.28
Paris Saint-Germain,3,64,0,2,6.25
Red Bull Salzburg,8,716,0,14,6.25
Red Bull Salzburg,2,84,0,3,6.2
Sheriff Tiraspol,3,82,0,4,6.2
FC Porto,4,132,0,3,6.2
Beşiktaş JK,3,189,0,9,6.13
Malmö FF,4,278,0,9,5.93
Atalanta,1,45,0,3,5.9
Liverpool FC,1,1,0,0,0.0
Juventus,1,3,0,0,0.0
BSC Young Boys,1,1,0,0,0.0
Real Madrid,2,8,0,0,0.0
FC Bayern München,9,632,0,4,7.74
Manchester City,12,987,0,13,7.68
FC Bayern München,8,702,0,5,7.66
FC Bayern München,10,798,0,5,7.65
Beşiktaş JK,3,261,0,8,7.5
Manchester City,1,45,0,0,7.5
Manchester United,7,520,0,8,7.44
Sporting CP,5,330,0,6,7.44
AFC Ajax,7,577,0,7,7.43
Sheriff Tiraspol,6,540,0,11,7.4
Borussia Dortmund,6,502,0,10,7.4
FC Bayern München,6,466,0,4,7.4
Chelsea,8,561,0,5,7.38
Real Madrid,12,902,0,11,7.37
Inter,8,635,0,6,7.35
Liverpool FC,13,1009,0,12,7.3
Inter,6,419,0,3,7.3
FC Bayern München,10,778,0,6,7.29
Paris Saint-Germain,5,431,0,6,7.28
Villarreal,12,1054,0,16,7.28
Manchester City,10,734,0,9,7.27
Zenit St. Petersburg,6,460,0,9,7.27
Club Brugge KV,6,540,0,20,7.23
Liverpool FC,7,322,0,6,7.23
Borussia Dortmund,6,499,0,9,7.22
Manchester City,7,461,0,11,7.21
Atalanta,5,303,0,7,7.2
Inter,8,531,0,6,7.19
Inter,7,409,0,6,7.19
Inter,6,496,0,3,7.18
Liverpool FC,4,184,0,2,7.18
Borussia Dortmund,4,212,0,2,7.18
Shakhtar Donetsk,4,269,0,6,7.18
Manchester City,10,842,0,12,7.17
Juventus,5,298,0,3,7.16
Zenit St. Petersburg,6,434,0,6,7.15
Chelsea,8,358,0,2,7.14
RB Leipzig,6,393,0,9,7.13
BSC Young Boys,6,532,0,11,7.12
Manchester City,11,658,0,10,7.11
Real Madrid,13,1077,0,12,7.11
FC Bayern München,8,391,0,5,7.1
Zenit St. Petersburg,1,10,0,1,7.1
VfL Wolfsburg,6,540,0,10,7.1
Juventus,7,472,0,7,7.1
Juventus,7,539,0,6,7.1
Atlético Madrid,9,577,0,7,7.09
Zenit St. Petersburg,6,485,0,8,7.08
Chelsea,6,426,0,5,7.08
Sevilla,5,275,0,2,7.08
Liverpool FC,12,666,0,6,7.08
Real Madrid,11,914,0,8,7.07
Atalanta,6,527,0,11,7.07
FC Bayern München,4,234,0,2,7.07
Liverpool FC,6,306,0,2,7.07
Real Madrid,8,350,0,2,7.06
Liverpool FC,13,849,0,10,7.05
Inter,2,101,0,2,7.05
Liverpool FC,10,604,0,7,7.05
RB Leipzig,4,182,0,3,7.05
FC Porto,6,301,0,7,7.03
Chelsea,3,96,0,2,7.03
Shakhtar Donetsk,6,473,0,12,7.03
Liverpool FC,13,824,0,10,7.03
Juventus,5,383,0,3,7.02
FC Barcelona,6,487,0,6,7.02
Lille,4,167,0,3,7.0
Manchester City,8,347,0,9,7.0
Manchester United,3,101,0,1,7.0
Sevilla,4,119,0,0,7.0
Sevilla,6,540,0,5,6.98
Dynamo Kyiv,6,486,0,8,6.98
Chelsea,5,160,0,2,6.98
Red Bull Salzburg,8,650,0,10,6.98
Chelsea,9,451,0,3,6.97
Borussia Dortmund,3,142,0,2,6.97
Liverpool FC,13,914,0,14,6.96
Chelsea,5,289,0,2,6.96
Manchester City,11,880,0,12,6.95
Real Madrid,11,803,0,13,6.95
Villarreal,12,1045,0,15,6.94
Paris Saint-Germain,5,262,0,3,6.94
Red Bull Salzburg,8,672,0,12,6.94
Chelsea,6,427,0,5,6.93
Manchester City,10,659,0,9,6.93
RB Leipzig,4,208,0,5,6.93
FC Barcelona,4,247,0,3,6.93
BSC Young Boys,5,420,0,8,6.92
Sheriff Tiraspol,6,530,0,11,6.92
Dynamo Kyiv,6,536,0,11,6.92
Benfica,8,501,0,7,6.91
Sporting CP,8,510,0,9,6.9
Zenit St. Petersburg,4,258,0,4,6.9
BSC Young Boys,6,505,0,12,6.9
Beşiktaş JK,1,17,0,0,6.9
Liverpool FC,2,180,0,1,6.9
Milan,3,61,0,0,6.9
Manchester United,6,440,0,5,6.9
Juventus,7,536,0,9,6.9
FC Barcelona,6,523,0,9,6.88
Inter,7,287,0,3,6.88
Benfica,9,810,0,12,6.88
AFC Ajax,8,703,0,8,6.88
Shakhtar Donetsk,4,343,0,9,6.88
FC Bayern München,8,448,0,2,6.87
Paris Saint-Germain,6,333,0,4,6.87
BSC Young Boys,5,240,0,4,6.86
Benfica,10,863,0,16,6.86
Atlético Madrid,9,578,0,7,6.86
VfL Wolfsburg,5,201,0,3,6.85
FC Barcelona,2,158,0,4,6.85
Sevilla,4,228,0,4,6.85
Borussia Dortmund,6,471,0,10,6.85
Paris Saint-Germain,7,406,0,8,6.84
FC Porto,6,320,0,5,6.84
Manchester United,5,400,0,6,6.84
Sevilla,6,463,0,4,6.83
Dynamo Kyiv,6,324,0,6,6.83
Borussia Dortmund,3,126,0,2,6.83
RB Leipzig,3,270,0,3,6.83
FC Porto,6,450,0,4,6.83
Zenit St. Petersburg,6,540,0,10,6.83
Atalanta,5,210,0,7,6.83
RB Leipzig,5,432,0,11,6.82
Sevilla,5,322,0,3,6.82
Real Madrid,8,210,0,1,6.82
Villarreal,6,524,0,7,6.82
AFC Ajax,7,558,0,6,6.81
Paris Saint-Germain,5,261,0,3,6.8
Club Brugge KV,6,417,0,12,6.8
Villarreal,9,330,0,2,6.8
Atalanta,2,33,0,2,6.8
Sporting CP,1,9,0,0,6.8
FC Porto,1,11,0,0,6.8
BSC Young Boys,1,10,0,0,6.8
AFC Ajax,2,24,0,0,6.8
Lille,2,22,0,0,6.8
Milan,4,252,0,3,6.8
Shakhtar Donetsk,5,322,0,4,6.8
Club Brugge KV,5,407,0,14,6.8
Juventus,6,264,0,5,6.8
Sporting CP,6,534,0,13,6.78
Milan,6,333,0,6,6.78
Liverpool FC,10,487,0,10,6.78
Paris Saint-Germain,5,315,0,4,6.78
Beşiktaş JK,5,442,0,17,6.78
Atalanta,4,211,0,6,6.78
Sheriff Tiraspol,5,101,0,0,6.78
Manchester United,4,210,0,1,6.78
Villarreal,10,645,0,10,6.77
Real Madrid,10,303,0,4,6.76
AFC Ajax,7,230,0,2,6.76
Manchester City,3,39,0,1,6.75
RB Leipzig,2,88,0,4,6.75
Shakhtar Donetsk,2,84,0,0,6.75
Atlético Madrid,4,226,0,1,6.75
Sheriff Tiraspol,6,540,0,11,6.75
Beşiktaş JK,5,109,0,3,6.74
Borussia Dortmund,5,171,0,1,6.74
Atlético Madrid,8,377,0,4,6.74
Atalanta,6,484,0,12,6.73
Sheriff Tiraspol,6,492,0,9,6.73
Lille,7,630,0,8,6.73
Sporting CP,5,134,0,4,6.73
Milan,5,352,0,6,6.72
Atalanta,5,218,0,4,6.72
Milan,6,375,0,5,6.72
Zenit St. Petersburg,4,292,0,6,6.7
Villarreal,8,462,0,6,6.7
Liverpool FC,1,59,0,0,6.7
Real Madrid,1,9,0,0,6.7
Shakhtar Donetsk,2,55,0,0,6.7
FC Bayern München,2,23,0,0,6.7
Malmö FF,2,89,0,1,6.7
Inter,2,17,0,0,6.7
Beşiktaş JK,2,55,0,0,6.7
Lille,3,29,0,0,6.7
FC Bayern München,4,78,0,2,6.7
Sevilla,4,200,0,2,6.7
Juventus,6,387,0,7,6.7
Shakhtar Donetsk,6,540,0,12,6.7
Lille,8,265,0,4,6.7
Atlético Madrid,9,665,0,8,6.69
Milan,6,445,0,4,6.68
Dynamo Kyiv,6,375,0,9,6.68
Dynamo Kyiv,5,436,0,6,6.68
Club Brugge KV,4,156,0,7,6.68
Liverpool FC,4,214,0,2,6.68
FC Barcelona,5,219,0,4,6.68
Benfica,5,44,0,1,6.68
Sevilla,6,327,0,3,6.67
Paris Saint-Germain,4,148,0,3,6.67
Club Brugge KV,3,55,0,3,6.67
Lille,7,444,0,6,6.66
Juventus,5,80,0,2,6.65
Red Bull Salzburg,8,517,0,10,6.65
Inter,5,197,0,0,6.65
Villarreal,6,222,0,5,6.65
Juventus,2,20,0,0,6.65
Inter,5,66,0,1,6.65
Malmö FF,5,88,0,1,6.65
Shakhtar Donetsk,5,255,0,9,6.64
Beşiktaş JK,3,261,0,11,6.63
Manchester United,8,194,0,2,6.63
Lille,4,56,0,1,6.63
Malmö FF,4,328,0,12,6.63
Benfica,9,703,0,8,6.62
Lille,5,255,0,4,6.62
Dynamo Kyiv,6,490,0,9,6.62
Red Bull Salzburg,8,715,0,14,6.61
FC Porto,2,84,0,7,6.6
Atalanta,6,405,0,8,6.6
Inter,7,467,0,6,6.6
FC Barcelona,1,17,0,0,6.6
Manchester United,1,8,0,0,6.6
Beşiktaş JK,1,90,0,2,6.6
Sevilla,1,22,0,0,6.6
BSC Young Boys,1,13,0,0,6.6
Manchester United,2,67,0,1,6.6
FC Barcelona,3,169,0,5,6.6
RB Leipzig,3,64,0,2,6.6
VfL Wolfsburg,4,337,0,8,6.6
Sevilla,4,168,0,2,6.6
Zenit St. Petersburg,5,156,0,4,6.6
Benfica,6,115,0,0,6.58
Zenit St. Petersburg,6,80,0,3,6.58
Manchester United,7,399,0,3,6.57
Dynamo Kyiv,3,93,0,0,6.57
VfL Wolfsburg,6,296,0,7,6.57
Shakhtar Donetsk,6,208,0,6,6.57
BSC Young Boys,6,271,0,8,6.55
Milan,2,117,0,3,6.55
Sporting CP,7,218,0,8,6.55
Malmö FF,2,122,0,1,6.55
Dynamo Kyiv,2,99,0,5,6.55
FC Porto,4,289,0,4,6.55
Shakhtar Donetsk,4,226,0,3,6.55
Beşiktaş JK,4,219,0,7,6.55
Manchester United,6,347,0,6,6.55
Liverpool FC,8,229,0,3,6.54
Beşiktaş JK,5,345,0,12,6.54
Malmö FF,3,222,0,5,6.53
Red Bull Salzburg,4,49,0,3,6.53
BSC Young Boys,3,269,0,6,6.53
Real Madrid,5,43,0,0,6.53
Benfica,9,543,0,14,6.53
FC Porto,4,212,0,7,6.53
Beşiktaş JK,4,83,0,1,6.53
AFC Ajax,5,76,0,1,6.53
FC Porto,6,217,0,7,6.52
Malmö FF,6,496,0,12,6.52
Juventus,1,9,0,0,6.5
Paris Saint-Germain,1,10,0,0,6.5
Manchester United,1,8,0,0,6.5
Dynamo Kyiv,1,9,0,0,6.5
Borussia Dortmund,2,60,0,3,6.5
Zenit St. Petersburg,2,20,0,0,6.5
AFC Ajax,3,43,0,1,6.5
Benfica,6,162,0,6,6.5
Zenit St. Petersburg,6,108,0,2,6.48
FC Bayern München,5,133,0,1,6.48
FC Barcelona,4,108,0,3,6.48
Inter,4,134,0,2,6.48
Beşiktaş JK,4,156,0,6,6.48
Malmö FF,5,283,0,7,6.46
Club Brugge KV,4,332,0,10,6.45
Lille,5,407,0,4,6.44
Sheriff Tiraspol,5,358,0,8,6.44
FC Barcelona,6,398,0,6,6.43
Shakhtar Donetsk,6,179,0,4,6.43
Benfica,9,347,0,9,6.43
Milan,5,321,0,5,6.4
Lille,1,13,0,0,6.4
Atlético Madrid,1,15,0,0,6.4
Villarreal,1,10,0,0,6.4
VfL Wolfsburg,2,35,0,2,6.4
Atalanta,3,56,0,3,6.4
Malmö FF,6,273,0,8,6.4
RB Leipzig,5,293,0,12,6.38
Sporting CP,4,213,0,6,6.38
Benfica,1,31,0,0,6.3
Red Bull Salzburg,1,23,0,2,6.3
Benfica,3,155,0,6,6.3
Club Brugge KV,5,298,0,10,6.3
Benfica,5,131,0,6,6.28
Dynamo Kyiv,3,91,0,2,6.27
Sheriff Tiraspol,6,406,0,10,6.23
BSC Young Boys,1,12,0,0,6.2
Dynamo Kyiv,2,54,0,3,6.2
Club Brugge KV,1,57,0,3,5.7
Juventus,1,1,0,0,0.0
Benfica,1,1,0,0,0.0
Club Brugge KV,1,1,0,0,0.0
Liverpool FC,1,1,0,0,0.0
Sheriff Tiraspol,1,1,0,0,0.0
Real Madrid,12,1106,0,13,8.08
RB Leipzig,6,531,0,13,7.87
FC Bayern München,10,876,0,7,7.84
Paris Saint-Germain,7,630,0,9,7.8
AFC Ajax,8,668,0,7,7.78
Juventus,5,254,0,4,7.6
Manchester United,7,611,0,8,7.54
Juventus,4,337,0,5,7.53
Chelsea,5,245,0,4,7.52
Paris Saint-Germain,8,673,0,11,7.41
AFC Ajax,8,629,0,8,7.4
Sporting CP,1,32,0,0,7.4
Real Madrid,11,504,0,6,7.27
Real Madrid,13,1199,0,13,7.27
Milan,2,115,0,2,7.25
AFC Ajax,7,630,0,6,7.24
Borussia Dortmund,6,392,0,7,7.18
Atalanta,4,249,0,6,7.18
Manchester City,8,352,0,3,7.16
Atlético Madrid,9,518,0,4,7.16
FC Barcelona,6,525,0,9,7.13
Inter,7,541,0,5,7.13
Chelsea,7,538,0,8,7.13
Manchester United,4,304,0,5,7.13
Lille,6,469,0,5,7.12
Villarreal,7,524,0,8,7.09
Atalanta,6,464,0,11,7.08
Benfica,10,613,0,11,7.06
Juventus,7,521,0,8,7.04
Paris Saint-Germain,6,467,0,8,7.02
Borussia Dortmund,3,203,0,4,7.0
Lille,5,298,0,1,7.0
Club Brugge KV,6,500,0,17,6.98
Zenit St. Petersburg,5,304,0,8,6.98
Inter,8,587,0,2,6.98
Club Brugge KV,6,528,0,19,6.97
Lille,7,530,0,4,6.93
Red Bull Salzburg,8,610,0,11,6.93
VfL Wolfsburg,5,258,0,4,6.9
Liverpool FC,7,185,0,3,6.9
Juventus,2,180,0,4,6.9
Villarreal,3,73,0,0,6.9
Sheriff Tiraspol,3,155,0,1,6.9
Villarreal,11,906,0,12,6.89
BSC Young Boys,6,341,0,7,6.88
BSC Young Boys,6,489,0,10,6.88
VfL Wolfsburg,5,322,0,7,6.88
Sporting CP,8,583,0,13,6.88
Lille,8,679,0,8,6.88
Sporting CP,4,205,0,4,6.88
Chelsea,7,368,0,6,6.87
Red Bull Salzburg,6,345,0,3,6.87
FC Bayern München,4,49,0,1,6.87
Shakhtar Donetsk,5,350,0,10,6.86
RB Leipzig,6,410,0,10,6.85
Sevilla,6,272,0,3,6.85
Real Madrid,3,83,0,2,6.83
Chelsea,6,320,0,3,6.82
Manchester City,12,584,0,6,6.81
Chelsea,9,672,0,8,6.8
Benfica,10,515,0,8,6.8
Manchester United,3,172,0,2,6.8
Atalanta,5,133,0,2,6.8
Borussia Dortmund,5,395,0,10,6.78
Atlético Madrid,8,573,0,6,6.78
RB Leipzig,4,152,0,4,6.78
Villarreal,7,432,0,3,6.77
Beşiktaş JK,3,184,0,5,6.77
AFC Ajax,2,56,0,1,6.75
VfL Wolfsburg,2,90,0,1,6.75
FC Porto,4,313,0,6,6.75
AFC Ajax,5,203,0,2,6.74
Sheriff Tiraspol,3,206,0,2,6.73
FC Barcelona,3,122,0,3,6.73
Milan,4,294,0,4,6.7
Inter,6,155,0,4,6.7
FC Porto,6,496,0,8,6.7
Manchester United,1,22,0,0,6.7
VfL Wolfsburg,5,398,0,7,6.68
FC Barcelona,3,154,0,2,6.67
Zenit St. Petersburg,6,276,0,3,6.65
Benfica,7,374,0,10,6.64
Manchester United,5,258,0,5,6.64
AFC Ajax,5,115,0,2,6.64
Club Brugge KV,3,68,0,6,6.63
Red Bull Salzburg,6,233,0,5,6.63
Red Bull Salzburg,8,241,0,6,6.61
Atlético Madrid,10,400,0,7,6.61
Manchester City,1,72,0,2,6.6
Manchester United,1,68,0,1,6.6
Club Brugge KV,1,8,0,1,6.6
Shakhtar Donetsk,2,101,0,2,6.6
Sporting CP,3,79,0,3,6.6
Beşiktaş JK,5,383,0,14,6.6
BSC Young Boys,5,75,0,3,6.6
Malmö FF,6,501,0,12,6.6
Villarreal,9,282,0,6,6.59
Manchester United,4,74,0,0,6.58
Atlético Madrid,7,347,0,3,6.57
Real Madrid,3,113,0,1,6.57
FC Barcelona,3,105,0,1,6.57
Milan,5,261,0,4,6.56
Milan,4,160,0,3,6.55
Sevilla,4,204,0,1,6.55
Juventus,6,172,0,2,6.53
VfL Wolfsburg,3,119,0,3,6.53
FC Porto,6,152,0,4,6.53
