name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Henrikh Mkhitaryan,,henrikh-mkhitaryan,H. Mkhitaryan,M,22,9162,M,37151,"{'nameTranslation': {'ar': 'هنريك مخيتاريان', 'bn': 'হেনরিখ মাখিতারিয়ান', 'hi': 'हेनरिख मखितार्यन'}, 'shortNameTranslation': {'ar': 'ه. مخيتاريان', 'bn': 'এইচ. মখিতারিয়ান', 'hi': 'एच. मखितार्यन'}}",micki_taryan,,50.420454545455,67.353409090909,88,Inter,1741723200_inter_vs_feyenoord
Hakan Çalhanoğlu,,hakan-calhanoglu,H. Çalhanoğlu,M,20,35030,M,135700,"{'nameTranslation': {'ar': 'هاكان تشالهانوجلو', 'bn': 'হাকান চালহানোগলু', 'hi': 'हकान चाल्हानोग्लू'}, 'shortNameTranslation': {'ar': 'ه. تشالهانوجلو', 'bn': 'এইচ. চালহানোগলু', 'hi': 'एच. चाल्हानोग्लू'}}",HÇalhanoğlu,,40.213043478261,53.157971014493,69,Inter,1741723200_inter_vs_feyenoord
Yann Bisseck,Yann,yann-bisseck,Y. Bisseck,D,31,5867,M,906275,"{'nameTranslation': {'ar': 'يان بيسيك', 'bn': 'ইয়ান বিসেক', 'hi': 'यान बिस्सेक'}, 'shortNameTranslation': {'ar': 'ي. بيسيك', 'bn': 'ওয়াই. বিসেক', 'hi': 'वाई. बिस्सेक'}}",,Bisseck,31.978481012658,72.813924050633,79,Inter,1741723200_inter_vs_feyenoord
Zepiqueno Redmond,Zepiqueno Redmond,zepiqueno-redmond,Z. Redmond,F,29,694,M,1384488,"{'nameTranslation': {'ar': 'زيبيكينو ريدموند'}, 'shortNameTranslation': {'ar': 'ز. ريدموند'}}",,,54.275,40.925,4,Feyenoord,1741723200_inter_vs_feyenoord
Jeyland Mitchell,,jeyland-mitchell,J. Mitchell,D,2,1959,M,1099285,"{'nameTranslation': {'ar': 'جيلاند ميتشل', 'bn': 'জেল্যান্ড মিচেল', 'hi': 'जेलैंड मिशेल'}, 'shortNameTranslation': {'ar': 'ج. ميتشل', 'bn': 'জে. মিচেল', 'hi': 'जे. मिशेल'}}",,,60.6,10.945454545455,11,Feyenoord,1741723200_inter_vs_feyenoord
Aymen Sliti,,aymen-sliti,A. Sliti,M,32,978,M,1479467,"{'nameTranslation': {'ar': 'أيمن سليتي'}, 'shortNameTranslation': {'ar': 'أ. سليتي'}}",,,55.026315789474,76.357894736842,19,Feyenoord,1741723200_inter_vs_feyenoord
Gernot Trauner,Gernot,gernot-trauner,G. Trauner,D,18,602,M,121588,"{'nameTranslation': {'ar': 'غيرنوت تراونر', 'bn': 'গের্নট ট্রানার', 'hi': 'गर्नोट ट्राउनर'}, 'shortNameTranslation': {'ar': 'غ. تراونر', 'bn': 'জি. ট্রানার', 'hi': 'जी. ट्राउनर'}}",,Trauner,41.379411764706,32.123529411765,34,Feyenoord,1741723200_inter_vs_feyenoord
Jakub Moder,Jakub,jakub-moder,J. Moder,M,7,7425,M,886242,"{'nameTranslation': {'ar': 'جاكوب مودر', 'bn': 'জাকুব মডার', 'hi': 'जकूब मोडेर'}, 'shortNameTranslation': {'ar': 'ج. مودير', 'bn': 'জে মডার', 'hi': 'जे. मोडेर'}}",kubamoder,Moder,53.650877192982,62.694736842105,57,Feyenoord,1741723200_inter_vs_feyenoord
Anis Hadj Moussa,,anis-hadj-moussa,A. H. Moussa,M,23,25131,M,1218066,"{'nameTranslation': {'ar': 'أنيس حاج موسى', 'bn': 'আনিস হাজ মুসা', 'hi': 'अनीस हज़ मूसा'}, 'shortNameTranslation': {'ar': 'أ. ح. موسى', 'bn': 'এ.এইচ. মুসা', 'hi': 'ए. एच. मूसा'}}",hadj.a20,,75.742553191489,18.068085106383,47,Feyenoord,1741723200_inter_vs_feyenoord
Luka Ivanušec,Luka,luka-ivanusec,L. Ivanušec,M,18,3293,M,822462,"{'nameTranslation': {'ar': 'لوكا إيفانوشتس', 'bn': 'লুকা ইভানুশেক', 'hi': 'लुका इवानुसेक'}, 'shortNameTranslation': {'ar': 'ل. إيفانوشتس', 'bn': 'এল. ইভানুশেক', 'hi': 'एल. इवानुसेक'}}",LukaIvanusec,Ivanusec,62.485714285714,51.37380952381,42,Feyenoord,1741723200_inter_vs_feyenoord
Hugo Bueno,,hugo-bueno,H. Bueno,D,3,1238,M,1013928,"{'nameTranslation': {'ar': 'هوغو بوينو', 'bn': 'হুগো বুয়েনো', 'hi': 'ह्यूगो ब्यूनो'}, 'shortNameTranslation': {'ar': 'ه. بوينو', 'bn': 'এইচ. বুয়েনো', 'hi': 'एच. ब्यूनो'}}",,,52.20625,84.1984375,64,Feyenoord,1741723200_inter_vs_feyenoord
Timon Wellenreuther,Timon,timon-wellenreuther,T. Wellenreuther,G,22,600,M,253875,"{'nameTranslation': {'ar': 'تيمون ويلنرثر', 'bn': 'টিমন ওয়েলেনরেউথার', 'hi': 'टिमोन वेलेनरेउथर'}, 'shortNameTranslation': {'ar': 'ت. ويلنرثر', 'bn': 'টি. ওয়েলেনরিউথার', 'hi': 'टी. वेलेनरेउथर'}}",,Wellenreuther,12.7,50.187719298246,57,Feyenoord,1741723200_inter_vs_feyenoord
Julián Carranza,,julian-carranza,J. Carranza,F,21,1448,M,895591,"{'nameTranslation': {'ar': 'جوليان كارانزا', 'bn': 'জুলিয়ান ক্যারাঞ্জা', 'hi': 'जूलियन कैरान्ज़ा'}, 'shortNameTranslation': {'ar': 'ج. كارانزا', 'bn': 'জে. ক্যারাঞ্জা', 'hi': 'जे. कैरान्ज़ा'}}",,,61.0,55.890909090909,11,Feyenoord,1741723200_inter_vs_feyenoord
Gijs Smal,,gijs-smal,G. Smal,D,5,343,M,860160,"{'nameTranslation': {'ar': 'غيس سمول'}, 'shortNameTranslation': {'ar': 'غ. سمول'}}",,,49.108620689655,42.577586206897,58,Feyenoord,1741723200_inter_vs_feyenoord
Dávid Hancko,David,david-hancko,D. Hancko,D,17,5417,M,807771,"{'nameTranslation': {'ar': 'دافيد هانكو', 'bn': 'ডেভিড হ্যানকো', 'hi': 'डेविड हैन्को'}, 'shortNameTranslation': {'ar': 'د. هانكو', 'bn': 'ডি. হানকো', 'hi': 'डी. हैन्को'}}",,Hancko,42.034246575342,72.572602739726,73,Feyenoord,1741723200_inter_vs_feyenoord
Ayase Ueda,,ueda-ayase,A. Ueda,F,9,8304,M,985823,"{'nameTranslation': {'ar': 'أويدا، آياسي', 'bn': 'উয়েদা, আয়াস', 'hi': 'उएदा, अयासे'}, 'shortNameTranslation': {'ar': 'آ. أويدا', 'bn': 'এ. উয়েদা', 'hi': 'ए. उएदा'}}",bee18,,62.769230769231,44.523076923077,13,Feyenoord,1741723200_inter_vs_feyenoord
Givairo Read,,givairo-read,G. Read,D,26,2031,M,1388535,"{'nameTranslation': {'ar': 'جيفايرو ريد'}, 'shortNameTranslation': {'ar': 'ج. ريد'}}",,,48.81038961039,19.107792207792,77,Feyenoord,1741723200_inter_vs_feyenoord
Thomas Beelen,,thomas-beelen,T. Beelen,D,3,424,M,1127916,"{'nameTranslation': {'ar': 'توماس بيلين', 'bn': 'টমাস বিলেন', 'hi': 'थॉमस बीलेन'}, 'shortNameTranslation': {'ar': 'ت. بيلين', 'bn': 'টি. বেলেন', 'hi': 'टी. बीलेन'}}",,,35.196428571429,46.672619047619,84,Feyenoord,1741723200_inter_vs_feyenoord
