season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Yellow Cards,2023-12-03,168
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-03,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-03,280
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-03,273
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-06,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-06,280
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-06,273
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-09,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-09,280
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-09,273
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-17,65
2023-2024,47522,Douglas Luiz,Aston Villa,Missing Fixture,Yellow Cards,2023-12-17,126
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-17,280
2023-2024,2724,L. Digne,Aston Villa,Missing Fixture,Yellow Cards,2023-12-17,13
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-17,273
2023-2024,2926,Y. Tielemans,Aston Villa,Questionable,Knock,2023-12-17,0
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Red Card,2023-12-22,168
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-22,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-22,280
2023-2024,46815,P. Torres,Aston Villa,Questionable,Injury,2023-12-22,0
2023-2024,766,R. Olsen,Aston Villa,Missing Fixture,Knock,2023-12-22,7
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-22,273
2023-2024,2926,Y. Tielemans,Aston Villa,Questionable,Knock,2023-12-22,0
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Red Card,2023-12-26,168
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-26,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-26,280
2023-2024,19298,M. Cash,Aston Villa,Missing Fixture,Yellow Cards,2023-12-26,144
2023-2024,766,R. Olsen,Aston Villa,Missing Fixture,Knock,2023-12-26,7
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-26,273
2023-2024,2926,Y. Tielemans,Aston Villa,Missing Fixture,Knock,2023-12-26,3
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Red Card,2023-12-30,168
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,Muscle Injury,2023-12-30,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2023-12-30,280
2023-2024,2724,L. Digne,Aston Villa,Missing Fixture,Thigh Injury,2023-12-30,13
2023-2024,766,R. Olsen,Aston Villa,Missing Fixture,Knock,2023-12-30,7
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2023-12-30,273
2023-2024,2926,Y. Tielemans,Aston Villa,Missing Fixture,Knock,2023-12-30,3
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,National selection,2024-01-14,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-01-14,280
2023-2024,2724,L. Digne,Aston Villa,Questionable,Thigh Injury,2024-01-14,0
2023-2024,46815,P. Torres,Aston Villa,Questionable,Ankle Injury,2024-01-14,0
2023-2024,766,R. Olsen,Aston Villa,Questionable,Knock,2024-01-14,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-01-14,273
2023-2024,671,B. Traore,Aston Villa,Missing Fixture,National selection,2024-01-30,65
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-01-30,280
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-01-30,31
2023-2024,2724,L. Digne,Aston Villa,Questionable,Thigh Injury,2024-01-30,0
2023-2024,46815,P. Torres,Aston Villa,Questionable,Ankle Injury,2024-01-30,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-01-30,273
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-02-03,280
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-02-03,31
2023-2024,7029,J. Gauci,Aston Villa,Missing Fixture,International duty,2024-02-03,0
2023-2024,2724,L. Digne,Aston Villa,Questionable,Thigh Injury,2024-02-03,0
2023-2024,786,N. Zaniolo,Aston Villa,Questionable,Injury,2024-02-03,0
2023-2024,46815,P. Torres,Aston Villa,Questionable,Ankle Injury,2024-02-03,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-02-03,273
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-02-11,280
2023-2024,19354,E. Konsa,Aston Villa,Missing Fixture,Knee Injury,2024-02-11,12
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-02-11,31
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-02-11,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-02-17,168
2023-2024,21090,Diego Carlos,Aston Villa,Missing Fixture,Muscle Injury,2024-02-17,14
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-02-17,280
2023-2024,19354,E. Konsa,Aston Villa,Missing Fixture,Knee Injury,2024-02-17,12
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-02-17,31
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-02-17,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-02-24,168
2023-2024,21090,Diego Carlos,Aston Villa,Missing Fixture,Muscle Injury,2024-02-24,14
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-02-24,280
2023-2024,19354,E. Konsa,Aston Villa,Missing Fixture,Knee Injury,2024-02-24,12
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-02-24,31
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-02-24,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-03-02,168
2023-2024,21090,Diego Carlos,Aston Villa,Missing Fixture,Muscle Injury,2024-03-02,14
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-03-02,280
2023-2024,13489,J. Duran,Aston Villa,Missing Fixture,Injury,2024-03-02,31
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-03-02,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-03-10,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-03-10,280
2023-2024,19192,J. Ramsey,Aston Villa,Questionable,Ankle Injury,2024-03-10,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-03-10,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-03-17,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-03-17,280
2023-2024,19191,J. McGinn,Aston Villa,Missing Fixture,Red Card,2024-03-17,0
2023-2024,19192,J. Ramsey,Aston Villa,Questionable,Ankle Injury,2024-03-17,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-03-17,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-03-30,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-03-30,280
2023-2024,19192,J. Ramsey,Aston Villa,Questionable,Ankle Injury,2024-03-30,0
2023-2024,19298,M. Cash,Aston Villa,Missing Fixture,Hamstring Injury,2024-03-30,144
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-03-30,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-04-03,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-04-03,280
2023-2024,19192,J. Ramsey,Aston Villa,Questionable,Ankle Injury,2024-04-03,0
2023-2024,19298,M. Cash,Aston Villa,Missing Fixture,Hamstring Injury,2024-04-03,144
2023-2024,19366,O. Watkins,Aston Villa,Missing Fixture,Thigh Injury,2024-04-03,0
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-04-03,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-04-06,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-04-06,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-04-06,43
2023-2024,19298,M. Cash,Aston Villa,Missing Fixture,Hamstring Injury,2024-04-06,144
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-04-06,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-04-14,168
2023-2024,47522,Douglas Luiz,Aston Villa,Missing Fixture,Yellow Cards,2024-04-14,126
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-04-14,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-04-14,43
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-04-14,273
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Calf Injury,2024-04-21,202
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-04-21,168
2023-2024,47522,Douglas Luiz,Aston Villa,Missing Fixture,Yellow Cards,2024-04-21,126
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-04-21,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-04-21,43
2023-2024,786,N. Zaniolo,Aston Villa,Missing Fixture,Muscle Injury,2024-04-21,28
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-04-21,273
2023-2024,47547,A. Moreno,Aston Villa,Missing Fixture,Calf Injury,2024-04-27,202
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-04-27,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-04-27,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-04-27,43
2023-2024,786,N. Zaniolo,Aston Villa,Missing Fixture,Muscle Injury,2024-04-27,28
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-04-27,273
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-05-05,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-05-05,280
2023-2024,19599,E. Martinez,Aston Villa,Questionable,Thigh Injury,2024-05-05,0
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-05-05,43
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-05-05,273
2023-2024,2926,Y. Tielemans,Aston Villa,Questionable,Injury,2024-05-05,0
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Injury,2024-05-13,0
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-05-13,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-05-13,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-05-13,43
2023-2024,19170,M. Rogers,Aston Villa,Missing Fixture,Thigh Injury,2024-05-13,5
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-05-13,273
2023-2024,47547,A. Moreno,Aston Villa,Questionable,Injury,2024-05-19,0
2023-2024,1904,B. Kamara,Aston Villa,Missing Fixture,Knee Injury,2024-05-19,168
2023-2024,19071,E. Buendia,Aston Villa,Missing Fixture,Knee Injury,2024-05-19,280
2023-2024,19192,J. Ramsey,Aston Villa,Missing Fixture,Foot Injury,2024-05-19,43
2023-2024,19298,M. Cash,Aston Villa,Missing Fixture,Calf Injury,2024-05-19,144
2023-2024,19170,M. Rogers,Aston Villa,Missing Fixture,Thigh Injury,2024-05-19,5
2023-2024,786,N. Zaniolo,Aston Villa,Missing Fixture,Leg Injury,2024-05-19,28
2023-2024,19179,T. Mings,Aston Villa,Missing Fixture,Knee Injury,2024-05-19,273
2023-2024,2926,Y. Tielemans,Aston Villa,Missing Fixture,Muscle Injury,2024-05-19,0
