season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-27,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2023-12-27,91
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Red Card,2023-12-27,143
2023-2024,15799,F. Onyeka,Brentford,Missing Fixture,Yellow Cards,2023-12-27,44
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-27,139
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Thigh Injury,2023-12-27,154
2023-2024,1119,K. Ajer,Brentford,Missing Fixture,Ankle Injury,2023-12-27,23
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-27,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-27,238
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2023-12-30,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2023-12-30,91
2023-2024,18917,B. Mee,Brentford,Missing Fixture,Red Card,2023-12-30,143
2023-2024,19974,I. Toney,Brentford,Missing Fixture,Suspended,2023-12-30,139
2023-2024,19362,J. Dasilva,Brentford,Missing Fixture,Thigh Injury,2023-12-30,154
2023-2024,1119,K. Ajer,Brentford,Missing Fixture,Ankle Injury,2023-12-30,23
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2023-12-30,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2023-12-30,238
2023-2024,20110,S. Baptiste,Brentford,Questionable,Foot Injury,2023-12-30,0
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-01-20,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-01-20,91
2023-2024,30407,C. Norgaard,Brentford,Missing Fixture,Ankle Injury,2024-01-20,100
2023-2024,15799,F. Onyeka,Brentford,Missing Fixture,National selection,2024-01-20,44
2023-2024,178077,K. Schade,Brentford,Missing Fixture,Hip Injury,2024-01-20,185
2023-2024,19346,R. Henry,Brentford,Missing Fixture,Knee Injury,2024-01-20,238
2023-2024,2699,S. Ghoddos,Brentford,Missing Fixture,National selection,2024-01-20,16
2023-2024,20649,Y. Wissa,Brentford,Missing Fixture,National selection,2024-01-20,20
2023-2024,44871,A. Hickey,Brentford,Missing Fixture,Thigh Injury,2024-01-31,211
2023-2024,20589,B. Mbeumo,Brentford,Missing Fixture,Ankle Injury,2024-01-31,91
2023-2024,15799,F. Onyeka,Brentford,Missing Fixture,International duty,2024-01-31,44
