season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2022-12-30,167
2022-2023,2925,D. Praet,Leicester,Missing Fixture,Back Injury,2023-01-03,3
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2023-01-03,26
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-01-03,197
2022-2023,18784,J. Maddison,Leicester,Missing Fixture,Knee Injury,2023-01-03,14
2022-2023,1098,P. Daka,Leicester,Missing Fixture,Muscle Injury,2023-01-03,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-01-03,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2023-01-03,167
2022-2023,18906,A. Perez,Leicester,Questionable,Injury,2023-01-14,0
2022-2023,22233,B. Soumare,Leicester,Missing Fixture,Thigh Injury,2023-01-14,7
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2023-01-14,26
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-01-14,197
2022-2023,18784,J. Maddison,Leicester,Missing Fixture,Knee Injury,2023-01-14,14
2022-2023,148099,K. Dewsbury-Hall,Leicester,Questionable,Injury,2023-01-14,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-01-14,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2023-01-14,167
2022-2023,18906,A. Perez,Leicester,Questionable,Injury,2023-01-21,0
2022-2023,22233,B. Soumare,Leicester,Missing Fixture,Thigh Injury,2023-01-21,7
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2023-01-21,26
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-01-21,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-01-21,237
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Achilles Tendon Injury,2023-01-21,167
2022-2023,22233,B. Soumare,Leicester,Questionable,Thigh Injury,2023-02-04,0
2022-2023,18772,J. Evans,Leicester,Questionable,Muscle Injury,2023-02-04,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-02-04,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-02-04,237
2022-2023,18771,R. Pereira,Leicester,Questionable,Achilles Tendon Injury,2023-02-04,0
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Personal Reasons,2023-02-04,232
2022-2023,22233,B. Soumare,Leicester,Questionable,Thigh Injury,2023-02-11,0
2022-2023,18772,J. Evans,Leicester,Questionable,Muscle Injury,2023-02-11,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-02-11,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-02-11,237
2022-2023,18772,J. Evans,Leicester,Missing Fixture,Muscle Injury,2023-02-19,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-02-19,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-02-19,237
2022-2023,18772,J. Evans,Leicester,Questionable,Muscle Injury,2023-02-25,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-02-25,197
2022-2023,18784,J. Maddison,Leicester,Questionable,Knee Injury,2023-02-25,0
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-02-25,237
2022-2023,18772,J. Evans,Leicester,Questionable,Muscle Injury,2023-03-04,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-03-04,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-03-04,237
2022-2023,2926,Y. Tielemans,Leicester,Missing Fixture,Ankle Injury,2023-03-04,31
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-03-11,197
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-03-11,237
2022-2023,158710,V. Kristiansen,Leicester,Missing Fixture,Ankle Injury,2023-03-11,0
2022-2023,2926,Y. Tielemans,Leicester,Missing Fixture,Ankle Injury,2023-03-11,31
2022-2023,18772,J. Evans,Leicester,Questionable,Injury,2023-03-18,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-03-18,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Coach's decision,2023-03-18,71
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-03-18,237
2022-2023,158710,V. Kristiansen,Leicester,Questionable,Ankle Injury,2023-03-18,0
2022-2023,8694,W. Faes,Leicester,Missing Fixture,Red Card,2023-03-18,0
2022-2023,2926,Y. Tielemans,Leicester,Missing Fixture,Ankle Injury,2023-03-18,31
2022-2023,18772,J. Evans,Leicester,Questionable,Injury,2023-04-01,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-01,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Coach's decision,2023-04-01,71
2022-2023,18936,R. Bertrand,Leicester,Missing Fixture,Knee Injury,2023-04-01,237
2022-2023,2926,Y. Tielemans,Leicester,Missing Fixture,Ankle Injury,2023-04-01,31
2022-2023,18772,J. Evans,Leicester,Questionable,Injury,2023-04-04,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-04,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Coach's decision,2023-04-04,71
2022-2023,18936,R. Bertrand,Leicester,Questionable,Knee Injury,2023-04-04,0
2022-2023,2926,Y. Tielemans,Leicester,Missing Fixture,Ankle Injury,2023-04-04,31
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-08,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Coach's decision,2023-04-08,71
2022-2023,148099,K. Dewsbury-Hall,Leicester,Missing Fixture,Red Card,2023-04-08,0
2022-2023,18936,R. Bertrand,Leicester,Questionable,Knee Injury,2023-04-08,0
2022-2023,2926,Y. Tielemans,Leicester,Questionable,Ankle Injury,2023-04-08,0
2022-2023,18778,H. Barnes,Leicester,Questionable,Thigh Injury,2023-04-15,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-15,197
2022-2023,18936,R. Bertrand,Leicester,Questionable,Knee Injury,2023-04-15,0
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2023-04-15,10
2022-2023,18778,H. Barnes,Leicester,Questionable,Thigh Injury,2023-04-22,0
2022-2023,18772,J. Evans,Leicester,Questionable,Illness,2023-04-22,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-22,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-04-22,71
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-04-22,0
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2023-04-22,10
2022-2023,18772,J. Evans,Leicester,Questionable,Illness,2023-04-25,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-04-25,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-04-25,71
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-04-25,0
2022-2023,18771,R. Pereira,Leicester,Missing Fixture,Thigh Injury,2023-04-25,10
2022-2023,18772,J. Evans,Leicester,Questionable,Illness,2023-05-01,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-05-01,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-05-01,71
2022-2023,2778,K. Iheanacho,Leicester,Missing Fixture,Muscle Injury,2023-05-01,6
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-05-01,0
2022-2023,18771,R. Pereira,Leicester,Questionable,Thigh Injury,2023-05-01,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-05-08,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-05-08,71
2022-2023,2778,K. Iheanacho,Leicester,Missing Fixture,Muscle Injury,2023-05-08,6
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-05-08,0
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-05-15,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-05-15,71
2022-2023,2778,K. Iheanacho,Leicester,Questionable,Muscle Injury,2023-05-15,0
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-05-15,0
2022-2023,18776,C. Soyuncu,Leicester,Questionable,Thigh Injury,2023-05-22,0
2022-2023,18146,D. Ward,Leicester,Missing Fixture,Finger Injury,2023-05-22,5
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-05-22,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-05-22,71
2022-2023,148099,K. Dewsbury-Hall,Leicester,Questionable,Ankle Injury,2023-05-22,0
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-05-22,0
2022-2023,18776,C. Soyuncu,Leicester,Missing Fixture,Thigh Injury,2023-05-28,0
2022-2023,18146,D. Ward,Leicester,Missing Fixture,Finger Injury,2023-05-28,5
2022-2023,19760,J. Justin,Leicester,Missing Fixture,Knee Injury,2023-05-28,197
2022-2023,18943,J. Vestergaard,Leicester,Missing Fixture,Calf Injury,2023-05-28,71
2022-2023,18936,R. Bertrand,Leicester,Questionable,Lacking Match Fitness,2023-05-28,0
2022-2023,18786,W. Ndidi,Leicester,Missing Fixture,Thigh Injury,2023-05-28,232
