team,appearances,minutesPlayed,saves,goalsConceded,rating
FC Barcelona,1,35,0,0,6.6
Club Brugge KV,1,11,0,0,6.6
FC Krasnodar,1,72,0,1,6.6
Atalanta,2,19,0,0,6.6
Ferencváros TC,2,176,0,7,6.6
Ferencváros TC,2,180,0,5,6.6
Juventus,3,144,0,2,6.6
RB Leipzig,3,188,0,5,6.6
AFC Ajax,3,55,0,1,6.6
Stade Rennais,4,273,0,6,6.6
Dynamo Kyiv,4,354,0,9,6.6
Shakhtar Donetsk,4,296,0,8,6.6
Club Brugge KV,6,533,0,10,6.6
FC Barcelona,3,147,0,3,6.57
Dynamo Kyiv,6,540,0,13,6.57
Ferencváros TC,6,370,0,10,6.57
Red Bull Salzburg,6,540,0,17,6.57
Dynamo Kyiv,4,228,0,5,6.55
Manchester United,5,202,0,4,6.54
FC Barcelona,8,561,0,10,6.54
Stade Rennais,6,540,0,11,6.53
Atalanta,6,215,0,8,6.53
Ferencváros TC,6,540,0,17,6.53
Sevilla,4,221,0,5,6.53
Ferencváros TC,5,369,0,10,6.52
Olympiacos FC,5,430,0,8,6.52
FC Krasnodar,6,524,0,11,6.52
Red Bull Salzburg,1,90,0,2,6.5
Borussia M'gladbach,1,8,0,0,6.5
Olympiacos FC,2,21,0,1,6.5
Olympique de Marseille,2,103,0,3,6.5
Sevilla,3,199,0,4,6.5
Paris Saint-Germain,5,70,0,0,6.5
Olympique de Marseille,6,540,0,13,6.5
FC Krasnodar,5,293,0,9,6.48
Zenit St. Petersburg,4,281,0,5,6.48
RB Leipzig,2,180,0,4,6.45
Olympique de Marseille,6,540,0,13,6.45
FC Midtjylland,5,398,0,12,6.44
Olympiacos FC,6,540,0,10,6.43
Lazio,6,428,0,9,6.43
Paris Saint-Germain,5,220,0,4,6.42
Paris Saint-Germain,10,413,0,5,6.42
Red Bull Salzburg,6,512,0,16,6.42
Ferencváros TC,6,270,0,9,6.42
Shakhtar Donetsk,3,270,0,8,6.4
Başakşehir FK,1,10,0,0,6.4
Sevilla,3,185,0,6,6.4
Başakşehir FK,6,518,0,18,6.4
FC Midtjylland,6,476,0,10,6.4
Başakşehir FK,5,405,0,11,6.38
Atalanta,2,96,0,5,6.35
Lazio,5,325,0,8,6.34
Ferencváros TC,6,383,0,12,6.33
FC Bayern München,1,61,0,1,6.3
Atalanta,1,11,0,1,6.3
Manchester United,2,60,0,2,6.3
Olympique de Marseille,3,250,0,7,6.27
Borussia Dortmund,3,207,0,3,6.23
Başakşehir FK,3,111,0,8,6.23
Paris Saint-Germain,1,10,0,0,6.2
Shakhtar Donetsk,1,90,0,4,6.2
Lokomotiv Moscow,1,45,0,2,6.2
Stade Rennais,4,224,0,5,6.08
Red Bull Salzburg,4,43,0,5,6.05
Ferencváros TC,1,63,0,3,6.0
Stade Rennais,2,167,0,4,6.0
Başakşehir FK,4,189,0,10,6.0
Lazio,1,31,0,2,5.7
AFC Ajax,1,1,0,0,0.0
Lokomotiv Moscow,1,2,0,0,0.0
FC Bayern München,7,617,0,7,8.01
Juventus,6,551,0,5,7.82
Manchester United,6,439,0,9,7.8
Manchester City,8,669,0,4,7.64
Real Madrid,12,961,0,11,7.53
Manchester City,13,1066,0,4,7.44
Borussia M'gladbach,8,699,0,13,7.43
FC Barcelona,2,135,0,1,7.4
Borussia Dortmund,6,386,0,5,7.38
RB Leipzig,7,627,0,14,7.37
Borussia M'gladbach,8,539,0,7,7.35
Sevilla,4,280,0,5,7.35
Borussia Dortmund,5,362,0,4,7.35
AFC Ajax,4,358,0,5,7.33
Sevilla,8,542,0,11,7.31
Chelsea,1,80,0,1,7.3
Juventus,7,504,0,6,7.29
Liverpool FC,5,405,0,2,7.28
Manchester City,12,812,0,5,7.25
Club Brugge KV,6,532,0,10,7.25
Borussia Dortmund,7,444,0,2,7.23
FC Porto,8,737,0,7,7.23
Atalanta,4,136,0,4,7.23
Inter,5,371,0,6,7.22
Manchester City,12,977,0,5,7.22
Borussia Dortmund,6,492,0,7,7.22
FC Bayern München,7,549,0,7,7.2
Manchester United,5,429,0,6,7.2
Paris Saint-Germain,7,508,0,8,7.2
Lazio,6,480,0,10,7.2
Liverpool FC,8,554,0,4,7.2
Chelsea,7,345,0,0,7.17
Club Brugge KV,6,519,0,10,7.17
Sevilla,8,467,0,10,7.16
Real Madrid,10,828,0,10,7.15
Real Madrid,2,135,0,1,7.15
Real Madrid,12,911,0,10,7.14
Başakşehir FK,5,424,0,11,7.14
Red Bull Salzburg,6,463,0,12,7.13
FC Krasnodar,3,255,0,2,7.13
FC Bayern München,8,578,0,7,7.13
FC Bayern München,9,631,0,6,7.12
Olympique de Marseille,6,341,0,6,7.12
Manchester United,2,33,0,1,7.1
FC Bayern München,3,254,0,3,7.1
FC Barcelona,3,182,0,1,7.1
Stade Rennais,6,401,0,5,7.08
Liverpool FC,4,222,0,1,7.08
FC Bayern München,7,439,0,4,7.07
Borussia M'gladbach,8,539,0,9,7.07
Sevilla,6,280,0,5,7.07
Real Madrid,8,720,0,8,7.06
Juventus,7,475,0,5,7.06
Manchester City,10,785,0,4,7.05
FC Barcelona,7,585,0,10,7.04
Paris Saint-Germain,10,697,0,11,7.04
Atlético Madrid,5,298,0,8,7.04
Chelsea,10,349,0,2,7.03
FC Barcelona,3,126,0,0,7.03
Borussia Dortmund,10,692,0,12,7.02
Chelsea,12,1031,0,4,7.02
Real Madrid,7,489,0,8,7.01
FC Porto,9,706,0,2,7.01
Liverpool FC,10,778,0,5,7.0
Stade Rennais,5,371,0,7,7.0
Inter,4,107,0,1,7.0
Club Brugge KV,5,416,0,10,7.0
Paris Saint-Germain,8,673,0,9,6.99
Sevilla,7,405,0,10,6.99
Başakşehir FK,6,487,0,17,6.98
Başakşehir FK,6,524,0,18,6.98
Chelsea,10,604,0,1,6.98
Stade Rennais,4,331,0,6,6.98
Atalanta,7,567,0,5,6.97
Liverpool FC,10,724,0,5,6.97
RB Leipzig,6,427,0,10,6.97
Zenit St. Petersburg,4,139,0,5,6.97
FC Barcelona,6,335,0,4,6.97
Lokomotiv Moscow,6,459,0,8,6.95
Chelsea,2,99,0,1,6.95
Olympique de Marseille,6,443,0,10,6.95
FC Krasnodar,5,375,0,9,6.94
Liverpool FC,6,362,0,2,6.93
Atalanta,7,486,0,5,6.93
FC Barcelona,5,242,0,2,6.92
Real Madrid,11,620,0,11,6.92
Red Bull Salzburg,6,507,0,16,6.92
Liverpool FC,6,364,0,1,6.92
Borussia Dortmund,10,695,0,12,6.91
Lazio,5,245,0,4,6.9
FC Porto,9,746,0,8,6.9
AFC Ajax,6,529,0,6,6.9
Ferencváros TC,6,461,0,13,6.9
Dynamo Kyiv,6,328,0,6,6.9
Manchester City,1,9,0,0,6.9
Olympiacos FC,3,186,0,3,6.9
Stade Rennais,1,90,0,1,6.9
Manchester United,5,342,0,7,6.9
Olympiacos FC,6,529,0,10,6.9
Lazio,7,587,0,11,6.9
Paris Saint-Germain,10,544,0,6,6.9
Juventus,7,361,0,1,6.89
Inter,6,528,0,8,6.88
FC Midtjylland,4,328,0,7,6.88
Olympique de Marseille,4,181,0,1,6.88
Shakhtar Donetsk,4,280,0,4,6.88
Manchester City,7,346,0,0,6.87
FC Porto,9,748,0,6,6.87
Zenit St. Petersburg,6,500,0,12,6.87
FC Bayern München,6,227,0,2,6.86
Lazio,8,288,0,4,6.85
Atlético Madrid,8,664,0,10,6.85
Manchester City,13,930,0,4,6.85
FC Barcelona,7,495,0,9,6.84
Sevilla,7,276,0,1,6.84
Juventus,7,338,0,3,6.84
FC Porto,8,386,0,4,6.84
Dynamo Kyiv,5,430,0,9,6.84
FC Barcelona,8,495,0,5,6.84
Manchester United,4,222,0,4,6.83
Shakhtar Donetsk,4,291,0,5,6.83
Dynamo Kyiv,4,347,0,9,6.83
Ferencváros TC,5,328,0,12,6.82
Sevilla,7,496,0,8,6.82
Chelsea,13,708,0,3,6.82
Shakhtar Donetsk,6,369,0,11,6.8
Stade Rennais,1,20,0,1,6.8
Atalanta,3,29,0,1,6.8
Inter,4,173,0,3,6.8
Juventus,7,402,0,6,6.8
Manchester United,5,178,0,2,6.8
FC Krasnodar,4,289,0,4,6.8
FC Bayern München,6,360,0,4,6.8
Shakhtar Donetsk,6,365,0,7,6.8
Atlético Madrid,8,190,0,2,6.8
FC Barcelona,1,11,0,0,6.8
Lokomotiv Moscow,1,45,0,1,6.8
Dynamo Kyiv,3,122,0,4,6.8
AFC Ajax,4,124,0,2,6.8
FC Midtjylland,5,165,0,3,6.8
Sevilla,7,490,0,7,6.79
Atlético Madrid,6,461,0,5,6.78
FC Barcelona,4,86,0,1,6.78
Lokomotiv Moscow,4,360,0,5,6.78
Inter,6,252,0,4,6.77
Lazio,5,139,0,1,6.76
Lazio,5,356,0,8,6.76
Red Bull Salzburg,5,412,0,13,6.76
Ferencváros TC,5,219,0,5,6.76
Stade Rennais,5,422,0,10,6.76
Paris Saint-Germain,8,135,0,1,6.76
FC Midtjylland,6,451,0,10,6.75
Inter,4,255,0,5,6.75
Red Bull Salzburg,2,45,0,1,6.75
Manchester United,4,340,0,4,6.75
Borussia Dortmund,7,433,0,7,6.74
Borussia M'gladbach,7,625,0,11,6.74
Manchester United,6,277,0,5,6.74
Lokomotiv Moscow,6,157,0,3,6.74
FC Porto,6,177,0,4,6.73
Zenit St. Petersburg,3,244,0,8,6.73
FC Midtjylland,6,510,0,12,6.73
Olympiacos FC,6,418,0,6,6.73
FC Krasnodar,4,206,0,2,6.73
RB Leipzig,8,588,0,13,6.73
Zenit St. Petersburg,5,320,0,8,6.72
Ferencváros TC,5,82,0,3,6.72
Club Brugge KV,5,321,0,6,6.72
Başakşehir FK,6,446,0,13,6.72
Dynamo Kyiv,5,424,0,8,6.7
FC Porto,9,450,0,5,6.7
Başakşehir FK,4,232,0,8,6.7
FC Krasnodar,5,409,0,9,6.7
RB Leipzig,7,566,0,15,6.7
FC Porto,1,63,0,0,6.7
Manchester City,1,8,0,0,6.7
Lazio,1,22,0,0,6.7
Zenit St. Petersburg,2,56,0,1,6.7
Real Madrid,3,97,0,1,6.7
Liverpool FC,3,27,0,0,6.7
Club Brugge KV,3,27,0,0,6.7
Lokomotiv Moscow,4,359,0,5,6.7
Liverpool FC,9,327,0,1,6.7
Juventus,7,156,0,4,6.69
Paris Saint-Germain,5,267,0,5,6.68
Borussia M'gladbach,5,246,0,4,6.68
Zenit St. Petersburg,5,272,0,7,6.68
Borussia Dortmund,8,458,0,4,6.68
Dynamo Kyiv,4,355,0,6,6.68
Lokomotiv Moscow,3,103,0,3,6.67
Liverpool FC,9,720,0,4,6.67
FC Porto,10,762,0,9,6.66
Paris Saint-Germain,10,495,0,10,6.66
Red Bull Salzburg,3,43,0,5,6.65
Zenit St. Petersburg,2,31,0,0,6.65
Liverpool FC,4,145,0,2,6.65
Red Bull Salzburg,6,521,0,17,6.65
Sevilla,7,451,0,8,6.64
Dynamo Kyiv,6,288,0,9,6.64
Stade Rennais,3,40,0,1,6.63
AFC Ajax,4,89,0,2,6.63
Zenit St. Petersburg,6,447,0,7,6.63
Atlético Madrid,5,40,0,0,6.63
RB Leipzig,7,373,0,5,6.62
Olympiacos FC,6,288,0,5,6.62
AFC Ajax,6,455,0,5,6.62
RB Leipzig,7,466,0,8,6.6
FC Bayern München,6,233,0,3,6.6
RB Leipzig,7,141,0,7,6.6
AFC Ajax,1,9,0,0,6.6
FC Bayern München,2,22,0,0,6.6
FC Krasnodar,2,18,0,0,6.6
Shakhtar Donetsk,3,220,0,2,6.6
Başakşehir FK,3,110,0,1,6.6
Inter,4,289,0,6,6.6
Liverpool FC,4,189,0,1,6.6
Stade Rennais,4,130,0,2,6.6
Borussia M'gladbach,5,291,0,6,6.6
Stade Rennais,5,221,0,5,6.6
Dynamo Kyiv,5,156,0,3,6.6
Lokomotiv Moscow,5,391,0,5,6.6
Juventus,6,268,0,4,6.6
Ferencváros TC,6,468,0,14,6.6
FC Barcelona,7,333,0,4,6.59
Atalanta,6,472,0,4,6.58
Olympique de Marseille,5,387,0,9,6.58
Olympiacos FC,4,288,0,5,6.58
FC Midtjylland,4,101,0,4,6.58
Lazio,4,84,0,0,6.58
Shakhtar Donetsk,5,164,0,6,6.58
Atlético Madrid,3,36,0,0,6.57
Paris Saint-Germain,4,146,0,3,6.57
FC Midtjylland,4,48,0,2,6.57
Shakhtar Donetsk,6,540,0,12,6.57
RB Leipzig,6,286,0,8,6.57
Ferencváros TC,6,362,0,14,6.57
Borussia Dortmund,2,22,0,0,6.55
Atalanta,5,280,0,9,6.54
Sevilla,3,149,0,2,6.53
Stade Rennais,3,88,0,0,6.53
Shakhtar Donetsk,6,430,0,9,6.53
Shakhtar Donetsk,4,244,0,7,6.53
Club Brugge KV,4,238,0,4,6.53
Olympiacos FC,4,238,0,3,6.53
Olympique de Marseille,6,232,0,9,6.52
Atalanta,7,525,0,8,6.51
Zenit St. Petersburg,5,243,0,7,6.5
Manchester City,1,8,0,0,6.5
FC Barcelona,1,17,0,0,6.5
Juventus,1,14,0,1,6.5
FC Bayern München,2,156,0,0,6.5
FC Porto,3,67,0,0,6.5
Lazio,4,147,0,3,6.5
FC Krasnodar,4,233,0,6,6.5
Dynamo Kyiv,4,36,0,1,6.5
Liverpool FC,5,155,0,0,6.5
AFC Ajax,5,182,0,1,6.5
Olympique de Marseille,6,370,0,9,6.48
Dynamo Kyiv,4,265,0,8,6.48
Borussia M'gladbach,7,81,0,2,6.46
Lazio,2,104,0,3,6.45
Red Bull Salzburg,3,41,0,1,6.45
Stade Rennais,4,214,0,4,6.45
FC Porto,4,70,0,0,6.43
Ferencváros TC,5,391,0,10,6.42
Atalanta,1,9,0,0,6.4
Başakşehir FK,1,30,0,2,6.4
Olympique de Marseille,2,92,0,3,6.4
Borussia M'gladbach,2,17,0,0,6.4
Dynamo Kyiv,2,12,0,2,6.4
Zenit St. Petersburg,2,180,0,5,6.4
Olympique de Marseille,3,34,0,3,6.4
Olympiacos FC,4,39,0,2,6.4
Borussia Dortmund,5,118,0,4,6.4
Olympique de Marseille,3,97,0,3,6.37
FC Krasnodar,2,39,0,2,6.35
Başakşehir FK,5,83,0,3,6.34
Shakhtar Donetsk,1,10,0,0,6.3
Inter,1,12,0,0,6.3
Başakşehir FK,3,116,0,6,6.3
Zenit St. Petersburg,5,196,0,9,6.3
Zenit St. Petersburg,4,158,0,5,6.28
Club Brugge KV,5,312,0,7,6.28
Olympique de Marseille,4,36,0,2,6.27
Ferencváros TC,5,392,0,15,6.26
Real Madrid,2,30,0,0,6.25
Stade Rennais,2,87,0,3,6.25
Lokomotiv Moscow,1,14,0,1,6.2
Olympiacos FC,3,127,0,4,6.2
Liverpool FC,1,90,0,1,6.1
Manchester United,1,61,0,2,5.6
Inter,1,3,0,0,0.0
Club Brugge KV,1,1,0,0,0.0
FC Porto,3,4,0,0,0.0
FC Barcelona,6,540,0,10,8.23
Borussia Dortmund,8,705,0,11,7.96
Lazio,5,416,0,8,7.7
Paris Saint-Germain,10,899,0,11,7.62
Juventus,8,597,0,4,7.55
Paris Saint-Germain,9,744,0,11,7.46
Manchester United,6,416,0,8,7.45
AFC Ajax,4,313,0,5,7.45
Inter,5,446,0,6,7.38
Juventus,6,569,0,6,7.35
Atlético Madrid,8,708,0,11,7.35
Sevilla,8,390,0,9,7.33
RB Leipzig,7,585,0,9,7.31
FC Barcelona,3,160,0,0,7.3
FC Bayern München,6,514,0,5,7.28
FC Barcelona,6,381,0,7,7.28
Real Madrid,10,841,0,10,7.27
Manchester City,6,360,0,0,7.25
Olympiacos FC,3,258,0,3,7.23
Chelsea,8,256,0,2,7.18
Red Bull Salzburg,6,472,0,12,7.18
FC Barcelona,7,504,0,7,7.17
FC Bayern München,7,384,0,5,7.15
FC Barcelona,6,239,0,2,7.12
Lazio,8,668,0,12,7.11
Stade Rennais,3,242,0,5,7.07
Juventus,8,553,0,5,7.06
AFC Ajax,6,540,0,7,7.05
Lokomotiv Moscow,3,67,0,2,7.05
Borussia M'gladbach,8,601,0,10,7.04
FC Midtjylland,4,146,0,3,7.03
Lokomotiv Moscow,5,380,0,6,7.02
Sevilla,6,380,0,3,7.02
Red Bull Salzburg,6,411,0,8,7.02
RB Leipzig,8,506,0,11,7.01
Chelsea,11,760,0,1,7.01
Club Brugge KV,6,458,0,7,7.0
Manchester United,5,209,0,5,7.0
AFC Ajax,1,45,0,0,7.0
Chelsea,12,818,0,2,6.98
Chelsea,10,426,0,2,6.98
Paris Saint-Germain,3,242,0,3,6.97
Sevilla,6,301,0,5,6.95
Liverpool FC,9,542,0,5,6.94
Zenit St. Petersburg,5,282,0,2,6.94
Atalanta,8,524,0,10,6.93
Ferencváros TC,4,244,0,7,6.93
Atlético Madrid,5,385,0,6,6.92
Atlético Madrid,8,483,0,5,6.91
Chelsea,12,791,0,2,6.91
Atalanta,7,352,0,7,6.9
FC Krasnodar,6,512,0,9,6.9
Inter,6,408,0,7,6.9
Real Madrid,12,638,0,7,6.88
Real Madrid,5,275,0,3,6.88
Atalanta,6,279,0,4,6.87
Zenit St. Petersburg,5,345,0,8,6.86
Paris Saint-Germain,9,440,0,6,6.84
Olympiacos FC,5,284,0,5,6.82
Chelsea,5,233,0,1,6.8
AFC Ajax,5,202,0,3,6.8
Atalanta,1,22,0,0,6.8
Atlético Madrid,6,460,0,9,6.78
Shakhtar Donetsk,4,173,0,2,6.78
Borussia Dortmund,8,213,0,3,6.78
Real Madrid,11,329,0,7,6.77
Shakhtar Donetsk,6,515,0,12,6.77
Lazio,5,135,0,2,6.76
Manchester City,7,267,0,1,6.74
FC Krasnodar,6,203,0,7,6.73
Stade Rennais,4,342,0,6,6.73
Dynamo Kyiv,5,182,0,6,6.73
Lokomotiv Moscow,3,249,0,7,6.7
RB Leipzig,4,111,0,8,6.7
Juventus,5,219,0,4,6.7
FC Midtjylland,6,495,0,13,6.7
FC Krasnodar,2,24,0,1,6.7
Stade Rennais,3,103,0,4,6.7
FC Midtjylland,6,462,0,11,6.68
Club Brugge KV,4,345,0,5,6.68
Red Bull Salzburg,4,206,0,5,6.68
Liverpool FC,4,211,0,2,6.68
Manchester City,11,649,0,2,6.67
Red Bull Salzburg,3,50,0,2,6.67
FC Porto,3,106,0,2,6.67
Borussia M'gladbach,5,432,0,8,6.66
Başakşehir FK,6,327,0,10,6.65
Atlético Madrid,2,45,0,1,6.65
Club Brugge KV,2,32,0,0,6.65
FC Midtjylland,3,19,0,1,6.65
Red Bull Salzburg,4,63,0,6,6.65
Ferencváros TC,5,81,0,4,6.64
FC Krasnodar,5,383,0,7,6.64
Borussia Dortmund,3,142,0,2,6.63
Olympique de Marseille,6,484,0,9,6.63
FC Porto,6,198,0,2,6.62
Olympique de Marseille,5,200,0,3,6.62
