team,appearances,minutesPlayed,tackles,interceptions,ballRecovery,groundDuelsWon,keyPasses,bigChancesCreated,accurateLongBalls,successfulDribbles,rating
FC Midtjylland,3,206,4,6,15,5,3,1,9,0,6.87
Sevilla,8,720,9,12,50,12,2,0,38,0,6.86
Atalanta,8,623,19,13,44,27,1,0,18,3,6.86
Borussia M'gladbach,8,685,21,11,33,31,4,0,10,6,6.85
Borussia Dortmund,2,27,1,1,2,1,0,0,3,0,6.85
Shakhtar Donetsk,6,540,6,10,17,9,0,0,22,1,6.85
RB Leipzig,7,551,14,19,53,23,10,4,20,3,6.84
Paris Saint-Germain,5,381,14,8,26,21,3,0,3,5,6.84
Atlético Madrid,8,711,6,8,32,10,0,0,28,1,6.84
Liverpool FC,6,332,4,5,14,4,0,0,13,0,6.83
FC Krasnodar,6,495,9,5,20,22,2,0,6,10,6.82
Lokomotiv Moscow,6,534,9,8,23,19,5,1,20,1,6.82
FC Porto,6,570,6,4,34,11,2,0,21,0,6.82
Borussia Dortmund,3,227,0,4,9,1,0,0,20,1,6.8
Inter,6,411,5,4,26,9,3,1,31,1,6.8
Lazio,8,720,10,12,41,28,9,0,8,6,6.8
Stade Rennais,1,17,0,0,1,0,0,0,0,0,6.8
Liverpool FC,2,174,4,0,10,4,0,0,8,0,6.8
Real Madrid,2,31,4,1,2,4,0,0,0,0,6.8
Manchester United,2,27,2,2,3,3,0,0,1,0,6.8
RB Leipzig,3,114,9,2,7,12,2,0,3,2,6.8
Olympiacos FC,3,189,5,1,10,7,0,0,4,0,6.8
Başakşehir FK,3,179,4,6,25,5,3,0,5,0,6.8
AFC Ajax,5,302,7,8,31,14,1,0,9,5,6.8
Atlético Madrid,8,384,11,8,24,26,2,0,4,4,6.8
Chelsea,10,775,11,15,44,26,9,3,15,4,6.79
Manchester United,5,450,4,5,25,7,2,0,20,1,6.78
Olympiacos FC,6,451,8,17,22,11,1,0,20,1,6.78
FC Barcelona,7,587,9,2,25,24,6,3,4,10,6.77
Red Bull Salzburg,6,540,8,12,39,14,2,1,19,0,6.77
FC Porto,6,419,2,6,17,4,0,0,11,0,6.77
Paris Saint-Germain,8,509,12,5,37,21,2,1,8,8,6.76
Atlético Madrid,5,382,10,7,21,11,0,0,8,0,6.76
Dynamo Kyiv,6,411,5,12,9,7,1,0,28,1,6.75
Lazio,2,135,2,2,10,2,0,0,7,0,6.75
Shakhtar Donetsk,4,298,10,11,10,14,2,0,3,1,6.75
Olympiacos FC,6,529,4,12,26,13,0,0,19,3,6.75
FC Midtjylland,5,450,6,20,29,10,4,2,8,3,6.74
Paris Saint-Germain,10,814,11,10,42,20,8,2,24,6,6.74
FC Bayern München,3,128,8,2,5,8,0,0,2,0,6.73
Lokomotiv Moscow,3,194,4,7,13,8,1,0,5,3,6.73
Liverpool FC,4,131,2,2,13,7,0,0,2,3,6.73
AFC Ajax,6,504,8,10,47,14,0,0,22,4,6.73
FC Bayern München,8,193,2,11,10,6,2,1,3,1,6.73
Olympique de Marseille,4,360,3,5,18,4,1,0,20,0,6.73
FC Bayern München,5,186,1,2,13,3,4,0,0,1,6.73
Stade Rennais,5,241,9,5,21,13,2,0,4,4,6.72
RB Leipzig,6,324,9,3,19,12,0,0,11,2,6.72
AFC Ajax,6,514,13,7,21,26,0,0,8,2,6.72
Borussia M'gladbach,8,720,3,5,32,4,2,0,31,0,6.71
Red Bull Salzburg,5,450,13,13,40,16,4,1,8,1,6.7
Liverpool FC,1,45,0,3,2,0,0,0,3,0,6.7
FC Porto,2,83,0,2,3,4,1,0,0,3,6.7
Zenit St. Petersburg,3,167,2,2,10,2,4,1,5,0,6.7
Manchester United,4,292,7,1,13,10,10,0,4,2,6.7
Zenit St. Petersburg,5,397,13,9,21,21,3,0,9,3,6.7
Juventus,5,400,5,9,18,8,0,0,5,0,6.7
Başakşehir FK,6,375,4,9,27,9,4,1,5,2,6.7
Stade Rennais,6,520,3,8,31,5,1,0,20,2,6.7
Lokomotiv Moscow,6,540,5,16,27,15,2,0,5,4,6.68
Zenit St. Petersburg,5,383,1,11,22,3,0,0,22,1,6.68
Inter,5,420,4,3,17,10,2,1,5,4,6.68
FC Krasnodar,3,151,1,6,9,2,1,0,8,0,6.67
Borussia Dortmund,6,468,7,5,37,16,1,0,20,6,6.67
Inter,5,358,8,7,25,17,4,1,6,4,6.66
Manchester United,5,392,4,3,15,5,0,0,8,0,6.66
FC Porto,4,136,2,2,12,9,1,0,0,5,6.65
Borussia M'gladbach,3,55,0,2,1,1,0,0,3,0,6.65
Club Brugge KV,4,318,1,5,19,2,0,0,15,0,6.65
Başakşehir FK,5,402,7,8,23,8,2,0,9,1,6.64
Paris Saint-Germain,11,980,13,5,34,22,0,0,17,3,6.64
RB Leipzig,6,475,10,7,29,15,0,0,20,4,6.63
Lazio,6,342,9,8,17,14,0,0,3,2,6.63
Inter,5,318,8,7,21,13,3,0,7,1,6.62
Olympique de Marseille,5,450,8,10,28,15,4,1,8,2,6.62
Borussia Dortmund,7,458,12,18,29,22,0,0,9,6,6.61
FC Krasnodar,5,450,3,9,10,4,1,1,18,0,6.6
Juventus,1,21,0,0,0,0,0,0,0,0,6.6
FC Barcelona,1,35,1,0,4,1,1,0,0,0,6.6
Club Brugge KV,1,11,0,1,0,1,0,0,1,1,6.6
FC Krasnodar,1,72,1,0,4,1,1,1,1,0,6.6
Atalanta,2,19,0,1,2,0,0,0,1,0,6.6
Ferencváros TC,2,176,8,5,10,10,0,0,6,0,6.6
Ferencváros TC,2,180,4,4,12,6,0,0,10,2,6.6
Juventus,3,144,1,2,11,1,1,0,12,0,6.6
RB Leipzig,3,188,2,3,10,4,1,0,6,0,6.6
AFC Ajax,3,55,2,2,7,2,1,0,3,0,6.6
Stade Rennais,4,273,1,4,21,2,0,0,10,0,6.6
Dynamo Kyiv,4,354,5,12,18,11,4,0,9,4,6.6
Shakhtar Donetsk,4,296,1,7,7,2,0,0,11,0,6.6
Club Brugge KV,6,533,9,9,44,28,2,0,13,8,6.6
FC Barcelona,3,147,6,2,5,7,0,0,3,0,6.57
Dynamo Kyiv,6,540,2,8,22,4,0,0,18,1,6.57
Ferencváros TC,6,370,11,7,32,12,5,1,9,0,6.57
Red Bull Salzburg,6,540,18,11,39,20,6,2,10,0,6.57
Dynamo Kyiv,4,228,0,4,11,7,2,0,3,4,6.55
Manchester United,5,202,5,2,18,6,0,0,5,1,6.54
FC Barcelona,8,561,7,11,29,15,1,0,14,1,6.54
Stade Rennais,6,540,6,11,43,9,1,0,13,0,6.53
Atalanta,6,215,4,6,11,8,0,0,9,1,6.53
Ferencváros TC,6,540,5,16,39,7,3,0,40,0,6.53
Sevilla,4,221,3,4,7,7,1,0,3,2,6.53
Ferencváros TC,5,369,3,12,29,9,1,0,23,2,6.52
Olympiacos FC,5,430,8,11,18,16,1,0,4,5,6.52
FC Krasnodar,6,524,8,13,33,21,1,0,8,5,6.52
Red Bull Salzburg,1,90,2,3,4,3,0,0,1,1,6.5
Borussia M'gladbach,1,8,0,1,0,0,0,0,0,0,6.5
Olympiacos FC,2,21,1,0,1,1,0,0,0,0,6.5
Olympique de Marseille,2,103,0,0,3,1,0,0,1,0,6.5
Sevilla,3,199,1,1,5,2,0,0,6,0,6.5
Paris Saint-Germain,5,70,1,2,4,3,0,0,1,1,6.5
Olympique de Marseille,6,540,8,7,26,11,1,0,18,0,6.5
FC Krasnodar,5,293,1,3,11,11,1,0,1,3,6.48
Zenit St. Petersburg,4,281,5,3,17,6,2,0,13,1,6.48
RB Leipzig,2,180,2,4,15,2,0,0,5,0,6.45
Olympique de Marseille,6,540,9,12,18,16,0,0,6,5,6.45
FC Midtjylland,5,398,7,9,19,9,3,0,15,1,6.44
Olympiacos FC,6,540,5,3,27,19,1,0,11,1,6.43
Lazio,6,428,5,6,20,9,1,0,13,1,6.43
Paris Saint-Germain,5,220,7,3,8,10,0,0,1,1,6.42
Paris Saint-Germain,10,413,7,4,32,13,0,0,6,2,6.42
Red Bull Salzburg,6,512,10,11,30,10,2,0,22,0,6.42
Ferencváros TC,6,270,1,5,15,4,2,0,2,0,6.42
Shakhtar Donetsk,3,270,0,4,14,4,2,1,5,2,6.4
Başakşehir FK,1,10,1,1,0,1,0,0,0,0,6.4
Sevilla,3,185,1,2,10,4,0,0,0,0,6.4
Başakşehir FK,6,518,21,12,36,32,5,0,8,2,6.4
FC Midtjylland,6,476,11,11,33,16,1,0,5,4,6.4
Başakşehir FK,5,405,2,10,17,4,0,0,11,0,6.38
Atalanta,2,96,0,2,6,2,0,0,0,1,6.35
Lazio,5,325,4,2,14,14,0,0,2,3,6.34
Ferencváros TC,6,383,9,6,18,20,1,0,7,3,6.33
FC Bayern München,1,61,0,0,0,0,0,0,0,0,6.3
Atalanta,1,11,0,0,1,0,0,0,0,0,6.3
Manchester United,2,60,1,1,1,3,0,0,0,1,6.3
Olympique de Marseille,3,250,2,7,20,5,0,0,11,1,6.27
Borussia Dortmund,3,207,3,1,5,5,0,0,2,1,6.23
Başakşehir FK,3,111,1,1,6,2,0,0,1,1,6.23
Paris Saint-Germain,1,10,0,0,2,1,0,0,0,0,6.2
Shakhtar Donetsk,1,90,2,3,2,4,1,1,6,0,6.2
Lokomotiv Moscow,1,45,3,0,2,3,0,0,4,0,6.2
Stade Rennais,4,224,2,2,11,5,2,1,5,1,6.08
Red Bull Salzburg,4,43,0,3,2,0,0,0,4,0,6.05
Ferencváros TC,1,63,4,2,3,4,0,0,2,0,6.0
Stade Rennais,2,167,0,0,5,2,0,0,6,2,6.0
Başakşehir FK,4,189,1,6,15,2,0,0,2,1,6.0
Lazio,1,31,1,0,1,1,0,0,0,0,5.7
AFC Ajax,1,1,0,0,0,0,0,0,0,0,0.0
Lokomotiv Moscow,1,2,1,0,1,1,0,0,0,0,0.0
FC Bayern München,7,617,13,12,50,31,25,6,55,11,8.01
Juventus,6,551,12,5,31,37,25,7,18,11,7.82
Manchester United,6,439,9,4,33,21,15,4,19,3,7.8
Manchester City,8,669,9,2,38,28,17,4,24,11,7.64
Real Madrid,12,961,19,19,70,33,25,3,109,6,7.53
Manchester City,13,1066,16,9,60,55,19,4,11,26,7.44
Borussia M'gladbach,8,699,24,9,49,43,9,4,26,10,7.43
FC Barcelona,2,135,0,1,5,6,3,0,6,5,7.4
Borussia Dortmund,6,386,3,4,21,18,14,3,2,14,7.38
RB Leipzig,7,627,15,2,36,18,16,3,10,0,7.37
Borussia M'gladbach,8,539,2,2,23,13,8,2,8,4,7.35
Sevilla,4,280,6,2,10,25,3,0,10,7,7.35
Borussia Dortmund,5,362,8,7,33,15,2,1,10,3,7.35
AFC Ajax,4,358,7,3,19,21,7,1,5,5,7.33
Sevilla,8,542,3,3,36,26,18,5,22,12,7.31
Chelsea,1,80,4,0,5,5,2,1,0,1,7.3
Juventus,7,504,18,16,38,28,6,2,14,3,7.29
Liverpool FC,5,405,6,7,27,20,4,2,6,7,7.28
Manchester City,12,812,13,6,38,46,22,3,11,18,7.25
Club Brugge KV,6,532,5,8,39,15,5,1,47,5,7.25
Borussia Dortmund,7,444,8,3,18,16,9,1,11,2,7.23
FC Porto,8,737,15,4,42,31,8,1,21,5,7.23
Atalanta,4,136,3,3,11,11,5,2,8,5,7.23
Inter,5,371,6,4,27,8,9,0,25,1,7.22
Manchester City,12,977,15,11,79,41,12,2,25,17,7.22
Borussia Dortmund,6,492,13,5,39,25,7,1,16,9,7.22
FC Bayern München,7,549,7,2,22,32,11,2,7,18,7.2
Manchester United,5,429,0,3,15,27,3,2,4,9,7.2
Paris Saint-Germain,7,508,21,6,35,50,11,1,10,17,7.2
Lazio,6,480,17,4,29,30,12,3,13,10,7.2
Liverpool FC,8,554,19,13,48,22,1,0,23,1,7.2
Chelsea,7,345,5,4,22,12,3,2,4,6,7.17
Club Brugge KV,6,519,11,8,24,13,12,3,11,1,7.17
Sevilla,8,467,8,6,39,19,9,2,30,3,7.16
Real Madrid,10,828,23,18,87,42,8,0,41,2,7.15
Real Madrid,2,135,2,0,4,3,6,0,1,1,7.15
Real Madrid,12,911,13,18,78,34,18,2,55,12,7.14
Başakşehir FK,5,424,4,3,30,19,5,1,15,9,7.14
Red Bull Salzburg,6,463,15,13,38,28,4,0,13,3,7.13
FC Krasnodar,3,255,6,0,17,22,3,0,1,10,7.13
FC Bayern München,8,578,7,5,33,42,12,1,9,28,7.13
FC Bayern München,9,631,7,3,26,18,14,5,12,3,7.12
Olympique de Marseille,6,341,3,1,10,11,12,1,3,1,7.12
Manchester United,2,33,0,0,1,1,1,0,1,1,7.1
FC Bayern München,3,254,1,1,13,8,4,0,13,1,7.1
FC Barcelona,3,182,6,4,11,11,2,0,4,2,7.1
Stade Rennais,6,401,4,2,30,28,11,1,3,15,7.08
Liverpool FC,4,222,10,3,24,14,3,1,11,4,7.08
FC Bayern München,7,439,6,13,24,15,5,1,10,1,7.07
Borussia M'gladbach,8,539,13,5,24,18,14,2,5,0,7.07
Sevilla,6,280,7,2,12,22,9,2,11,3,7.07
Real Madrid,8,720,16,6,43,43,16,5,25,9,7.06
Juventus,7,475,13,10,44,23,8,0,19,7,7.06
Manchester City,10,785,11,9,75,26,4,0,47,8,7.05
FC Barcelona,7,585,8,15,35,19,4,1,8,4,7.04
Paris Saint-Germain,10,697,15,8,44,51,13,4,14,24,7.04
Atlético Madrid,5,298,5,6,26,15,6,1,15,6,7.04
Chelsea,10,349,9,4,29,19,9,4,11,5,7.03
FC Barcelona,3,126,1,0,14,6,4,0,4,2,7.03
Borussia Dortmund,10,692,24,5,45,57,5,1,14,9,7.02
Chelsea,12,1031,26,26,76,42,9,2,39,5,7.02
Real Madrid,7,489,13,17,21,25,8,1,8,9,7.01
FC Porto,9,706,24,0,38,55,10,2,22,7,7.01
Liverpool FC,10,778,6,5,34,25,8,2,4,15,7.0
Stade Rennais,5,371,4,5,11,6,12,1,20,1,7.0
Inter,4,107,0,3,7,2,2,1,2,1,7.0
Club Brugge KV,5,416,10,5,25,32,3,1,12,11,7.0
Paris Saint-Germain,8,673,18,18,43,38,2,1,16,4,6.99
Sevilla,7,405,11,6,35,21,12,0,24,4,6.99
Başakşehir FK,6,487,8,3,23,17,7,0,10,6,6.98
Başakşehir FK,6,524,1,5,39,24,11,3,12,11,6.98
Chelsea,10,604,13,7,40,38,7,2,18,15,6.98
Stade Rennais,4,331,6,6,21,23,7,1,7,11,6.98
Atalanta,7,567,11,6,35,23,3,0,5,3,6.97
Liverpool FC,10,724,5,3,25,35,4,1,7,12,6.97
RB Leipzig,6,427,16,9,27,26,3,0,4,4,6.97
Zenit St. Petersburg,4,139,4,2,16,12,2,1,2,5,6.97
FC Barcelona,6,335,8,1,22,17,5,1,13,1,6.97
Lokomotiv Moscow,6,459,3,4,30,16,10,1,7,5,6.95
Chelsea,2,99,0,2,5,3,3,0,3,2,6.95
Olympique de Marseille,6,443,11,20,34,29,2,0,12,11,6.95
FC Krasnodar,5,375,7,13,35,12,5,0,11,2,6.94
Liverpool FC,6,362,14,8,27,23,2,1,15,2,6.93
Atalanta,7,486,9,11,43,29,3,0,10,7,6.93
FC Barcelona,5,242,6,10,16,6,1,1,2,0,6.92
Real Madrid,11,620,6,4,35,27,3,0,15,13,6.92
Red Bull Salzburg,6,507,4,3,41,11,14,2,10,2,6.92
Liverpool FC,6,364,1,7,27,2,6,0,17,0,6.92
Borussia Dortmund,10,695,12,7,25,22,10,2,6,5,6.91
Lazio,5,245,5,5,10,7,1,0,4,0,6.9
FC Porto,9,746,20,8,57,32,4,0,6,6,6.9
AFC Ajax,6,529,15,11,38,35,1,0,10,13,6.9
Ferencváros TC,6,461,1,1,11,12,10,1,4,6,6.9
Dynamo Kyiv,6,328,7,7,22,17,3,0,1,6,6.9
Manchester City,1,9,0,0,0,0,1,0,0,0,6.9
Olympiacos FC,3,186,6,5,10,13,1,0,2,6,6.9
Stade Rennais,1,90,2,1,7,3,0,0,1,0,6.9
Manchester United,5,342,11,5,28,22,4,0,6,6,6.9
Olympiacos FC,6,529,7,12,27,13,2,0,23,2,6.9
Lazio,7,587,9,15,58,30,6,0,32,7,6.9
Paris Saint-Germain,10,544,20,13,44,37,4,1,5,3,6.9
Juventus,7,361,4,9,16,8,6,1,8,4,6.89
Inter,6,528,14,6,36,26,5,0,12,2,6.88
FC Midtjylland,4,328,7,5,19,26,2,0,3,15,6.88
Olympique de Marseille,4,181,4,7,20,9,0,0,8,2,6.88
Shakhtar Donetsk,4,280,4,0,14,21,1,0,12,10,6.88
Manchester City,7,346,9,7,25,17,5,0,13,3,6.87
FC Porto,9,748,9,5,21,32,2,1,1,3,6.87
Zenit St. Petersburg,6,500,12,15,43,27,2,0,21,4,6.87
FC Bayern München,6,227,1,1,13,11,4,0,5,8,6.86
Lazio,8,288,8,7,13,26,1,0,6,9,6.85
Atlético Madrid,8,664,16,11,51,32,2,0,28,9,6.85
Manchester City,13,930,12,4,31,33,14,4,12,13,6.85
FC Barcelona,7,495,12,5,28,30,4,0,9,9,6.84
Sevilla,7,276,7,2,31,21,7,1,28,9,6.84
Juventus,7,338,7,2,26,16,2,0,16,6,6.84
FC Porto,8,386,11,5,28,21,2,0,6,5,6.84
Dynamo Kyiv,5,430,14,6,38,30,1,0,20,5,6.84
FC Barcelona,8,495,4,12,34,13,8,0,12,4,6.84
Manchester United,4,222,5,4,21,7,0,0,4,1,6.83
Shakhtar Donetsk,4,291,2,5,11,6,1,1,10,1,6.83
Dynamo Kyiv,4,347,9,4,17,18,6,1,1,1,6.83
Ferencváros TC,5,328,7,5,13,8,0,0,20,1,6.82
Sevilla,7,496,7,4,33,12,0,0,15,1,6.82
Chelsea,13,708,10,14,73,38,9,2,9,23,6.82
Shakhtar Donetsk,6,369,3,5,22,28,0,0,4,16,6.8
Stade Rennais,1,20,2,0,1,3,1,0,0,1,6.8
Atalanta,3,29,0,2,4,2,0,0,1,2,6.8
Inter,4,173,2,2,8,6,3,0,5,0,6.8
Juventus,7,402,13,3,18,18,5,0,5,2,6.8
Manchester United,5,178,3,3,20,15,5,1,7,4,6.8
FC Krasnodar,4,289,2,6,15,5,7,0,3,2,6.8
FC Bayern München,6,360,4,6,10,11,7,3,3,4,6.8
Shakhtar Donetsk,6,365,2,4,20,4,4,1,18,0,6.8
Atlético Madrid,8,190,5,0,8,13,5,1,5,5,6.8
