name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Eduardo Camavinga,eduardo-camavinga,E. Camavinga,M,6,195817,M,Tacklevinga,973887,"{'nameTranslation': {'ar': 'إدواردو كامافينغا', 'bn': 'কামাভিঙ্গা, এডুয়ার্ডো', 'hi': 'कैमाविंगा, एडुआर्डो'}, 'shortNameTranslation': {'ar': 'إ. كامافينغا', 'bn': 'ই. কামাভিঙ্গা', 'hi': 'ई. एडुआर्डो'}}",Eduardo,Camavinga,53.173214285714,51.908928571429,56,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Rodrygo,rodrygo,Rodrygo,F,11,805245,M,Rodrygo,910536,"{'nameTranslation': {'ar': 'رودريغو', 'bn': 'রড্রিগো', 'hi': 'रोड्रिगो'}, 'shortNameTranslation': {'ar': 'رودريغو', 'bn': 'রড্রিগো', 'hi': 'रोड्रिगो'}}",Rodrygo,Rodrygo,62.359036144578,19.498795180723,83,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Ferland Mendy,ferland-mendy,F. Mendy,D,23,79085,M,FerMendy,792073,"{'nameTranslation': {'ar': 'فيرلاند ميندي', 'bn': 'ফেরল্যান্ড মেন্ডি', 'hi': 'फेरलैंड मेंडी'}, 'shortNameTranslation': {'ar': 'ف. ميندي', 'bn': 'এফ. মেন্ডি', 'hi': 'एफ. मेंडी'}}",Ferland,Mendy,50.103488372093,85.68023255814,86,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Brahim Díaz,brahim-diaz,B. Díaz,M,21,264688,M,Brahim,835485,"{'nameTranslation': {'ar': 'إبراهيم دياز', 'bn': 'ব্রাহিম দিয়াজ', 'hi': 'ब्राहिम डियाज़'}, 'shortNameTranslation': {'ar': 'إ. دياز', 'bn': 'বি. দিয়াজ', 'hi': 'बी. डियाज़'}}",Brahim,Diaz,58.055172413793,70.97816091954,87,Real Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Nahuel Molina,nahuel-molina,N. Molina,D,16,15247,M,nahuelmolina_35,831799,"{'nameTranslation': {'ar': 'ناويل مولينا', 'bn': 'নাহুয়েল মোলিনা', 'hi': 'नहुएल मोलिना'}, 'shortNameTranslation': {'ar': 'ن. مولينا', 'bn': 'এন. মোলিনা', 'hi': 'एन. मोलिना'}}",Nahuel,Molina,45.308695652174,10.030434782609,23,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Conor Gallagher,conor-gallagher,C. Gallagher,M,22,16588,M,conorgallagher92,904970,"{'nameTranslation': {'ar': 'كونور غالاغير', 'bn': 'কনর গ্যালাঘের', 'hi': 'कोनोर गालाघर'}, 'shortNameTranslation': {'ar': 'ك. غالاغر', 'bn': 'সি. গ্যালাঘের', 'hi': 'सी. गालाघर'}}",Conor,Gallagher,48.3375,58.254166666667,24,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Alexander Sørloth,alexander-srloth,A. Sørloth,F,9,24579,M,asorloth,309078,"{'nameTranslation': {'ar': 'ألكسندر سورلوث', 'bn': 'আলেকজান্ডার সারলোথ', 'hi': 'अलेक्जेंडर सोर्लोथ'}, 'shortNameTranslation': {'ar': 'أ. سورلوث', 'bn': 'এ. সারলোথ', 'hi': 'ए. सोर्लोथ'}}",,,69.825,23.2,4,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Robin Le Normand,robin-le-normand,R. Le Normand,D,24,7179,M,lenormand_r,787751,"{'nameTranslation': {'ar': 'روبن لو نورماند', 'bn': 'রবিন লে নরম্যান্ড', 'hi': 'रॉबिन ले नॉर्मंड'}, 'shortNameTranslation': {'ar': 'ر. نورماند', 'bn': 'আর. লে নরম্যান্ড', 'hi': 'आर. ले'}}",Robin,Le Normand,45.04,26.92,15,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Julián Alvarez,julian-alvarez,J. Álvarez,F,19,240635,M,LaAraña,944656,"{'nameTranslation': {'ar': 'جوليان ألفاريز', 'bn': 'জুলিয়ান আলভারেজ', 'hi': 'जूलियन अल्वारेज़'}, 'shortNameTranslation': {'ar': 'ج. ألفاريز', 'bn': 'জে. আলভারেজ', 'hi': 'जे. अल्वारेज़'}}",,,66.279069767442,51.358139534884,43,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Samuel Lino,samuel-lino,S. Lino,M,16,24864,M,osamuellino,874705,"{'nameTranslation': {'ar': 'صامويل لينو', 'bn': 'স্যামুয়েল লিনো', 'hi': 'सैमुअल लिनो'}, 'shortNameTranslation': {'ar': 'ص. لينو', 'bn': 'এস. লিনো', 'hi': 'एस. लिनो'}}",,,54.470588235294,74.476470588235,34,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Jan Oblak,jan-oblak,J. Oblak,G,13,14561,M,oblakjan,69768,"{'nameTranslation': {'ar': 'يان أوبلاك', 'bn': 'জন ওব্লাক', 'hi': 'जान ओबलाक'}, 'shortNameTranslation': {'ar': 'ي. أوبلاك', 'bn': 'জে. ওব্লাক', 'hi': 'जे. ओबलाक'}}",,,6.0088235294118,49.25,34,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Rodrigo De Paul,rodrigo-de-paul,R. De Paul,M,7,55077,M,RodridePaul,249399,"{'nameTranslation': {'ar': 'رودريغو دي بول', 'bn': 'রদ্রিগো ডি পল', 'hi': 'रोड्रिगो डी पॉल'}, 'shortNameTranslation': {'ar': 'ر. دي بول', 'bn': 'আর. ডি. পল', 'hi': 'आर. डी पॉल'}}",Rodrigo,De Paul,49.986538461538,33.235576923077,104,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Ángel Correa,angel-correa,Á. Correa,F,7,17142,M,angelcorrea32,316152,"{'nameTranslation': {'ar': 'أنخيل كوريا', 'bn': 'অ্যাঞ্জেল কোরেয়া', 'hi': 'एंजेल कोरीया'}, 'shortNameTranslation': {'ar': 'أ. كوريا', 'bn': 'এ. কোরেয়া', 'hi': 'ए. कोरीया'}}",,,37.54,32.28,5,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Giuliano Simeone,giuliano-simeone,G. Simeone,M,20,23479,M,giulisimeone,1099352,"{'nameTranslation': {'ar': 'جوليانو سيميوني', 'bn': 'জিউলিয়ানো সিমিওনে', 'hi': 'गिउलिआनो सिमोन'}, 'shortNameTranslation': {'ar': 'ج. سيميوني', 'bn': 'জি. সিমিওনে', 'hi': 'जी. सिमोन'}}",,,56.215384615385,17.982692307692,52,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
José María Giménez,jose-maria-gimenez,J. M. Giménez,D,2,6310,M,JoseMaGimenez13,325355,"{'nameTranslation': {'ar': 'خوسيه خيمينيز', 'bn': 'জোসে মারিয়া গিমেনেজ', 'hi': 'जोस मारिया गिमेनेज़'}, 'shortNameTranslation': {'ar': 'خ. خيمينيز', 'bn': 'জে. এম. জিমেনেজ', 'hi': 'जे.एम. गिमेनेज़'}}",,,30.334210526316,45.414473684211,76,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Pablo Barrios,pablo-barrios,P. Barrios,M,8,7396,M,PBarrios,1142588,"{'nameTranslation': {'ar': 'بابلو بارييوس', 'bn': 'পাবলো ব্যারিওস', 'hi': 'पाब्लो बारियोस'}, 'shortNameTranslation': {'ar': 'ب. بارييوس', 'bn': 'পি. ব্যারিওস', 'hi': 'पी. बारियोस'}}",,,44.759183673469,58.105102040816,98,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Javi Galán,javi-galan,J. Galán,D,20,2465,M,,825133,"{'nameTranslation': {'ar': 'خافي غالان', 'bn': 'জাভি গ্যালান', 'hi': 'जावी गैलान'}, 'shortNameTranslation': {'ar': 'خ. غالان', 'bn': 'জে. গ্যালান', 'hi': 'जे. गैलान'}}",Javi,Galan,53.589393939394,88.277272727273,66,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Clément Lenglet,clement-lenglet,C. Lenglet,D,15,8579,M,clement_lenglet,580550,"{'nameTranslation': {'ar': 'كليمو لينغليه', 'bn': 'ক্লেমেন্ট লেংলেট', 'hi': 'क्लेमेंट लेंग्लेट'}, 'shortNameTranslation': {'ar': 'ك. لينغليه', 'bn': 'সি. লেংলেট', 'hi': 'सी. लेंग्लेट'}}",Clement,Lenglet,41.607317073171,72.534146341463,82,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Marcos Llorente,marcos-llorente,M. Llorente,D,14,10633,M,marcosllorente,353138,"{'nameTranslation': {'ar': 'ماركوس يورينتي', 'bn': 'মার্কোস লরেন্টে', 'hi': 'मार्कोस लोरेंटे'}, 'shortNameTranslation': {'ar': 'م. يورينتي', 'bn': 'এম. লরেন্টে', 'hi': 'एम. लोरेंटे'}}",Marcos,Llorente,41.019277108434,23.318072289157,83,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
Antoine Griezmann,antoine-griezmann,A. Griezmann,F,7,108140,M,AGriez,85859,"{'nameTranslation': {'ar': 'أنطوان غريزمان', 'bn': 'অ্যান্টোইন গ্রিজম্যান', 'hi': 'एंटोनी ग्रीज़मैन'}, 'shortNameTranslation': {'ar': 'أ. غريزمان', 'bn': 'এ. গ্রিজম্যান', 'hi': 'ए. ग्रीज़मैन'}}",,,55.322619047619,54.775,84,Atlético Madrid,1741118400_real_madrid_vs_atl_tico_madrid
