season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2022-2023,Tottenham Hotspur 2022 2023,2022-10-04,Champions Lg,Deeintracht Frankfurt,2022-10-04_champions_lg_deeintracht_frankfurt_goalkeeper_stats.csv,2f44d120,https://fbref.com/en/matches/2f44d120/Eintracht-Frankfurt-Tottenham-Hotspur-October-4-2022-Champions-League,2022-10-04,Champions Lg,Group stage,Away,deEintracht Frankfurt,D,2022-10-04_champions_lg_deeintracht_frankfurt,Tottenham Hotspur,Hugo Lloris,fr FRA,35-282,90,2,0,2,100.0
2022-2023,Tottenham Hotspur 2022 2023,2022-10-08,Premier League,Brighton,2022-10-08_premier_league_brighton_goalkeeper_stats.csv,3eeefbc5,https://fbref.com/en/matches/3eeefbc5/Brighton-and-Hove-Albion-Tottenham-Hotspur-October-8-2022-Premier-League,2022-10-08,Premier League,Matchweek 10,Away,Brighton,W,2022-10-08_premier_league_brighton,Tottenham Hotspur,Hugo Lloris,fr FRA,35-286,90,4,0,4,100.0
2022-2023,Tottenham Hotspur 2022 2023,2022-10-12,Champions Lg,Deeintracht Frankfurt,2022-10-12_champions_lg_deeintracht_frankfurt_goalkeeper_stats.csv,bd7b7e39,https://fbref.com/en/matches/bd7b7e39/Tottenham-Hotspur-Eintracht-Frankfurt-October-12-2022-Champions-League,2022-10-12,Champions Lg,Group stage,Home,deEintracht Frankfurt,W,2022-10-12_champions_lg_deeintracht_frankfurt,Tottenham Hotspur,Hugo Lloris,fr FRA,35-290,90,6,2,4,66.7
2022-2023,Tottenham Hotspur 2022 2023,2022-10-15,Premier League,Everton,2022-10-15_premier_league_everton_goalkeeper_stats.csv,e42493f9,https://fbref.com/en/matches/e42493f9/Tottenham-Hotspur-Everton-October-15-2022-Premier-League,2022-10-15,Premier League,Matchweek 11,Home,Everton,W,2022-10-15_premier_league_everton,Tottenham Hotspur,Hugo Lloris,fr FRA,35-293,90,0,0,0,
2022-2023,Tottenham Hotspur 2022 2023,2022-10-19,Premier League,Manchester Utd,2022-10-19_premier_league_manchester_utd_goalkeeper_stats.csv,eebe78c1,https://fbref.com/en/matches/eebe78c1/Manchester-United-Tottenham-Hotspur-October-19-2022-Premier-League,2022-10-19,Premier League,Matchweek 12,Away,Manchester Utd,L,2022-10-19_premier_league_manchester_utd,Tottenham Hotspur,Hugo Lloris,fr FRA,35-297,90,10,2,8,80.0
2022-2023,Tottenham Hotspur 2022 2023,2022-10-23,Premier League,Newcastle United,2022-10-23_premier_league_newcastle_united_goalkeeper_stats.csv,ae21490f,https://fbref.com/en/matches/ae21490f/Tottenham-Hotspur-Newcastle-United-October-23-2022-Premier-League,2022-10-23,Premier League,Matchweek 13,Home,Newcastle United,L,2022-10-23_premier_league_newcastle_united,Tottenham Hotspur,Hugo Lloris,fr FRA,35-301,90,5,2,3,60.0
2022-2023,Tottenham Hotspur 2022 2023,2022-10-26,Champions Lg,Ptsporting Cp,2022-10-26_champions_lg_ptsporting_cp_goalkeeper_stats.csv,d72e39b0,https://fbref.com/en/matches/d72e39b0/Tottenham-Hotspur-Sporting-CP-October-26-2022-Champions-League,2022-10-26,Champions Lg,Group stage,Home,ptSporting CP,D,2022-10-26_champions_lg_ptsporting_cp,Tottenham Hotspur,Hugo Lloris,fr FRA,35-304,90,4,1,3,75.0
2022-2023,Tottenham Hotspur 2022 2023,2022-10-29,Premier League,Bournemouth,2022-10-29_premier_league_bournemouth_goalkeeper_stats.csv,dcb3b971,https://fbref.com/en/matches/dcb3b971/Bournemouth-Tottenham-Hotspur-October-29-2022-Premier-League,2022-10-29,Premier League,Matchweek 14,Away,Bournemouth,W,2022-10-29_premier_league_bournemouth,Tottenham Hotspur,Hugo Lloris,fr FRA,35-307,90,4,2,2,50.0
2022-2023,Tottenham Hotspur 2022 2023,2022-11-01,Champions Lg,Frmarseille,2022-11-01_champions_lg_frmarseille_goalkeeper_stats.csv,02a888e6,https://fbref.com/en/matches/02a888e6/Marseille-Tottenham-Hotspur-November-1-2022-Champions-League,2022-11-01,Champions Lg,Group stage,Away,frMarseille,W,2022-11-01_champions_lg_frmarseille,Tottenham Hotspur,Hugo Lloris,fr FRA,35-310,90,4,1,3,75.0
2022-2023,Tottenham Hotspur 2022 2023,2022-11-06,Premier League,Liverpool,2022-11-06_premier_league_liverpool_goalkeeper_stats.csv,2954504d,https://fbref.com/en/matches/2954504d/Tottenham-Hotspur-Liverpool-November-6-2022-Premier-League,2022-11-06,Premier League,Matchweek 15,Home,Liverpool,L,2022-11-06_premier_league_liverpool,Tottenham Hotspur,Hugo Lloris,fr FRA,35-315,90,6,2,4,66.7
2022-2023,Tottenham Hotspur 2022 2023,2022-11-09,Efl Cup,Nottingham Forest,2022-11-09_efl_cup_nottingham_forest_goalkeeper_stats.csv,3976d636,https://fbref.com/en/matches/3976d636/Nottingham-Forest-Tottenham-Hotspur-November-9-2022-EFL-Cup,2022-11-09,EFL Cup,Third round,Away,Nottingham Forest,L,2022-11-09_efl_cup_nottingham_forest,Tottenham Hotspur,Fraser Forster,eng ENG,34-237,90,8,2,6,75.0
2022-2023,Tottenham Hotspur 2022 2023,2022-11-12,Premier League,Leeds United,2022-11-12_premier_league_leeds_united_goalkeeper_stats.csv,inf,https://fbref.com/en/matches/0030e686/Tottenham-Hotspur-Leeds-United-November-12-2022-Premier-League,2022-11-12,Premier League,Matchweek 16,Home,Leeds United,W,2022-11-12_premier_league_leeds_united,Tottenham Hotspur,Hugo Lloris,fr FRA,35-321,90,5,3,2,40.0
2022-2023,Tottenham Hotspur 2022 2023,2022-12-26,Premier League,Brentford,2022-12-26_premier_league_brentford_goalkeeper_stats.csv,14e4f648,https://fbref.com/en/matches/14e4f648/Brentford-Tottenham-Hotspur-December-26-2022-Premier-League,2022-12-26,Premier League,Matchweek 17,Away,Brentford,D,2022-12-26_premier_league_brentford,Tottenham Hotspur,Fraser Forster,eng ENG,34-284,90,5,2,3,60.0
2022-2023,Tottenham Hotspur 2022 2023,2023-01-01,Premier League,Aston Villa,2023-01-01_premier_league_aston_villa_goalkeeper_stats.csv,63e8eaf8,https://fbref.com/en/matches/63e8eaf8/Tottenham-Hotspur-Aston-Villa-January-1-2023-Premier-League,2023-01-01,Premier League,Matchweek 18,Home,Aston Villa,L,2023-01-01_premier_league_aston_villa,Tottenham Hotspur,Hugo Lloris,fr FRA,36-006,90,4,2,2,50.0
2022-2023,Tottenham Hotspur 2022 2023,2023-01-04,Premier League,Crystal Palace,2023-01-04_premier_league_crystal_palace_goalkeeper_stats.csv,d8118454,https://fbref.com/en/matches/d8118454/Crystal-Palace-Tottenham-Hotspur-January-4-2023-Premier-League,2023-01-04,Premier League,Matchweek 19,Away,Crystal Palace,W,2023-01-04_premier_league_crystal_palace,Tottenham Hotspur,Hugo Lloris,fr FRA,36-009,90,4,0,4,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-01-07,Fa Cup,Portsmouth,2023-01-07_fa_cup_portsmouth_goalkeeper_stats.csv,f19491e0,https://fbref.com/en/matches/f19491e0/Tottenham-Hotspur-Portsmouth-January-7-2023-FA-Cup,2023-01-07,FA Cup,Third round proper,Home,Portsmouth,W,2023-01-07_fa_cup_portsmouth,Tottenham Hotspur,Fraser Forster,eng ENG,34-296,90,1,0,1,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-01-15,Premier League,Arsenal,2023-01-15_premier_league_arsenal_goalkeeper_stats.csv,4fc8b7b2,https://fbref.com/en/matches/4fc8b7b2/North-London-Derby-Tottenham-Hotspur-Arsenal-January-15-2023-Premier-League,2023-01-15,Premier League,Matchweek 20,Home,Arsenal,L,2023-01-15_premier_league_arsenal,Tottenham Hotspur,Hugo Lloris,fr FRA,36-020,90,6,2,4,66.7
2022-2023,Tottenham Hotspur 2022 2023,2023-01-19,Premier League,Manchester City,2023-01-19_premier_league_manchester_city_goalkeeper_stats.csv,847f0a9c,https://fbref.com/en/matches/847f0a9c/Manchester-City-Tottenham-Hotspur-January-19-2023-Premier-League,2023-01-19,Premier League,Matchweek 7,Away,Manchester City,L,2023-01-19_premier_league_manchester_city,Tottenham Hotspur,Hugo Lloris,fr FRA,36-024,90,6,4,2,33.3
2022-2023,Tottenham Hotspur 2022 2023,2023-01-23,Premier League,Fulham,2023-01-23_premier_league_fulham_goalkeeper_stats.csv,098cd338,https://fbref.com/en/matches/098cd338/Fulham-Tottenham-Hotspur-January-23-2023-Premier-League,2023-01-23,Premier League,Matchweek 21,Away,Fulham,W,2023-01-23_premier_league_fulham,Tottenham Hotspur,Hugo Lloris,fr FRA,36-028,90,5,0,5,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-01-28,Fa Cup,Preston North End,2023-01-28_fa_cup_preston_north_end_goalkeeper_stats.csv,e05c81ee,https://fbref.com/en/matches/e05c81ee/Preston-North-End-Tottenham-Hotspur-January-28-2023-FA-Cup,2023-01-28,FA Cup,Fourth round proper,Away,Preston North End,W,2023-01-28_fa_cup_preston_north_end,Tottenham Hotspur,Fraser Forster,eng ENG,34-317,90,1,0,1,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-02-05,Premier League,Manchester City,2023-02-05_premier_league_manchester_city_goalkeeper_stats.csv,8a923619,https://fbref.com/en/matches/8a923619/Tottenham-Hotspur-Manchester-City-February-5-2023-Premier-League,2023-02-05,Premier League,Matchweek 22,Home,Manchester City,W,2023-02-05_premier_league_manchester_city,Tottenham Hotspur,Hugo Lloris,fr FRA,36-041,90,5,0,5,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-02-11,Premier League,Leicester City,2023-02-11_premier_league_leicester_city_goalkeeper_stats.csv,390c7b85,https://fbref.com/en/matches/390c7b85/Leicester-City-Tottenham-Hotspur-February-11-2023-Premier-League,2023-02-11,Premier League,Matchweek 23,Away,Leicester City,L,2023-02-11_premier_league_leicester_city,Tottenham Hotspur,Fraser Forster,eng ENG,34-331,90,6,4,2,33.3
2022-2023,Tottenham Hotspur 2022 2023,2023-02-14,Champions Lg,Itmilan,2023-02-14_champions_lg_itmilan_goalkeeper_stats.csv,85836007,https://fbref.com/en/matches/85836007/Milan-Tottenham-Hotspur-February-14-2023-Champions-League,2023-02-14,Champions Lg,Round of 16,Away,itMilan,L,2023-02-14_champions_lg_itmilan,Tottenham Hotspur,Fraser Forster,eng ENG,34-334,90,4,1,3,75.0
2022-2023,Tottenham Hotspur 2022 2023,2023-02-19,Premier League,West Ham United,2023-02-19_premier_league_west_ham_united_goalkeeper_stats.csv,aae66d3d,https://fbref.com/en/matches/aae66d3d/Tottenham-Hotspur-West-Ham-United-February-19-2023-Premier-League,2023-02-19,Premier League,Matchweek 24,Home,West Ham United,W,2023-02-19_premier_league_west_ham_united,Tottenham Hotspur,Fraser Forster,eng ENG,34-339,90,1,0,1,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-02-26,Premier League,Chelsea,2023-02-26_premier_league_chelsea_goalkeeper_stats.csv,8eff71b5,https://fbref.com/en/matches/8eff71b5/Tottenham-Hotspur-Chelsea-February-26-2023-Premier-League,2023-02-26,Premier League,Matchweek 25,Home,Chelsea,W,2023-02-26_premier_league_chelsea,Tottenham Hotspur,Fraser Forster,eng ENG,34-346,90,2,0,2,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-03-01,Fa Cup,Sheffield United,2023-03-01_fa_cup_sheffield_united_goalkeeper_stats.csv,e6e74c21,https://fbref.com/en/matches/e6e74c21/Sheffield-United-Tottenham-Hotspur-March-1-2023-FA-Cup,2023-03-01,FA Cup,Fifth round proper,Away,Sheffield United,L,2023-03-01_fa_cup_sheffield_united,Tottenham Hotspur,Fraser Forster,eng ENG,34-349,90,1,1,0,0.0
2022-2023,Tottenham Hotspur 2022 2023,2023-03-04,Premier League,Wolves,2023-03-04_premier_league_wolves_goalkeeper_stats.csv,bf4ac62d,https://fbref.com/en/matches/bf4ac62d/Wolverhampton-Wanderers-Tottenham-Hotspur-March-4-2023-Premier-League,2023-03-04,Premier League,Matchweek 26,Away,Wolves,L,2023-03-04_premier_league_wolves,Tottenham Hotspur,Fraser Forster,eng ENG,34-352,90,5,1,4,80.0
2022-2023,Tottenham Hotspur 2022 2023,2023-03-08,Champions Lg,Itmilan,2023-03-08_champions_lg_itmilan_goalkeeper_stats.csv,ee8accc3,https://fbref.com/en/matches/ee8accc3/Tottenham-Hotspur-Milan-March-8-2023-Champions-League,2023-03-08,Champions Lg,Round of 16,Home,itMilan,D,2023-03-08_champions_lg_itmilan,Tottenham Hotspur,Fraser Forster,eng ENG,34-356,90,3,0,3,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-03-11,Premier League,Nottingham Forest,2023-03-11_premier_league_nottingham_forest_goalkeeper_stats.csv,d065f9cd,https://fbref.com/en/matches/d065f9cd/Tottenham-Hotspur-Nottingham-Forest-March-11-2023-Premier-League,2023-03-11,Premier League,Matchweek 27,Home,Nottingham Forest,W,2023-03-11_premier_league_nottingham_forest,Tottenham Hotspur,Fraser Forster,eng ENG,34-359,90,3,1,3,66.7
2022-2023,Tottenham Hotspur 2022 2023,2023-03-18,Premier League,Southampton,2023-03-18_premier_league_southampton_goalkeeper_stats.csv,bd9ec55d,https://fbref.com/en/matches/bd9ec55d/Southampton-Tottenham-Hotspur-March-18-2023-Premier-League,2023-03-18,Premier League,Matchweek 28,Away,Southampton,D,2023-03-18_premier_league_southampton,Tottenham Hotspur,Fraser Forster,eng ENG,35-001,90,6,3,4,66.7
2022-2023,Tottenham Hotspur 2022 2023,2023-04-03,Premier League,Everton,2023-04-03_premier_league_everton_goalkeeper_stats.csv,c00d9a22,https://fbref.com/en/matches/c00d9a22/Everton-Tottenham-Hotspur-April-3-2023-Premier-League,2023-04-03,Premier League,Matchweek 29,Away,Everton,D,2023-04-03_premier_league_everton,Tottenham Hotspur,Hugo Lloris,fr FRA,36-098,90,6,1,5,83.3
2022-2023,Tottenham Hotspur 2022 2023,2023-04-08,Premier League,Brighton,2023-04-08_premier_league_brighton_goalkeeper_stats.csv,b3ad7bd4,https://fbref.com/en/matches/b3ad7bd4/Tottenham-Hotspur-Brighton-and-Hove-Albion-April-8-2023-Premier-League,2023-04-08,Premier League,Matchweek 30,Home,Brighton,W,2023-04-08_premier_league_brighton,Tottenham Hotspur,Hugo Lloris,fr FRA,36-103,90,4,1,3,75.0
2022-2023,Tottenham Hotspur 2022 2023,2023-04-15,Premier League,Bournemouth,2023-04-15_premier_league_bournemouth_goalkeeper_stats.csv,bfc49d95,https://fbref.com/en/matches/bfc49d95/Tottenham-Hotspur-Bournemouth-April-15-2023-Premier-League,2023-04-15,Premier League,Matchweek 31,Home,Bournemouth,L,2023-04-15_premier_league_bournemouth,Tottenham Hotspur,Hugo Lloris,fr FRA,36-110,90,6,3,3,50.0
2022-2023,Tottenham Hotspur 2022 2023,2023-04-23,Premier League,Newcastle United,2023-04-23_premier_league_newcastle_united_goalkeeper_stats.csv,dff22d13,https://fbref.com/en/matches/dff22d13/Newcastle-United-Tottenham-Hotspur-April-23-2023-Premier-League,2023-04-23,Premier League,Matchweek 32,Away,Newcastle United,L,2023-04-23_premier_league_newcastle_united,Tottenham Hotspur,Hugo Lloris,fr FRA,36-118,45,6,5,1,16.7
2022-2023,Tottenham Hotspur 2022 2023,2023-04-23,Premier League,Newcastle United,2023-04-23_premier_league_newcastle_united_goalkeeper_stats.csv,dff22d13,https://fbref.com/en/matches/dff22d13/Newcastle-United-Tottenham-Hotspur-April-23-2023-Premier-League,2023-04-23,Premier League,Matchweek 32,Away,Newcastle United,L,2023-04-23_premier_league_newcastle_united,Tottenham Hotspur,Fraser Forster,eng ENG,35-037,45,2,1,1,50.0
2022-2023,Tottenham Hotspur 2022 2023,2023-04-27,Premier League,Manchester Utd,2023-04-27_premier_league_manchester_utd_goalkeeper_stats.csv,8c9a5c5c,https://fbref.com/en/matches/8c9a5c5c/Tottenham-Hotspur-Manchester-United-April-27-2023-Premier-League,2023-04-27,Premier League,Matchweek 33,Home,Manchester Utd,D,2023-04-27_premier_league_manchester_utd,Tottenham Hotspur,Fraser Forster,eng ENG,35-041,90,7,2,5,71.4
2022-2023,Tottenham Hotspur 2022 2023,2023-04-30,Premier League,Liverpool,2023-04-30_premier_league_liverpool_goalkeeper_stats.csv,e07267b3,https://fbref.com/en/matches/e07267b3/Liverpool-Tottenham-Hotspur-April-30-2023-Premier-League,2023-04-30,Premier League,Matchweek 34,Away,Liverpool,L,2023-04-30_premier_league_liverpool,Tottenham Hotspur,Fraser Forster,eng ENG,35-044,90,3,4,0,0.0
2022-2023,Tottenham Hotspur 2022 2023,2023-05-06,Premier League,Crystal Palace,2023-05-06_premier_league_crystal_palace_goalkeeper_stats.csv,0f1e1478,https://fbref.com/en/matches/0f1e1478/Tottenham-Hotspur-Crystal-Palace-May-6-2023-Premier-League,2023-05-06,Premier League,Matchweek 35,Home,Crystal Palace,W,2023-05-06_premier_league_crystal_palace,Tottenham Hotspur,Fraser Forster,eng ENG,35-050,90,2,0,2,100.0
2022-2023,Tottenham Hotspur 2022 2023,2023-05-13,Premier League,Aston Villa,2023-05-13_premier_league_aston_villa_goalkeeper_stats.csv,362514ee,https://fbref.com/en/matches/362514ee/Aston-Villa-Tottenham-Hotspur-May-13-2023-Premier-League,2023-05-13,Premier League,Matchweek 36,Away,Aston Villa,L,2023-05-13_premier_league_aston_villa,Tottenham Hotspur,Fraser Forster,eng ENG,35-057,90,4,2,2,50.0
2022-2023,Tottenham Hotspur 2022 2023,2023-05-20,Premier League,Brentford,2023-05-20_premier_league_brentford_goalkeeper_stats.csv,28ebbaf2,https://fbref.com/en/matches/28ebbaf2/Tottenham-Hotspur-Brentford-May-20-2023-Premier-League,2023-05-20,Premier League,Matchweek 37,Home,Brentford,L,2023-05-20_premier_league_brentford,Tottenham Hotspur,Fraser Forster,eng ENG,35-064,90,4,3,1,25.0
2022-2023,Tottenham Hotspur 2022 2023,2023-05-28,Premier League,Leeds United,2023-05-28_premier_league_leeds_united_goalkeeper_stats.csv,c9c73ddd,https://fbref.com/en/matches/c9c73ddd/Leeds-United-Tottenham-Hotspur-May-28-2023-Premier-League,2023-05-28,Premier League,Matchweek 38,Away,Leeds United,W,2023-05-28_premier_league_leeds_united,Tottenham Hotspur,Fraser Forster,eng ENG,35-072,90,2,1,1,50.0
