fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_red_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,home_expected_goals,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_red_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,away_expected_goals,home_yellow_cards,away_yellow_cards,home_goals_prevented,away_goals_prevented
1126164,2023-10-03T19:00:00+00:00,Champions League,2023,Group B - 2,Lens,116,True,Arsenal,42,2,1,Win,3,FT,3.0,5.0,10.0,2.0,9.0,1.0,8.0,3.0,4.0,33%,,6.0,338.0,264.0,78%,0.64,,,,,,,,,,,,,,,,,1.0,,,
1126164,2023-10-03T19:00:00+00:00,Champions League,2023,Group B - 2,Arsenal,42,False,Lens,116,1,2,Loss,0,FT,,,,,,,,,,,,,,,,,6.0,2.0,11.0,3.0,10.0,1.0,10.0,5.0,0.0,67%,,1.0,702.0,626.0,89%,1.31,,1.0,,
1126172,2023-10-04T19:00:00+00:00,Champions League,2023,Group F - 2,Newcastle,34,True,Paris Saint Germain,85,4,1,Win,3,FT,8.0,2.0,12.0,2.0,8.0,4.0,16.0,1.0,0.0,27%,,1.0,245.0,167.0,68%,0.94,,,,,,,,,,,,,,,,,3.0,,,
1126172,2023-10-04T19:00:00+00:00,Champions League,2023,Group F - 2,Paris Saint Germain,85,False,Newcastle,34,1,4,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,6.0,11.0,3.0,5.0,6.0,9.0,8.0,2.0,73%,,5.0,664.0,583.0,88%,0.93,,4.0,,
1126173,2023-10-04T19:00:00+00:00,Champions League,2023,Group G - 2,RB Leipzig,173,True,Manchester City,50,1,3,Loss,0,FT,1.0,1.0,3.0,1.0,1.0,2.0,12.0,2.0,3.0,32%,,2.0,351.0,299.0,85%,0.47,,,,,,,,,,,,,,,,,2.0,,,
1126173,2023-10-04T19:00:00+00:00,Champions League,2023,Group G - 2,Manchester City,50,False,RB Leipzig,173,3,1,Win,3,FT,,,,,,,,,,,,,,,,,5.0,8.0,18.0,5.0,14.0,4.0,6.0,3.0,1.0,68%,,0.0,767.0,709.0,92%,2.28,,1.0,,
1126178,2023-10-24T19:00:00+00:00,Champions League,2023,Group A - 3,Manchester United,33,True,FC Copenhagen,400,1,0,Win,3,FT,5.0,7.0,15.0,3.0,12.0,3.0,8.0,5.0,1.0,50%,,4.0,511.0,432.0,85%,1.69,,,,,,,,,,,,,,,,,2.0,,,
1126178,2023-10-24T19:00:00+00:00,Champions League,2023,Group A - 3,FC Copenhagen,400,False,Manchester United,33,0,1,Loss,0,FT,,,,,,,,,,,,,,,,,4.0,7.0,16.0,5.0,8.0,8.0,6.0,9.0,1.0,50%,,4.0,495.0,416.0,84%,2.22,,0.0,,
1126180,2023-10-24T19:00:00+00:00,Champions League,2023,Group B - 3,Sevilla,536,True,Arsenal,42,1,2,Loss,0,FT,2.0,7.0,11.0,2.0,9.0,2.0,7.0,4.0,1.0,56%,,2.0,535.0,447.0,84%,0.78,,,,,,,,,,,,,,,,,2.0,,,
1126180,2023-10-24T19:00:00+00:00,Champions League,2023,Group B - 3,Arsenal,42,False,Sevilla,536,2,1,Win,3,FT,,,,,,,,,,,,,,,,,4.0,4.0,14.0,6.0,11.0,3.0,13.0,5.0,1.0,44%,,1.0,422.0,343.0,81%,2.04,,1.0,,
1126188,2023-10-25T19:00:00+00:00,Champions League,2023,Group F - 3,Newcastle,34,True,Borussia Dortmund,165,0,1,Loss,0,FT,3.0,4.0,12.0,5.0,8.0,4.0,8.0,11.0,1.0,60%,,4.0,470.0,387.0,82%,1.08,,,,,,,,,,,,,,,,,1.0,,,
1126188,2023-10-25T19:00:00+00:00,Champions League,2023,Group F - 3,Borussia Dortmund,165,False,Newcastle,34,1,0,Win,3,FT,,,,,,,,,,,,,,,,,5.0,3.0,13.0,5.0,10.0,3.0,15.0,9.0,1.0,40%,,3.0,320.0,235.0,73%,1.79,,1.0,,
1126190,2023-10-25T19:00:00+00:00,Champions League,2023,Group G - 3,BSC Young Boys,565,True,Manchester City,50,1,3,Loss,0,FT,4.0,3.0,10.0,3.0,4.0,6.0,10.0,4.0,4.0,32%,,10.0,323.0,275.0,85%,0.43,,,,,,,,,,,,,,,,,2.0,,,
1126190,2023-10-25T19:00:00+00:00,Champions League,2023,Group G - 3,Manchester City,50,False,BSC Young Boys,565,3,1,Win,3,FT,,,,,,,,,,,,,,,,,14.0,5.0,26.0,7.0,19.0,7.0,7.0,5.0,0.0,68%,,3.0,723.0,674.0,93%,4.25,,0.0,,
1126192,2023-11-07T17:45:00+00:00,Champions League,2023,Group F - 4,Borussia Dortmund,165,True,Newcastle,34,2,0,Win,3,FT,8.0,5.0,17.0,4.0,7.0,10.0,13.0,7.0,3.0,46%,,5.0,397.0,316.0,80%,1.38,,,,,,,,,,,,,,,,,0.0,,,
1126192,2023-11-07T17:45:00+00:00,Champions League,2023,Group F - 4,Newcastle,34,False,Borussia Dortmund,165,0,2,Loss,0,FT,,,,,,,,,,,,,,,,,5.0,3.0,10.0,2.0,6.0,4.0,5.0,4.0,1.0,54%,,6.0,471.0,401.0,85%,0.55,,1.0,,
1126197,2023-11-07T20:00:00+00:00,Champions League,2023,Group G - 4,Manchester City,50,True,BSC Young Boys,565,3,0,Win,3,FT,10.0,9.0,27.0,8.0,18.0,9.0,5.0,6.0,1.0,71%,0.0,0.0,719.0,663.0,92%,3.50,,,,,,,,,,,,,,,,,0.0,,,
1126197,2023-11-07T20:00:00+00:00,Champions League,2023,Group G - 4,BSC Young Boys,565,False,Manchester City,50,0,3,Loss,0,FT,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,29%,1.0,6.0,282.0,227.0,80%,0.00,,4.0,,
1126204,2023-11-08T20:00:00+00:00,Champions League,2023,Group B - 4,Arsenal,42,True,Sevilla,536,2,0,Win,3,FT,3.0,7.0,11.0,1.0,7.0,4.0,12.0,4.0,1.0,62%,,1.0,538.0,468.0,87%,1.39,,,,,,,,,,,,,,,,,2.0,,,
1126204,2023-11-08T20:00:00+00:00,Champions League,2023,Group B - 4,Sevilla,536,False,Arsenal,42,0,2,Loss,0,FT,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,15.0,1.0,2.0,38%,,1.0,336.0,256.0,76%,0.04,,3.0,,
1126203,2023-11-08T20:00:00+00:00,Champions League,2023,Group A - 4,FC Copenhagen,400,True,Manchester United,33,4,3,Win,3,FT,8.0,6.0,16.0,2.0,8.0,8.0,9.0,3.0,2.0,52%,0.0,5.0,517.0,457.0,88%,2.25,,,,,,,,,,,,,,,,,1.0,,,
1126203,2023-11-08T20:00:00+00:00,Champions League,2023,Group A - 4,Manchester United,33,False,FC Copenhagen,400,3,4,Loss,0,FT,,,,,,,,,,,,,,,,,8.0,1.0,9.0,0.0,8.0,1.0,8.0,3.0,0.0,48%,1.0,4.0,497.0,420.0,85%,3.02,,1.0,,
1126213,2023-11-28T20:00:00+00:00,Champions League,2023,Group G - 5,Manchester City,50,True,RB Leipzig,173,3,2,Win,3,FT,6.0,7.0,14.0,1.0,12.0,2.0,10.0,6.0,1.0,70%,,1.0,796.0,743.0,93%,1.78,,,,,,,,,,,,,,,,,1.0,,,
1126213,2023-11-28T20:00:00+00:00,Champions League,2023,Group G - 5,RB Leipzig,173,False,Manchester City,50,2,3,Loss,0,FT,,,,,,,,,,,,,,,,,3.0,2.0,5.0,0.0,2.0,3.0,11.0,7.0,4.0,30%,,3.0,326.0,278.0,85%,0.54,,0.0,,
1126211,2023-11-28T20:00:00+00:00,Champions League,2023,Group F - 5,Paris Saint Germain,85,True,Newcastle,34,1,1,Draw,1,FT,7.0,14.0,31.0,10.0,20.0,11.0,14.0,6.0,3.0,72%,,1.0,760.0,701.0,92%,4.54,,,,,,,,,,,,,,,,,6.0,,,
1126211,2023-11-28T20:00:00+00:00,Champions League,2023,Group F - 5,Newcastle,34,False,Paris Saint Germain,85,1,1,Draw,1,FT,,,,,,,,,,,,,,,,,2.0,2.0,5.0,1.0,2.0,3.0,7.0,2.0,0.0,28%,,6.0,297.0,215.0,72%,1.29,,3.0,,
1126216,2023-11-29T17:45:00+00:00,Champions League,2023,Group A - 5,Galatasaray,645,True,Manchester United,33,3,3,Draw,1,FT,8.0,5.0,16.0,3.0,10.0,6.0,15.0,5.0,3.0,58%,,1.0,424.0,338.0,80%,1.47,,,,,,,,,,,,,,,,,2.0,,,
1126216,2023-11-29T17:45:00+00:00,Champions League,2023,Group A - 5,Manchester United,33,False,Galatasaray,645,3,3,Draw,1,FT,,,,,,,,,,,,,,,,,4.0,9.0,17.0,4.0,10.0,7.0,18.0,3.0,2.0,42%,,4.0,307.0,233.0,76%,1.64,,4.0,,
1126219,2023-11-29T20:00:00+00:00,Champions League,2023,Group B - 5,Arsenal,42,True,Lens,116,6,0,Win,3,FT,8.0,4.0,14.0,2.0,11.0,3.0,14.0,4.0,0.0,48%,,3.0,450.0,393.0,87%,2.49,,,,,,,,,,,,,,,,,0.0,,,
1126219,2023-11-29T20:00:00+00:00,Champions League,2023,Group B - 5,Lens,116,False,Arsenal,42,0,6,Loss,0,FT,,,,,,,,,,,,,,,,,3.0,1.0,6.0,2.0,3.0,3.0,11.0,0.0,4.0,52%,,2.0,477.0,410.0,86%,0.33,,3.0,,
1126225,2023-12-12T17:45:00+00:00,Champions League,2023,Group B - 6,PSV Eindhoven,197,True,Arsenal,42,1,1,Draw,1,FT,6.0,8.0,17.0,3.0,10.0,7.0,9.0,4.0,1.0,42%,,2.0,398.0,342.0,86%,1.55,,,,,,,,,,,,,,,,,,,,
1126225,2023-12-12T17:45:00+00:00,Champions League,2023,Group B - 6,Arsenal,42,False,PSV Eindhoven,197,1,1,Draw,1,FT,,,,,,,,,,,,,,,,,3.0,7.0,12.0,2.0,9.0,3.0,6.0,2.0,1.0,58%,,4.0,565.0,499.0,88%,0.97,,,,
1126226,2023-12-12T20:00:00+00:00,Champions League,2023,Group A - 6,Manchester United,33,True,Bayern Munich,157,0,1,Loss,0,FT,1.0,3.0,5.0,1.0,1.0,4.0,10.0,4.0,0.0,41%,,2.0,409.0,340.0,83%,0.25,,,,,,,,,,,,,,,,,2.0,,,
1126226,2023-12-12T20:00:00+00:00,Champions League,2023,Group A - 6,Bayern Munich,157,False,Manchester United,33,1,0,Win,3,FT,,,,,,,,,,,,,,,,,3.0,2.0,10.0,5.0,6.0,4.0,9.0,2.0,2.0,59%,,1.0,606.0,533.0,88%,1.16,,1.0,,
1126233,2023-12-13T17:45:00+00:00,Champions League,2023,Group G - 6,FK Crvena Zvezda,598,True,Manchester City,50,2,3,Loss,0,FT,6.0,3.0,11.0,2.0,8.0,3.0,21.0,2.0,3.0,31%,,0.0,296.0,234.0,79%,1.10,,,,,,,,,,,,,,,,,3.0,,,
1126233,2023-12-13T17:45:00+00:00,Champions League,2023,Group G - 6,Manchester City,50,False,FK Crvena Zvezda,598,3,2,Win,3,FT,,,,,,,,,,,,,,,,,3.0,4.0,10.0,3.0,6.0,4.0,9.0,2.0,3.0,69%,,4.0,670.0,610.0,91%,1.36,,1.0,,
1126237,2023-12-13T20:00:00+00:00,Champions League,2023,Group F - 6,Newcastle,34,True,AC Milan,489,1,2,Loss,0,FT,8.0,7.0,17.0,2.0,10.0,7.0,17.0,5.0,1.0,58%,,0.0,458.0,386.0,84%,1.78,,,,,,,,,,,,,,,,,2.0,,,
1126237,2023-12-13T20:00:00+00:00,Champions League,2023,Group F - 6,AC Milan,489,False,Newcastle,34,2,1,Win,3,FT,,,,,,,,,,,,,,,,,2.0,6.0,12.0,4.0,10.0,2.0,14.0,3.0,1.0,42%,,5.0,334.0,261.0,78%,1.96,,5.0,,
1149510,2024-02-13T20:00:00+00:00,Champions League,2023,Round of 16,FC Copenhagen,400,True,Manchester City,50,1,3,Loss,0,FT,1.0,2.0,4.0,1.0,3.0,1.0,13.0,2.0,0.0,21%,,9.0,209.0,143.0,68%,0.26,,,,,,,,,,,,,,,,,2.0,,,
1149510,2024-02-13T20:00:00+00:00,Champions League,2023,Round of 16,Manchester City,50,False,FC Copenhagen,400,3,1,Win,3,FT,,,,,,,,,,,,,,,,,13.0,7.0,27.0,7.0,17.0,10.0,3.0,6.0,1.0,79%,,0.0,830.0,771.0,93%,3.44,,0.0,,
1149522,2024-02-21T20:00:00+00:00,Champions League,2023,Round of 16,FC Porto,212,True,Arsenal,42,1,0,Win,3,FT,2.0,4.0,8.0,2.0,6.0,2.0,14.0,1.0,,35%,,0.0,274.0,206.0,75%,1.17,,,,,,,,,,,,,,,,,2.0,,,
1149522,2024-02-21T20:00:00+00:00,Champions League,2023,Round of 16,Arsenal,42,False,FC Porto,212,0,1,Loss,0,FT,,,,,,,,,,,,,,,,,0.0,5.0,7.0,2.0,4.0,3.0,22.0,10.0,,65%,,1.0,494.0,430.0,87%,0.49,,3.0,,
1149511,2024-03-06T20:00:00+00:00,Champions League,2023,Round of 16,Manchester City,50,True,FC Copenhagen,400,3,1,Win,3,FT,3.0,1.0,12.0,8.0,10.0,2.0,5.0,4.0,1.0,69%,,1.0,819.0,761.0,93%,0.77,,,,,,,,,,,,,,,,,0.0,,,
1149511,2024-03-06T20:00:00+00:00,Champions League,2023,Round of 16,FC Copenhagen,400,False,Manchester City,50,1,3,Loss,0,FT,,,,,,,,,,,,,,,,,2.0,5.0,11.0,4.0,7.0,4.0,9.0,4.0,4.0,31%,,0.0,363.0,318.0,88%,1.23,,2.0,,
1149523,2024-03-12T20:00:00+00:00,Champions League,2023,Round of 16,Arsenal,42,True,FC Porto,212,1,0,Win,3,PEN,4.0,7.0,13.0,2.0,13.0,0.0,18.0,9.0,3.0,58%,,3.0,572.0,470.0,82%,0.95,,,,,,,,,,,,,,,,,2.0,,,
1149523,2024-03-12T20:00:00+00:00,Champions League,2023,Round of 16,FC Porto,212,False,Arsenal,42,0,1,Loss,0,PEN,,,,,,,,,,,,,,,,,3.0,5.0,10.0,2.0,4.0,6.0,20.0,1.0,3.0,42%,,3.0,418.0,294.0,70%,0.55,,1.0,,
1184777,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Arsenal,42,True,Bayern Munich,157,2,2,Draw,1,FT,4.0,4.0,13.0,5.0,10.0,3.0,13.0,2.0,3.0,59%,,0.0,527.0,466.0,88%,1.22,,,,,,,,,,,,,,,,,1.0,,,
1184777,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Bayern Munich,157,False,Arsenal,42,2,2,Draw,1,FT,,,,,,,,,,,,,,,,,2.0,5.0,8.0,1.0,5.0,3.0,12.0,1.0,2.0,41%,,2.0,366.0,301.0,82%,2.08,,2.0,,
1184779,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Real Madrid,541,True,Manchester City,50,3,3,Draw,1,FT,5.0,7.0,14.0,2.0,8.0,6.0,11.0,4.0,,38%,,3.0,423.0,365.0,86%,0.65,,,,,,,,,,,,,,,,,2.0,,,
1184779,2024-04-09T19:00:00+00:00,Champions League,2023,Quarter-finals,Manchester City,50,False,Real Madrid,541,3,3,Draw,1,FT,,,,,,,,,,,,,,,,,6.0,2.0,12.0,4.0,5.0,7.0,9.0,2.0,,62%,,3.0,690.0,629.0,91%,0.80,,2.0,,
1184780,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Manchester City,50,True,Real Madrid,541,1,1,Draw,1,PEN,9.0,12.0,33.0,12.0,24.0,9.0,15.0,18.0,1.0,67%,,2.0,920.0,846.0,92%,2.66,,,,,,,,,,,,,,,,,3.0,,,
1184780,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Real Madrid,541,False,Manchester City,50,1,1,Draw,1,PEN,,,,,,,,,,,,,,,,,3.0,4.0,8.0,1.0,4.0,4.0,11.0,1.0,1.0,33%,,8.0,457.0,373.0,82%,1.44,,2.0,,
1184778,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Bayern Munich,157,True,Arsenal,42,1,0,Win,3,FT,3.0,7.0,15.0,5.0,10.0,5.0,10.0,8.0,1.0,51%,,3.0,479.0,416.0,87%,1.33,,,,,,,,,,,,,,,,,2.0,,,
1184778,2024-04-17T19:00:00+00:00,Champions League,2023,Quarter-finals,Arsenal,42,False,Bayern Munich,157,0,1,Loss,0,FT,,,,,,,,,,,,,,,,,3.0,4.0,8.0,1.0,5.0,3.0,13.0,3.0,3.0,49%,,3.0,455.0,408.0,90%,0.47,,2.0,,
