team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
Benfica,12,1080,1,0,2,9,3,0,52,7.25
Atalanta,4,266,0,2,0,3,0,3,6,7.23
Liverpool FC,6,443,0,1,0,5,0,2,0,7.22
Arsenal,9,804,1,0,1,10,2,1,27,7.21
Inter,9,688,0,0,0,2,0,0,21,7.21
Liverpool FC,7,649,1,0,2,2,0,0,13,7.2
FC Bayern München,11,990,0,0,1,7,0,5,29,7.2
Milan,7,541,0,0,1,4,0,1,17,7.2
PSV Eindhoven,11,858,3,0,3,7,1,2,19,7.19
FC Barcelona,11,958,2,1,2,4,0,0,15,7.19
Celtic,10,838,0,0,2,3,0,3,13,7.19
PSV Eindhoven,11,912,0,0,1,9,0,1,11,7.18
Bayer 04 Leverkusen,5,360,1,1,1,5,0,1,11,7.18
Stade Brestois,2,180,0,0,0,0,0,0,6,7.15
Inter,12,910,1,0,3,5,2,0,18,7.13
FC Bayern München,11,785,1,1,1,4,0,8,12,7.13
Milan,5,343,1,1,2,5,0,0,5,7.12
Benfica,7,500,1,1,1,3,1,3,16,7.11
Bologna,7,530,1,0,1,3,0,1,13,7.11
Atalanta,8,618,0,0,1,6,0,8,7,7.11
Lille,10,900,0,1,0,6,1,7,20,7.11
Borussia Dortmund,12,747,2,1,4,9,1,6,12,7.1
Shakhtar Donetsk,2,162,0,0,0,1,0,2,0,7.1
SK Sturm Graz,5,450,0,0,3,5,0,1,2,7.08
Stade Brestois,4,256,1,0,1,2,0,1,1,7.08
Liverpool FC,8,551,0,1,0,3,0,4,1,7.08
Manchester City,8,646,0,1,0,3,0,2,5,7.08
Girona FC,6,540,1,0,3,7,0,8,1,7.07
VfB Stuttgart,8,705,0,2,2,4,1,6,3,7.06
Manchester City,10,814,0,1,1,5,0,4,11,7.06
Sporting CP,7,488,1,0,2,6,1,4,8,7.06
Bayer 04 Leverkusen,9,774,1,0,2,5,0,2,18,7.06
Juventus,9,801,0,1,1,3,0,7,9,7.06
Bayer 04 Leverkusen,9,669,0,0,1,6,0,2,18,7.06
Paris Saint-Germain,17,1542,0,0,0,1,0,3,35,7.05
Arsenal,8,430,1,1,3,6,1,2,5,7.05
GNK Dinamo Zagreb,6,540,0,0,0,1,0,0,7,7.05
FC Bayern München,13,1074,1,0,1,3,1,2,32,7.04
AS Monaco,9,781,0,2,2,5,0,10,7,7.03
Borussia Dortmund,12,940,2,1,2,5,0,9,12,7.03
Bologna,4,236,0,0,0,0,0,2,5,7.03
Manchester City,4,286,0,0,1,2,1,0,5,7.03
FC Bayern München,6,301,1,0,1,3,0,0,9,7.02
Benfica,10,900,0,2,2,8,0,16,7,7.02
Sporting CP,5,221,0,0,0,0,1,0,4,7.02
Aston Villa,11,990,1,0,1,7,1,2,11,7.02
FC Barcelona,13,1106,0,3,2,4,1,6,13,7.02
Atlético Madrid,8,750,1,0,2,6,0,0,17,7.01
Stade Brestois,8,720,0,0,2,6,0,7,3,7.01
Atalanta,9,678,1,0,2,3,1,1,15,7.01
Club Brugge KV,12,1079,1,0,4,11,0,4,8,7.01
Atalanta,9,639,1,1,2,5,0,5,9,7.0
Girona FC,5,389,1,1,1,1,0,0,3,7.0
Milan,1,27,0,0,0,0,0,0,1,7.0
Bologna,8,647,0,1,1,4,1,0,14,6.99
VfB Stuttgart,7,622,0,0,1,4,1,3,11,6.99
Arsenal,13,852,1,1,1,5,1,16,14,6.98
Bologna,5,371,0,1,1,4,0,2,6,6.98
Manchester City,9,639,0,1,4,6,1,1,2,6.98
Inter,14,1077,0,1,1,5,0,7,7,6.97
Bayer 04 Leverkusen,10,900,0,0,1,5,0,1,17,6.97
FC Bayern München,6,422,0,0,0,5,1,4,9,6.97
Club Brugge KV,12,1080,0,0,1,5,0,2,23,6.97
FC Bayern München,3,102,0,0,1,2,0,0,0,6.97
Celtic,6,370,1,0,1,1,0,1,17,6.96
Inter,9,770,1,1,2,5,1,0,12,6.96
Aston Villa,6,485,0,0,0,1,0,1,8,6.95
Lille,9,623,0,1,4,8,1,10,11,6.94
Stade Brestois,9,810,0,0,1,4,0,0,28,6.94
PSV Eindhoven,10,829,0,0,1,7,0,10,8,6.94
Celtic,7,609,0,0,0,1,0,0,20,6.93
Arsenal,11,990,0,0,0,2,1,2,18,6.93
Aston Villa,9,678,0,2,1,4,2,2,7,6.92
Arsenal,10,566,0,1,1,1,1,9,1,6.92
Aston Villa,10,384,1,0,2,5,0,6,5,6.92
Arsenal,6,193,1,0,1,4,0,0,5,6.92
Girona FC,6,435,0,0,1,5,0,3,3,6.92
Red Bull Salzburg,7,630,0,1,4,13,0,18,4,6.91
VfB Stuttgart,8,646,0,0,1,8,0,0,24,6.91
Juventus,8,646,0,0,0,1,0,3,3,6.91
FC Bayern München,9,527,1,0,2,6,0,3,3,6.91
GNK Dinamo Zagreb,3,225,1,0,1,2,0,2,1,6.9
Bayer 04 Leverkusen,10,796,0,3,4,13,3,6,2,6.9
Paris Saint-Germain,1,18,0,0,0,0,0,0,0,6.9
Juventus,2,102,0,0,0,0,0,1,3,6.9
Atlético Madrid,2,112,0,0,0,0,0,0,1,6.9
Bayer 04 Leverkusen,2,128,0,0,0,0,0,0,3,6.9
Celtic,3,66,0,0,0,0,0,1,1,6.9
Milan,6,411,0,0,0,3,0,0,10,6.9
Real Madrid,4,282,0,0,0,4,0,1,6,6.9
Juventus,2,210,0,0,0,1,0,0,13,6.9
Feyenoord,3,244,0,0,0,1,0,3,0,6.9
Shakhtar Donetsk,3,210,0,0,0,1,0,5,0,6.9
AS Monaco,10,855,1,1,3,7,1,1,20,6.89
Celtic,10,818,0,0,0,2,1,0,18,6.89
FC Barcelona,8,446,0,3,0,0,0,1,3,6.89
Girona FC,7,630,0,0,2,3,0,2,7,6.89
Real Madrid,13,1188,2,0,3,8,2,0,17,6.88
Feyenoord,12,1080,1,0,1,14,1,4,9,6.88
Liverpool FC,4,124,0,0,1,1,1,0,3,6.88
Milan,4,282,0,0,2,2,0,2,2,6.88
Borussia Dortmund,5,282,0,0,1,1,0,0,1,6.88
Bayer 04 Leverkusen,7,277,0,1,1,1,0,0,2,6.87
Atalanta,6,300,0,0,0,3,0,0,4,6.87
RB Leipzig,8,720,0,0,3,7,3,1,19,6.86
Milan,10,861,0,0,2,17,1,5,11,6.86
VfB Stuttgart,7,545,1,1,1,7,0,4,7,6.86
Sporting CP,8,568,1,1,1,4,0,2,3,6.85
Red Bull Salzburg,4,152,1,0,1,1,0,0,0,6.85
Atlético Madrid,6,452,0,1,0,2,0,11,0,6.85
AC Sparta Praha,7,562,0,1,1,4,1,1,17,6.84
FC Barcelona,8,520,1,0,2,5,0,1,22,6.84
Atalanta,8,710,0,1,0,5,1,1,18,6.84
Aston Villa,8,515,0,0,3,10,1,5,6,6.84
SK Sturm Graz,3,188,1,0,2,2,1,2,0,6.83
Liverpool FC,4,229,0,0,0,5,2,0,3,6.83
Aston Villa,9,748,0,0,2,4,1,3,7,6.83
Liverpool FC,8,581,0,1,2,10,0,4,1,6.83
Lille,4,228,0,1,1,2,0,1,4,6.83
Milan,5,314,0,0,0,4,0,1,2,6.83
Inter,13,705,0,0,1,2,1,4,17,6.82
Feyenoord,9,551,0,1,2,4,0,10,5,6.82
FC Barcelona,10,804,0,2,0,2,0,21,2,6.82
Celtic,5,209,0,1,1,1,0,0,3,6.82
Lille,10,855,0,0,0,0,0,1,12,6.82
Milan,7,564,0,1,1,1,0,1,4,6.81
Feyenoord,9,658,1,1,2,7,1,2,15,6.81
Arsenal,10,774,0,0,1,3,0,2,11,6.81
Benfica,11,927,0,0,0,0,0,3,12,6.81
ŠK Slovan Bratislava,5,450,1,0,1,3,0,5,1,6.8
RB Leipzig,4,266,0,1,0,1,0,2,2,6.8
Club Brugge KV,1,32,0,0,0,0,0,1,0,6.8
PSV Eindhoven,1,19,0,0,0,0,0,0,0,6.8
BSC Young Boys,6,497,0,0,0,0,0,3,7,6.8
Atlético Madrid,7,630,0,0,0,2,0,1,7,6.8
Stade Brestois,8,620,0,0,0,2,0,4,7,6.8
Aston Villa,4,312,0,0,1,1,0,1,7,6.8
Benfica,3,155,0,0,0,2,0,3,0,6.8
Manchester City,1,90,0,0,1,1,0,1,0,6.8
Sporting CP,8,440,0,0,0,1,0,0,5,6.8
FC Barcelona,2,48,0,0,0,1,0,1,0,6.8
Lille,8,428,1,1,3,4,0,2,1,6.79
Borussia Dortmund,10,590,0,0,0,1,0,7,9,6.79
GNK Dinamo Zagreb,6,465,0,0,0,2,0,0,3,6.78
Liverpool FC,5,281,0,1,1,2,1,0,4,6.78
Club Brugge KV,10,767,0,0,0,0,0,2,4,6.78
FK Crvena zvezda,5,371,0,0,1,2,0,4,2,6.78
Bologna,5,303,0,0,0,1,0,1,6,6.78
Inter,13,660,0,2,3,6,1,5,17,6.78
Bologna,4,218,0,0,0,0,0,1,5,6.78
Juventus,4,231,0,0,1,1,0,0,2,6.78
Feyenoord,11,723,0,2,0,1,0,3,3,6.76
RB Leipzig,5,378,0,0,0,1,0,1,6,6.76
Club Brugge KV,12,1048,0,0,1,2,0,2,13,6.76
Manchester City,7,450,0,0,0,0,0,0,9,6.76
SK Sturm Graz,7,627,0,0,1,2,0,5,7,6.76
Benfica,9,730,0,0,1,5,0,0,19,6.76
Sporting CP,10,625,1,0,1,6,1,7,3,6.75
RB Leipzig,4,268,0,0,0,0,0,1,4,6.75
Arsenal,5,119,0,0,0,0,0,0,0,6.75
Shakhtar Donetsk,6,447,0,0,0,1,0,6,5,6.75
Real Madrid,10,757,0,1,0,1,0,2,5,6.74
AC Sparta Praha,5,302,0,0,0,2,0,2,5,6.74
FK Crvena zvezda,8,720,1,1,1,3,0,3,9,6.74
Stade Brestois,8,642,0,0,0,1,0,2,4,6.74
Lille,9,489,0,1,1,4,0,9,1,6.73
Sporting CP,3,239,0,0,1,4,0,1,1,6.73
Paris Saint-Germain,4,140,0,0,1,2,0,0,2,6.73
Arsenal,9,345,0,0,1,2,0,0,4,6.73
Real Madrid,9,262,0,0,0,0,0,2,2,6.73
Shakhtar Donetsk,8,720,0,0,1,2,1,0,12,6.73
Atlético Madrid,5,232,0,0,0,1,0,0,5,6.73
AS Monaco,6,477,1,0,2,2,0,0,15,6.72
GNK Dinamo Zagreb,8,650,0,2,0,2,0,1,4,6.7
GNK Dinamo Zagreb,8,535,0,1,0,2,0,10,2,6.7
FC Barcelona,1,10,0,0,0,0,0,0,1,6.7
Girona FC,1,90,0,0,0,0,0,0,0,6.7
ŠK Slovan Bratislava,1,12,0,0,0,0,0,0,0,6.7
Feyenoord,2,15,0,0,0,0,0,0,0,6.7
Shakhtar Donetsk,2,20,0,0,0,0,0,0,0,6.7
Real Madrid,5,176,0,0,0,0,0,0,1,6.7
PSV Eindhoven,6,417,0,0,0,0,0,1,1,6.7
ŠK Slovan Bratislava,8,709,0,0,1,3,0,1,10,6.7
Milan,7,321,0,0,1,3,0,0,2,6.7
Aston Villa,3,126,0,0,0,1,0,1,4,6.7
Real Madrid,11,888,0,1,2,2,1,3,2,6.69
RB Leipzig,6,475,0,0,3,9,0,4,1,6.68
Shakhtar Donetsk,8,720,0,0,0,3,1,3,10,6.68
BSC Young Boys,7,524,0,0,1,6,1,3,6,6.67
BSC Young Boys,3,270,0,0,0,0,0,1,5,6.67
VfB Stuttgart,4,55,0,0,0,0,0,0,0,6.67
Atlético Madrid,6,366,0,0,0,0,0,0,3,6.67
SK Sturm Graz,6,540,0,0,0,1,0,0,10,6.67
Celtic,8,576,0,1,0,1,0,1,7,6.66
ŠK Slovan Bratislava,5,283,0,0,0,1,0,2,6,6.66
FK Crvena zvezda,8,701,0,3,1,5,0,6,1,6.65
Milan,2,60,0,0,0,0,0,0,3,6.65
Feyenoord,12,825,0,0,1,2,0,1,8,6.64
RB Leipzig,3,50,0,0,0,0,0,0,2,6.63
SK Sturm Graz,6,449,0,0,0,2,0,3,5,6.63
PSV Eindhoven,6,268,0,0,0,1,0,0,4,6.63
Shakhtar Donetsk,7,465,0,2,0,3,1,1,7,6.63
Girona FC,4,324,0,0,0,0,0,0,2,6.63
Red Bull Salzburg,4,283,0,0,0,0,0,0,5,6.63
SK Sturm Graz,4,280,0,0,0,0,0,0,5,6.63
Girona FC,5,371,1,0,1,2,0,2,4,6.62
Feyenoord,5,353,0,1,0,3,0,1,7,6.62
Paris Saint-Germain,5,119,0,0,0,0,0,0,3,6.62
Feyenoord,5,281,0,0,1,3,1,6,2,6.62
Sporting CP,9,752,0,0,0,2,0,4,14,6.61
Atlético Madrid,8,426,1,0,1,1,0,1,3,6.6
FC Barcelona,1,10,0,0,0,0,0,0,0,6.6
Atalanta,1,34,0,0,0,0,0,0,0,6.6
Stade Brestois,1,84,0,0,0,0,0,0,1,6.6
ŠK Slovan Bratislava,1,11,0,0,0,0,0,0,0,6.6
Juventus,2,158,0,0,0,0,0,2,1,6.6
Bayer 04 Leverkusen,2,11,0,0,0,0,0,0,0,6.6
AC Sparta Praha,8,720,0,0,0,5,0,1,13,6.6
Juventus,7,427,0,0,1,3,1,1,2,6.6
AS Monaco,8,487,0,0,1,1,1,0,0,6.6
ŠK Slovan Bratislava,3,256,0,0,2,2,1,1,4,6.6
BSC Young Boys,8,498,0,0,0,2,0,1,3,6.6
Red Bull Salzburg,7,617,0,0,1,2,0,4,11,6.6
Atalanta,4,211,0,0,0,1,0,0,4,6.6
BSC Young Boys,1,28,0,0,0,1,0,0,0,6.6
FC Barcelona,13,981,0,1,2,3,0,2,21,6.59
PSV Eindhoven,7,334,0,0,0,2,0,0,1,6.59
RB Leipzig,8,614,0,0,1,1,1,0,1,6.58
VfB Stuttgart,5,156,0,0,0,1,0,0,1,6.58
PSV Eindhoven,5,148,0,0,0,1,0,1,1,6.58
GNK Dinamo Zagreb,7,630,0,1,0,2,0,0,5,6.57
ŠK Slovan Bratislava,8,714,0,0,0,0,0,2,10,6.56
FC Bayern München,2,33,0,0,0,0,0,0,0,6.55
FC Barcelona,2,33,0,0,0,0,0,0,2,6.55
Atalanta,2,22,0,0,0,0,0,0,0,6.55
SK Sturm Graz,5,348,0,0,0,0,0,1,2,6.54
Red Bull Salzburg,8,513,0,0,0,3,0,1,2,6.54
AS Monaco,3,60,0,0,0,1,0,1,0,6.53
PSV Eindhoven,3,222,0,0,0,2,0,0,1,6.53
Sporting CP,4,169,0,0,0,0,0,0,1,6.53
Club Brugge KV,4,81,0,0,0,0,0,0,0,6.53
VfB Stuttgart,5,131,0,0,0,1,0,1,1,6.53
Girona FC,5,415,0,0,2,3,0,2,4,6.52
Red Bull Salzburg,6,477,0,1,0,1,0,0,8,6.52
Manchester City,1,9,0,0,0,0,0,0,0,6.5
Inter,1,10,0,0,0,0,0,0,0,6.5
AC Sparta Praha,1,90,0,0,0,0,0,0,2,6.5
AC Sparta Praha,1,11,0,0,0,0,0,0,0,6.5
Club Brugge KV,2,16,0,0,0,0,0,0,1,6.5
FK Crvena zvezda,2,179,0,0,0,0,0,0,2,6.5
Red Bull Salzburg,6,401,0,0,0,0,0,3,4,6.48
Lille,5,320,0,0,0,0,0,0,0,6.46
Aston Villa,2,29,0,0,0,0,0,0,0,6.45
Sporting CP,6,289,0,0,0,0,0,0,0,6.45
AS Monaco,2,20,0,0,0,1,0,2,0,6.45
FK Crvena zvezda,7,630,0,0,0,2,0,0,8,6.43
ŠK Slovan Bratislava,8,719,0,0,1,4,0,7,2,6.43
Bologna,1,45,0,0,0,0,0,0,0,6.4
Red Bull Salzburg,1,45,0,0,0,0,0,2,0,6.4
BSC Young Boys,1,20,0,0,0,0,0,0,0,6.4
PSV Eindhoven,1,16,0,0,0,0,0,0,0,6.4
VfB Stuttgart,3,94,0,0,0,0,0,0,0,6.4
BSC Young Boys,5,326,0,0,0,0,0,0,2,6.4
Real Madrid,1,12,0,0,0,1,0,0,1,6.4
BSC Young Boys,7,446,0,0,0,1,0,3,2,6.4
Feyenoord,7,186,0,0,0,1,0,0,1,6.4
GNK Dinamo Zagreb,3,270,0,0,0,0,0,0,5,6.37
Manchester City,2,111,0,0,0,0,0,0,3,6.35
FC Barcelona,9,274,2,0,3,4,1,3,2,6.33
AC Sparta Praha,4,360,0,0,0,0,0,0,6,6.33
ŠK Slovan Bratislava,4,191,0,1,0,0,0,1,0,6.3
VfB Stuttgart,1,8,0,0,0,0,0,0,0,6.3
BSC Young Boys,6,481,0,0,0,4,1,12,5,6.23
Shakhtar Donetsk,2,135,0,0,0,0,0,1,2,6.15
Red Bull Salzburg,3,90,0,0,0,1,0,0,2,6.15
Juventus,1,9,0,0,0,0,0,0,0,6.1
AC Sparta Praha,2,158,0,0,0,0,0,1,3,6.1
AS Monaco,6,302,0,0,0,0,0,5,1,6.07
Lille,1,45,0,0,0,0,0,0,0,6.0
Club Brugge KV,6,239,1,0,1,2,0,1,1,5.9
AC Sparta Praha,1,90,0,0,0,0,0,0,0,5.9
FK Crvena zvezda,3,90,0,0,0,0,0,0,1,5.9
Stade Brestois,1,90,0,0,0,1,0,1,0,5.6
Liverpool FC,1,4,0,0,0,0,0,0,0,5.3
Celtic,1,11,0,0,0,0,0,0,2,4.6
FC Bayern München,1,1,0,0,0,0,0,0,0,0.0
GNK Dinamo Zagreb,1,1,0,0,0,0,0,0,0,0.0
SK Sturm Graz,1,1,0,0,0,0,0,0,0,0.0
FC Barcelona,14,1225,13,8,21,51,3,15,1,8.24
PSV Eindhoven,6,534,3,2,5,11,0,9,8,8.18
Bayer 04 Leverkusen,9,764,6,1,14,26,1,18,3,7.84
FC Bayern München,14,1260,0,4,9,19,0,4,6,7.84
Red Bull Salzburg,1,90,0,0,0,2,0,0,0,7.7
FC Barcelona,13,1101,5,3,24,53,2,56,1,7.69
PSV Eindhoven,4,333,3,0,5,13,0,4,2,7.68
Bayer 04 Leverkusen,10,870,2,1,11,23,1,10,8,7.67
FC Bayern München,14,1033,5,2,13,41,3,25,7,7.62
Milan,1,75,0,1,0,1,0,1,0,7.6
Manchester City,1,90,0,0,0,1,0,0,0,7.6
Manchester City,9,689,3,1,12,27,1,11,2,7.59
Atalanta,8,288,1,1,5,13,1,18,1,7.57
FC Bayern München,12,866,3,3,11,34,4,23,7,7.57
Liverpool FC,8,674,2,0,3,8,0,4,2,7.54
Paris Saint-Germain,17,1448,2,2,7,22,1,22,2,7.5
Liverpool FC,1,38,0,0,1,1,0,1,0,7.5
Sporting CP,2,163,1,0,1,2,0,1,1,7.45
Liverpool FC,9,808,3,4,11,30,6,7,1,7.43
FC Barcelona,14,1117,0,2,1,6,0,17,1,7.43
VfB Stuttgart,8,695,1,0,4,8,1,3,2,7.43
Sporting CP,3,200,0,2,2,4,1,3,1,7.4
VfB Stuttgart,5,412,2,1,9,21,1,6,0,7.38
Real Madrid,13,1136,3,3,7,17,4,26,9,7.37
Atalanta,9,698,0,5,3,19,3,7,3,7.37
FK Crvena zvezda,5,346,1,1,5,12,1,7,3,7.36
Paris Saint-Germain,17,1435,1,1,5,22,6,15,17,7.36
Aston Villa,12,1046,2,3,7,16,1,5,9,7.34
Arsenal,11,798,3,1,5,12,1,8,1,7.34
Juventus,9,671,0,0,1,2,0,3,11,7.33
Arsenal,13,1005,4,2,7,18,4,6,9,7.33
FK Crvena zvezda,4,157,3,0,4,6,0,5,0,7.33
Atalanta,8,316,0,1,5,9,0,10,2,7.31
Liverpool FC,9,634,3,0,7,14,2,20,8,7.3
Manchester City,1,90,1,0,1,1,0,0,1,7.3
FK Crvena zvezda,8,720,0,2,3,6,0,8,7,7.29
VfB Stuttgart,8,690,2,3,8,20,5,13,0,7.28
Feyenoord,4,360,1,0,2,4,1,2,5,7.28
Feyenoord,11,921,2,4,7,22,2,11,6,7.27
Celtic,10,788,1,2,6,20,1,9,3,7.25
Stade Brestois,5,374,1,0,3,11,0,7,2,7.24
Bayer 04 Leverkusen,10,664,0,0,3,10,0,4,2,7.24
Atlético Madrid,10,748,0,1,1,6,0,6,2,7.23
Manchester City,4,192,0,1,1,4,0,9,0,7.23
Real Madrid,14,1236,0,3,1,13,0,4,12,7.22
Liverpool FC,8,367,3,1,8,13,1,6,7,7.21
Borussia Dortmund,13,917,1,2,4,9,2,2,7,7.2
PSV Eindhoven,8,546,0,3,2,12,0,2,3,7.2
Benfica,12,996,4,0,9,19,0,7,4,7.19
Inter,12,974,2,3,3,12,3,11,26,7.18
Paris Saint-Germain,17,1151,1,4,7,16,1,3,2,7.17
FC Barcelona,9,443,2,1,7,15,3,9,4,7.17
GNK Dinamo Zagreb,8,625,2,1,3,11,0,20,0,7.16
Arsenal,12,817,2,3,7,12,1,6,24,7.16
Juventus,6,364,1,1,4,10,1,7,13,7.15
Celtic,2,115,0,0,0,1,0,0,1,7.15
Milan,10,870,3,0,9,20,0,9,1,7.14
GNK Dinamo Zagreb,3,265,2,0,2,6,0,4,0,7.13
SK Sturm Graz,7,616,1,0,4,11,0,6,2,7.13
Inter,12,835,4,2,5,20,0,2,3,7.13
FC Bayern München,5,298,0,0,0,0,0,1,3,7.12
RB Leipzig,5,337,0,0,3,10,1,7,5,7.12
GNK Dinamo Zagreb,6,344,1,3,3,9,1,2,8,7.12
Bayer 04 Leverkusen,10,819,0,0,3,10,0,1,2,7.11
Real Madrid,11,805,0,0,2,7,0,4,3,7.11
Arsenal,7,222,2,0,6,11,0,7,0,7.1
Club Brugge KV,12,939,1,2,10,26,4,11,5,7.1
FC Barcelona,10,632,0,2,1,5,0,2,3,7.1
VfB Stuttgart,7,555,0,0,0,3,0,5,11,7.1
Inter,10,570,0,1,2,11,1,1,0,7.09
Lille,7,388,1,1,2,9,2,6,3,7.09
Real Madrid,14,655,0,3,2,3,0,6,1,7.09
Paris Saint-Germain,11,462,0,0,6,10,0,8,1,7.08
Aston Villa,10,740,3,2,6,13,2,8,6,7.08
PSV Eindhoven,10,727,3,1,11,26,3,8,4,7.08
Atlético Madrid,9,571,1,2,5,8,1,7,5,7.08
Sporting CP,9,791,0,1,4,17,0,12,2,7.08
Liverpool FC,9,784,0,0,0,1,0,5,4,7.08
Aston Villa,12,1026,4,2,9,26,1,31,5,7.08
Borussia Dortmund,4,352,0,0,2,3,0,2,2,7.08
AS Monaco,10,807,2,2,8,19,2,13,2,7.07
Celtic,10,729,1,3,6,11,1,4,4,7.07
Feyenoord,9,764,3,1,4,11,0,8,3,7.07
Lille,6,310,2,0,3,7,0,8,2,7.07
Club Brugge KV,12,1080,1,1,2,8,2,6,20,7.07
VfB Stuttgart,8,244,1,3,2,9,0,5,2,7.06
Shakhtar Donetsk,7,460,2,0,4,10,1,26,0,7.06
VfB Stuttgart,7,506,1,0,5,7,2,10,2,7.06
Borussia Dortmund,9,618,1,1,2,6,0,8,9,7.06
FC Bayern München,12,384,3,1,6,14,1,1,6,7.05
