team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
Milan,1,27,0,1,0,12,2,0,4,0,3,0,7.0
Bologna,8,647,1,5,1,386,33,0,7,6,33,0,6.99
VfB Stuttgart,7,622,0,7,1,388,16,3,14,11,32,0,6.99
Arsenal,13,852,1,9,3,314,4,16,24,13,43,1,6.98
Bologna,5,371,1,7,2,114,14,2,7,1,14,0,6.98
Manchester City,9,639,1,15,3,432,7,1,11,4,38,0,6.98
Inter,14,1077,1,5,0,703,35,7,26,9,37,0,6.97
Bayer 04 Leverkusen,10,900,0,2,0,675,30,1,6,10,28,0,6.97
FC Bayern München,6,422,0,5,1,264,16,4,11,4,23,0,6.97
Club Brugge KV,12,1080,0,2,0,650,36,2,21,22,30,0,6.97
FC Bayern München,3,102,0,1,0,76,0,0,3,0,4,0,6.97
Celtic,6,370,0,0,0,247,4,1,8,5,12,1,6.96
Inter,9,770,1,3,2,314,15,0,6,13,22,1,6.96
Aston Villa,6,485,0,3,0,283,21,1,5,4,21,0,6.95
Lille,9,623,1,3,1,290,21,10,15,10,41,0,6.94
Stade Brestois,9,810,0,2,0,304,39,0,22,10,30,0,6.94
PSV Eindhoven,10,829,0,7,1,417,15,10,22,6,56,0,6.94
Celtic,7,609,0,1,0,594,11,0,11,7,34,0,6.93
Arsenal,11,990,0,0,0,588,21,2,17,10,45,0,6.93
Aston Villa,9,678,2,2,1,335,15,2,10,4,28,0,6.92
Arsenal,10,566,1,4,2,213,1,9,6,3,22,0,6.92
Aston Villa,10,384,0,4,0,168,2,6,15,5,21,1,6.92
Arsenal,6,193,0,3,2,112,3,0,0,1,9,1,6.92
Girona FC,6,435,0,3,1,227,8,3,8,6,15,0,6.92
Red Bull Salzburg,7,630,1,8,1,270,15,18,14,5,32,0,6.91
VfB Stuttgart,8,646,0,2,0,439,19,0,9,10,29,0,6.91
Juventus,8,646,0,0,0,486,20,3,8,7,32,0,6.91
FC Bayern München,9,527,0,11,1,316,4,3,5,5,25,1,6.91
GNK Dinamo Zagreb,3,225,0,1,0,43,2,2,11,2,4,1,6.9
Bayer 04 Leverkusen,10,796,3,17,3,202,6,6,6,5,18,0,6.9
Paris Saint-Germain,1,18,0,0,0,19,0,0,1,1,1,0,6.9
Juventus,2,102,0,0,0,62,11,1,0,1,3,0,6.9
Atlético Madrid,2,112,0,1,0,59,3,0,5,1,3,0,6.9
Bayer 04 Leverkusen,2,128,0,0,0,40,5,0,3,2,8,0,6.9
Celtic,3,66,0,1,0,46,2,1,4,2,6,0,6.9
Milan,6,411,0,0,0,313,20,0,3,6,13,0,6.9
Real Madrid,4,282,0,2,0,168,20,1,3,5,13,0,6.9
Juventus,2,210,0,0,0,70,5,0,2,0,8,0,6.9
Feyenoord,3,244,0,1,0,87,3,3,16,1,7,0,6.9
Shakhtar Donetsk,3,210,0,0,0,102,6,5,12,3,11,0,6.9
AS Monaco,10,855,1,2,0,459,31,1,21,18,33,1,6.89
Celtic,10,818,0,1,0,660,9,0,22,9,26,0,6.89
FC Barcelona,8,446,3,8,3,235,8,1,9,8,30,0,6.89
Girona FC,7,630,0,0,0,465,26,2,8,5,23,0,6.89
Real Madrid,13,1188,0,3,0,731,52,0,13,5,43,2,6.88
Feyenoord,12,1080,0,5,0,600,28,4,12,16,29,1,6.88
Liverpool FC,4,124,0,1,0,93,1,0,2,2,9,0,6.88
Milan,4,282,0,3,0,182,13,2,5,3,12,0,6.88
Borussia Dortmund,5,282,0,1,0,209,6,0,4,2,14,0,6.88
Bayer 04 Leverkusen,7,277,1,5,1,142,5,0,9,6,17,0,6.87
Atalanta,6,300,0,9,0,153,7,0,4,3,19,0,6.87
RB Leipzig,8,720,0,0,0,436,19,1,17,10,25,0,6.86
Milan,10,861,0,12,1,405,14,5,14,7,42,0,6.86
VfB Stuttgart,7,545,1,4,1,195,6,4,14,6,35,1,6.86
Sporting CP,8,568,1,5,1,298,26,2,11,7,32,1,6.85
Red Bull Salzburg,4,152,0,0,0,59,2,0,8,7,6,1,6.85
Atlético Madrid,6,452,1,6,0,200,4,11,11,9,18,0,6.85
AC Sparta Praha,7,562,1,2,0,186,21,1,4,11,20,0,6.84
FC Barcelona,8,520,0,0,0,347,6,1,12,2,16,1,6.84
Atalanta,8,710,1,3,1,360,13,1,10,10,54,0,6.84
Aston Villa,8,515,0,5,0,152,3,5,14,5,23,0,6.84
SK Sturm Graz,3,188,0,1,0,43,0,2,4,4,6,1,6.83
Liverpool FC,4,229,0,0,0,177,7,0,1,4,15,0,6.83
Aston Villa,9,748,0,9,1,253,7,3,12,6,31,0,6.83
Liverpool FC,8,581,1,5,1,233,25,4,14,8,29,0,6.83
Lille,4,228,1,3,1,108,1,1,6,3,8,0,6.83
Milan,5,314,0,5,1,145,2,1,10,4,15,0,6.83
Inter,13,705,0,1,0,289,6,4,7,12,14,0,6.82
Feyenoord,9,551,1,6,1,185,5,10,9,11,31,0,6.82
FC Barcelona,10,804,2,4,1,362,6,21,8,5,33,0,6.82
Celtic,5,209,1,5,0,103,3,0,8,2,6,0,6.82
Lille,10,855,0,1,0,478,27,1,8,10,33,0,6.82
Milan,7,564,1,2,0,456,8,1,10,6,26,0,6.81
Feyenoord,9,658,1,2,1,413,29,2,13,11,26,1,6.81
Arsenal,10,774,0,2,1,369,17,2,15,3,17,0,6.81
Benfica,11,927,0,3,0,404,34,3,38,12,42,0,6.81
ŠK Slovan Bratislava,5,450,0,1,0,137,9,5,7,10,29,1,6.8
RB Leipzig,4,266,1,7,2,96,4,2,7,2,11,0,6.8
Club Brugge KV,1,32,0,0,0,21,1,1,1,2,2,0,6.8
PSV Eindhoven,1,19,0,0,0,16,1,0,1,1,1,0,6.8
BSC Young Boys,6,497,0,1,1,172,18,3,9,8,23,0,6.8
Atlético Madrid,7,630,0,1,0,345,29,1,6,5,22,0,6.8
Stade Brestois,8,620,0,5,0,187,15,4,6,13,23,0,6.8
Aston Villa,4,312,0,1,0,198,2,1,3,2,9,0,6.8
Benfica,3,155,0,4,0,47,1,3,10,1,9,0,6.8
Manchester City,1,90,0,1,0,53,0,1,1,1,6,0,6.8
Sporting CP,8,440,0,2,0,260,10,0,8,3,11,0,6.8
FC Barcelona,2,48,0,0,0,37,0,1,3,1,4,0,6.8
Lille,8,428,1,5,1,148,3,2,9,2,21,1,6.79
Borussia Dortmund,10,590,0,2,2,394,14,7,14,8,30,0,6.79
GNK Dinamo Zagreb,6,465,0,1,0,169,19,0,9,5,18,0,6.78
Liverpool FC,5,281,1,2,1,129,2,0,10,1,11,0,6.78
Club Brugge KV,10,767,0,2,0,318,13,2,22,10,27,0,6.78
FK Crvena zvezda,5,371,0,1,0,139,5,4,14,5,25,0,6.78
Bologna,5,303,0,0,0,93,9,1,11,3,8,0,6.78
Inter,13,660,2,4,1,219,2,5,9,4,28,0,6.78
Bologna,4,218,0,0,0,116,6,1,3,2,10,0,6.78
Juventus,4,231,0,0,0,128,8,0,10,2,8,0,6.78
Feyenoord,11,723,2,10,1,233,17,3,9,5,28,0,6.76
RB Leipzig,5,378,0,1,0,265,10,1,5,2,21,0,6.76
Club Brugge KV,12,1048,0,0,0,548,21,2,7,12,29,0,6.76
Manchester City,7,450,0,1,0,391,9,0,5,6,10,0,6.76
SK Sturm Graz,7,627,0,2,1,178,17,5,23,6,26,0,6.76
Benfica,9,730,0,0,0,264,25,0,5,7,29,0,6.76
Sporting CP,10,625,0,7,0,232,5,7,17,6,38,1,6.75
RB Leipzig,4,268,0,1,0,186,9,1,1,1,15,0,6.75
Arsenal,5,119,0,3,0,40,0,0,2,0,5,0,6.75
Shakhtar Donetsk,6,447,0,0,0,159,15,6,8,16,16,0,6.75
Real Madrid,10,757,1,1,0,368,9,2,12,3,34,0,6.74
AC Sparta Praha,5,302,0,3,0,74,8,2,6,3,13,0,6.74
FK Crvena zvezda,8,720,1,2,1,321,14,3,10,11,28,1,6.74
Stade Brestois,8,642,0,1,0,272,27,2,9,10,24,0,6.74
Lille,9,489,1,3,2,141,7,9,7,6,24,0,6.73
Sporting CP,3,239,0,1,0,62,1,1,5,3,12,0,6.73
Paris Saint-Germain,4,140,0,0,0,121,3,0,2,2,8,0,6.73
Arsenal,9,345,0,3,0,197,6,0,4,3,13,0,6.73
Real Madrid,9,262,0,3,1,110,2,2,8,7,13,0,6.73
Shakhtar Donetsk,8,720,0,1,0,346,18,0,5,13,28,0,6.73
Atlético Madrid,5,232,0,0,0,114,5,0,2,1,9,0,6.73
AS Monaco,6,477,0,1,0,263,22,0,8,10,22,1,6.72
GNK Dinamo Zagreb,8,650,2,7,2,182,5,1,12,9,28,0,6.7
GNK Dinamo Zagreb,8,535,1,8,0,114,3,10,20,5,18,0,6.7
FC Barcelona,1,10,0,0,0,17,0,0,0,0,2,0,6.7
Girona FC,1,90,0,0,0,38,1,0,2,0,2,0,6.7
ŠK Slovan Bratislava,1,12,0,0,0,2,0,0,1,0,1,0,6.7
Feyenoord,2,15,0,0,0,0,0,0,0,1,0,0,6.7
Shakhtar Donetsk,2,20,0,0,0,1,0,0,0,0,2,0,6.7
Real Madrid,5,176,0,1,0,92,2,0,2,1,3,0,6.7
PSV Eindhoven,6,417,0,2,0,169,7,1,15,12,15,0,6.7
ŠK Slovan Bratislava,8,709,0,0,0,284,15,1,14,15,24,0,6.7
Milan,7,321,0,3,0,173,2,0,6,7,8,0,6.7
Aston Villa,3,126,0,2,0,46,0,1,5,3,11,0,6.7
Real Madrid,11,888,1,5,0,432,12,3,8,3,27,0,6.69
RB Leipzig,6,475,0,3,0,187,14,4,10,12,23,0,6.68
Shakhtar Donetsk,8,720,0,1,0,385,31,3,8,6,22,0,6.68
BSC Young Boys,7,524,0,0,0,209,20,3,10,10,26,0,6.67
BSC Young Boys,3,270,0,1,0,112,7,1,4,6,6,0,6.67
VfB Stuttgart,4,55,0,3,0,30,3,0,1,0,4,0,6.67
Atlético Madrid,6,366,0,1,0,175,3,0,13,7,14,0,6.67
SK Sturm Graz,6,540,0,0,0,172,10,0,12,9,19,0,6.67
Celtic,8,576,1,2,2,285,8,1,14,8,21,0,6.66
ŠK Slovan Bratislava,5,283,0,1,0,48,1,2,4,7,12,0,6.66
FK Crvena zvezda,8,701,3,7,1,268,15,6,7,9,30,0,6.65
Milan,2,60,0,1,0,24,1,0,2,0,4,0,6.65
Feyenoord,12,825,0,3,0,412,29,1,11,6,29,0,6.64
RB Leipzig,3,50,0,0,0,26,1,0,2,0,2,0,6.63
SK Sturm Graz,6,449,0,0,0,177,9,3,7,3,26,0,6.63
PSV Eindhoven,6,268,0,0,0,164,13,0,5,5,12,0,6.63
Shakhtar Donetsk,7,465,2,6,1,106,4,1,6,4,18,0,6.63
Girona FC,4,324,0,5,0,173,5,0,9,6,9,0,6.63
Red Bull Salzburg,4,283,0,0,0,185,6,0,7,3,9,0,6.63
SK Sturm Graz,4,280,0,1,0,83,4,0,5,7,11,0,6.63
Girona FC,5,371,0,0,0,248,9,2,7,5,27,1,6.62
Feyenoord,5,353,1,2,0,98,5,1,11,8,17,0,6.62
Paris Saint-Germain,5,119,0,0,0,61,4,0,2,1,3,0,6.62
Feyenoord,5,281,0,2,0,102,1,6,4,2,15,0,6.62
Sporting CP,9,752,0,0,0,467,8,4,9,8,30,0,6.61
Atlético Madrid,8,426,0,2,0,175,7,1,9,6,22,1,6.6
FC Barcelona,1,10,0,0,0,9,0,0,1,0,0,0,6.6
Atalanta,1,34,0,0,0,13,0,0,1,1,2,0,6.6
Stade Brestois,1,84,0,0,0,25,1,0,1,0,1,0,6.6
ŠK Slovan Bratislava,1,11,0,1,0,8,0,0,0,0,0,0,6.6
Juventus,2,158,0,0,0,85,9,2,4,2,7,0,6.6
Bayer 04 Leverkusen,2,11,0,0,0,9,0,0,0,0,0,0,6.6
AC Sparta Praha,8,720,0,0,0,198,11,1,12,4,16,0,6.6
Juventus,7,427,0,0,0,179,4,1,7,3,12,0,6.6
AS Monaco,8,487,0,7,1,204,8,0,9,8,19,0,6.6
ŠK Slovan Bratislava,3,256,0,1,0,118,9,1,1,3,7,0,6.6
BSC Young Boys,8,498,0,2,0,99,13,1,13,13,14,0,6.6
Red Bull Salzburg,7,617,0,1,0,335,31,4,17,11,31,0,6.6
Atalanta,4,211,0,0,0,133,4,0,3,1,10,0,6.6
BSC Young Boys,1,28,0,0,0,5,1,0,0,0,0,0,6.6
FC Barcelona,13,981,1,4,1,806,42,2,6,11,36,0,6.59
PSV Eindhoven,7,334,0,4,0,194,13,0,6,4,14,0,6.59
RB Leipzig,8,614,0,6,2,232,10,0,6,7,34,0,6.58
VfB Stuttgart,5,156,0,0,0,72,4,0,4,2,6,0,6.58
PSV Eindhoven,5,148,0,1,0,94,5,1,4,2,11,0,6.58
GNK Dinamo Zagreb,7,630,1,1,0,139,14,0,9,12,21,0,6.57
ŠK Slovan Bratislava,8,714,0,1,0,202,8,2,18,12,23,0,6.56
FC Bayern München,2,33,0,0,0,9,1,0,0,0,0,0,6.55
FC Barcelona,2,33,0,0,0,24,1,0,1,1,3,0,6.55
Atalanta,2,22,0,0,0,8,0,0,0,0,1,0,6.55
SK Sturm Graz,5,348,0,1,0,65,9,1,3,0,8,0,6.54
Red Bull Salzburg,8,513,0,2,0,201,10,1,14,7,28,0,6.54
AS Monaco,3,60,0,0,0,12,0,1,2,1,3,0,6.53
PSV Eindhoven,3,222,0,4,1,72,3,0,6,6,8,0,6.53
Sporting CP,4,169,0,1,0,87,4,0,4,1,9,0,6.53
Club Brugge KV,4,81,0,0,0,11,1,0,3,3,4,0,6.53
VfB Stuttgart,5,131,0,3,0,59,1,1,2,2,9,0,6.53
Girona FC,5,415,0,5,0,163,3,2,11,6,12,0,6.52
Red Bull Salzburg,6,477,1,2,0,237,26,0,12,2,19,0,6.52
Manchester City,1,9,0,0,0,2,0,0,0,0,0,0,6.5
Inter,1,10,0,0,0,5,0,0,0,0,0,0,6.5
AC Sparta Praha,1,90,0,1,0,20,0,0,1,1,1,0,6.5
AC Sparta Praha,1,11,0,0,0,7,0,0,2,0,1,0,6.5
Club Brugge KV,2,16,0,0,0,2,0,0,0,0,1,0,6.5
FK Crvena zvezda,2,179,0,0,0,74,5,0,2,2,4,0,6.5
Red Bull Salzburg,6,401,0,2,0,146,8,3,8,5,19,0,6.48
Lille,5,320,0,1,0,101,5,0,7,2,7,0,6.46
Aston Villa,2,29,0,0,0,14,0,0,1,0,1,0,6.45
Sporting CP,6,289,0,1,0,206,7,0,5,4,15,0,6.45
AS Monaco,2,20,0,0,0,3,0,2,0,0,2,0,6.45
FK Crvena zvezda,7,630,0,1,0,243,14,0,11,16,23,0,6.43
ŠK Slovan Bratislava,8,719,0,1,0,175,7,7,20,11,32,0,6.43
Bologna,1,45,0,0,0,21,1,0,2,1,3,0,6.4
Red Bull Salzburg,1,45,0,0,0,29,2,2,2,0,4,0,6.4
BSC Young Boys,1,20,0,0,0,13,0,0,0,0,0,0,6.4
PSV Eindhoven,1,16,0,0,0,1,1,0,0,0,0,0,6.4
VfB Stuttgart,3,94,0,0,0,37,3,0,0,1,7,0,6.4
BSC Young Boys,5,326,0,1,0,194,13,0,1,6,21,0,6.4
Real Madrid,1,12,0,0,0,12,0,0,0,0,1,0,6.4
BSC Young Boys,7,446,0,2,1,128,7,3,9,1,11,0,6.4
Feyenoord,7,186,0,0,0,52,4,0,10,1,7,0,6.4
GNK Dinamo Zagreb,3,270,0,0,0,92,7,0,1,7,8,0,6.37
Manchester City,2,111,0,1,0,68,2,0,1,2,6,0,6.35
FC Barcelona,9,274,0,1,0,207,6,3,7,5,11,2,6.33
AC Sparta Praha,4,360,0,1,0,128,6,0,1,1,11,0,6.33
ŠK Slovan Bratislava,4,191,1,1,0,42,3,1,3,0,7,0,6.3
VfB Stuttgart,1,8,0,0,0,4,0,0,0,0,0,0,6.3
BSC Young Boys,6,481,0,5,0,160,11,12,9,11,36,0,6.23
Shakhtar Donetsk,2,135,0,0,0,51,4,1,5,6,5,0,6.15
Red Bull Salzburg,3,90,0,0,0,27,0,0,3,2,5,0,6.15
Juventus,1,9,0,0,0,3,0,0,0,0,0,0,6.1
AC Sparta Praha,2,158,0,0,0,36,2,1,1,4,10,0,6.1
AS Monaco,6,302,0,0,0,104,8,5,5,6,10,0,6.07
Lille,1,45,0,0,0,16,1,0,2,0,0,0,6.0
Club Brugge KV,6,239,0,1,0,97,6,1,10,7,17,1,5.9
AC Sparta Praha,1,90,0,0,0,57,1,0,2,0,1,0,5.9
FK Crvena zvezda,3,90,0,0,0,14,1,0,3,1,4,0,5.9
Stade Brestois,1,90,0,2,0,21,3,1,2,2,3,0,5.6
Liverpool FC,1,4,0,0,0,1,0,0,0,0,0,0,5.3
Celtic,1,11,0,0,0,10,1,0,0,0,0,0,4.6
FC Bayern München,1,1,0,0,0,0,0,0,0,0,0,0,0.0
GNK Dinamo Zagreb,1,1,0,0,0,0,0,0,0,0,0,0,0.0
SK Sturm Graz,1,1,0,0,0,3,0,0,0,0,0,0,0.0
FC Barcelona,14,1225,8,39,13,415,25,15,18,8,33,13,8.24
PSV Eindhoven,6,534,2,21,1,217,9,9,21,9,40,3,8.18
Bayer 04 Leverkusen,9,764,1,25,4,392,5,18,6,4,32,6,7.84
FC Bayern München,14,1260,4,37,11,1158,72,4,16,12,78,0,7.84
Red Bull Salzburg,1,90,0,2,1,48,6,0,2,0,2,0,7.7
FC Barcelona,13,1101,3,16,5,398,12,56,15,4,45,5,7.69
PSV Eindhoven,4,333,0,6,1,84,8,4,9,7,14,3,7.68
Bayer 04 Leverkusen,10,870,1,22,3,475,5,10,18,3,43,2,7.67
FC Bayern München,14,1033,2,22,10,584,14,25,10,5,46,5,7.62
Milan,1,75,1,2,1,38,1,1,2,0,6,0,7.6
Manchester City,1,90,0,1,0,82,7,0,3,0,9,0,7.6
Manchester City,9,689,1,19,2,365,7,11,4,1,23,3,7.59
Atalanta,8,288,1,23,1,154,13,18,4,1,13,1,7.57
