fixture_id,date,competition,season,round,team_name,team_id,is_home,opponent,opponent_id,goals_for,goals_against,result,points,status,home_shots_on_goal,home_shots_off_goal,home_total_shots,home_blocked_shots,home_shots_insidebox,home_shots_outsidebox,home_fouls,home_corner_kicks,home_offsides,home_ball_possession,home_yellow_cards,home_goalkeeper_saves,home_total_passes,home_passes_accurate,home_passes_%,away_shots_on_goal,away_shots_off_goal,away_total_shots,away_blocked_shots,away_shots_insidebox,away_shots_outsidebox,away_fouls,away_corner_kicks,away_offsides,away_ball_possession,away_yellow_cards,away_goalkeeper_saves,away_total_passes,away_passes_accurate,away_passes_%,home_red_cards,away_red_cards,home_expected_goals,away_expected_goals
971806,2023-03-14T20:00:00+00:00,Champions League,2022,Round of 16,RB Leipzig,173,False,Manchester City,50,0,7,Loss,0,FT,,,,,,,,,,,,,,,,1.0,3.0,4.0,0.0,2.0,2.0,7.0,0.0,2.0,33%,2.0,8.0,332.0,262.0,79%,,,,0.56
971802,2023-03-15T20:00:00+00:00,Champions League,2022,Round of 16,Real Madrid,541,True,Liverpool,40,1,0,Win,3,FT,8.0,5.0,17.0,4.0,10.0,7.0,7.0,5.0,5.0,54%,0.0,5.0,533.0,457.0,86%,,,,,,,,,,,,,,,,,,2.19,
971802,2023-03-15T20:00:00+00:00,Champions League,2022,Round of 16,Liverpool,40,False,Real Madrid,541,0,1,Loss,0,FT,,,,,,,,,,,,,,,,5.0,3.0,9.0,1.0,7.0,2.0,17.0,9.0,2.0,46%,1.0,6.0,449.0,380.0,85%,,,,0.56
1016057,2023-04-11T19:00:00+00:00,Champions League,2022,Quarter-finals,Manchester City,50,True,Bayern Munich,157,3,0,Win,3,FT,9.0,5.0,17.0,3.0,13.0,4.0,11.0,8.0,0.0,44%,1.0,4.0,427.0,351.0,82%,,,,,,,,,,,,,,,,,,1.92,
1016057,2023-04-11T19:00:00+00:00,Champions League,2022,Quarter-finals,Bayern Munich,157,False,Manchester City,50,0,3,Loss,0,FT,,,,,,,,,,,,,,,,4.0,3.0,12.0,5.0,5.0,7.0,8.0,5.0,1.0,56%,2.0,6.0,558.0,487.0,87%,,,,0.85
1016059,2023-04-12T19:00:00+00:00,Champions League,2022,Quarter-finals,Real Madrid,541,True,Chelsea,49,2,0,Win,3,FT,10.0,5.0,18.0,3.0,9.0,9.0,10.0,3.0,1.0,57%,3.0,3.0,643.0,576.0,90%,,,,,,,,,,,,,,,,0.0,,2.28,
1016059,2023-04-12T19:00:00+00:00,Champions League,2022,Quarter-finals,Chelsea,49,False,Real Madrid,541,0,2,Loss,0,FT,,,,,,,,,,,,,,,,3.0,2.0,7.0,2.0,5.0,2.0,10.0,3.0,0.0,43%,2.0,8.0,480.0,396.0,83%,,1.0,,0.66
1016060,2023-04-18T19:00:00+00:00,Champions League,2022,Quarter-finals,Chelsea,49,True,Real Madrid,541,0,2,Loss,0,FT,6.0,7.0,19.0,6.0,13.0,6.0,16.0,8.0,2.0,54%,3.0,4.0,549.0,497.0,91%,,,,,,,,,,,,,,,,,,1.90,
1016060,2023-04-18T19:00:00+00:00,Champions League,2022,Quarter-finals,Real Madrid,541,False,Chelsea,49,2,0,Win,3,FT,,,,,,,,,,,,,,,,6.0,3.0,9.0,0.0,8.0,1.0,8.0,2.0,2.0,46%,1.0,6.0,476.0,416.0,87%,,,,1.79
1016058,2023-04-19T19:00:00+00:00,Champions League,2022,Quarter-finals,Bayern Munich,157,True,Manchester City,50,1,1,Draw,1,FT,7.0,9.0,19.0,3.0,13.0,6.0,12.0,5.0,2.0,58%,6.0,1.0,536.0,481.0,90%,,,,,,,,,,,,,,,,,,2.19,
1016058,2023-04-19T19:00:00+00:00,Champions League,2022,Quarter-finals,Manchester City,50,False,Bayern Munich,157,1,1,Draw,1,FT,,,,,,,,,,,,,,,,2.0,2.0,7.0,3.0,4.0,3.0,11.0,2.0,2.0,42%,4.0,5.0,394.0,339.0,86%,,,,1.35
1022981,2023-05-09T19:00:00+00:00,Champions League,2022,Semi-finals,Real Madrid,541,True,Manchester City,50,1,1,Draw,1,FT,4.0,2.0,13.0,7.0,6.0,7.0,11.0,8.0,0.0,44%,2.0,5.0,452.0,392.0,87%,,,,,,,,,,,,,,,,,,0.70,
1022981,2023-05-09T19:00:00+00:00,Champions League,2022,Semi-finals,Manchester City,50,False,Real Madrid,541,1,1,Draw,1,FT,,,,,,,,,,,,,,,,6.0,1.0,10.0,3.0,3.0,7.0,11.0,7.0,2.0,56%,2.0,3.0,565.0,512.0,91%,,,,0.55
1022982,2023-05-17T19:00:00+00:00,Champions League,2022,Semi-finals,Manchester City,50,True,Real Madrid,541,4,0,Win,3,FT,8.0,6.0,16.0,2.0,12.0,4.0,16.0,7.0,,59%,3.0,3.0,618.0,552.0,89%,,,,,,,,,,,,,,,,,,2.82,
1022982,2023-05-17T19:00:00+00:00,Champions League,2022,Semi-finals,Real Madrid,541,False,Manchester City,50,0,4,Loss,0,FT,,,,,,,,,,,,,,,,3.0,2.0,7.0,2.0,3.0,4.0,14.0,3.0,,41%,2.0,4.0,421.0,348.0,83%,,,,0.47
1027909,2023-06-10T19:00:00+00:00,Champions League,2022,Final,Manchester City,50,True,Inter,505,1,0,Win,3,FT,4.0,3.0,7.0,0.0,5.0,2.0,11.0,2.0,1.0,56%,2.0,5.0,512.0,443.0,87%,,,,,,,,,,,,,,,,,,0.99,
1027909,2023-06-10T19:00:00+00:00,Champions League,2022,Final,Inter,505,False,Manchester City,50,0,1,Loss,0,FT,,,,,,,,,,,,,,,,6.0,7.0,14.0,1.0,9.0,5.0,17.0,4.0,1.0,44%,3.0,3.0,394.0,325.0,82%,,,,1.68
