season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,Nation,Age,Min,SoTA,GA,Saves,Save%
2024-2025,Aston Villa 2024 2025,2024-12-14,Premier League,Nottingham Forest,2024-12-14_premier_league_nottingham_forest_goalkeeper_stats.csv,26926fd3,https://fbref.com/en/matches/26926fd3/Nottingham-Forest-Aston-Villa-December-14-2024-Premier-League,2024-12-14,Premier League,Matchweek 16,Away,Nottingham Forest,L,2024-12-14_premier_league_nottingham_forest,Aston Villa,Emiliano Martínez,ar ARG,32-103,90,6.0,2,4.0,66.7
2024-2025,Aston Villa 2024 2025,2024-12-21,Premier League,Manchester City,2024-12-21_premier_league_manchester_city_goalkeeper_stats.csv,ce9dc982,https://fbref.com/en/matches/ce9dc982/Aston-Villa-Manchester-City-December-21-2024-Premier-League,2024-12-21,Premier League,Matchweek 17,Home,Manchester City,W,2024-12-21_premier_league_manchester_city,Aston Villa,Emiliano Martínez,ar ARG,32-110,90,6.0,1,5.0,83.3
2024-2025,Aston Villa 2024 2025,2024-12-26,Premier League,Newcastle United,2024-12-26_premier_league_newcastle_united_goalkeeper_stats.csv,9985f304,https://fbref.com/en/matches/9985f304/Newcastle-United-Aston-Villa-December-26-2024-Premier-League,2024-12-26,Premier League,Matchweek 18,Away,Newcastle United,L,2024-12-26_premier_league_newcastle_united,Aston Villa,Emiliano Martínez,ar ARG,32-115,90,7.0,3,4.0,57.1
2024-2025,Aston Villa 2024 2025,2024-12-30,Premier League,Brighton,2024-12-30_premier_league_brighton_goalkeeper_stats.csv,5e8340e9,https://fbref.com/en/matches/5e8340e9/Aston-Villa-Brighton-and-Hove-Albion-December-30-2024-Premier-League,2024-12-30,Premier League,Matchweek 19,Home,Brighton,D,2024-12-30_premier_league_brighton,Aston Villa,Emiliano Martínez,ar ARG,32-119,90,5.0,2,3.0,60.0
2024-2025,Aston Villa 2024 2025,2025-01-04,Premier League,Leicester City,2025-01-04_premier_league_leicester_city_goalkeeper_stats.csv,f5ae8d7d,https://fbref.com/en/matches/f5ae8d7d/Aston-Villa-Leicester-City-January-4-2025-Premier-League,2025-01-04,Premier League,Matchweek 20,Home,Leicester City,W,2025-01-04_premier_league_leicester_city,Aston Villa,Emiliano Martínez,ar ARG,32-124,90,2.0,1,1.0,50.0
2024-2025,Aston Villa 2024 2025,2025-01-10,Fa Cup,West Ham United,2025-01-10_fa_cup_west_ham_united_goalkeeper_stats.csv,027fb10f,https://fbref.com/en/matches/027fb10f/Aston-Villa-West-Ham-United-January-10-2025-FA-Cup,2025-01-10,FA Cup,Third round proper,Home,West Ham United,W,2025-01-10_fa_cup_west_ham_united,Aston Villa,Robin Olsen,se SWE,35-002,90,,1,,
2024-2025,Aston Villa 2024 2025,2025-01-15,Premier League,Everton,2025-01-15_premier_league_everton_goalkeeper_stats.csv,3e70b855,https://fbref.com/en/matches/3e70b855/Everton-Aston-Villa-January-15-2025-Premier-League,2025-01-15,Premier League,Matchweek 21,Away,Everton,W,2025-01-15_premier_league_everton,Aston Villa,Emiliano Martínez,ar ARG,32-135,90,2.0,0,2.0,100.0
2024-2025,Aston Villa 2024 2025,2025-01-18,Premier League,Arsenal,2025-01-18_premier_league_arsenal_goalkeeper_stats.csv,1fdaaaba,https://fbref.com/en/matches/1fdaaaba/Arsenal-Aston-Villa-January-18-2025-Premier-League,2025-01-18,Premier League,Matchweek 22,Away,Arsenal,D,2025-01-18_premier_league_arsenal,Aston Villa,Emiliano Martínez,ar ARG,32-138,90,6.0,2,4.0,66.7
2024-2025,Aston Villa 2024 2025,2025-01-21,Champions Lg,Frmonaco,2025-01-21_champions_lg_frmonaco_goalkeeper_stats.csv,283b037e,https://fbref.com/en/matches/283b037e/Monaco-Aston-Villa-January-21-2025-Champions-League,2025-01-21,Champions Lg,League phase,Away,frMonaco,L,2025-01-21_champions_lg_frmonaco,Aston Villa,Emiliano Martínez,ar ARG,32-141,90,4.0,1,3.0,75.0
2024-2025,Aston Villa 2024 2025,2025-01-26,Premier League,West Ham United,2025-01-26_premier_league_west_ham_united_goalkeeper_stats.csv,bb05246c,https://fbref.com/en/matches/bb05246c/Aston-Villa-West-Ham-United-January-26-2025-Premier-League,2025-01-26,Premier League,Matchweek 23,Home,West Ham United,D,2025-01-26_premier_league_west_ham_united,Aston Villa,Emiliano Martínez,ar ARG,32-146,90,3.0,1,2.0,66.7
