team,appearances,minutesPlayed,assists,keyPasses,bigChancesCreated,accuratePasses,accurateLongBalls,successfulDribbles,tackles,interceptions,ballRecovery,goals,rating
FC Bayern München,9,810,1,7,1,613,34,0,14,14,48,0,6.97
Inter,3,270,0,0,0,202,13,2,6,2,25,0,6.97
Inter,6,540,0,0,0,394,18,2,6,17,32,0,6.97
Real Madrid,2,167,1,3,1,84,5,1,5,0,8,0,6.95
Chelsea,2,179,0,1,0,69,5,2,1,0,10,0,6.95
Juventus,6,497,0,0,0,386,37,0,5,8,32,0,6.95
Atalanta,8,720,0,4,0,308,16,1,11,24,42,0,6.95
Borussia Dortmund,7,630,0,3,0,519,26,1,12,8,40,0,6.94
RB Leipzig,7,605,0,1,0,453,48,8,22,14,76,0,6.94
FC Barcelona,3,236,0,1,0,197,9,0,3,3,18,1,6.93
Real Madrid,9,810,0,1,0,597,39,2,11,14,45,0,6.93
Sevilla,7,515,0,2,0,351,24,3,3,6,28,1,6.93
Chelsea,7,591,0,0,0,356,18,0,3,10,32,0,6.93
AFC Ajax,5,415,0,2,0,276,31,4,9,5,43,0,6.92
FC Krasnodar,5,450,0,4,0,124,9,2,6,8,20,0,6.92
Real Madrid,11,963,0,8,2,507,18,19,13,13,56,1,6.92
Atlético Madrid,6,347,0,0,0,186,20,2,11,7,24,1,6.92
Zenit St. Petersburg,6,472,1,3,0,231,38,2,3,9,25,0,6.92
Sevilla,6,468,0,10,1,255,27,4,4,7,26,0,6.92
FC Porto,9,745,1,7,2,263,12,13,15,7,47,0,6.91
Paris Saint-Germain,12,786,0,1,0,383,25,2,10,20,49,0,6.91
Borussia M'gladbach,5,448,0,2,0,148,6,4,15,11,23,2,6.9
Borussia Dortmund,8,668,0,7,0,502,17,7,7,5,34,1,6.9
Olympiacos FC,1,66,0,0,0,13,1,0,3,0,3,0,6.9
Manchester City,3,208,0,0,0,225,11,0,2,3,14,0,6.9
FC Barcelona,6,254,0,1,0,195,1,3,7,2,20,0,6.9
Lazio,7,481,0,0,0,280,23,1,14,7,26,0,6.89
Atalanta,6,531,2,5,2,188,6,1,9,7,20,0,6.88
Manchester United,6,472,1,3,0,173,3,3,14,9,31,0,6.88
Club Brugge KV,5,450,0,0,0,242,20,2,9,9,42,0,6.88
Lazio,4,181,0,0,0,87,4,0,4,4,10,0,6.88
Liverpool FC,10,753,0,13,0,436,17,7,6,6,56,0,6.87
Dynamo Kyiv,6,540,1,7,2,211,13,0,8,14,23,0,6.87
FC Midtjylland,3,206,0,3,1,55,9,0,4,6,15,0,6.87
Sevilla,8,720,0,2,0,533,38,0,9,12,50,0,6.86
Atalanta,8,623,0,1,0,242,18,3,19,13,44,0,6.86
Borussia M'gladbach,8,685,1,4,0,205,10,6,21,11,33,0,6.85
Borussia Dortmund,2,27,0,0,0,8,3,0,1,1,2,0,6.85
Shakhtar Donetsk,6,540,0,0,0,304,22,1,6,10,17,0,6.85
RB Leipzig,7,551,0,10,4,273,20,3,14,19,53,1,6.84
