team,appearances,minutesPlayed,goals,assists,keyPasses,bigChancesCreated,successfulDribbles,accurateCrosses,shotsOnTarget,totalShots,rating
Manchester United,1,90,0,0,0,0,0,0,0,0,6.1
Sevilla,1,90,0,0,0,0,0,0,0,0,5.7
Shakhtar Donetsk,1,90,0,0,0,0,0,0,0,0,5.6
Inter,1,90,0,0,3,1,2,2,0,1,7.6
Sevilla,4,326,0,1,11,3,8,11,0,0,7.5
FC Midtjylland,1,90,0,0,0,0,0,0,0,1,7.5
Atalanta,7,626,1,1,4,2,1,0,2,5,7.47
FC Porto,3,182,0,0,0,0,3,0,0,0,7.35
Real Madrid,5,424,2,1,1,1,2,0,3,5,7.34
Juventus,5,480,0,1,10,2,6,5,0,2,7.34
Paris Saint-Germain,10,817,3,0,2,0,5,1,3,8,7.33
Juventus,5,405,0,0,1,0,1,0,0,2,7.32
FC Bayern München,7,522,1,0,2,1,1,0,1,1,7.3
Lazio,8,720,0,1,10,2,9,6,1,5,7.3
Manchester City,1,78,0,0,2,0,1,1,0,1,7.3
Real Madrid,6,476,0,1,2,2,4,1,0,1,7.28
Borussia M'gladbach,4,215,1,0,2,0,0,3,1,2,7.27
Liverpool FC,3,270,0,1,1,0,0,0,0,0,7.27
Liverpool FC,8,712,0,2,18,5,5,9,0,0,7.26
Borussia M'gladbach,7,620,1,0,0,0,1,0,1,2,7.24
Chelsea,6,220,1,0,7,0,5,6,2,3,7.22
FC Porto,10,930,0,0,1,0,8,0,0,0,7.21
Atlético Madrid,4,338,1,0,0,0,1,0,1,5,7.2
AFC Ajax,6,481,1,0,3,0,8,1,4,9,7.2
Manchester United,4,331,0,1,6,1,5,8,0,2,7.2
Borussia Dortmund,9,792,0,0,4,0,1,0,1,4,7.2
Chelsea,11,964,0,0,6,0,3,3,1,3,7.2
Juventus,7,568,0,0,1,0,6,0,1,6,7.19
Manchester City,11,970,0,0,3,2,1,0,0,3,7.17
FC Bayern München,7,537,1,0,1,0,9,1,2,5,7.17
Chelsea,5,450,0,0,0,0,1,0,1,2,7.16
Stade Rennais,2,180,0,0,0,0,0,0,2,4,7.15
Shakhtar Donetsk,3,127,0,0,0,0,0,0,0,0,7.15
Manchester City,9,605,1,1,8,2,17,5,3,8,7.14
Lokomotiv Moscow,5,405,0,0,0,0,1,1,1,1,7.14
FC Midtjylland,6,540,2,0,4,1,4,0,3,4,7.13
Liverpool FC,4,189,0,1,2,2,1,2,0,2,7.13
Chelsea,10,567,0,1,7,3,6,6,0,4,7.1
Chelsea,11,922,0,1,2,1,2,0,3,5,7.1
Dynamo Kyiv,1,90,0,0,0,0,2,0,0,1,7.1
Real Madrid,2,167,0,0,2,0,1,1,0,0,7.1
Liverpool FC,3,270,0,0,0,0,0,0,0,2,7.1
Club Brugge KV,3,270,0,0,1,0,0,1,0,0,7.1
Manchester City,11,982,0,0,3,0,11,1,1,2,7.1
FC Bayern München,10,693,1,0,4,0,13,5,2,9,7.09
Manchester City,11,796,0,0,2,0,3,0,0,1,7.08
Atlético Madrid,7,609,0,0,10,1,6,10,0,0,7.07
Atlético Madrid,8,657,1,1,8,1,17,3,3,11,7.06
Atalanta,2,176,0,0,1,0,2,1,1,2,7.05
Club Brugge KV,2,180,0,0,0,0,0,0,0,0,7.05
FC Porto,10,867,1,0,3,1,12,3,4,9,7.03
FC Bayern München,7,570,0,2,5,2,2,6,3,6,7.03
Manchester City,4,277,0,0,0,0,1,0,0,1,7.03
Manchester City,9,585,0,1,2,0,3,3,3,5,7.02
Lokomotiv Moscow,5,450,0,0,1,0,3,0,1,3,7.02
FC Barcelona,7,485,0,2,14,3,4,4,0,1,7.0
FC Midtjylland,1,90,0,0,0,0,0,0,0,0,7.0
Manchester City,2,180,0,0,0,0,0,0,1,1,7.0
Liverpool FC,4,321,0,0,0,0,3,0,0,1,7.0
FC Bayern München,6,322,0,0,1,1,18,0,0,2,7.0
Borussia Dortmund,7,348,0,1,4,1,6,1,0,2,6.98
Lokomotiv Moscow,4,270,0,0,0,0,0,0,0,1,6.98
Chelsea,8,567,0,0,0,0,1,0,0,3,6.98
Real Madrid,8,720,0,0,0,0,4,0,2,5,6.98
FC Bayern München,9,810,0,1,7,1,0,2,3,10,6.97
Inter,3,270,0,0,0,0,2,2,0,2,6.97
Inter,6,540,0,0,0,0,2,0,0,2,6.97
Real Madrid,2,167,0,1,3,1,1,2,0,1,6.95
Chelsea,2,179,0,0,1,0,2,3,1,2,6.95
Juventus,6,497,0,0,0,0,0,0,0,1,6.95
Atalanta,8,720,0,0,4,0,1,0,1,4,6.95
Borussia Dortmund,7,630,0,0,3,0,1,0,2,3,6.94
RB Leipzig,7,605,0,0,1,0,8,0,2,4,6.94
FC Barcelona,3,236,1,0,1,0,0,0,1,1,6.93
Real Madrid,9,810,0,0,1,0,2,0,1,3,6.93
Sevilla,7,515,1,0,2,0,3,1,6,9,6.93
Chelsea,7,591,0,0,0,0,0,0,0,1,6.93
AFC Ajax,5,415,0,0,2,0,4,1,0,1,6.92
FC Krasnodar,5,450,0,0,4,0,2,3,0,3,6.92
Real Madrid,11,963,1,0,8,2,19,2,3,6,6.92
Atlético Madrid,6,347,1,0,0,0,2,0,1,2,6.92
Zenit St. Petersburg,6,472,0,1,3,0,2,1,0,2,6.92
Sevilla,6,468,0,0,10,1,4,16,2,2,6.92
FC Porto,9,745,0,1,7,2,13,3,0,0,6.91
Paris Saint-Germain,12,786,0,0,1,0,2,1,0,0,6.91
Borussia M'gladbach,5,448,2,0,2,0,4,1,2,4,6.9
Borussia Dortmund,8,668,1,0,7,0,7,3,2,6,6.9
Olympiacos FC,1,66,0,0,0,0,0,0,0,0,6.9
Manchester City,3,208,0,0,0,0,0,0,1,2,6.9
FC Barcelona,6,254,0,0,1,0,3,1,0,1,6.9
Lazio,7,481,0,0,0,0,1,0,0,2,6.89
Atalanta,6,531,0,2,5,2,1,3,1,2,6.88
Manchester United,6,472,0,1,3,0,3,0,0,0,6.88
Club Brugge KV,5,450,0,0,0,0,2,0,0,1,6.88
Lazio,4,181,0,0,0,0,0,0,0,1,6.88
Liverpool FC,10,753,0,0,13,0,7,12,0,4,6.87
Dynamo Kyiv,6,540,0,1,7,2,0,9,1,2,6.87
FC Midtjylland,3,206,0,0,3,1,0,3,1,1,6.87
Sevilla,8,720,0,0,2,0,0,0,4,12,6.86
Atalanta,8,623,0,0,1,0,3,1,0,0,6.86
Borussia M'gladbach,8,685,0,1,4,0,6,5,1,1,6.85
Borussia Dortmund,2,27,0,0,0,0,0,0,0,0,6.85
Shakhtar Donetsk,6,540,0,0,0,0,1,0,0,0,6.85
RB Leipzig,7,551,1,0,10,4,3,2,2,4,6.84
Paris Saint-Germain,5,381,0,0,3,0,5,1,2,4,6.84
Atlético Madrid,8,711,0,0,0,0,1,0,1,2,6.84
Liverpool FC,6,332,0,0,0,0,0,0,0,0,6.83
FC Krasnodar,6,495,1,0,2,0,10,0,3,7,6.82
Lokomotiv Moscow,6,534,0,1,5,1,1,3,0,1,6.82
FC Porto,6,570,0,0,2,0,0,0,2,3,6.82
Borussia Dortmund,3,227,1,0,0,0,1,0,2,2,6.8
Inter,6,411,0,1,3,1,1,1,0,2,6.8
Lazio,8,720,0,1,9,0,6,3,1,2,6.8
Stade Rennais,1,17,0,0,0,0,0,0,0,0,6.8
Liverpool FC,2,174,0,0,0,0,0,0,0,1,6.8
Real Madrid,2,31,0,0,0,0,0,1,0,0,6.8
Manchester United,2,27,0,0,0,0,0,0,0,0,6.8
RB Leipzig,3,114,0,0,2,0,2,0,0,2,6.8
Olympiacos FC,3,189,0,0,0,0,0,0,0,0,6.8
Başakşehir FK,3,179,0,0,3,0,0,0,1,2,6.8
AFC Ajax,5,302,0,0,1,0,5,0,1,2,6.8
Atlético Madrid,8,384,0,0,2,0,4,4,2,2,6.8
Chelsea,10,775,1,0,9,3,4,5,3,5,6.79
Manchester United,5,450,0,0,2,0,1,0,0,3,6.78
Olympiacos FC,6,451,0,0,1,0,1,0,0,5,6.78
FC Barcelona,7,587,1,0,6,3,10,3,2,5,6.77
Red Bull Salzburg,6,540,0,1,2,1,0,1,2,6,6.77
FC Porto,6,419,0,0,0,0,0,0,1,1,6.77
Paris Saint-Germain,8,509,0,1,2,1,8,0,0,0,6.76
Atlético Madrid,5,382,0,0,0,0,0,0,0,0,6.76
Dynamo Kyiv,6,411,1,0,1,0,1,0,1,1,6.75
Lazio,2,135,0,0,0,0,0,2,0,1,6.75
Shakhtar Donetsk,4,298,0,0,2,0,1,0,1,1,6.75
Olympiacos FC,6,529,0,0,0,0,3,0,0,3,6.75
FC Midtjylland,5,450,0,0,4,2,3,0,2,6,6.74
Paris Saint-Germain,10,814,0,0,8,2,6,4,1,4,6.74
FC Bayern München,3,128,0,0,0,0,0,0,0,0,6.73
Lokomotiv Moscow,3,194,0,0,1,0,3,0,0,1,6.73
Liverpool FC,4,131,0,0,0,0,3,0,0,2,6.73
AFC Ajax,6,504,0,0,0,0,4,0,1,7,6.73
FC Bayern München,8,193,0,2,2,1,1,1,0,1,6.73
Olympique de Marseille,4,360,0,0,1,0,0,0,0,2,6.73
FC Bayern München,5,186,0,0,4,0,1,6,0,3,6.73
Stade Rennais,5,241,0,0,2,0,4,1,1,3,6.72
RB Leipzig,6,324,0,0,0,0,2,0,0,1,6.72
AFC Ajax,6,514,0,0,0,0,2,1,1,2,6.72
Borussia M'gladbach,8,720,0,0,2,0,0,0,0,0,6.71
Red Bull Salzburg,5,450,0,1,4,1,1,0,0,4,6.7
Liverpool FC,1,45,0,0,0,0,0,0,0,0,6.7
FC Porto,2,83,0,0,1,0,3,0,0,1,6.7
Zenit St. Petersburg,3,167,0,0,4,1,0,3,0,2,6.7
Manchester United,4,292,0,0,10,0,2,10,0,0,6.7
Zenit St. Petersburg,5,397,0,0,3,0,3,3,0,0,6.7
Juventus,5,400,0,0,0,0,0,0,1,2,6.7
Başakşehir FK,6,375,0,0,4,1,2,1,0,1,6.7
Stade Rennais,6,520,0,0,1,0,2,0,1,2,6.7
Lokomotiv Moscow,6,540,0,0,2,0,4,2,1,2,6.68
Zenit St. Petersburg,5,383,0,0,0,0,1,0,1,4,6.68
Inter,5,420,0,0,2,1,4,5,0,3,6.68
FC Krasnodar,3,151,0,0,1,0,0,1,0,0,6.67
Borussia Dortmund,6,468,0,0,1,0,6,0,0,4,6.67
Inter,5,358,0,1,4,1,4,4,0,1,6.66
Manchester United,5,392,0,0,0,0,0,0,1,2,6.66
FC Porto,4,136,0,1,1,0,5,2,0,0,6.65
Borussia M'gladbach,3,55,0,0,0,0,0,0,0,0,6.65
Club Brugge KV,4,318,0,0,0,0,0,0,0,0,6.65
Başakşehir FK,5,402,0,0,2,0,1,0,0,0,6.64
Paris Saint-Germain,11,980,0,0,0,0,3,0,0,0,6.64
RB Leipzig,6,475,0,0,0,0,4,0,1,3,6.63
Lazio,6,342,0,0,0,0,2,2,0,4,6.63
Inter,5,318,0,0,3,0,1,2,0,1,6.62
Olympique de Marseille,5,450,0,0,4,1,2,3,0,1,6.62
Borussia Dortmund,7,458,0,0,0,0,6,0,0,0,6.61
FC Krasnodar,5,450,0,1,1,1,0,0,0,5,6.6
Juventus,1,21,0,0,0,0,0,0,0,0,6.6
FC Barcelona,1,35,0,0,1,0,0,0,0,0,6.6
Club Brugge KV,1,11,0,0,0,0,1,0,0,0,6.6
FC Krasnodar,1,72,0,0,1,1,0,0,0,0,6.6
Atalanta,2,19,0,0,0,0,0,0,0,1,6.6
Ferencváros TC,2,176,0,0,0,0,0,0,0,0,6.6
Ferencváros TC,2,180,0,0,0,0,2,0,0,0,6.6
Juventus,3,144,0,0,1,0,0,0,0,1,6.6
RB Leipzig,3,188,0,0,1,0,0,0,1,1,6.6
AFC Ajax,3,55,0,0,1,0,0,0,0,0,6.6
Stade Rennais,4,273,0,0,0,0,0,0,0,3,6.6
Dynamo Kyiv,4,354,0,0,4,0,4,2,0,1,6.6
Shakhtar Donetsk,4,296,0,0,0,0,0,0,0,0,6.6
Club Brugge KV,6,533,0,0,2,0,8,3,0,1,6.6
FC Barcelona,3,147,0,0,0,0,0,0,0,0,6.57
Dynamo Kyiv,6,540,0,0,0,0,1,0,0,2,6.57
Ferencváros TC,6,370,0,0,5,1,0,4,0,6,6.57
Red Bull Salzburg,6,540,0,0,6,2,0,2,3,9,6.57
Dynamo Kyiv,4,228,0,0,2,0,4,0,1,1,6.55
Manchester United,5,202,0,0,0,0,1,0,0,1,6.54
FC Barcelona,8,561,0,0,1,0,1,0,0,1,6.54
Stade Rennais,6,540,0,0,1,0,0,3,0,5,6.53
Atalanta,6,215,0,0,0,0,1,0,0,0,6.53
Ferencváros TC,6,540,0,0,3,0,0,0,0,3,6.53
Sevilla,4,221,0,0,1,0,2,2,1,1,6.53
Ferencváros TC,5,369,0,0,1,0,2,0,0,0,6.52
Olympiacos FC,5,430,0,0,1,0,5,2,0,1,6.52
FC Krasnodar,6,524,0,0,1,0,5,0,1,3,6.52
Red Bull Salzburg,1,90,0,0,0,0,1,1,0,0,6.5
Borussia M'gladbach,1,8,0,0,0,0,0,0,0,0,6.5
Olympiacos FC,2,21,0,0,0,0,0,0,0,0,6.5
Olympique de Marseille,2,103,0,0,0,0,0,0,0,0,6.5
Sevilla,3,199,0,0,0,0,0,0,0,2,6.5
Paris Saint-Germain,5,70,0,0,0,0,1,0,0,0,6.5
Olympique de Marseille,6,540,0,0,1,0,0,0,0,3,6.5
FC Krasnodar,5,293,0,0,1,0,3,3,0,3,6.48
Zenit St. Petersburg,4,281,0,0,2,0,1,2,1,3,6.48
RB Leipzig,2,180,0,0,0,0,0,0,0,2,6.45
Olympique de Marseille,6,540,0,0,0,0,5,1,0,0,6.45
FC Midtjylland,5,398,0,0,3,0,1,2,0,0,6.44
Olympiacos FC,6,540,0,0,1,0,1,2,0,1,6.43
Lazio,6,428,0,0,1,0,1,2,1,2,6.43
Paris Saint-Germain,5,220,0,0,0,0,1,0,0,0,6.42
Paris Saint-Germain,10,413,0,0,0,0,2,0,1,3,6.42
Red Bull Salzburg,6,512,0,0,2,0,0,0,0,4,6.42
Ferencváros TC,6,270,0,0,2,0,0,0,0,0,6.42
Shakhtar Donetsk,3,270,0,1,2,1,2,0,0,2,6.4
Başakşehir FK,1,10,0,0,0,0,0,0,0,0,6.4
Sevilla,3,185,0,0,0,0,0,2,0,3,6.4
Başakşehir FK,6,518,0,0,5,0,2,4,1,2,6.4
FC Midtjylland,6,476,0,0,1,0,4,3,1,1,6.4
Başakşehir FK,5,405,0,0,0,0,0,0,0,1,6.38
Atalanta,2,96,0,0,0,0,1,1,0,0,6.35
Lazio,5,325,0,0,0,0,3,3,1,1,6.34
Ferencváros TC,6,383,0,0,1,0,3,0,0,3,6.33
FC Bayern München,1,61,0,0,0,0,0,0,0,0,6.3
Atalanta,1,11,0,0,0,0,0,0,0,0,6.3
Manchester United,2,60,0,0,0,0,1,0,0,0,6.3
Olympique de Marseille,3,250,0,0,0,0,1,0,0,1,6.27
Borussia Dortmund,3,207,0,0,0,0,1,0,0,1,6.23
Başakşehir FK,3,111,0,0,0,0,1,0,0,0,6.23
Paris Saint-Germain,1,10,0,0,0,0,0,0,0,0,6.2
Shakhtar Donetsk,1,90,0,0,1,1,0,0,0,1,6.2
Lokomotiv Moscow,1,45,0,0,0,0,0,0,0,0,6.2
Stade Rennais,4,224,0,0,2,1,1,1,1,2,6.08
Red Bull Salzburg,4,43,0,0,0,0,0,0,0,0,6.05
Ferencváros TC,1,63,0,0,0,0,0,0,0,0,6.0
Stade Rennais,2,167,0,0,0,0,2,0,0,0,6.0
Başakşehir FK,4,189,0,0,0,0,1,0,0,1,6.0
Lazio,1,31,0,0,0,0,0,0,0,0,5.7
AFC Ajax,1,1,0,0,0,0,0,0,0,0,0.0
Lokomotiv Moscow,1,2,0,0,0,0,0,0,0,0,0.0
FC Bayern München,7,617,1,4,25,6,11,14,4,11,8.01
Juventus,6,551,0,6,25,7,11,26,0,4,7.82
Manchester United,6,439,4,1,15,4,3,8,9,20,7.8
Manchester City,8,669,3,4,17,4,11,5,7,20,7.64
Real Madrid,12,961,0,2,25,3,6,16,5,14,7.53
Manchester City,13,1066,3,3,19,4,26,12,17,33,7.44
Borussia M'gladbach,8,699,0,0,9,4,10,0,4,10,7.43
FC Barcelona,2,135,1,0,3,0,5,1,1,6,7.4
Borussia Dortmund,6,386,2,3,14,3,14,4,4,8,7.38
RB Leipzig,7,627,3,3,16,3,0,11,5,12,7.37
Borussia M'gladbach,8,539,5,3,8,2,4,1,7,16,7.35
Sevilla,4,280,1,0,3,0,7,4,3,6,7.35
Borussia Dortmund,5,362,1,0,2,1,3,0,2,4,7.35
AFC Ajax,4,358,1,0,7,1,5,2,7,9,7.33
Sevilla,8,542,1,2,18,5,12,12,4,9,7.31
Chelsea,1,80,0,0,2,1,1,0,0,2,7.3
Juventus,7,504,1,1,6,2,3,2,4,7,7.29
Liverpool FC,5,405,1,2,4,2,7,0,4,6,7.28
Manchester City,12,812,4,2,22,3,18,5,11,26,7.25
Club Brugge KV,6,532,3,0,5,1,5,0,5,8,7.25
Borussia Dortmund,7,444,1,1,9,1,2,2,7,12,7.23
FC Porto,8,737,5,0,8,1,5,6,10,13,7.23
Atalanta,4,136,0,0,5,2,5,4,2,5,7.23
Inter,5,371,0,1,9,0,1,6,1,4,7.22
Manchester City,12,977,3,1,12,2,17,2,4,12,7.22
Borussia Dortmund,6,492,1,0,7,1,9,0,5,12,7.22
FC Bayern München,7,549,3,2,11,2,18,8,5,17,7.2
Manchester United,5,429,2,1,3,2,9,1,4,9,7.2
Paris Saint-Germain,7,508,0,2,11,1,17,0,0,3,7.2
Lazio,6,480,0,0,12,3,10,4,4,6,7.2
Liverpool FC,8,554,0,0,1,0,1,0,1,1,7.2
Chelsea,7,345,2,0,3,2,6,2,3,7,7.17
Club Brugge KV,6,519,1,2,12,3,1,9,3,10,7.17
Sevilla,8,467,2,1,9,2,3,4,3,9,7.16
Real Madrid,10,828,1,1,8,0,2,0,2,11,7.15
Real Madrid,2,135,0,0,6,0,1,4,2,2,7.15
Real Madrid,12,911,1,3,18,2,12,2,3,12,7.14
Başakşehir FK,5,424,1,2,5,1,9,3,6,18,7.14
Red Bull Salzburg,6,463,1,1,4,0,3,2,2,5,7.13
FC Krasnodar,3,255,1,0,3,0,10,1,3,5,7.13
FC Bayern München,8,578,3,0,12,1,28,1,5,19,7.13
FC Bayern München,9,631,2,1,14,5,3,4,7,12,7.12
Olympique de Marseille,6,341,2,0,12,1,1,9,5,9,7.12
Manchester United,2,33,1,0,1,0,1,0,1,1,7.1
FC Bayern München,3,254,1,0,4,0,1,1,2,6,7.1
FC Barcelona,3,182,0,0,2,0,2,0,1,1,7.1
Stade Rennais,6,401,0,0,11,1,15,5,5,8,7.08
Liverpool FC,4,222,0,0,3,1,4,0,1,2,7.08
FC Bayern München,7,439,2,2,5,1,1,0,3,10,7.07
Borussia M'gladbach,8,539,2,2,14,2,0,5,4,9,7.07
Sevilla,6,280,0,2,9,2,3,5,2,8,7.07
Real Madrid,8,720,0,2,16,5,9,11,0,9,7.06
Juventus,7,475,0,0,8,0,7,5,1,5,7.06
Manchester City,10,785,0,0,4,0,8,0,2,6,7.05
FC Barcelona,7,585,0,1,4,1,4,0,0,0,7.04
Paris Saint-Germain,10,697,1,4,13,4,24,7,6,23,7.04
Atlético Madrid,5,298,0,1,6,1,6,3,0,5,7.04
Chelsea,10,349,2,0,9,4,5,1,8,13,7.03
FC Barcelona,3,126,0,0,4,0,2,1,0,3,7.03
Borussia Dortmund,10,692,1,1,5,1,9,1,4,10,7.02
Chelsea,12,1031,1,1,9,2,5,2,1,3,7.02
Real Madrid,7,489,0,0,8,1,9,2,0,3,7.01
FC Porto,9,706,1,0,10,2,7,9,3,4,7.01
Liverpool FC,10,778,6,1,8,2,15,1,13,22,7.0
Stade Rennais,5,371,0,1,12,1,1,9,2,7,7.0
Inter,4,107,0,0,2,1,1,2,2,6,7.0
Club Brugge KV,5,416,0,0,3,1,11,2,1,5,7.0
Paris Saint-Germain,8,673,0,1,2,1,4,1,0,5,6.99
Sevilla,7,405,0,1,12,0,4,9,1,7,6.99
Başakşehir FK,6,487,3,1,7,0,6,2,4,13,6.98
Başakşehir FK,6,524,1,1,11,3,11,9,3,6,6.98
Chelsea,10,604,0,1,7,2,15,0,0,7,6.98
Stade Rennais,4,331,0,0,7,1,11,1,2,5,6.98
Atalanta,7,567,1,0,3,0,3,2,3,7,6.97
Liverpool FC,10,724,3,1,4,1,12,3,7,16,6.97
RB Leipzig,6,427,1,0,3,0,4,1,4,7,6.97
Zenit St. Petersburg,4,139,0,0,2,1,5,1,2,3,6.97
FC Barcelona,6,335,0,0,5,1,1,0,2,4,6.97
Lokomotiv Moscow,6,459,3,0,10,1,5,6,4,7,6.95
Chelsea,2,99,0,0,3,0,2,0,1,2,6.95
Olympique de Marseille,6,443,0,0,2,0,11,0,0,6,6.95
FC Krasnodar,5,375,0,0,5,0,2,1,0,2,6.94
Liverpool FC,6,362,0,0,2,1,2,1,1,5,6.93
Atalanta,7,486,0,0,3,0,7,0,1,4,6.93
FC Barcelona,5,242,0,1,1,1,0,1,0,2,6.92
Real Madrid,11,620,2,0,3,0,13,2,12,23,6.92
Red Bull Salzburg,6,507,2,0,14,2,2,15,5,13,6.92
Liverpool FC,6,364,0,0,6,0,0,5,0,3,6.92
Borussia Dortmund,10,695,1,2,10,2,5,4,3,13,6.91
Lazio,5,245,2,0,1,0,0,0,2,4,6.9
FC Porto,9,746,1,1,4,0,6,0,1,8,6.9
AFC Ajax,6,529,1,0,1,0,13,1,1,6,6.9
Ferencváros TC,6,461,1,0,10,1,6,0,3,12,6.9
Dynamo Kyiv,6,328,1,0,3,0,6,4,4,6,6.9
Manchester City,1,9,0,1,1,0,0,0,0,0,6.9
Olympiacos FC,3,186,0,1,1,0,6,1,1,2,6.9
Stade Rennais,1,90,0,0,0,0,0,0,0,0,6.9
Manchester United,5,342,0,0,4,0,6,0,2,6,6.9
Olympiacos FC,6,529,0,0,2,0,2,0,0,2,6.9
Lazio,7,587,0,0,6,0,7,2,5,10,6.9
Paris Saint-Germain,10,544,0,0,4,1,3,1,0,7,6.9
Juventus,7,361,0,0,6,1,4,1,2,8,6.89
Inter,6,528,0,1,5,0,2,5,0,4,6.88
FC Midtjylland,4,328,0,1,2,0,15,0,0,0,6.88
Olympique de Marseille,4,181,0,0,0,0,2,0,1,2,6.88
Shakhtar Donetsk,4,280,0,0,1,0,10,0,2,5,6.88
Manchester City,7,346,0,0,5,0,3,0,0,1,6.87
FC Porto,9,748,2,1,2,1,3,2,8,14,6.87
Zenit St. Petersburg,6,500,0,0,2,0,4,0,0,1,6.87
FC Bayern München,6,227,0,1,4,0,8,1,1,3,6.86
Lazio,8,288,1,0,1,0,9,0,1,3,6.85
Atlético Madrid,8,664,0,0,2,0,9,0,1,9,6.85
Manchester City,13,930,1,2,14,4,13,1,5,10,6.85
FC Barcelona,7,495,1,1,4,0,9,0,2,5,6.84
Sevilla,7,276,0,1,7,1,9,2,1,1,6.84
Juventus,7,338,0,0,2,0,6,0,0,3,6.84
FC Porto,8,386,0,0,2,0,5,0,1,7,6.84
Dynamo Kyiv,5,430,0,0,1,0,5,2,1,3,6.84
FC Barcelona,8,495,0,0,8,0,4,1,1,8,6.84
Manchester United,4,222,0,0,0,0,1,0,0,1,6.83
Shakhtar Donetsk,4,291,0,0,1,1,1,0,0,1,6.83
Dynamo Kyiv,4,347,0,0,6,1,1,0,1,6,6.83
Ferencváros TC,5,328,1,0,0,0,1,0,1,3,6.82
Sevilla,7,496,0,0,0,0,1,0,2,3,6.82
Chelsea,13,708,0,1,9,2,23,1,0,2,6.82
Shakhtar Donetsk,6,369,2,0,0,0,16,1,2,3,6.8
Stade Rennais,1,20,1,0,1,0,1,0,2,4,6.8
Atalanta,3,29,1,0,0,0,2,0,1,1,6.8
Inter,4,173,1,0,3,0,0,2,2,5,6.8
Juventus,7,402,1,0,5,0,2,0,3,7,6.8
Manchester United,5,178,0,2,5,1,4,0,0,4,6.8
FC Krasnodar,4,289,0,1,7,0,2,0,1,3,6.8
FC Bayern München,6,360,0,1,7,3,4,2,6,12,6.8
Shakhtar Donetsk,6,365,0,1,4,1,0,1,0,2,6.8
Atlético Madrid,8,190,0,1,5,1,5,6,0,1,6.8
