team,appearances,minutesPlayed,tackles,interceptions,ballRecovery,groundDuelsWon,keyPasses,bigChancesCreated,accurateLongBalls,successfulDribbles,rating
Maccabi Haifa,5,375,11,3,16,17,8,1,9,4,6.72
Paris Saint-Germain,5,274,11,1,13,14,1,0,1,0,6.72
FC Porto,6,152,3,1,12,9,4,1,5,2,6.72
Juventus,3,270,6,5,17,9,0,0,3,1,6.7
Celtic,6,540,8,8,22,8,0,0,9,0,6.7
Red Bull Salzburg,3,270,8,4,20,10,2,0,2,0,6.7
FC Barcelona,2,180,4,1,7,4,1,0,3,0,6.7
RB Leipzig,5,227,4,1,14,11,1,0,13,5,6.7
GNK Dinamo Zagreb,1,14,0,1,0,0,0,0,0,0,6.7
Manchester City,2,44,1,0,2,2,0,0,1,0,6.7
Benfica,2,106,0,1,9,1,1,0,10,0,6.7
Juventus,3,93,1,1,2,3,1,0,3,1,6.7
RB Leipzig,8,533,13,7,25,20,9,2,4,4,6.7
Club Brugge KV,6,495,6,7,30,11,1,0,15,4,6.68
Juventus,5,428,7,7,18,13,3,1,11,5,6.68
Olympique de Marseille,5,250,0,4,13,3,0,0,8,0,6.68
Eintracht Frankfurt,8,720,13,13,62,13,1,0,8,0,6.68
Sporting CP,4,190,8,7,8,13,1,0,4,0,6.68
Sevilla,6,391,8,4,15,18,5,0,2,3,6.67
GNK Dinamo Zagreb,3,35,1,0,0,3,0,0,1,0,6.67
GNK Dinamo Zagreb,6,410,9,0,21,20,7,0,3,3,6.67
Tottenham Hotspur,7,389,7,5,17,12,0,0,4,2,6.66
Celtic,6,540,14,7,26,22,9,0,8,2,6.63
Sporting CP,6,508,10,3,21,15,1,0,14,0,6.63
Paris Saint-Germain,4,114,1,1,5,2,1,0,0,0,6.63
FC København,6,336,13,4,14,14,2,0,6,0,6.62
Sevilla,5,450,6,3,13,15,3,0,9,5,6.6
FC København,5,431,2,10,14,2,0,0,13,0,6.6
Milan,10,828,22,10,57,24,3,0,48,0,6.6
FC Barcelona,1,90,1,0,1,1,0,0,5,0,6.6
Liverpool FC,1,13,0,0,0,1,0,0,1,0,6.6
Borussia Dortmund,1,18,0,1,1,0,0,0,0,0,6.6
Celtic,1,90,0,1,3,0,0,0,5,0,6.6
FC København,2,99,0,2,5,1,1,0,2,0,6.6
Paris Saint-Germain,3,146,2,2,5,4,0,0,2,0,6.6
Eintracht Frankfurt,3,120,1,5,7,1,0,0,9,0,6.6
Benfica,5,198,5,6,15,11,0,0,2,3,6.58
Liverpool FC,5,299,4,5,33,5,2,1,9,0,6.58
Sevilla,4,219,9,2,17,10,4,0,3,1,6.58
Rangers,4,315,6,5,14,10,1,0,19,0,6.58
SSC Napoli,3,204,3,1,5,3,0,0,2,0,6.57
Paris Saint-Germain,8,587,9,8,31,15,3,1,6,5,6.55
RB Leipzig,2,55,3,0,1,3,0,0,1,0,6.55
Sporting CP,2,100,1,1,3,1,0,0,1,0,6.55
Celtic,2,60,4,0,4,4,0,0,1,0,6.55
Maccabi Haifa,5,450,8,10,28,8,0,0,12,0,6.54
Atlético Madrid,3,157,1,2,4,2,1,0,5,0,6.53
FC Viktoria Plzeň,6,361,12,5,14,15,3,1,10,1,6.53
AFC Ajax,3,41,2,0,1,2,0,0,0,0,6.53
Atlético Madrid,3,213,2,2,12,3,2,0,1,1,6.53
Milan,4,132,2,5,9,5,0,0,1,1,6.53
FC Porto,5,450,5,4,11,7,1,0,12,0,6.52
Red Bull Salzburg,6,374,7,4,28,9,3,0,3,0,6.5
Paris Saint-Germain,1,45,1,0,1,1,0,0,0,0,6.5
Eintracht Frankfurt,2,112,1,1,7,4,1,0,1,0,6.5
Shakhtar Donetsk,2,11,0,0,0,1,0,0,0,0,6.5
Borussia Dortmund,2,13,0,0,0,0,0,0,0,0,6.5
Bayer 04 Leverkusen,3,25,1,1,1,1,0,0,0,0,6.5
Borussia Dortmund,3,63,0,1,3,0,0,0,0,0,6.5
Rangers,6,487,11,6,32,15,6,1,8,3,6.48
AFC Ajax,6,530,4,8,28,12,2,0,9,3,6.48
Shakhtar Donetsk,5,419,10,2,21,16,5,0,6,1,6.48
FC København,5,104,1,2,2,3,4,0,0,0,6.48
AFC Ajax,5,269,10,2,14,14,2,0,2,3,6.48
Sevilla,3,224,2,5,7,6,1,0,4,1,6.47
Rangers,6,464,9,3,21,11,5,0,14,0,6.47
Inter,6,162,3,4,10,8,0,0,7,1,6.46
Milan,4,188,4,1,15,5,2,0,3,0,6.45
Tottenham Hotspur,2,25,0,0,1,0,0,0,0,0,6.45
Maccabi Haifa,2,82,4,0,3,4,0,0,0,0,6.45
FC København,4,191,4,1,8,6,1,0,3,2,6.45
Eintracht Frankfurt,7,599,19,8,55,22,1,0,13,2,6.44
FC Porto,5,270,8,3,14,16,1,0,2,3,6.44
FC Viktoria Plzeň,3,169,2,2,10,3,2,0,8,0,6.43
Eintracht Frankfurt,4,199,7,3,17,10,2,0,2,3,6.43
Olympique de Marseille,4,149,5,1,8,7,0,0,1,1,6.4
FC Bayern München,5,410,17,4,20,18,2,0,9,1,6.4
Rangers,1,90,1,3,8,2,2,1,1,1,6.4
FC Viktoria Plzeň,6,513,8,7,10,9,0,0,12,0,6.38
Sporting CP,3,118,3,1,3,4,1,0,0,0,6.37
Maccabi Haifa,6,540,10,4,27,11,4,0,16,1,6.37
Eintracht Frankfurt,2,159,5,1,7,5,0,0,1,0,6.35
FC Viktoria Plzeň,6,292,5,4,10,9,2,0,2,0,6.33
RB Leipzig,3,262,10,2,16,11,2,0,1,0,6.33
Olympique de Marseille,6,540,11,4,45,40,3,0,9,15,6.32
FC Barcelona,4,167,0,0,8,9,1,0,1,5,6.3
Celtic,1,10,0,0,1,1,1,0,0,1,6.3
Juventus,2,180,2,2,7,7,0,0,5,2,6.3
RB Leipzig,7,198,5,3,8,8,1,0,5,1,6.28
Shakhtar Donetsk,5,309,7,3,17,16,0,0,2,5,6.26
Rangers,3,261,3,4,15,4,0,0,6,0,6.23
FC Viktoria Plzeň,6,495,6,3,16,6,0,0,14,0,6.22
FC København,1,24,0,0,1,0,0,0,0,0,6.2
Club Brugge KV,3,164,1,4,8,4,1,0,6,2,6.2
Rangers,6,373,10,5,14,12,0,0,8,1,6.1
Club Brugge KV,1,90,1,0,4,1,1,0,3,0,6.1
Sevilla,1,90,0,0,2,0,0,0,0,0,6.0
Sporting CP,3,110,8,0,6,9,1,0,2,0,4.65
Club Brugge KV,1,1,0,0,1,0,0,0,0,0,0.0
RB Leipzig,1,2,0,0,0,0,0,0,0,0,0.0
Benfica,2,4,0,0,2,0,0,0,0,0,0.0
FC Porto,2,3,1,0,0,1,0,0,0,0,0.0
FC Bayern München,9,810,19,20,53,39,21,4,49,3,7.77
Liverpool FC,8,624,3,2,21,15,13,4,4,9,7.7
Manchester City,10,721,9,2,23,26,22,8,19,10,7.61
Juventus,3,146,1,0,12,7,7,4,9,4,7.57
Chelsea,6,415,14,11,37,28,7,0,11,4,7.47
FC Bayern München,8,557,10,6,36,22,18,2,5,10,7.45
SSC Napoli,10,638,8,4,21,28,23,5,8,8,7.4
Manchester City,12,997,24,13,105,39,5,1,56,9,7.4
Olympique de Marseille,6,379,1,3,19,23,13,3,13,11,7.4
Tottenham Hotspur,7,574,19,4,26,30,10,5,11,8,7.4
Tottenham Hotspur,1,90,5,1,12,7,1,0,5,1,7.4
Real Madrid,11,968,18,14,45,33,19,4,31,11,7.38
Real Madrid,12,846,26,9,54,39,17,1,62,2,7.37
Sporting CP,3,111,2,0,5,6,2,1,1,2,7.37
Benfica,10,900,25,13,63,40,19,6,20,10,7.33
Atlético Madrid,3,225,8,7,30,12,1,0,16,1,7.3
FC Bayern München,7,537,11,2,35,40,15,3,9,17,7.29
Juventus,5,447,16,5,34,25,4,0,7,4,7.28
Liverpool FC,5,308,15,7,35,23,3,1,24,2,7.28
Manchester City,13,936,8,4,49,66,36,4,8,26,7.25
Benfica,10,865,12,5,65,35,15,5,11,14,7.23
Borussia Dortmund,7,630,15,13,32,43,7,0,20,11,7.23
AFC Ajax,6,452,4,5,18,19,5,0,7,11,7.22
Manchester City,9,506,9,1,20,30,19,1,17,12,7.2
Shakhtar Donetsk,3,189,6,4,7,11,0,0,0,3,7.2
Sevilla,1,90,0,1,6,2,1,0,12,0,7.2
Borussia Dortmund,1,90,3,0,7,7,0,0,3,1,7.2
Chelsea,9,763,27,10,65,40,6,0,58,5,7.19
FC Barcelona,5,298,8,4,16,11,11,2,11,1,7.18
FC Bayern München,9,608,16,7,46,17,9,5,8,1,7.18
Manchester City,13,909,19,9,66,58,20,1,23,26,7.17
FC Bayern München,9,551,10,4,17,31,8,2,4,12,7.17
Liverpool FC,3,269,4,0,14,13,3,0,2,4,7.17
SSC Napoli,9,374,8,5,31,28,9,4,2,11,7.16
SSC Napoli,8,653,14,14,56,44,10,2,11,14,7.15
Manchester City,8,384,5,5,19,21,10,2,7,7,7.14
Red Bull Salzburg,6,540,19,8,47,22,6,1,10,1,7.13
FC Barcelona,3,207,5,4,16,5,3,1,4,0,7.13
Tottenham Hotspur,7,625,12,11,57,26,5,0,19,7,7.13
FC Porto,7,530,17,1,27,42,14,4,18,11,7.13
FC Porto,7,596,14,11,35,24,5,1,8,3,7.1
Inter,12,807,16,8,69,33,17,2,37,4,7.1
Olympique de Marseille,6,490,16,2,34,22,8,0,18,1,7.1
Liverpool FC,2,153,6,1,10,11,2,0,1,2,7.1
FC Porto,8,568,3,10,34,31,10,0,3,10,7.09
Manchester City,13,997,12,7,63,40,14,2,37,11,7.08
Milan,12,1053,19,4,57,43,22,9,35,6,7.08
Liverpool FC,4,281,7,3,21,10,6,2,10,2,7.08
Real Madrid,10,750,4,7,44,20,9,3,22,10,7.07
Tottenham Hotspur,6,506,12,5,41,21,3,0,12,6,7.07
Olympique de Marseille,6,471,15,8,39,23,3,0,20,4,7.07
Benfica,9,403,11,7,32,25,5,0,17,7,7.06
Juventus,6,437,12,8,30,35,10,2,23,6,7.05
Celtic,6,485,18,11,27,24,2,1,15,3,7.05
Inter,11,735,9,10,47,22,16,6,22,4,7.05
Paris Saint-Germain,7,625,27,6,52,54,4,2,20,11,7.04
Club Brugge KV,5,298,4,0,11,10,8,0,2,3,7.04
Atlético Madrid,5,255,4,3,18,15,5,0,12,3,7.04
Bayer 04 Leverkusen,6,510,4,0,21,12,6,0,5,6,7.03
Borussia Dortmund,3,264,4,3,14,8,4,2,0,3,7.03
Atlético Madrid,6,461,6,3,29,9,3,1,10,1,7.03
Eintracht Frankfurt,8,700,17,9,38,34,3,1,18,6,7.03
Juventus,4,310,10,3,23,15,6,0,14,1,7.03
FC Porto,4,282,5,4,16,9,4,0,5,2,7.03
Olympique de Marseille,6,419,4,6,26,10,5,0,9,0,7.02
Benfica,10,827,11,1,19,51,14,0,6,21,7.01
Liverpool FC,8,416,8,6,20,15,10,2,4,7,7.0
FC København,2,171,5,4,12,7,0,0,5,0,7.0
GNK Dinamo Zagreb,6,521,11,8,30,17,1,0,29,2,7.0
FC København,2,162,4,3,11,7,0,0,3,3,7.0
FC Bayern München,8,343,8,0,7,12,4,3,5,4,6.99
Inter,12,997,23,2,64,44,13,1,23,8,6.98
FC København,6,486,9,9,41,18,7,1,2,4,6.98
Red Bull Salzburg,6,495,21,4,43,25,11,2,2,3,6.98
SSC Napoli,9,413,9,1,28,18,6,2,10,4,6.97
Sporting CP,6,298,7,2,12,15,5,0,7,3,6.97
FC Bayern München,6,278,10,5,22,19,3,0,5,1,6.97
RB Leipzig,3,62,4,0,2,9,2,0,2,1,6.97
Bayer 04 Leverkusen,4,215,4,2,13,4,3,0,10,0,6.97
Sevilla,6,402,6,5,25,27,5,0,14,7,6.95
Chelsea,8,627,11,6,40,29,8,1,18,8,6.95
Chelsea,2,82,1,2,9,4,1,0,3,0,6.95
Shakhtar Donetsk,6,484,9,6,22,20,6,2,9,6,6.95
Sevilla,6,421,9,4,28,16,3,0,23,1,6.95
Real Madrid,12,319,1,5,10,5,9,2,5,1,6.95
Inter,13,915,26,16,79,43,6,0,13,6,6.94
Liverpool FC,8,397,8,5,30,18,5,0,7,5,6.94
GNK Dinamo Zagreb,6,495,5,2,16,12,4,0,4,2,6.93
Paris Saint-Germain,6,159,4,3,7,9,3,0,3,2,6.93
FC Barcelona,5,404,7,5,24,23,8,0,24,9,6.92
SSC Napoli,10,876,21,5,79,51,6,0,20,6,6.92
Celtic,6,226,5,2,12,15,8,1,2,3,6.92
Club Brugge KV,7,595,12,4,41,22,6,0,9,7,6.91
Benfica,10,862,26,27,60,30,1,0,33,3,6.91
RB Leipzig,7,340,12,10,37,15,2,1,6,2,6.9
FC Barcelona,5,331,7,5,20,18,6,1,3,3,6.9
FC Porto,7,613,10,11,68,17,8,0,15,5,6.89
AFC Ajax,6,533,15,11,37,20,2,0,17,1,6.88
Bayer 04 Leverkusen,6,467,2,3,21,17,10,2,7,9,6.88
Juventus,5,266,9,2,20,12,1,0,17,1,6.88
FC Bayern München,8,363,4,2,29,7,6,0,5,0,6.88
Eintracht Frankfurt,8,720,14,18,52,28,9,1,16,0,6.88
FC Barcelona,4,235,4,3,14,14,2,0,4,4,6.88
Milan,10,593,26,7,65,51,4,1,18,13,6.87
Real Madrid,10,446,10,7,37,18,0,0,10,3,6.87
FC Barcelona,6,282,6,2,18,15,2,0,5,1,6.87
Inter,9,546,18,9,38,28,4,1,26,5,6.87
Sporting CP,6,388,5,2,16,13,2,1,3,5,6.85
Inter,12,886,9,8,39,39,3,1,5,8,6.85
FC København,6,297,5,0,16,17,1,0,3,4,6.85
Benfica,10,618,13,5,28,19,11,0,12,4,6.85
Atlético Madrid,2,105,1,1,13,3,3,0,4,1,6.85
Juventus,2,108,2,1,7,6,3,0,7,1,6.85
SSC Napoli,2,16,2,1,0,3,1,0,0,1,6.85
Inter,11,417,20,5,23,24,5,2,10,1,6.85
RB Leipzig,7,586,11,5,53,19,2,0,20,5,6.84
AFC Ajax,6,524,3,1,23,11,10,1,3,5,6.83
Borussia Dortmund,6,383,3,3,15,15,10,2,3,5,6.83
Tottenham Hotspur,4,41,0,2,7,4,2,0,1,1,6.83
Sporting CP,6,468,29,13,43,50,1,0,6,10,6.83
Bayer 04 Leverkusen,5,266,7,3,24,12,4,1,11,1,6.82
Atlético Madrid,5,284,10,4,15,13,2,0,3,1,6.82
Olympique de Marseille,6,416,6,5,19,14,4,1,8,7,6.82
Maccabi Haifa,6,468,23,9,39,29,7,0,16,3,6.82
Chelsea,7,288,7,7,25,18,1,1,5,3,6.81
Borussia Dortmund,5,206,3,3,13,6,5,0,2,1,6.8
FC København,3,42,2,0,1,7,0,0,0,4,6.8
Manchester City,4,137,1,0,6,5,0,0,5,4,6.8
FC Barcelona,4,292,8,4,23,18,0,0,8,1,6.8
Atlético Madrid,4,330,2,1,15,6,3,1,19,0,6.8
Sporting CP,1,27,2,0,3,4,0,0,0,1,6.8
Liverpool FC,1,17,1,1,0,3,0,0,1,2,6.8
FC Porto,1,20,1,0,0,1,1,0,0,0,6.8
Sevilla,3,54,2,1,4,6,1,0,1,2,6.8
Tottenham Hotspur,4,214,8,2,15,12,2,0,3,1,6.8
Milan,8,376,7,4,18,25,7,0,1,13,6.79
Borussia Dortmund,7,546,8,12,34,14,6,2,12,2,6.79
Real Madrid,7,84,4,0,9,13,1,1,2,5,6.79
FC Viktoria Plzeň,6,494,13,14,46,19,8,1,21,2,6.78
Inter,11,823,20,19,35,25,2,0,18,1,6.78
Sevilla,5,247,2,3,7,10,5,1,8,3,6.78
FC København,5,290,4,2,13,7,4,0,3,1,6.78
