team,appearances,minutesPlayed,tackles,interceptions,clearances,aerialDuelsWon,groundDuelsWon,blockedShots,errorLeadToGoal,rating
Bayer 04 Leverkusen,6,479,8,2,25,10,8,0,0,6.9
GNK Dinamo Zagreb,1,76,2,1,1,0,2,0,0,6.9
Real Madrid,1,17,2,0,2,0,2,0,0,6.9
Shakhtar Donetsk,6,540,10,9,33,6,12,0,0,6.9
Real Madrid,10,676,10,6,25,10,10,0,0,6.89
Club Brugge KV,8,572,9,11,10,9,12,2,1,6.89
GNK Dinamo Zagreb,6,540,12,9,26,12,19,0,0,6.88
Manchester City,5,306,4,2,2,6,10,3,0,6.88
Bayer 04 Leverkusen,5,429,10,4,18,9,15,0,0,6.88
Sevilla,4,226,5,4,6,3,8,0,0,6.87
FC Porto,8,588,13,11,20,5,16,2,0,6.86
Liverpool FC,8,720,4,4,22,28,5,1,0,6.85
Tottenham Hotspur,2,80,1,2,0,2,1,1,0,6.85
FC Porto,4,360,7,6,15,6,12,0,0,6.85
Eintracht Frankfurt,4,259,2,2,9,4,10,0,0,6.85
Chelsea,5,398,15,4,7,11,19,0,0,6.84
AFC Ajax,6,540,14,7,22,6,27,0,0,6.83
Atlético Madrid,6,512,11,5,7,10,19,2,0,6.83
FC København,6,482,15,6,12,2,19,1,0,6.83
Club Brugge KV,3,134,1,7,6,1,1,0,0,6.83
Tottenham Hotspur,7,618,7,8,23,18,7,1,1,6.83
Tottenham Hotspur,7,600,14,10,12,17,15,1,0,6.83
Juventus,4,239,3,5,6,4,10,0,0,6.83
Chelsea,5,259,7,3,6,2,12,0,1,6.82
Paris Saint-Germain,6,441,11,1,7,2,31,0,0,6.82
Tottenham Hotspur,6,428,15,4,9,1,29,1,0,6.82
Atlético Madrid,6,468,7,1,4,3,12,2,0,6.82
RB Leipzig,8,720,9,8,25,8,19,0,0,6.81
Bayer 04 Leverkusen,5,375,8,5,7,6,19,1,0,6.8
FC Barcelona,3,248,7,3,2,6,10,0,0,6.8
FC København,4,305,5,5,5,4,7,1,0,6.8
Real Madrid,11,712,8,7,12,2,11,0,0,6.8
Tottenham Hotspur,3,154,9,2,7,0,13,0,0,6.8
Red Bull Salzburg,6,540,19,9,16,5,29,1,1,6.8
Sporting CP,5,395,8,6,18,6,10,0,0,6.8
Tottenham Hotspur,1,17,1,0,0,1,1,0,0,6.8
Real Madrid,5,347,3,3,3,1,9,0,0,6.8
Bayer 04 Leverkusen,5,450,19,6,14,4,28,0,0,6.8
Celtic,1,90,0,0,5,0,0,0,0,6.8
SSC Napoli,8,512,16,5,14,9,24,0,0,6.79
FC Bayern München,8,350,10,4,6,1,15,0,0,6.79
Shakhtar Donetsk,4,360,7,7,15,4,9,2,0,6.78
Paris Saint-Germain,8,655,5,3,20,14,10,0,0,6.78
Manchester City,4,292,0,3,4,10,1,0,0,6.78
Sporting CP,6,540,4,5,21,5,12,0,0,6.77
Atlético Madrid,3,270,3,2,7,6,4,0,0,6.77
Club Brugge KV,7,524,11,7,18,11,18,0,0,6.76
RB Leipzig,4,166,1,6,2,1,4,0,0,6.75
Celtic,4,360,3,4,14,6,4,0,0,6.75
FC Barcelona,4,257,3,3,8,8,4,0,0,6.75
Inter,7,298,10,4,21,2,10,0,0,6.75
GNK Dinamo Zagreb,5,374,6,6,7,0,13,1,0,6.74
Maccabi Haifa,6,396,7,4,18,15,11,1,0,6.73
Juventus,6,443,2,2,14,6,5,0,0,6.73
FC Barcelona,4,222,4,4,5,1,4,0,0,6.73
Red Bull Salzburg,4,273,10,5,16,5,13,2,1,6.73
Liverpool FC,5,379,2,2,5,4,5,1,0,6.72
Maccabi Haifa,5,375,11,3,8,5,17,1,0,6.72
Paris Saint-Germain,5,274,11,1,2,1,14,0,0,6.72
FC Porto,6,152,3,1,3,2,9,0,0,6.72
Juventus,3,270,6,5,12,5,9,0,0,6.7
Celtic,6,540,8,8,15,7,8,0,0,6.7
Red Bull Salzburg,3,270,8,4,8,3,10,0,0,6.7
FC Barcelona,2,180,4,1,1,0,4,0,0,6.7
RB Leipzig,5,227,4,1,4,4,11,0,0,6.7
GNK Dinamo Zagreb,1,14,0,1,1,0,0,0,0,6.7
Manchester City,2,44,1,0,0,1,2,0,0,6.7
Benfica,2,106,0,1,3,2,1,0,0,6.7
Juventus,3,93,1,1,0,0,3,0,0,6.7
RB Leipzig,8,533,13,7,9,9,20,0,0,6.7
Club Brugge KV,6,495,6,7,17,7,11,0,1,6.68
Juventus,5,428,7,7,10,6,13,0,0,6.68
Olympique de Marseille,5,250,0,4,5,7,3,0,0,6.68
Eintracht Frankfurt,8,720,13,13,27,9,13,1,0,6.68
Sporting CP,4,190,8,7,6,3,13,0,0,6.68
Sevilla,6,391,8,4,9,7,18,2,1,6.67
GNK Dinamo Zagreb,3,35,1,0,0,0,3,1,0,6.67
GNK Dinamo Zagreb,6,410,9,0,2,1,20,0,0,6.67
Tottenham Hotspur,7,389,7,5,11,7,12,1,0,6.66
Celtic,6,540,14,7,6,4,22,0,0,6.63
Sporting CP,6,508,10,3,14,2,15,1,0,6.63
Paris Saint-Germain,4,114,1,1,2,2,2,0,0,6.63
FC København,6,336,13,4,9,8,14,0,0,6.62
Sevilla,5,450,6,3,9,3,15,0,1,6.6
FC København,5,431,2,10,21,10,2,0,0,6.6
Milan,10,828,22,10,27,9,24,1,0,6.6
FC Barcelona,1,90,1,0,0,2,1,0,0,6.6
Liverpool FC,1,13,0,0,1,0,1,0,0,6.6
Borussia Dortmund,1,18,0,1,1,0,0,0,0,6.6
Celtic,1,90,0,1,6,0,0,0,0,6.6
FC København,2,99,0,2,3,0,1,0,0,6.6
Paris Saint-Germain,3,146,2,2,2,1,4,0,0,6.6
Eintracht Frankfurt,3,120,1,5,10,3,1,0,0,6.6
Benfica,5,198,5,6,5,2,11,0,0,6.58
Liverpool FC,5,299,4,5,6,7,5,1,0,6.58
Sevilla,4,219,9,2,3,3,10,0,0,6.58
Rangers,4,315,6,5,19,1,10,0,0,6.58
SSC Napoli,3,204,3,1,6,1,3,0,0,6.57
Paris Saint-Germain,8,587,9,8,6,4,15,1,0,6.55
RB Leipzig,2,55,3,0,0,0,3,0,0,6.55
Sporting CP,2,100,1,1,6,1,1,0,0,6.55
Celtic,2,60,4,0,1,3,4,0,0,6.55
Maccabi Haifa,5,450,8,10,14,10,8,1,0,6.54
Atlético Madrid,3,157,1,2,9,2,2,1,0,6.53
FC Viktoria Plzeň,6,361,12,5,11,1,15,0,0,6.53
AFC Ajax,3,41,2,0,1,1,2,0,0,6.53
Atlético Madrid,3,213,2,2,3,1,3,1,0,6.53
Milan,4,132,2,5,1,0,5,0,0,6.53
FC Porto,5,450,5,4,16,6,7,0,0,6.52
Red Bull Salzburg,6,374,7,4,10,3,9,2,0,6.5
Paris Saint-Germain,1,45,1,0,1,1,1,0,0,6.5
Eintracht Frankfurt,2,112,1,1,1,0,4,0,0,6.5
Shakhtar Donetsk,2,11,0,0,0,0,1,0,0,6.5
Borussia Dortmund,2,13,0,0,0,0,0,0,0,6.5
Bayer 04 Leverkusen,3,25,1,1,0,0,1,0,0,6.5
Borussia Dortmund,3,63,0,1,4,0,0,0,0,6.5
Rangers,6,487,11,6,11,7,15,2,0,6.48
AFC Ajax,6,530,4,8,13,4,12,0,0,6.48
Shakhtar Donetsk,5,419,10,2,11,2,16,0,0,6.48
FC København,5,104,1,2,0,0,3,1,0,6.48
AFC Ajax,5,269,10,2,9,1,14,1,0,6.48
Sevilla,3,224,2,5,2,3,6,0,0,6.47
Rangers,6,464,9,3,5,2,11,0,0,6.47
Inter,6,162,3,4,4,4,8,0,0,6.46
Milan,4,188,4,1,0,1,5,0,0,6.45
Tottenham Hotspur,2,25,0,0,1,2,0,0,0,6.45
Maccabi Haifa,2,82,4,0,0,0,4,0,0,6.45
FC København,4,191,4,1,1,1,6,0,0,6.45
Eintracht Frankfurt,7,599,19,8,25,7,22,0,0,6.44
FC Porto,5,270,8,3,4,1,16,0,0,6.44
FC Viktoria Plzeň,3,169,2,2,9,1,3,0,0,6.43
Eintracht Frankfurt,4,199,7,3,4,3,10,1,0,6.43
Olympique de Marseille,4,149,5,1,3,2,7,0,0,6.4
FC Bayern München,5,410,17,4,8,7,18,1,1,6.4
Rangers,1,90,1,3,1,0,2,0,0,6.4
FC Viktoria Plzeň,6,513,8,7,22,6,9,0,0,6.38
Sporting CP,3,118,3,1,2,1,4,0,0,6.37
Maccabi Haifa,6,540,10,4,22,8,11,1,0,6.37
Eintracht Frankfurt,2,159,5,1,3,5,5,0,0,6.35
FC Viktoria Plzeň,6,292,5,4,10,0,9,1,0,6.33
RB Leipzig,3,262,10,2,2,0,11,0,0,6.33
Olympique de Marseille,6,540,11,4,5,3,40,4,0,6.32
FC Barcelona,4,167,0,0,0,0,9,1,0,6.3
Celtic,1,10,0,0,0,0,1,0,0,6.3
Juventus,2,180,2,2,6,5,7,0,0,6.3
RB Leipzig,7,198,5,3,4,1,8,0,0,6.28
Shakhtar Donetsk,5,309,7,3,13,1,16,0,0,6.26
Rangers,3,261,3,4,12,5,4,2,0,6.23
FC Viktoria Plzeň,6,495,6,3,20,9,6,0,0,6.22
FC København,1,24,0,0,0,0,0,0,0,6.2
Club Brugge KV,3,164,1,4,1,2,4,0,0,6.2
Rangers,6,373,10,5,12,4,12,0,0,6.1
Club Brugge KV,1,90,1,0,3,1,1,0,0,6.1
Sevilla,1,90,0,0,0,0,0,0,0,6.0
Sporting CP,3,110,8,0,1,0,9,0,0,4.65
Club Brugge KV,1,1,0,0,4,0,0,0,0,0.0
RB Leipzig,1,2,0,0,0,0,0,0,0,0.0
Benfica,2,4,0,0,1,0,0,0,0,0.0
FC Porto,2,3,1,0,1,0,1,0,0,0.0
FC Bayern München,9,810,19,20,7,3,39,6,0,7.77
Liverpool FC,8,624,3,2,1,1,15,5,0,7.7
Manchester City,10,721,9,2,4,1,26,3,0,7.61
Juventus,3,146,1,0,0,0,7,1,0,7.57
Chelsea,6,415,14,11,6,2,28,0,0,7.47
FC Bayern München,8,557,10,6,0,1,22,2,0,7.45
SSC Napoli,10,638,8,4,4,1,28,4,0,7.4
Manchester City,12,997,24,13,9,15,39,4,0,7.4
Olympique de Marseille,6,379,1,3,1,3,23,1,0,7.4
Tottenham Hotspur,7,574,19,4,14,10,30,1,0,7.4
Tottenham Hotspur,1,90,5,1,0,2,7,2,0,7.4
Real Madrid,11,968,18,14,11,8,33,6,0,7.38
Real Madrid,12,846,26,9,2,2,39,4,0,7.37
Sporting CP,3,111,2,0,2,1,6,0,0,7.37
Benfica,10,900,25,13,15,5,40,1,0,7.33
Atlético Madrid,3,225,8,7,2,3,12,3,0,7.3
FC Bayern München,7,537,11,2,1,6,40,4,0,7.29
Juventus,5,447,16,5,3,8,25,1,0,7.28
Liverpool FC,5,308,15,7,0,3,23,0,0,7.28
Manchester City,13,936,8,4,4,4,66,7,0,7.25
Benfica,10,865,12,5,7,4,35,2,0,7.23
Borussia Dortmund,7,630,15,13,8,10,43,4,0,7.23
AFC Ajax,6,452,4,5,3,6,19,2,0,7.22
Manchester City,9,506,9,1,1,1,30,4,0,7.2
Shakhtar Donetsk,3,189,6,4,1,1,11,2,0,7.2
Sevilla,1,90,0,1,0,3,2,0,0,7.2
Borussia Dortmund,1,90,3,0,2,1,7,0,0,7.2
Chelsea,9,763,27,10,5,5,40,5,0,7.19
FC Barcelona,5,298,8,4,3,1,11,4,0,7.18
FC Bayern München,9,608,16,7,7,7,17,6,0,7.18
Manchester City,13,909,19,9,4,3,58,1,0,7.17
FC Bayern München,9,551,10,4,1,9,31,1,0,7.17
Liverpool FC,3,269,4,0,0,7,13,2,0,7.17
SSC Napoli,9,374,8,5,1,7,28,2,0,7.16
SSC Napoli,8,653,14,14,4,8,44,5,0,7.15
Manchester City,8,384,5,5,0,1,21,2,0,7.14
Red Bull Salzburg,6,540,19,8,5,1,22,1,0,7.13
FC Barcelona,3,207,5,4,1,2,5,0,0,7.13
Tottenham Hotspur,7,625,12,11,4,5,26,1,0,7.13
FC Porto,7,530,17,1,1,4,42,1,0,7.13
FC Porto,7,596,14,11,8,8,24,3,0,7.1
Inter,12,807,16,8,6,7,33,7,0,7.1
Olympique de Marseille,6,490,16,2,5,5,22,1,0,7.1
Liverpool FC,2,153,6,1,1,0,11,0,0,7.1
FC Porto,8,568,3,10,5,10,31,5,0,7.09
Manchester City,13,997,12,7,6,9,40,6,0,7.08
Milan,12,1053,19,4,8,3,43,2,0,7.08
Liverpool FC,4,281,7,3,1,0,10,0,0,7.08
Real Madrid,10,750,4,7,7,6,20,1,0,7.07
Tottenham Hotspur,6,506,12,5,3,6,21,1,0,7.07
Olympique de Marseille,6,471,15,8,4,3,23,1,0,7.07
Benfica,9,403,11,7,4,3,25,4,0,7.06
Juventus,6,437,12,8,3,2,35,2,0,7.05
Celtic,6,485,18,11,4,3,24,2,0,7.05
Inter,11,735,9,10,13,2,22,7,0,7.05
Paris Saint-Germain,7,625,27,6,0,5,54,1,1,7.04
Club Brugge KV,5,298,4,0,3,2,10,0,0,7.04
Atlético Madrid,5,255,4,3,2,0,15,1,0,7.04
Bayer 04 Leverkusen,6,510,4,0,0,0,12,2,0,7.03
Borussia Dortmund,3,264,4,3,1,1,8,2,0,7.03
Atlético Madrid,6,461,6,3,8,14,9,0,0,7.03
Eintracht Frankfurt,8,700,17,9,7,6,34,5,0,7.03
Juventus,4,310,10,3,0,2,15,2,0,7.03
FC Porto,4,282,5,4,10,12,9,2,0,7.03
Olympique de Marseille,6,419,4,6,1,1,10,2,0,7.02
Benfica,10,827,11,1,0,5,51,5,0,7.01
Liverpool FC,8,416,8,6,2,8,15,2,0,7.0
FC København,2,171,5,4,0,0,7,0,0,7.0
GNK Dinamo Zagreb,6,521,11,8,8,5,17,1,0,7.0
FC København,2,162,4,3,1,3,7,0,0,7.0
FC Bayern München,8,343,8,0,2,0,12,2,0,6.99
Inter,12,997,23,2,9,3,44,4,0,6.98
FC København,6,486,9,9,8,8,18,2,0,6.98
Red Bull Salzburg,6,495,21,4,2,0,25,2,0,6.98
SSC Napoli,9,413,9,1,6,3,18,4,0,6.97
Sporting CP,6,298,7,2,6,2,15,2,0,6.97
FC Bayern München,6,278,10,5,3,5,19,2,0,6.97
RB Leipzig,3,62,4,0,0,0,9,0,0,6.97
Bayer 04 Leverkusen,4,215,4,2,3,4,4,0,0,6.97
Sevilla,6,402,6,5,1,5,27,3,0,6.95
Chelsea,8,627,11,6,1,2,29,0,0,6.95
Chelsea,2,82,1,2,1,0,4,0,0,6.95
Shakhtar Donetsk,6,484,9,6,4,1,20,1,1,6.95
Sevilla,6,421,9,4,3,3,16,0,0,6.95
Real Madrid,12,319,1,5,1,1,5,3,0,6.95
Inter,13,915,26,16,10,6,43,3,0,6.94
Liverpool FC,8,397,8,5,4,2,18,1,0,6.94
GNK Dinamo Zagreb,6,495,5,2,0,0,12,5,0,6.93
Paris Saint-Germain,6,159,4,3,1,1,9,0,0,6.93
FC Barcelona,5,404,7,5,1,1,23,0,0,6.92
SSC Napoli,10,876,21,5,3,0,51,1,0,6.92
Celtic,6,226,5,2,1,1,15,0,0,6.92
Club Brugge KV,7,595,12,4,5,2,22,5,0,6.91
Benfica,10,862,26,27,14,11,30,2,0,6.91
RB Leipzig,7,340,12,10,3,4,15,4,0,6.9
FC Barcelona,5,331,7,5,1,5,18,1,0,6.9
FC Porto,7,613,10,11,11,5,17,2,0,6.89
AFC Ajax,6,533,15,11,17,17,20,2,0,6.88
Bayer 04 Leverkusen,6,467,2,3,1,1,17,5,0,6.88
Juventus,5,266,9,2,2,2,12,2,0,6.88
FC Bayern München,8,363,4,2,2,7,7,3,0,6.88
Eintracht Frankfurt,8,720,14,18,3,3,28,1,0,6.88
FC Barcelona,4,235,4,3,2,5,14,0,0,6.88
Milan,10,593,26,7,2,6,51,3,0,6.87
Real Madrid,10,446,10,7,3,6,18,2,0,6.87
FC Barcelona,6,282,6,2,0,2,15,1,0,6.87
Inter,9,546,18,9,4,6,28,3,0,6.87
Sporting CP,6,388,5,2,2,1,13,1,0,6.85
Inter,12,886,9,8,16,26,39,1,0,6.85
FC København,6,297,5,0,1,0,17,2,0,6.85
Benfica,10,618,13,5,7,7,19,2,0,6.85
Atlético Madrid,2,105,1,1,0,0,3,0,0,6.85
Juventus,2,108,2,1,0,0,6,0,0,6.85
SSC Napoli,2,16,2,1,0,1,3,0,0,6.85
Inter,11,417,20,5,8,5,24,0,0,6.85
RB Leipzig,7,586,11,5,2,4,19,2,1,6.84
AFC Ajax,6,524,3,1,0,1,11,3,0,6.83
Borussia Dortmund,6,383,3,3,2,6,15,2,1,6.83
Tottenham Hotspur,4,41,0,2,0,0,4,1,0,6.83
Sporting CP,6,468,29,13,5,6,50,0,0,6.83
Bayer 04 Leverkusen,5,266,7,3,1,1,12,1,0,6.82
Atlético Madrid,5,284,10,4,5,11,13,2,0,6.82
Olympique de Marseille,6,416,6,5,2,0,14,2,0,6.82
Maccabi Haifa,6,468,23,9,6,3,29,1,0,6.82
Chelsea,7,288,7,7,3,4,18,1,0,6.81
Borussia Dortmund,5,206,3,3,3,1,6,1,0,6.8
FC København,3,42,2,0,0,1,7,1,0,6.8
Manchester City,4,137,1,0,0,0,5,1,0,6.8
FC Barcelona,4,292,8,4,2,7,18,0,0,6.8
Atlético Madrid,4,330,2,1,0,4,6,0,0,6.8
Sporting CP,1,27,2,0,0,0,4,0,0,6.8
Liverpool FC,1,17,1,1,0,0,3,0,0,6.8
FC Porto,1,20,1,0,0,1,1,0,0,6.8
Sevilla,3,54,2,1,0,2,6,0,0,6.8
Tottenham Hotspur,4,214,8,2,4,2,12,0,0,6.8
Milan,8,376,7,4,5,6,25,1,0,6.79
Borussia Dortmund,7,546,8,12,7,3,14,0,0,6.79
Real Madrid,7,84,4,0,0,0,13,0,0,6.79
FC Viktoria Plzeň,6,494,13,14,4,7,19,0,0,6.78
Inter,11,823,20,19,25,7,25,1,0,6.78
Sevilla,5,247,2,3,0,0,10,2,0,6.78
FC København,5,290,4,2,3,3,7,0,0,6.78
RB Leipzig,8,657,8,1,4,5,20,4,0,6.78
Paris Saint-Germain,8,589,8,13,0,2,23,0,0,6.78
Club Brugge KV,8,704,5,4,10,28,15,1,0,6.78
Eintracht Frankfurt,7,513,4,2,1,1,24,4,0,6.77
FC Bayern München,9,537,4,6,1,1,37,3,0,6.77
Juventus,6,431,8,0,4,1,13,1,0,6.77
FC Bayern München,6,255,6,3,3,5,10,0,0,6.77
Paris Saint-Germain,3,91,1,0,0,1,3,1,0,6.77
Celtic,3,218,3,5,4,1,5,1,0,6.77
Club Brugge KV,8,645,19,6,8,6,24,3,0,6.76
Shakhtar Donetsk,5,370,7,4,3,2,16,4,0,6.76
Inter,5,146,4,2,5,0,7,0,0,6.76
RB Leipzig,8,402,8,1,0,0,18,0,0,6.75
GNK Dinamo Zagreb,6,476,16,3,3,8,20,2,0,6.75
Maccabi Haifa,6,400,9,3,0,0,28,5,0,6.75
Celtic,6,454,5,3,5,1,12,2,0,6.75
Olympique de Marseille,2,78,1,1,0,0,3,1,0,6.75
Olympique de Marseille,3,39,1,1,0,0,3,0,0,6.75
Juventus,5,360,6,5,3,3,10,0,0,6.74
Red Bull Salzburg,5,400,5,4,3,2,12,3,0,6.74
Liverpool FC,8,631,13,9,5,10,19,0,0,6.74
Celtic,6,540,12,5,8,2,18,1,0,6.73
FC København,3,189,2,7,2,0,8,0,0,6.73
Sevilla,6,259,4,4,2,1,10,0,0,6.72
Chelsea,8,298,9,5,4,3,18,4,0,6.71
Milan,8,161,5,0,1,3,7,1,0,6.7
Bayer 04 Leverkusen,5,124,3,2,1,0,4,0,0,6.7
Club Brugge KV,4,107,3,2,2,8,3,0,0,6.7
Sporting CP,2,87,4,0,2,1,7,0,0,6.7
Benfica,4,40,1,0,0,0,6,0,0,6.7
