team,appearances,minutesPlayed,goals,assists,shotsOnTarget,totalShots,bigChancesMissed,successfulDribbles,aerialDuelsWon,rating
RB Leipzig,2,180,1,0,1,5,0,1,5,7.9
FC Barcelona,10,810,2,1,5,11,0,29,8,7.6
RB Leipzig,7,630,1,3,2,2,0,0,2,7.56
Borussia Dortmund,5,372,0,0,1,3,0,2,3,7.52
Manchester City,7,423,0,1,3,12,2,9,3,7.45
SSC Napoli,6,451,0,1,0,2,0,2,17,7.44
Manchester City,6,569,1,1,1,2,0,6,8,7.38
Borussia Dortmund,13,1170,1,1,1,10,1,7,23,7.35
RB Leipzig,6,493,0,2,2,5,0,4,2,7.28
Paris Saint-Germain,11,982,1,1,3,17,0,8,10,7.26
Sevilla,5,450,2,1,2,8,0,1,18,7.24
Milan,4,157,0,0,0,1,0,2,2,7.23
FC Porto,7,660,2,0,2,3,0,1,12,7.23
SSC Napoli,8,720,1,1,4,10,0,6,13,7.23
Paris Saint-Germain,3,166,0,0,0,0,0,0,5,7.2
FC Bayern München,7,500,0,0,0,5,1,0,10,7.2
Atlético Madrid,9,649,0,1,1,5,0,4,2,7.18
Manchester City,9,766,0,0,2,5,1,1,20,7.18
Manchester City,8,666,2,0,2,5,0,1,5,7.18
Newcastle United,4,277,1,0,1,3,0,0,14,7.18
Shakhtar Donetsk,4,295,0,1,1,3,0,0,1,7.18
SSC Napoli,4,185,1,0,2,4,0,1,12,7.17
Benfica,6,540,0,1,4,7,0,1,22,7.17
FC Barcelona,8,720,0,0,1,2,0,5,22,7.16
Milan,6,540,0,1,2,9,1,4,5,7.15
FC Porto,4,360,0,0,0,1,0,1,12,7.15
Borussia Dortmund,12,976,0,2,1,5,1,2,11,7.13
Manchester United,4,310,1,0,2,2,0,0,16,7.13
Real Madrid,10,846,1,1,1,8,0,3,17,7.12
Paris Saint-Germain,5,422,0,0,0,4,0,7,1,7.12
Feyenoord,6,469,1,1,1,7,0,9,8,7.12
Milan,6,539,0,0,1,5,1,0,5,7.12
SSC Napoli,7,553,1,0,2,5,0,2,21,7.11
Manchester City,7,552,0,3,1,5,2,5,0,7.11
Paris Saint-Germain,6,539,1,0,1,3,0,0,8,7.1
Galatasaray,4,360,0,2,1,2,1,2,8,7.1
Celtic,1,75,0,0,0,0,0,0,2,7.1
Newcastle United,2,21,0,0,0,0,0,0,1,7.1
Real Sociedad,8,693,0,0,0,4,0,1,22,7.09
Newcastle United,6,513,0,1,0,3,0,3,2,7.08
Real Madrid,12,1039,0,2,2,6,1,1,18,7.08
Real Sociedad,7,530,0,0,1,3,0,6,11,7.07
Benfica,3,193,0,0,0,0,0,2,4,7.07
Manchester City,5,195,0,0,0,4,0,1,3,7.07
Manchester City,6,505,0,0,1,2,0,1,6,7.07
Newcastle United,3,270,0,0,1,1,0,2,3,7.07
Inter,5,480,0,0,0,1,0,1,13,7.06
FC Bayern München,6,540,1,0,1,5,0,7,15,7.05
Paris Saint-Germain,10,900,0,1,0,3,1,1,18,7.05
FC Bayern München,6,467,0,1,0,5,0,0,10,7.05
Real Sociedad,6,474,0,1,0,4,0,3,8,7.05
Lazio,4,351,0,0,2,3,0,1,6,7.05
FC København,8,708,0,0,2,7,0,0,15,7.05
FC København,8,708,0,0,0,2,0,1,7,7.05
Borussia Dortmund,7,630,1,0,3,4,0,5,3,7.04
Atlético Madrid,10,791,0,2,1,4,0,1,2,7.04
FC Porto,5,388,0,0,1,3,0,5,3,7.04
Benfica,3,169,0,0,0,0,0,3,3,7.03
Inter,6,498,0,0,0,0,0,1,10,7.03
Manchester City,7,388,0,0,2,4,1,1,6,7.03
Newcastle United,6,540,1,0,3,5,0,0,5,7.02
FC Barcelona,7,440,1,0,1,4,0,1,12,7.01
PSV Eindhoven,8,720,1,0,2,4,0,1,5,7.0
Shakhtar Donetsk,5,344,1,0,1,1,0,0,3,7.0
FC Bayern München,7,388,0,2,0,6,0,1,1,7.0
FC Bayern München,8,649,0,1,1,5,0,6,11,7.0
1. FC Union Berlin,4,270,0,1,1,2,0,3,1,7.0
Newcastle United,1,90,0,0,0,0,0,0,1,7.0
Paris Saint-Germain,5,408,0,0,0,0,0,2,16,7.0
Arsenal,10,930,0,0,1,5,0,0,16,7.0
Lazio,5,369,0,0,0,1,0,1,3,7.0
PSV Eindhoven,7,613,0,0,0,2,0,3,9,6.99
Shakhtar Donetsk,5,450,1,0,2,3,2,0,4,6.98
Royal Antwerp FC,5,450,0,0,4,10,2,1,13,6.98
Inter,6,421,0,1,0,1,0,1,12,6.97
FC Bayern München,5,450,0,0,1,4,1,0,5,6.96
RC Lens,5,371,0,0,2,5,2,5,5,6.96
Sporting Braga,6,519,0,0,0,0,0,2,3,6.95
FC Barcelona,8,659,0,0,1,6,1,2,13,6.95
Celtic,6,540,0,0,0,2,0,1,15,6.95
Atlético Madrid,7,482,0,1,1,3,0,0,13,6.94
Milan,5,368,0,0,0,2,0,0,7,6.94
Feyenoord,6,540,1,0,2,7,1,2,4,6.93
FC København,3,192,0,1,0,1,0,3,3,6.93
RC Lens,6,511,0,0,0,0,0,3,19,6.93
Red Bull Salzburg,3,219,0,0,0,1,0,0,1,6.93
FC Porto,8,595,0,1,0,1,0,16,4,6.93
Lazio,6,540,0,1,1,5,1,0,8,6.92
BSC Young Boys,6,505,0,0,2,8,0,11,5,6.92
PSV Eindhoven,6,424,0,0,0,3,0,0,13,6.92
Inter,7,501,0,0,0,3,1,3,9,6.91
FC Bayern München,10,704,1,0,1,4,0,20,3,6.91
Atlético Madrid,9,818,1,0,1,4,0,6,7,6.91
Arsenal,6,388,0,2,1,2,1,2,3,6.9
Arsenal,10,752,0,1,1,8,1,3,9,6.9
Real Madrid,3,251,0,1,0,4,0,1,2,6.9
FC Bayern München,1,12,0,0,0,0,0,0,0,6.9
Real Sociedad,2,72,0,0,0,2,0,0,1,6.9
FK Crvena zvezda,6,540,0,0,1,2,1,0,10,6.9
FC Bayern München,9,658,0,0,0,2,0,0,12,6.9
PSV Eindhoven,2,91,0,0,0,1,0,0,2,6.9
BSC Young Boys,1,90,0,0,0,1,0,1,0,6.9
Inter,3,171,0,0,1,2,0,1,3,6.9
Red Bull Salzburg,6,494,0,0,0,1,0,4,16,6.9
Galatasaray,6,540,0,0,1,2,1,3,11,6.88
Feyenoord,6,540,0,0,0,4,1,1,4,6.88
Red Bull Salzburg,6,540,0,0,2,6,0,12,4,6.88
BSC Young Boys,5,407,0,0,1,1,1,0,5,6.88
Sporting Braga,4,315,0,0,0,0,0,1,1,6.88
Real Madrid,12,989,0,0,2,6,0,2,12,6.88
Feyenoord,4,282,0,0,0,2,1,0,4,6.88
Red Bull Salzburg,4,216,0,0,2,3,0,2,1,6.88
Feyenoord,6,540,0,0,1,2,1,8,1,6.87
SSC Napoli,6,326,0,0,0,1,1,0,8,6.87
FC Barcelona,6,327,0,0,0,2,0,10,2,6.87
Benfica,5,434,0,0,0,3,0,1,13,6.86
FC Porto,2,210,0,1,0,0,0,1,1,6.85
Milan,6,429,0,1,0,1,1,2,3,6.85
Sevilla,4,220,0,0,0,0,0,0,1,6.85
Borussia Dortmund,6,395,0,0,0,0,0,2,2,6.85
BSC Young Boys,5,450,0,1,0,0,0,5,7,6.84
Manchester United,3,213,0,1,0,0,0,2,1,6.83
FC København,3,92,0,0,0,0,0,0,1,6.83
SSC Napoli,4,214,0,0,0,1,0,0,1,6.83
PSV Eindhoven,8,646,0,1,2,4,0,14,2,6.83
Real Sociedad,4,251,0,0,0,0,0,4,1,6.83
Royal Antwerp FC,4,223,0,0,0,1,0,1,4,6.83
Newcastle United,5,450,0,0,0,2,0,1,17,6.82
Atlético Madrid,6,414,0,0,1,2,0,0,7,6.82
Manchester City,6,341,0,1,0,1,0,0,7,6.82
Real Sociedad,7,573,0,0,2,6,1,0,18,6.81
Paris Saint-Germain,11,843,1,0,1,4,0,4,8,6.81
Borussia Dortmund,11,913,0,0,1,5,0,3,2,6.81
Sporting Braga,5,391,1,0,1,3,0,0,8,6.8
RB Leipzig,7,599,1,0,1,5,1,1,13,6.8
FC Bayern München,11,771,0,1,0,2,0,10,4,6.8
Manchester United,2,135,0,1,1,2,0,0,0,6.8
Red Bull Salzburg,1,45,0,0,0,0,0,0,0,6.8
Sevilla,2,94,0,0,0,0,0,0,0,6.8
Lazio,7,423,0,0,0,0,0,5,1,6.8
Real Madrid,11,872,0,0,0,0,0,5,9,6.8
Sporting Braga,5,272,0,0,0,4,0,1,4,6.8
FC Porto,4,308,0,0,1,3,0,2,9,6.8
Atlético Madrid,6,288,0,0,0,0,0,1,3,6.78
Galatasaray,5,384,0,0,0,3,1,2,9,6.78
Arsenal,10,902,0,0,0,3,1,2,20,6.78
Real Madrid,4,192,0,1,0,0,0,1,1,6.78
1. FC Union Berlin,3,175,0,0,0,0,0,1,3,6.77
Inter,7,473,0,0,2,6,0,1,11,6.77
Real Sociedad,5,176,0,0,1,2,0,2,4,6.76
Celtic,2,78,1,0,1,1,0,0,3,6.75
FC København,2,180,0,0,0,1,0,0,1,6.75
Benfica,2,111,0,0,1,1,0,1,0,6.75
1. FC Union Berlin,6,540,0,0,0,1,0,2,12,6.75
FC København,7,588,0,0,0,0,0,8,5,6.74
Lazio,7,522,0,0,0,2,0,2,2,6.74
Red Bull Salzburg,5,308,0,0,0,1,0,2,11,6.74
1. FC Union Berlin,3,260,0,0,0,0,0,0,5,6.73
Arsenal,6,279,0,0,1,1,0,0,1,6.73
FC København,7,464,0,0,0,4,0,2,3,6.73
Manchester United,4,334,0,0,0,0,0,0,11,6.73
BSC Young Boys,4,215,1,0,1,4,0,1,1,6.7
Shakhtar Donetsk,3,256,0,1,0,1,0,3,0,6.7
FC Bayern München,1,11,0,0,0,0,0,0,0,6.7
Real Madrid,3,12,0,0,0,0,0,0,2,6.7
Red Bull Salzburg,3,181,0,0,0,0,0,0,3,6.7
RC Lens,6,540,0,0,2,7,0,2,17,6.7
FC Barcelona,3,270,0,0,0,1,0,0,5,6.7
Red Bull Salzburg,2,180,0,0,0,1,0,0,2,6.7
RB Leipzig,7,620,0,0,1,1,0,1,7,6.69
Arsenal,7,388,0,0,1,5,0,3,5,6.68
RC Lens,6,495,0,0,1,4,0,2,5,6.68
Manchester United,2,66,0,0,0,0,0,0,2,6.65
Celtic,2,90,0,0,0,0,0,0,1,6.65
FC Barcelona,4,318,0,0,0,0,0,0,6,6.65
RB Leipzig,6,353,0,0,0,0,0,0,3,6.65
FK Crvena zvezda,4,238,0,0,0,3,0,6,1,6.65
Real Sociedad,5,121,0,0,0,1,0,0,2,6.65
Royal Antwerp FC,6,540,0,0,0,1,0,1,5,6.65
Sporting Braga,5,204,0,0,0,0,0,1,1,6.64
Red Bull Salzburg,3,153,0,0,0,0,0,0,2,6.63
Manchester United,6,462,0,0,1,2,0,7,7,6.63
FC Porto,6,188,0,0,1,2,0,2,4,6.63
FK Crvena zvezda,6,417,0,0,1,3,0,2,13,6.63
1. FC Union Berlin,3,270,0,0,0,1,0,0,3,6.63
PSV Eindhoven,3,190,0,0,1,1,0,3,2,6.63
RC Lens,4,120,0,0,0,0,0,0,3,6.63
Sporting Braga,4,360,0,0,0,3,0,2,7,6.63
Celtic,4,298,0,0,1,2,0,1,9,6.63
Celtic,6,540,0,0,0,1,0,4,9,6.62
Atlético Madrid,2,58,0,0,0,0,0,0,1,6.6
Lazio,2,180,0,0,0,0,0,0,1,6.6
BSC Young Boys,4,313,0,0,1,2,1,1,8,6.6
Manchester United,2,153,0,0,1,2,0,3,4,6.6
SSC Napoli,5,430,0,0,0,0,0,0,10,6.58
Real Sociedad,3,100,0,0,0,0,0,0,0,6.57
1. FC Union Berlin,3,260,0,0,0,0,0,0,7,6.57
Paris Saint-Germain,3,54,0,0,0,0,0,0,1,6.55
Shakhtar Donetsk,4,360,0,0,0,0,0,0,3,6.55
PSV Eindhoven,2,98,0,0,1,2,1,0,0,6.55
Lazio,4,160,0,0,0,2,0,2,0,6.55
Lazio,5,343,0,0,0,0,0,1,2,6.54
FC Porto,3,269,0,0,0,0,0,0,4,6.53
FC København,3,42,0,0,0,0,0,0,1,6.53
FK Crvena zvezda,6,540,0,0,0,2,0,4,6,6.53
FC Barcelona,3,141,0,0,1,1,0,0,1,6.53
Shakhtar Donetsk,4,284,0,1,2,2,1,4,2,6.53
FK Crvena zvezda,1,12,0,0,0,0,0,0,0,6.5
Sevilla,2,166,0,0,0,0,0,1,4,6.5
Royal Antwerp FC,3,101,0,0,0,0,0,0,2,6.5
Manchester United,4,297,0,0,0,0,0,0,11,6.5
Sporting Braga,4,324,0,0,0,2,0,1,4,6.5
PSV Eindhoven,2,84,0,0,0,1,0,0,0,6.5
Celtic,6,540,0,0,0,1,0,3,5,6.5
Royal Antwerp FC,6,409,0,1,0,0,0,3,2,6.48
Sevilla,4,329,0,0,0,1,0,2,1,6.48
Benfica,3,128,0,0,0,0,0,1,0,6.47
Feyenoord,1,79,0,0,0,0,0,0,0,6.4
Royal Antwerp FC,2,31,0,0,0,0,0,0,0,6.4
Sporting Braga,1,17,0,0,0,1,1,0,0,6.4
Sporting Braga,2,27,0,0,0,0,0,0,0,6.35
BSC Young Boys,5,325,0,0,0,0,0,8,3,6.34
BSC Young Boys,3,35,0,0,0,0,0,0,0,6.33
Royal Antwerp FC,6,452,0,0,0,1,0,0,4,6.32
Sevilla,3,197,0,1,0,2,0,1,2,6.3
Manchester United,1,90,0,0,0,0,0,2,0,6.3
Atlético Madrid,1,22,0,0,0,0,0,0,0,6.3
Galatasaray,1,75,0,0,0,0,0,1,0,6.3
Celtic,1,15,0,0,0,0,0,0,0,6.3
Feyenoord,3,81,0,0,0,0,0,0,1,6.3
Sevilla,2,31,0,0,0,1,0,0,3,6.3
FC København,2,27,0,0,0,0,0,0,0,6.25
BSC Young Boys,4,280,0,0,0,4,0,1,1,6.25
FC Barcelona,1,60,0,0,0,0,0,0,0,6.2
Newcastle United,1,45,0,0,0,0,0,0,1,6.2
Milan,1,90,0,0,0,0,0,1,0,6.1
Feyenoord,1,45,0,0,0,0,0,0,0,6.1
FK Crvena zvezda,1,65,0,0,0,0,0,0,1,6.0
Shakhtar Donetsk,1,65,0,0,0,0,0,0,0,6.0
RC Lens,2,29,0,0,0,0,0,0,0,5.9
Galatasaray,4,104,0,0,0,1,0,0,4,5.87
Benfica,4,279,0,0,0,0,0,2,3,5.8
Real Sociedad,1,2,0,0,0,0,0,0,0,0.0
Milan,1,2,0,0,0,0,0,0,0,0.0
Milan,1,1,0,0,0,0,0,0,0,0.0
Atlético Madrid,1,1,0,0,0,0,0,0,0,0.0
PSV Eindhoven,1,1,0,0,0,0,0,0,0,0.0
Manchester City,2,202,2,1,6,13,2,2,1,8.65
Manchester City,8,684,5,3,12,33,2,11,5,8.04
Manchester City,8,697,1,2,4,12,2,10,5,7.86
FC Barcelona,7,473,3,2,13,24,0,8,1,7.74
Real Madrid,11,993,4,5,7,23,2,19,11,7.74
RB Leipzig,8,599,2,2,7,18,0,15,7,7.65
FC Porto,7,651,5,3,11,16,2,9,2,7.59
Manchester City,7,299,1,1,6,12,1,29,0,7.59
Real Sociedad,7,630,2,1,4,14,1,10,44,7.56
Atlético Madrid,7,506,3,3,8,18,3,9,1,7.54
Feyenoord,6,473,1,1,4,4,1,12,4,7.52
FC Bayern München,12,1080,1,2,3,9,0,4,5,7.49
Paris Saint-Germain,12,914,2,1,6,22,1,11,3,7.48
Manchester United,6,540,2,2,4,15,0,7,4,7.47
FK Crvena zvezda,6,531,1,1,4,13,1,3,5,7.47
Real Madrid,12,864,0,2,5,7,0,2,1,7.44
Manchester City,8,534,0,2,5,13,0,6,2,7.44
FC Barcelona,10,836,0,4,4,15,1,10,3,7.43
Real Sociedad,7,532,3,1,6,14,1,8,6,7.41
Manchester United,2,167,2,0,2,5,0,1,0,7.4
Benfica,5,416,1,1,5,12,0,8,0,7.4
Real Madrid,3,152,1,0,1,2,0,3,0,7.4
Inter,6,513,1,0,3,12,0,1,3,7.38
Sevilla,6,459,0,3,1,3,0,1,2,7.37
Benfica,6,540,0,0,2,6,1,13,9,7.37
Inter,8,466,0,1,3,6,1,1,10,7.34
Arsenal,9,751,2,1,6,17,0,12,1,7.33
PSV Eindhoven,7,579,0,0,3,8,0,6,4,7.33
FC Bayern München,11,882,2,1,6,23,1,32,1,7.31
RB Leipzig,3,181,1,0,3,9,0,3,0,7.3
Sporting Braga,1,10,1,0,1,1,0,0,1,7.3
Feyenoord,6,401,0,0,3,11,1,10,4,7.3
Real Sociedad,8,563,0,1,3,11,0,17,1,7.26
Atlético Madrid,6,540,1,2,2,5,0,6,4,7.25
FC Barcelona,10,579,0,2,3,21,3,23,1,7.24
FC København,8,686,3,0,8,17,2,10,7,7.24
Shakhtar Donetsk,6,536,0,2,2,10,0,9,2,7.23
FC Porto,8,534,1,0,4,7,0,1,0,7.23
Arsenal,10,839,0,1,0,4,0,16,11,7.22
FC Bayern München,10,761,0,1,0,9,3,3,8,7.21
FC Bayern München,7,449,2,0,3,11,1,16,6,7.2
RC Lens,6,528,1,2,1,1,0,3,2,7.2
Newcastle United,6,413,1,0,4,12,1,1,0,7.2
RB Leipzig,7,292,0,2,1,2,0,2,2,7.2
Paris Saint-Germain,9,621,0,2,1,13,3,8,5,7.19
Lazio,8,647,0,1,3,14,0,4,2,7.19
Celtic,6,487,0,3,3,4,0,3,2,7.18
Galatasaray,5,250,2,1,4,7,0,3,0,7.18
FK Crvena zvezda,6,488,2,2,2,12,0,12,6,7.17
SSC Napoli,8,584,1,1,6,13,0,6,3,7.16
Sporting Braga,5,308,0,0,1,4,0,1,1,7.16
Inter,7,522,0,0,0,5,0,9,6,7.16
Real Madrid,3,39,1,0,1,1,0,5,1,7.15
Milan,4,325,0,0,0,8,0,13,6,7.15
Paris Saint-Germain,9,342,1,1,4,12,1,5,1,7.14
Manchester City,8,535,2,0,4,17,2,3,1,7.14
Atlético Madrid,8,616,1,0,2,6,0,6,0,7.14
Real Madrid,11,790,0,1,4,10,0,13,12,7.14
FC Barcelona,6,327,0,3,1,3,0,3,1,7.13
Atlético Madrid,9,771,0,1,0,3,0,2,1,7.13
FC Bayern München,9,439,1,1,3,7,3,1,0,7.13
Benfica,5,324,3,0,3,7,0,6,2,7.12
Galatasaray,5,200,0,0,2,4,0,0,1,7.12
FC København,6,540,3,1,4,6,0,3,17,7.12
BSC Young Boys,6,518,1,1,3,9,0,5,2,7.12
FC Bayern München,12,929,2,1,11,25,5,35,0,7.11
Inter,7,449,1,2,2,10,0,1,4,7.1
Real Madrid,13,1067,1,0,4,24,0,10,12,7.1
Newcastle United,4,335,1,0,4,7,1,5,4,7.1
Newcastle United,6,540,0,1,3,3,1,6,2,7.08
SSC Napoli,6,469,1,0,4,8,3,5,1,7.07
FC Bayern München,3,206,0,0,0,0,0,2,4,7.07
Sporting Braga,5,290,0,0,0,2,0,7,1,7.06
Borussia Dortmund,12,929,1,5,8,12,3,4,2,7.06
FC København,7,536,2,1,4,12,1,5,1,7.06
Real Sociedad,7,399,1,1,1,9,0,16,3,7.06
RB Leipzig,8,626,1,2,1,2,0,5,4,7.05
FC København,2,113,1,0,2,5,1,1,0,7.05
Manchester City,2,106,1,0,1,3,0,0,1,7.05
Sevilla,4,330,0,0,0,0,0,3,2,7.05
FC København,7,630,0,1,1,2,0,3,1,7.03
Paris Saint-Germain,11,905,1,3,2,7,1,10,5,7.03
Real Sociedad,8,713,0,0,1,7,1,5,14,7.03
Shakhtar Donetsk,6,540,1,0,2,10,1,6,1,7.0
FC Barcelona,3,229,1,0,2,3,0,3,1,7.0
Manchester City,4,221,1,0,2,4,0,3,0,7.0
Feyenoord,5,355,1,0,1,5,0,5,3,7.0
PSV Eindhoven,8,503,0,1,0,3,1,6,1,7.0
BSC Young Boys,4,265,0,1,1,4,1,7,3,7.0
RB Leipzig,2,92,0,0,0,0,0,2,0,7.0
Feyenoord,6,467,0,0,3,8,2,7,1,6.98
Feyenoord,4,198,1,0,5,10,2,11,1,6.98
Real Madrid,8,605,0,0,0,5,0,0,14,6.98
RC Lens,6,289,2,0,4,7,1,3,1,6.97
Red Bull Salzburg,6,390,1,0,2,8,0,9,1,6.97
Galatasaray,6,499,0,0,1,5,2,4,5,6.97
Milan,3,122,0,0,0,2,0,2,1,6.97
Real Madrid,11,418,0,0,2,7,1,1,5,6.96
Sevilla,5,346,1,0,3,12,1,16,5,6.96
RC Lens,2,36,0,0,0,0,0,2,0,6.95
Manchester City,6,434,0,0,0,6,0,4,1,6.95
FK Crvena zvezda,3,148,0,0,1,3,0,1,2,6.95
Arsenal,9,531,1,0,1,2,0,0,6,6.94
Atlético Madrid,7,258,1,1,2,4,0,4,3,6.94
Inter,7,372,1,0,3,6,0,1,1,6.94
Shakhtar Donetsk,6,497,0,1,3,7,0,0,6,6.93
Milan,6,479,0,0,1,6,0,9,0,6.93
Borussia Dortmund,7,563,1,0,1,3,0,26,0,6.93
Borussia Dortmund,13,496,2,1,4,10,0,3,2,6.93
Newcastle United,5,354,1,0,2,2,0,3,2,6.92
Atlético Madrid,10,887,0,0,2,3,0,1,10,6.92
1. FC Union Berlin,6,441,1,0,1,5,0,1,11,6.92
PSV Eindhoven,7,622,0,0,0,0,0,6,11,6.91
Lazio,8,546,0,1,1,9,2,13,1,6.9
Lazio,8,492,0,1,1,6,0,5,3,6.9
Benfica,6,540,0,1,2,2,0,1,3,6.9
FC Barcelona,5,395,0,0,0,0,0,4,3,6.9
Celtic,6,521,0,0,2,4,0,2,0,6.9
Celtic,3,137,0,0,2,3,0,0,0,6.9
RB Leipzig,5,269,0,0,1,4,0,0,3,6.9
Celtic,2,97,0,0,1,2,0,3,0,6.9
FC Porto,4,96,0,0,1,1,0,0,1,6.9
Real Madrid,9,386,0,1,1,3,0,2,0,6.89
Red Bull Salzburg,6,482,2,1,4,7,0,6,0,6.88
1. FC Union Berlin,6,247,1,1,2,3,0,1,4,6.88
BSC Young Boys,6,535,0,1,1,4,1,2,5,6.88
Real Sociedad,6,187,0,0,2,7,1,5,4,6.88
Borussia Dortmund,6,291,0,0,1,3,0,1,3,6.88
Arsenal,5,174,0,2,0,6,0,7,1,6.88
FC Porto,4,238,0,0,2,5,1,1,2,6.88
SSC Napoli,7,628,1,1,3,10,2,6,7,6.87
Arsenal,3,49,0,0,1,3,0,0,0,6.87
Real Madrid,9,320,2,1,3,10,1,12,0,6.86
FC Barcelona,8,280,2,0,3,11,3,4,3,6.85
Galatasaray,6,402,1,1,2,9,0,10,0,6.85
Lazio,6,473,1,0,1,7,0,1,6,6.85
Inter,2,112,0,0,0,1,0,2,0,6.85
PSV Eindhoven,7,317,1,0,6,11,2,9,2,6.84
Manchester United,5,381,1,1,1,9,1,3,7,6.84
Galatasaray,5,123,0,1,2,3,0,4,1,6.84
Red Bull Salzburg,5,400,0,0,0,1,0,6,9,6.84
FC Bayern München,7,207,2,0,2,4,0,0,1,6.83
Paris Saint-Germain,6,119,0,0,3,8,0,2,0,6.83
Borussia Dortmund,10,897,0,0,1,5,0,14,6,6.83
Atlético Madrid,8,317,0,0,2,10,1,12,0,6.83
Inter,7,406,0,0,0,2,0,4,5,6.83
Shakhtar Donetsk,4,207,0,1,2,3,1,0,1,6.83
Milan,4,219,0,0,1,1,0,0,2,6.83
Borussia Dortmund,9,450,0,0,1,3,0,0,7,6.82
FC Barcelona,5,202,0,1,0,1,0,1,3,6.82
RB Leipzig,6,412,1,0,1,9,0,4,1,6.82
Manchester City,4,132,1,0,1,5,0,0,4,6.8
1. FC Union Berlin,6,276,0,1,0,2,0,6,1,6.8
BSC Young Boys,1,8,0,0,0,0,0,0,0,6.8
FC Porto,8,708,0,0,2,8,1,3,1,6.8
SSC Napoli,8,681,0,0,0,1,0,1,2,6.8
Red Bull Salzburg,6,496,0,0,0,1,0,2,3,6.8
Arsenal,3,86,0,0,0,1,0,1,2,6.8
Real Sociedad,5,217,0,0,1,4,1,1,1,6.78
Milan,4,149,0,0,2,8,0,1,5,6.78
Shakhtar Donetsk,4,220,0,0,1,3,1,1,1,6.78
FK Crvena zvezda,6,201,0,0,0,3,0,12,2,6.77
FK Crvena zvezda,5,83,1,0,2,6,0,3,4,6.76
Manchester United,4,204,0,1,2,2,1,0,1,6.75
Manchester United,2,42,0,0,0,0,0,1,0,6.75
Royal Antwerp FC,6,387,1,1,2,3,0,3,3,6.73
Atlético Madrid,10,437,1,0,1,5,0,0,9,6.73
Newcastle United,3,171,0,1,0,0,0,0,0,6.73
Manchester United,4,53,0,1,0,0,0,2,0,6.73
Galatasaray,6,427,0,0,0,0,0,4,6,6.73
RC Lens,6,495,0,0,0,2,0,1,4,6.73
Manchester United,4,233,0,0,0,2,0,6,1,6.73
Borussia Dortmund,8,357,1,0,2,7,1,4,6,6.73
FK Crvena zvezda,5,376,0,1,1,7,1,1,3,6.72
1. FC Union Berlin,5,238,0,1,0,2,0,0,3,6.72
