model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model A,0.55,0.5347222222222222,0.5877862595419847,0.56,0.6771683910950341,1320,402,324,462,864,0.3444976076555024
Model A,0.56,0.5409638554216868,0.5712468193384224,0.5556930693069307,0.6749962319688627,1341,381,337,449,830,0.3309409888357257
Model A,0.57,0.55,0.5458015267175572,0.5478927203065134,0.6709843870521583,1371,351,357,429,780,0.31100478468899523
Model A,0.58,0.5595075239398085,0.5203562340966921,0.5392221489782465,0.6666821820889964,1400,322,377,409,731,0.2914673046251994
Model A,0.59,0.5629522431259045,0.494910941475827,0.5267433987813135,0.659766736707716,1420,302,397,389,691,0.275518341307815
Model A,0.6,0.573820395738204,0.4796437659033079,0.5225225225225225,0.6585210699435239,1442,280,409,377,657,0.2619617224880383
Model A,0.61,0.5818476499189628,0.45674300254452926,0.5117605131860299,0.6534586092862019,1464,258,427,359,617,0.2460127591706539
Model A,0.62,0.5975395430579965,0.43256997455470736,0.5018450184501845,0.6497925366385615,1493,229,446,340,569,0.22687400318979267
Model A,0.63,0.6074766355140186,0.41348600508905853,0.49205147615442846,0.6457673927884318,1512,210,461,325,535,0.21331738437001596
Model A,0.64,0.6067864271457086,0.38676844783715014,0.47241647241647244,0.6361832947664264,1525,197,482,304,501,0.19976076555023922
Model A,0.65,0.6109936575052854,0.36768447837150126,0.45909451945988883,0.6304159906375508,1538,184,497,289,473,0.18859649122807018
Model A,0.66,0.6284403669724771,0.3486005089058524,0.44844517184942717,0.6272619269267938,1560,162,512,274,436,0.17384370015948963
Model A,0.67,0.6313131313131313,0.31806615776081426,0.4230118443316413,0.6166405120975964,1576,146,536,250,396,0.15789473684210525
Model A,0.68,0.6304347826086957,0.2951653944020356,0.4020797227036395,0.6080937308827832,1586,136,554,232,368,0.1467304625199362
Model A,0.69,0.6463768115942029,0.2837150127226463,0.394341290893015,0.6064335806934951,1600,122,563,223,345,0.1375598086124402
Model A,0.7,0.6592356687898089,0.2633587786259542,0.37636363636363634,0.600610864342013,1615,107,579,207,314,0.1251993620414673
Model A,0.71,0.6632653061224489,0.2480916030534351,0.3611111111111111,0.5953001569274144,1623,99,591,195,294,0.11722488038277512
Model A,0.72,0.6730038022813688,0.22519083969465647,0.3374642516682555,0.587624455851974,1636,86,609,177,263,0.10486443381180223
Model A,0.73,0.6883116883116883,0.20229007633587787,0.31268436578171094,0.5802391148229912,1650,72,627,159,231,0.09210526315789473
Model A,0.74,0.6857142857142857,0.183206106870229,0.2891566265060241,0.5724392903689124,1656,66,642,144,210,0.08373205741626795
Model A,0.75,0.6808510638297872,0.1628498727735369,0.26283367556468173,0.564003333599312,1662,60,658,128,188,0.07496012759170653
Model A,0.76,0.70625,0.14376590330788805,0.23890063424947147,0.5582360294704365,1675,47,673,113,160,0.06379585326953748
Model A,0.77,0.7226277372262774,0.12595419847328243,0.21451787648970747,0.5519434174712521,1684,38,687,99,137,0.054625199362041466
Model A,0.78,0.7327586206896551,0.10814249363867684,0.188470066518847,0.5450700853791526,1691,31,701,85,116,0.046251993620414676
Model A,0.79,0.7777777777777778,0.089058524173028,0.1598173515981735,0.5387220611573619,1702,20,716,70,90,0.03588516746411483
Model A,0.8,0.7941176470588235,0.06870229007633588,0.12646370023419204,0.5302861043877614,1708,14,732,54,68,0.02711323763955343
Model A,0.81,0.8333333333333334,0.05725190839694656,0.10714285714285714,0.5260127137803549,1713,9,741,45,54,0.0215311004784689
Model A,0.82,0.8461538461538461,0.04198473282442748,0.08,0.5192502061334681,1716,6,753,33,39,0.01555023923444976
Model A,0.83,0.8709677419354839,0.03435114503816794,0.06609547123623011,0.5160141323332536,1718,4,759,27,31,0.012360446570972886
Model A,0.84,0.8333333333333334,0.02544529262086514,0.04938271604938271,0.5115612061246021,1718,4,766,20,24,0.009569377990430622
Model A,0.85,0.8888888888888888,0.020356234096692113,0.03980099502487562,0.5095973969554308,1720,2,770,16,18,0.007177033492822967
Model A,0.86,0.8571428571428571,0.015267175572519083,0.03,0.5070528676933443,1720,2,774,12,14,0.005582137161084529
Model A,0.87,1.0,0.008905852417302799,0.017654476670870115,0.5044529262086515,1722,0,779,7,7,0.0027910685805422647
Model A,0.88,1.0,0.002544529262086514,0.005076142131979695,0.5012722646310432,1722,0,784,2,2,0.0007974481658692185
Model A,0.89,1.0,0.002544529262086514,0.005076142131979695,0.5012722646310432,1722,0,784,2,2,0.0007974481658692185
Model A,0.9,1.0,0.002544529262086514,0.005076142131979695,0.5012722646310432,1722,0,784,2,2,0.0007974481658692185
Model B,0.1,0.3193482688391039,0.9974554707379135,0.4838012958963283,0.5135360977382948,51,1671,2,784,2455,0.9788676236044657
Model B,0.11,0.3203605079885293,0.9949109414758269,0.4846606755500465,0.5157481536647427,63,1659,4,782,2441,0.9732854864433812
Model B,0.12,0.3217678645187939,0.9910941475826972,0.4858122856251949,0.5187758775079572,80,1642,7,779,2421,0.965311004784689
Model B,0.13,0.3232365145228216,0.9910941475826972,0.4874843554443054,0.5219698380189909,91,1631,7,779,2410,0.9609250398724083
Model B,0.14,0.32430179241350565,0.989821882951654,0.4885400313971743,0.5242373061680453,101,1621,8,778,2399,0.9565390749601276
Model B,0.15,0.32605042016806723,0.9872773536895675,0.4902084649399874,0.5279011623267814,118,1604,10,776,2380,0.94896331738437
Model B,0.16,0.32727272727272727,0.9847328244274809,0.49127261186924787,0.530403578299687,131,1591,12,774,2365,0.9429824561403509
Model B,0.17,0.3294871794871795,0.9809160305343512,0.4932821497120921,0.5348831023751895,153,1569,15,771,2340,0.9330143540669856
Model B,0.18,0.33362218370883884,0.9796437659033079,0.497737556561086,0.5432481314998537,184,1538,16,770,2308,0.9202551834130781
Model B,0.19,0.33624836029733274,0.9783715012722646,0.5004881223560039,0.5484192001134842,204,1518,17,769,2287,0.9118819776714514
Model B,0.2,0.34028393966282167,0.9758269720101781,0.5046052631578948,0.5561480969226268,235,1487,19,767,2254,0.8987240829346093
Model B,0.21,0.345200540784137,0.9745547073791349,0.5098169717138104,0.5653842061866639,269,1453,20,766,2219,0.8847687400318979
Model B,0.22,0.34885844748858447,0.9720101781170484,0.5134408602150538,0.571951662809976,296,1426,22,764,2190,0.8732057416267942
Model B,0.23,0.35223048327137546,0.9643765903307888,0.5159972770592239,0.5774263904034896,328,1394,28,758,2152,0.8580542264752791
Model B,0.24,0.35778513961192615,0.9618320610687023,0.5215591583304587,0.5868974474913778,365,1357,30,756,2113,0.8425039872408293
Model B,0.25,0.3617021276595745,0.9516539440203562,0.524176594253679,0.5925517106861363,402,1320,38,748,2068,0.8245614035087719
Model B,0.26,0.36928429423459247,0.94529262086514,0.5310936383130808,0.6041794114778661,453,1269,43,743,2012,0.8022328548644339
Model B,0.27,0.3740496705524582,0.9389312977099237,0.5349764407393983,0.6108709914798167,487,1235,48,738,1973,0.7866826156299841
Model B,0.28,0.379149377593361,0.9300254452926209,0.5386882829771555,0.6174517470365544,525,1197,55,731,1928,0.7687400318979266
Model B,0.29,0.3858811040339703,0.9249363867684478,0.5445692883895131,0.6265216196327721,565,1157,59,727,1884,0.7511961722488039
Model B,0.3,0.3915171288743883,0.916030534351145,0.5485714285714286,0.6331023751895097,603,1119,66,720,1839,0.7332535885167464
Model B,0.31,0.39775910364145656,0.9033078880407125,0.5523142746013224,0.6395168940784283,647,1075,76,710,1785,0.7117224880382775
Model B,0.32,0.4013761467889908,0.8905852417302799,0.5533596837944664,0.6421567323633978,678,1044,86,700,1744,0.6953748006379585
Model B,0.33,0.4071470415934388,0.8842239185750637,0.5575611712795828,0.6482675922724331,710,1012,91,695,1707,0.680622009569378
Model B,0.34,0.4151057401812689,0.8740458015267175,0.5628840639082343,0.6559543757923948,754,968,99,687,1655,0.6598883572567783
Model B,0.35,0.4226932668329177,0.8625954198473282,0.5673640167364017,0.6624243069039196,796,926,108,678,1604,0.6395534290271132
Model B,0.36,0.42921204356181936,0.8524173027989822,0.5709416276097146,0.6674978500057629,831,891,116,670,1561,0.6224082934609251
Model B,0.37,0.43415906127770537,0.8473282442748091,0.5741379310344827,0.6716316018122013,854,868,120,666,1534,0.6116427432216905
