model,threshold,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp,alerts,alert_rate
Model C,0.63,0.6366459627329193,0.4812206572769953,0.5481283422459893,0.6699581547254542,1422,234,442,410,644,0.2567783094098884
Model C,0.64,0.6416666666666667,0.4518779342723005,0.5303030303030303,0.6610235081989522,1441,215,467,385,600,0.23923444976076555
Model C,0.65,0.6517857142857143,0.4284037558685446,0.5169971671388102,0.6553250663400694,1461,195,487,365,560,0.22328548644338117
Model C,0.66,0.6571969696969697,0.4072769953051643,0.5028985507246376,0.6489887391984759,1475,181,505,347,528,0.21052631578947367
Model C,0.67,0.6734279918864098,0.38967136150234744,0.49368029739776953,0.6462245696400626,1495,161,520,332,493,0.19657097288676237
Model C,0.68,0.6788008565310493,0.3720657276995305,0.4806671721000758,0.6407430087773015,1506,150,535,317,467,0.1862041467304625
Model C,0.69,0.6890951276102089,0.3485915492957746,0.46297739672642246,0.6338368374498197,1522,134,555,297,431,0.1718500797448166
Model C,0.7,0.7114427860696517,0.33568075117370894,0.45614035087719296,0.6328162209974825,1540,116,566,286,402,0.16028708133971292
Model C,0.71,0.7226666666666667,0.318075117370892,0.4417277913610432,0.6276365925018712,1552,104,581,271,375,0.14952153110047847
Model C,0.72,0.7285714285714285,0.2992957746478873,0.4242928452579035,0.6209643124447166,1561,95,597,255,350,0.13955342902711323
Model C,0.73,0.7363344051446945,0.2687793427230047,0.3938091143594153,0.6096312172552222,1574,82,623,229,311,0.12400318979266348
Model C,0.74,0.7411347517730497,0.24530516431924881,0.36860670194003525,0.6006115193576921,1583,73,643,209,282,0.11244019138755981
Model C,0.75,0.752851711026616,0.2323943661971831,0.35515695067264574,0.5965715792338573,1591,65,654,198,263,0.10486443381180223
Model C,0.76,0.762114537444934,0.20305164319248825,0.3206672845227062,0.5852214737701571,1602,54,679,173,227,0.0905103668261563
Model C,0.77,0.7638190954773869,0.1784037558685446,0.28924833491912466,0.5750110566782336,1609,47,700,152,199,0.07934609250398723
Model C,0.78,0.7784090909090909,0.1607981220657277,0.26653696498054474,0.5686236987140233,1617,39,715,137,176,0.07017543859649122
Model C,0.79,0.7806451612903226,0.142018779342723,0.24031777557100298,0.5607436891882698,1622,34,731,121,155,0.061802232854864435
Model C,0.8,0.8015267175572519,0.12323943661971831,0.2136317395727365,0.5537694767639655,1630,26,747,105,131,0.05223285486443381
Model C,0.81,0.8425925925925926,0.1068075117370892,0.18958333333333333,0.5482709056269987,1639,17,761,91,108,0.0430622009569378
Model C,0.82,0.8539325842696629,0.0892018779342723,0.16153028692879914,0.5406758181941893,1643,13,776,76,89,0.035486443381180226
Model C,0.83,0.8421052631578947,0.07511737089201878,0.13793103448275862,0.5339354970402123,1644,12,788,64,76,0.030303030303030304
Model C,0.84,0.8688524590163934,0.062206572769953054,0.11610076670317634,0.5286878274477784,1648,8,799,53,61,0.024322169059011165
Model C,0.85,0.851063829787234,0.046948356807511735,0.08898776418242492,0.5213606518337075,1649,7,812,40,47,0.018740031897926633
Model C,0.86,0.8387096774193549,0.03051643192488263,0.05889014722536806,0.5137485541266925,1651,5,826,26,31,0.012360446570972886
Model C,0.87,0.8888888888888888,0.018779342723004695,0.0367816091954023,0.5087858066272029,1654,2,836,16,18,0.007177033492822967
Model C,0.88,0.9090909090909091,0.011737089201877934,0.023174971031286212,0.5055666122337892,1655,1,842,10,11,0.0043859649122807015
Model C,0.89,1.0,0.007042253521126761,0.013986013986013986,0.5035211267605634,1656,0,846,6,6,0.0023923444976076554
Model C,0.9,1.0,0.005868544600938967,0.011668611435239206,0.5029342723004695,1656,0,847,5,5,0.001993620414673046
