name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Marcos Senesi,Marcos,marcos-senesi,M. Senesi,D,5,7014,M,830659,"{'nameTranslation': {'ar': 'ماركوس سينيسي', 'bn': 'মার্কোস সেনেসি', 'hi': 'मार्कोस सेनेसी'}, 'shortNameTranslation': {'ar': 'م. سينيسي', 'bn': 'এম. সেনেসি', 'hi': 'एम. सेनेसी'}}",,Senesi,42.454954954955,69.038738738739,111,Bournemouth,1748185200_bournemouth_vs_leicester_city
Kepa Arrizabalaga,Kepa,kepa-arrizabalaga,K. Arrizabalaga,G,13,27190,M,232422,"{'nameTranslation': {'ar': 'كيبا أريزابالاغا', 'bn': 'কেপা আরিজাবলাগা', 'hi': 'केपा अरिज़ाबलागा'}, 'shortNameTranslation': {'ar': 'ك. أريزابالاغا', 'bn': 'কে. আরিজাবালাগা', 'hi': 'के. अरिज़ाबलागा'}}",KepaA,Arrizabalaga,16.335135135135,51.237837837838,37,Bournemouth,1748185200_bournemouth_vs_leicester_city
David Brooks,David,david-brooks,D. Brooks,M,7,1333,M,855731,"{'nameTranslation': {'ar': 'دافيد بروكس', 'bn': 'ডেভিড ব্রুকস', 'hi': 'डेविड ब्रूक्स'}, 'shortNameTranslation': {'ar': 'د. بروكس', 'bn': 'ডি. ব্রুকস', 'hi': 'डी. ब्रूक्स'}}",,Brooks,71.125,21.015384615385,52,Bournemouth,1748185200_bournemouth_vs_leicester_city
Miloš Kerkez,Milos,milos-kerkez,M. Kerkez,D,6,27687,M,1097425,"{'nameTranslation': {'ar': 'ميلوش كيركيز', 'bn': 'মিলোস কেরকেজ', 'hi': 'मिलोस केर्केज़'}, 'shortNameTranslation': {'ar': 'م. كيركيز', 'bn': 'এম. কেরকেজ', 'hi': 'एम. केर्केज़'}}",miloskerkez,Kerkez,55.740963855422,84.40843373494,83,Bournemouth,1748185200_bournemouth_vs_leicester_city
Ricardo Pereira,Ricardo,ricardo-pereira,R. Pereira,D,21,1055,M,221200,"{'nameTranslation': {'ar': 'ريكاردو بيريرا', 'bn': 'রিকার্ডো পেরেইরা', 'hi': 'रिकार्डो परेरा'}, 'shortNameTranslation': {'ar': 'ر. بيريرا', 'bn': 'আর. পেরেইরা', 'hi': 'आर. परेरा'}}",,Pereira,57.515,52.66,20,Leicester City,1748185200_bournemouth_vs_leicester_city
Patson Daka,,patson-daka,P. Daka,F,20,17539,M,865057,"{'nameTranslation': {'ar': 'باتسون داكا', 'bn': 'প্যাটসন ডাকা', 'hi': 'पैटसन डाका'}, 'shortNameTranslation': {'ar': 'ب. داكا', 'bn': 'পি. ডাকা', 'hi': 'पी. डाका'}}",patsondaka,,46.265,39.69,20,Leicester City,1748185200_bournemouth_vs_leicester_city
Olabade Aluko,Olabade Aluko,olabade-aluko,O. Aluko,D,56,182,M,1543805,"{'nameTranslation': {'ar': 'أولابادي ألوك'}, 'shortNameTranslation': {'ar': 'أ. ألوك'}}",,,56.844444444444,91.466666666667,9,Leicester City,1748185200_bournemouth_vs_leicester_city
Jeremy Monga,Jeremy Monga,jeremy-monga,J. Monga,M,28,2131,M,1861707,"{'nameTranslation': {'ar': 'جيريمي مونغا'}, 'shortNameTranslation': {'ar': 'ج. مونغا'}}",,,76.95,77.45,2,Leicester City,1748185200_bournemouth_vs_leicester_city
Facundo Buonanotte,Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,17796,M,1117025,"{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে', 'hi': 'फ़ाकंडो बुओनानोट्टे'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'bn': 'এফ. বুওনানোট', 'hi': 'एफ. बुओनानोट्टे'}}",facubuonanotte_,,57.8,53.245454545455,11,Leicester City,1748185200_bournemouth_vs_leicester_city
Wout Faes,Wout,wout-faes,W. Faes,D,25,1814,M,361696,"{'nameTranslation': {'ar': 'ووت فايس', 'bn': 'ওয়াউট ফেইস', 'hi': 'वाउट फ़ेस'}, 'shortNameTranslation': {'ar': 'ووت فايس', 'bn': 'ডব্লিউ. ফেইস', 'hi': 'डब्लू. फ़ेस'}}",,Faes,23.455102040816,37.483673469388,49,Leicester City,1748185200_bournemouth_vs_leicester_city
Oliver Skipp,Oliver,oliver-skipp,O. Skipp,M,22,1334,M,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'bn': 'স্কিপ, অলিভার', 'hi': 'स्किप, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'bn': 'ও. স্কিপ', 'hi': 'ओ. स्किप'}}",,Skipp,45.092307692308,35.851282051282,39,Leicester City,1748185200_bournemouth_vs_leicester_city
Conor Coady,,conor-coady,C. Coady,D,15,637,M,98449,"{'nameTranslation': {'ar': 'كونور كودي', 'bn': 'কনর কোডিস', 'hi': 'कोनोर कोडी'}, 'shortNameTranslation': {'ar': 'ك. كودي', 'bn': 'সি. কোডি', 'hi': 'सी. कोडी'}}",,,25.598461538462,60.589230769231,65,Leicester City,1748185200_bournemouth_vs_leicester_city
Jordan Ayew,Jordan,jordan-ayew,J. Ayew,F,9,13423,M,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'bn': 'জর্ডান আইউ', 'hi': 'जॉर्डन अय्यू'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'bn': 'জে. আইউ', 'hi': 'जे. अय्यू'}}",jordanayew9,Ayew,61.180303030303,55.516666666667,66,Leicester City,1748185200_bournemouth_vs_leicester_city
Jakub Stolarczyk,,jakub-stolarczyk,J. Stolarczyk,G,1,1051,M,997830,"{'nameTranslation': {'ar': 'ياكوب ستولارتشيك', 'bn': 'জ্যাকুব স্টোলারকজিক', 'hi': 'जकूब स्टोलार्स्की'}, 'shortNameTranslation': {'ar': 'ي. ستولارتشيك', 'bn': 'জে. স্টোলারজিক', 'hi': 'जे. स्टोलार्स्की'}}",,,10.606153846154,48.367692307692,65,Leicester City,1748185200_bournemouth_vs_leicester_city
James Justin,James,james-justin,J. Justin,D,24,1394,M,827681,"{'nameTranslation': {'ar': 'جيمس جاستين', 'bn': 'জেমস জাস্টিন', 'hi': 'जेम्स जस्टिन'}, 'shortNameTranslation': {'ar': 'ج. جاستين', 'bn': 'জে.জাস্টিন', 'hi': 'जे. जस्टिन'}}",,Justin,35.728205128205,24.65641025641,78,Leicester City,1748185200_bournemouth_vs_leicester_city
Boubakary Soumaré,Boubakary,boubakary-soumare,B. Soumaré,M,34,1079,M,887581,"{'nameTranslation': {'ar': 'بوباكاري سوماري', 'bn': 'বুবাকারি সৌমারে', 'hi': 'बौबाकरी सौमारे'}, 'shortNameTranslation': {'ar': 'ب. سوماري', 'bn': 'বি. সৌমারে', 'hi': 'बी. सौमारे'}}",,Soumare,43.982608695652,50.558695652174,46,Leicester City,1748185200_bournemouth_vs_leicester_city
Victor Kristiansen,Victor,victor-kristiansen,V. Kristiansen,D,16,1328,M,1092409,"{'nameTranslation': {'ar': 'كريستيانسين، فيكتور', 'bn': 'ক্রিস্টিয়ানসেন, ভিক্টর', 'hi': 'क्रिस्टियानसेन, विक्टर'}, 'shortNameTranslation': {'ar': 'ف. كريستيانسين', 'bn': 'ভি. ক্রিস্টিয়ানসেন', 'hi': 'वी. क्रिस्टियानसेन'}}",,Kristiansen,43.79512195122,76.070731707317,41,Leicester City,1748185200_bournemouth_vs_leicester_city
Kasey McAteer,Kasey McAteer,kasey-mcateer,K. McAteer,M,20,546,M,1065134,"{'nameTranslation': {'ar': 'كاسي مكاتير', 'bn': 'ক্যাসি ম্যাকএটার', 'hi': 'केसी मैकएटेर'}, 'shortNameTranslation': {'ar': 'ك. مكاتير', 'bn': 'কে. ম্যাকএটার', 'hi': 'के. मैकएटेर'}}",,,57.459523809524,24.128571428571,42,Leicester City,1748185200_bournemouth_vs_leicester_city
Luke Thomas,,luke-thomas,L. Thomas,D,33,541,M,991584,"{'nameTranslation': {'ar': 'لوك توماس', 'bn': 'লুক থমাস', 'hi': 'ल्यूक थॉमस'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'bn': 'এল. থমাস', 'hi': 'एल. थॉमस'}}",,,35.078431372549,83.980392156863,51,Leicester City,1748185200_bournemouth_vs_leicester_city
