name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Nélson Semedo,nelson-semedo,N. Semedo,D,27,8143,M,252821,"{'nameTranslation': {'ar': 'نيلسون سيميدو', 'bn': 'নেলসন সেমেডো', 'hi': 'नेल्सन सेमेदो'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'bn': 'এন. সেমিডো', 'hi': 'एन. सेमेदो'}}",,,nelsonsemedo50,54.933333333333,14.88,60,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Gonçalo Guedes,goncalo-guedes,G. Guedes,M,11,4187,M,280979,"{'nameTranslation': {'ar': 'غونسالو غيديس', 'bn': 'গনসালো গুয়েদেস', 'hi': 'गोन्सालो गुएडेस'}, 'shortNameTranslation': {'ar': 'غ. غيديس', 'bn': 'জি. গুয়েদেস', 'hi': 'जी. गुएडेस'}}",,,,69.15,37.85,2,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,4391,M,1013842,"{'nameTranslation': {'ar': 'إيمانويل أغبادو', 'bn': 'ইমানুয়েল আগবাদৌ', 'hi': 'इमैनुएल अग्बाडौ'}, 'shortNameTranslation': {'ar': 'إ. أغبادو', 'bn': 'ই. আগবাদৌ', 'hi': 'ई. अग्बाडौ'}}",,,,30.307317073171,48.127642276423,123,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Matheus Cunha,matheus-cunha,M. Cunha,F,10,77284,M,886363,"{'nameTranslation': {'ar': 'ماثيوس كونيا', 'bn': 'ম্যাথিউস কুনহা', 'hi': 'मैथियस कुन्हा'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'bn': 'এম. কুনহা', 'hi': 'एम. कुन्हा'}}",Matheus,Cunha,Cunha,57.547887323944,65.188732394366,71,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
André,andre,André,M,7,9623,M,1035996,"{'nameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}, 'shortNameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}}",André,,Andre7,42.433766233766,55.841558441558,77,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
João Gomes,joao-gomes,J. Gomes,M,8,15677,M,1015267,"{'nameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}}",,,joaogomes.01,51.727659574468,37.559574468085,94,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Matt Doherty,matt-doherty,M. Doherty,D,2,1442,M,143047,"{'nameTranslation': {'ar': 'مات دوهيرتي', 'bn': 'ম্যাট ডোহার্টি', 'hi': 'मैट डोहर्टी'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'bn': 'এম. ডোহার্টি', 'hi': 'एम. डोहर्टी'}}",Matt,Doherty,,37.652083333333,20.407291666667,96,Wolverhampton,1745676000_wolverhampton_vs_leicester_city
Jeremy Monga,jeremy-monga,J. Monga,M,28,2131,M,1861707,"{'nameTranslation': {'ar': 'جيريمي مونغا'}, 'shortNameTranslation': {'ar': 'ج. مونغا'}}",Jeremy Monga,,,59.172727272727,75.190909090909,11,Leicester City,1745676000_wolverhampton_vs_leicester_city
Kasey McAteer,kasey-mcateer,K. McAteer,M,20,546,M,1065134,"{'nameTranslation': {'ar': 'كاسي مكاتير', 'bn': 'ক্যাসি ম্যাকএটার', 'hi': 'केसी मैकएटेर'}, 'shortNameTranslation': {'ar': 'ك. مكاتير', 'bn': 'কে. ম্যাকএটার', 'hi': 'के. मैकएटेर'}}",Kasey McAteer,,,70.853571428571,14.903571428571,28,Leicester City,1745676000_wolverhampton_vs_leicester_city
Jamie Vardy,jamie-vardy,J. Vardy,F,10,23189,M,173827,"{'nameTranslation': {'ar': 'جيمي فاردي', 'bn': 'জেমি ভার্ডি', 'hi': 'जेमी वर्डी'}, 'shortNameTranslation': {'ar': 'ج. فاردي', 'bn': 'জে. ভার্ডি', 'hi': 'जे. वर्डी'}}",Jamie,Vardy,Vardy7,56.946666666667,50.72,30,Leicester City,1745676000_wolverhampton_vs_leicester_city
Boubakary Soumaré,boubakary-soumare,B. Soumaré,M,34,1079,M,887581,"{'nameTranslation': {'ar': 'بوباكاري سوماري', 'bn': 'বুবাকারি সৌমারে', 'hi': 'बौबाकरी सौमारे'}, 'shortNameTranslation': {'ar': 'ب. سوماري', 'bn': 'বি. সৌমারে', 'hi': 'बी. सौमारे'}}",Boubakary,Soumare,,39.722580645161,57.325806451613,31,Leicester City,1745676000_wolverhampton_vs_leicester_city
Bobby De Cordova-Reid,bobby-de-cordova-reid,B. De cordova-Reid,M,14,1349,M,151499,"{'nameTranslation': {'ar': 'بوبي دي كوردوفا-ريد', 'bn': 'ববি ডেকোরডোভা-রিড', 'hi': 'बॉबी डेकोर्डोवा-रीड'}, 'shortNameTranslation': {'ar': 'ب. دي كوردوفا-ريد', 'bn': 'বি. রিড', 'hi': 'बी. डेकोर्डोवा-रीड'}}",Bobby,De cordova-Reid,,53.646153846154,73.153846153846,13,Leicester City,1745676000_wolverhampton_vs_leicester_city
Jordan Ayew,jordan-ayew,J. Ayew,F,9,13423,M,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'bn': 'জর্ডান আইউ', 'hi': 'जॉर्डन अय्यू'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'bn': 'জে. আইউ', 'hi': 'जे. अय्यू'}}",Jordan,Ayew,jordanayew9,65.087804878049,78.843902439024,41,Leicester City,1745676000_wolverhampton_vs_leicester_city
Facundo Buonanotte,facundo-buonanotte,F. Buonanotte,M,40,17796,M,1117025,"{'nameTranslation': {'ar': 'فاكوندو بونانوتي', 'bn': 'ফ্যাকুন্ডো বুওনানোত্তে', 'hi': 'फ़ाकंडो बुओनानोट्टे'}, 'shortNameTranslation': {'ar': 'ف. بونانوتي', 'bn': 'এফ. বুওনানোট', 'hi': 'एफ. बुओनानोट्टे'}}",Facundo Buonanotte,,facubuonanotte_,47.897368421053,23.965789473684,38,Leicester City,1745676000_wolverhampton_vs_leicester_city
James Justin,james-justin,J. Justin,D,24,1394,M,827681,"{'nameTranslation': {'ar': 'جيمس جاستين', 'bn': 'জেমস জাস্টিন', 'hi': 'जेम्स जस्टिन'}, 'shortNameTranslation': {'ar': 'ج. جاستين', 'bn': 'জে.জাস্টিন', 'hi': 'जे. जस्टिन'}}",James,Justin,,55.111627906977,19.316279069767,43,Leicester City,1745676000_wolverhampton_vs_leicester_city
Oliver Skipp,oliver-skipp,O. Skipp,M,22,1334,M,859901,"{'nameTranslation': {'ar': 'سكيب، أوليفر', 'bn': 'স্কিপ, অলিভার', 'hi': 'स्किप, ओलिवर'}, 'shortNameTranslation': {'ar': 'أ. سكيب', 'bn': 'ও. স্কিপ', 'hi': 'ओ. स्किप'}}",Oliver,Skipp,,48.823913043478,61.013043478261,46,Leicester City,1745676000_wolverhampton_vs_leicester_city
Conor Coady,conor-coady,C. Coady,D,15,637,M,98449,"{'nameTranslation': {'ar': 'كونور كودي', 'bn': 'কনর কোডিস', 'hi': 'कोनोर कोडी'}, 'shortNameTranslation': {'ar': 'ك. كودي', 'bn': 'সি. কোডি', 'hi': 'सी. कोडी'}}",,,,32.521428571429,61.244285714286,70,Leicester City,1745676000_wolverhampton_vs_leicester_city
Ricardo Pereira,ricardo-pereira,R. Pereira,D,21,1055,M,221200,"{'nameTranslation': {'ar': 'ريكاردو بيريرا', 'bn': 'রিকার্ডো পেরেইরা', 'hi': 'रिकार्डो परेरा'}, 'shortNameTranslation': {'ar': 'ر. بيريرا', 'bn': 'আর. পেরেইরা', 'hi': 'आर. परेरा'}}",Ricardo,Pereira,,35.369387755102,19.975510204082,49,Leicester City,1745676000_wolverhampton_vs_leicester_city
Bilal El Khannouss,bilal-el-khannouss,B. E. Khannouss,M,11,27622,M,1126569,"{'nameTranslation': {'ar': 'بلال الخنوس', 'bn': 'বিলাল এল খানৌস', 'hi': 'बिलाल अल खन्नौस'}, 'shortNameTranslation': {'ar': 'ب. أ. خنوس', 'bn': 'বি. ই. খানৌস', 'hi': 'बी.ई. खन्नौस'}}",Bilal,El Khannouss,bilalekns_34,53.290384615385,54.938461538462,52,Leicester City,1745676000_wolverhampton_vs_leicester_city
Luke Thomas,luke-thomas,L. Thomas,D,33,541,M,991584,"{'nameTranslation': {'ar': 'لوك توماس', 'bn': 'লুক থমাস', 'hi': 'ल्यूक थॉमस'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'bn': 'এল. থমাস', 'hi': 'एल. थॉमस'}}",,,,42.63152173913,83.911956521739,92,Leicester City,1745676000_wolverhampton_vs_leicester_city
Mads Hermansen,mads-hermansen,M. Hermansen,G,1,1974,M,856640,"{'nameTranslation': {'ar': 'مادس هيرمانسن', 'bn': 'ম্যাডস হারম্যানসেন', 'hi': 'मैड्स हरमनसेन'}, 'shortNameTranslation': {'ar': 'م. هيرمانسن', 'bn': 'এম. হারমানসেন', 'hi': 'एम. हरमनसेन'}}",Mads,Hermansen,,10.634615384615,51.65,52,Leicester City,1745676000_wolverhampton_vs_leicester_city
Wilfred Ndidi,wilfred-ndidi,W. Ndidi,M,4,9887,M,787885,"{'nameTranslation': {'ar': 'ويلفريد نديدي', 'bn': 'উইলফ্রেড নাদিদি', 'hi': 'विल्फ्रेड एनडीडी'}, 'shortNameTranslation': {'ar': 'و. نديدي', 'bn': 'ডব্লিউ. নাদিদি', 'hi': 'डब्लू. एनडीडी'}}",Wilfred,Ndidi,,50.735106382979,34.020212765957,94,Leicester City,1745676000_wolverhampton_vs_leicester_city
Wout Faes,wout-faes,W. Faes,D,25,1814,M,361696,"{'nameTranslation': {'ar': 'ووت فايس', 'bn': 'ওয়াউট ফেইস', 'hi': 'वाउट फ़ेस'}, 'shortNameTranslation': {'ar': 'ووت فايس', 'bn': 'ডব্লিউ. ফেইস', 'hi': 'डब्लू. फ़ेस'}}",Wout,Faes,,32.908045977011,34.311494252874,87,Leicester City,1745676000_wolverhampton_vs_leicester_city
