name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,lastName,averageX,averageY,pointsCount,team,match
Sander Berge,Sander,sander-berge,S. Berge,M,16,2195,M,793167,"{'nameTranslation': {'ar': 'ساندر بيرج', 'bn': 'স্যান্ডার বার্জে', 'hi': 'सैंडर बर्ज'}, 'shortNameTranslation': {'ar': 'س. بيرج', 'bn': 'এস. বার্জে', 'hi': 'एस. बर्ज'}}",,Berge,50.047692307692,60.043076923077,65,Fulham,1746885600_fulham_vs_everton
Bernd Leno,Bernd,bernd-leno,B. Leno,G,1,2708,M,103335,"{'nameTranslation': {'ar': 'بيرند لينو', 'bn': 'বার্ন্ড লেনো', 'hi': 'बर्न्ड लेनो'}, 'shortNameTranslation': {'ar': 'ب. لينو', 'bn': 'বি. লেনো', 'hi': 'बी. लेनो'}}",,Leno,11.680357142857,50.067857142857,56,Fulham,1746885600_fulham_vs_everton
Alex Iwobi,Alex,alex-iwobi,A. Iwobi,M,17,8555,M,352770,"{'nameTranslation': {'ar': 'أليكس إيووبي', 'bn': 'অ্যালেক্স ইওবি', 'hi': 'एलेक्स इवोबी'}, 'shortNameTranslation': {'ar': 'أ. إيووبي', 'bn': 'এ. ইওবি', 'hi': 'ए. इवोबी'}}",alexanderiwobi,Iwobi,60.029069767442,79.666279069767,86,Fulham,1746885600_fulham_vs_everton
Iliman Ndiaye,,iliman-ndiaye,I. Ndiaye,M,10,61563,M,914309,"{'nameTranslation': {'ar': 'إليمان نداي', 'bn': 'ইলিমান এনদিয়ায়ে', 'hi': 'इलीमन नदिये'}, 'shortNameTranslation': {'ar': 'إ. نداي', 'bn': 'আই. এনদিয়ায়ে', 'hi': 'आई. नदिये'}}",ilimanndiaye10,,41.371428571429,77.971428571429,7,Everton,1746885600_fulham_vs_everton
Dwight McNeil,Dwight,dwight-mcneil,D. McNeil,M,7,2139,M,935543,"{'nameTranslation': {'ar': 'دوايت مكنيل', 'bn': 'ডোয়াইট ম্যাকনিল', 'hi': 'ड्वाइट मैकनील'}, 'shortNameTranslation': {'ar': 'د. مكنيل', 'bn': 'ডি. ম্যাকনিল', 'hi': 'डी. मैकनील'}}",,McNeil,53.890476190476,15.766666666667,21,Everton,1746885600_fulham_vs_everton
Dominic Calvert-Lewin,Dominic,dominic-calvert-lewin,D. Calvert-Lewin,F,9,6578,M,372344,"{'nameTranslation': {'ar': 'دومينيك كالفيرت-لوين', 'bn': 'ডমিনিক কালভার্ট-লেউইন', 'hi': 'डोमिनिक कैल्वर्ट-लेविन'}, 'shortNameTranslation': {'ar': 'د. كالفيرت-لوين', 'bn': 'ডি. কালভার্ট-লেউইন', 'hi': 'डी. कैल्वर्ट-लेविन'}}",CalvertLewin14,Calvert-Lewin,55.285714285714,30.857142857143,7,Everton,1746885600_fulham_vs_everton
Tim Iroegbunam,,tim-iroegbunam,T. Iroegbunam,M,42,875,M,1085950,"{'nameTranslation': {'ar': 'تيم إيروغبونام', 'bn': 'টিম ইরোগবুনাম', 'hi': 'टिम इरोएगबुनम'}, 'shortNameTranslation': {'ar': 'ت. إيروغبونام', 'bn': 'টি. ইরোগবুনাম', 'hi': 'टी. इरोएगबुनम'}}",,,30.130769230769,22.938461538462,13,Everton,1746885600_fulham_vs_everton
Abdoulaye Doucouré,,abdoulaye-doucoure,A. Doucouré,M,8,1263,M,96535,"{'nameTranslation': {'ar': 'عبد الله دوكوري', 'bn': 'আবদুলায়ে ডকোরে', 'hi': 'अब्दुलाये डौकोरे'}, 'shortNameTranslation': {'ar': 'ع. دوكوري', 'bn': 'এ. ডকোরে', 'hi': 'ए. डौकोरे'}}",,,51.163157894737,41.886842105263,38,Everton,1746885600_fulham_vs_everton
Michael Keane,Michael,michael-keane,M. Keane,D,5,1589,M,110846,"{'nameTranslation': {'ar': 'مايكل كين', 'bn': 'মাইকেল কিন', 'hi': 'माइकल कीन'}, 'shortNameTranslation': {'ar': 'م. كين', 'bn': 'এম. কিন', 'hi': 'एम. कीन'}}",,Keane,32.007843137255,30.066666666667,51,Everton,1746885600_fulham_vs_everton
Carlos Alcaraz,,carlos-alcaraz,C. Alcaraz,M,24,6174,M,1017392,"{'nameTranslation': {'ar': 'كارلوس ألكاراز', 'bn': 'কার্লোস আলকারাজ', 'hi': 'कार्लोस अल्काराज'}, 'shortNameTranslation': {'ar': 'ك. ألكاراز', 'bn': 'সি. আলকারাজ', 'hi': 'सी. अल्काराज'}}",_alcaraz22,,53.623684210526,62.531578947368,38,Everton,1746885600_fulham_vs_everton
Vitaliy Mykolenko,Vitaliy,vitaliy-mykolenko,V. Mykolenko,D,16,4355,M,876643,"{'nameTranslation': {'ar': 'فيتالي ميكولينكو', 'bn': 'ভিটালি মাইকোলেনকো', 'hi': 'विटाली मायकोलेंको'}, 'shortNameTranslation': {'ar': 'ف. ميكولينكو', 'bn': 'ভি. মাইকোলেনকো', 'hi': 'वी. मायकोलेंको'}}",mikola_16,Mykolenko,46.283720930233,79.111627906977,43,Everton,1746885600_fulham_vs_everton
Idrissa Gana Gueye,Idrissa Gana,idrissa-gana-gueye,I. Gueye,M,27,22035,M,106337,"{'nameTranslation': {'ar': 'إدريسا غي', 'bn': 'ইদ্রিসা গুইয়ে', 'hi': 'इद्रिसा गुये'}, 'shortNameTranslation': {'ar': 'إ. غي', 'bn': 'আই. গুইয়ে', 'hi': 'आई. गुये'}}",iganagueye,Gueye,40.80612244898,41.032653061224,49,Everton,1746885600_fulham_vs_everton
Séamus Coleman,,seamus-coleman,S. Coleman,D,23,1049,M,76632,"{'nameTranslation': {'ar': 'شيموس كولمان', 'bn': 'সিমাস কোলম্যান', 'hi': 'सीमस कोलमैन'}, 'shortNameTranslation': {'ar': 'ش. كولمان', 'bn': 'এস. কোলম্যান', 'hi': 'एस. कोलमैन'}}",,,39.366666666667,19.2,6,Everton,1746885600_fulham_vs_everton
Beto,,beto,Beto,F,9,5366,M,987489,"{'nameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}, 'shortNameTranslation': {'ar': 'بيتو', 'bn': 'বেটো', 'hi': 'बेटो'}}",,,64.063157894737,42.545614035088,57,Everton,1746885600_fulham_vs_everton
James Garner,James,james-garner,J. Garner,M,37,3710,M,927361,"{'nameTranslation': {'ar': 'جيمس غارنر', 'bn': 'জেমস গার্নার', 'hi': 'जेम्स गार्नर'}, 'shortNameTranslation': {'ar': 'ج. غارنر', 'bn': 'জে. গার্নার', 'hi': 'जे. गार्नर'}}",,Garner,50.025,38.636538461538,52,Everton,1746885600_fulham_vs_everton
Ashley Young,,ashley-young,A. Young,D,15,1801,M,10589,"{'nameTranslation': {'ar': 'آشلي يونغ', 'bn': 'অ্যাশলে ইয়াং', 'hi': 'एश्ले यंग'}, 'shortNameTranslation': {'ar': 'آ. يونغ', 'bn': 'এ. ইয়াং', 'hi': 'एक यंग'}}",,,39.083823529412,17.941176470588,68,Everton,1746885600_fulham_vs_everton
Jordan Pickford,Jordan,jordan-pickford,J. Pickford,G,1,8292,M,138530,"{'nameTranslation': {'ar': 'جوردان بيكفورد', 'bn': 'জর্ডান পিকফোর্ড', 'hi': 'जॉर्डन पिकफोर्ड'}, 'shortNameTranslation': {'ar': 'ج. بيكفورد', 'bn': 'জে.পিকফোর্ড', 'hi': 'जे. पिकफोर्ड'}}",jpickford1,Pickford,11.210344827586,49.894827586207,58,Everton,1746885600_fulham_vs_everton
Jack Harrison,Jack,jack-harrison,J. Harrison,F,17,1283,M,829570,"{'nameTranslation': {'ar': 'جاك هاريسون', 'bn': 'জ্যাক হ্যারিসন', 'hi': 'जैक हैरिसन'}, 'shortNameTranslation': {'ar': 'ج. هاريسون', 'bn': 'জে. হ্যারিসন', 'hi': 'जे. हैरिसन'}}",,Harrison,61.75,14.292,50,Everton,1746885600_fulham_vs_everton
Jarrad Branthwaite,,jarrad-branthwaite,J. Branthwaite,D,32,2874,M,979563,"{'nameTranslation': {'ar': 'جاراد برانثويت', 'bn': 'জারাদ ব্র্যানথওয়েট', 'hi': 'जेर्राड ब्रैंथवेट'}, 'shortNameTranslation': {'ar': 'ج. برانثويت', 'bn': 'জে. ব্র্যানথওয়েট', 'hi': 'जे. ब्रैंथवेट'}}",,,32.803333333333,66.481666666667,60,Everton,1746885600_fulham_vs_everton
