name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,averageX,averageY,pointsCount,team,match
Patrick Dorgu,,,dorgu-patrick,P. Dorgu,M,13,32592,M,Odogwu,1397168,"{'nameTranslation': {'ar': 'دورغو، باتريك', 'bn': 'ডরগু, প্যাট্রিক', 'hi': 'डोर्गू, पैट्रिक'}, 'shortNameTranslation': {'ar': 'ب. دورغو', 'bn': 'পি. ডরগু', 'hi': 'पी. डोर्गू'}}",60.016666666667,86.545833333333,96,Manchester United,1748185200_manchester_united_vs_aston_villa
Jacob Ramsey,Jacob,Ramsey,jacob-ramsey,J. Ramsey,M,41,3498,M,,975937,"{'nameTranslation': {'ar': 'جاكوب رامزي', 'bn': 'জ্যাকব রামসে', 'hi': 'जैकब रैमसे'}, 'shortNameTranslation': {'ar': 'ج. رامزي', 'bn': 'জে. রামসে', 'hi': 'जे. रैमसे'}}",67.141666666667,73.125,12,Aston Villa,1748185200_manchester_united_vs_aston_villa
Ross Barkley,,,ross-barkley,R. Barkley,M,6,2620,M,,98435,"{'nameTranslation': {'ar': 'روس باركلي', 'bn': 'রস বার্কলে', 'hi': 'रॉस बार्कले'}, 'shortNameTranslation': {'ar': 'ر. باركلي', 'bn': 'আর. বার্কলে', 'hi': 'आर. बार्कले'}}",48.633333333333,44.186666666667,15,Aston Villa,1748185200_manchester_united_vs_aston_villa
Donyell Malen,Donyell,Malen,donyell-malen,D. Malen,F,14,16980,M,donyellmalen,803039,"{'nameTranslation': {'ar': 'دونيل مالين', 'bn': 'ডনিয়েল ম্যালেন', 'hi': 'डोनियेल मालेन'}, 'shortNameTranslation': {'ar': 'د. مالين', 'bn': 'ডি. ম্যালেন', 'hi': 'डी. मालेन'}}",58.511111111111,46.222222222222,9,Aston Villa,1748185200_manchester_united_vs_aston_villa
John McGinn,John,McGinn,john-mcginn,J. McGinn,M,7,4367,M,,250223,"{'nameTranslation': {'ar': 'جون ماكجين', 'bn': 'জন ম্যাকগিন', 'hi': 'जॉन मैकगिन'}, 'shortNameTranslation': {'ar': 'ج. ماكجين', 'bn': 'জে. ম্যাকগিন', 'hi': 'जे. मैकगिन'}}",54.496551724138,69.131034482759,29,Aston Villa,1748185200_manchester_united_vs_aston_villa
Marco Asensio,Marco,Asensio,marco-asensio,M. Asensio,M,21,33432,M,marcoasensio10,361004,"{'nameTranslation': {'ar': 'ماركو أسينسيو', 'bn': 'মার্কো অ্যাসেনসিও', 'hi': 'मार्को असेंसियो'}, 'shortNameTranslation': {'ar': 'م. أسينسيو', 'bn': 'এম. অ্যাসেনসিও', 'hi': 'एम. असेंसियो'}}",58.186666666667,45.493333333333,15,Aston Villa,1748185200_manchester_united_vs_aston_villa
Robin Olsen,,,robin-olsen,R. Olsen,G,1,1265,M,,26025,"{'nameTranslation': {'ar': 'روبين أولسن', 'bn': 'রবিন ওলসেন', 'hi': 'रॉबिन ओल्सन'}, 'shortNameTranslation': {'ar': 'ر. أولسن', 'bn': 'আর. ওলসেন', 'hi': 'आर. ओल्सन'}}",7.7575757575758,48.748484848485,33,Aston Villa,1748185200_manchester_united_vs_aston_villa
Ian Maatsen,,,ian-maatsen,I. Maatsen,D,22,5637,M,maatsen_,976263,"{'nameTranslation': {'ar': 'إيان ماتسين', 'bn': 'ইয়ান মাতসেন', 'hi': 'इयान मात्सेन'}, 'shortNameTranslation': {'ar': 'إ. ماتسين', 'bn': 'আই. মাতসেন', 'hi': 'आई. मात्सेन'}}",39.068085106383,80.236170212766,47,Aston Villa,1748185200_manchester_united_vs_aston_villa
Emiliano Martínez,,,emiliano-martinez,E. Martínez,G,23,62117,M,EmiMartínez,158263,"{'nameTranslation': {'ar': 'إيميليانو مارتينيز', 'bn': 'এমিলিয়ানো মার্টিনেজ', 'hi': 'एमिलियानो मार्टिनेज'}, 'shortNameTranslation': {'ar': 'إ. مارتينيز', 'bn': 'ই. মার্টিনেজ', 'hi': 'ई. मार्टिनेज'}}",9.055,47.535,40,Aston Villa,1748185200_manchester_united_vs_aston_villa
Ezri Konsa,,,ezri-konsa,E. Konsa,D,4,3572,M,,827679,"{'nameTranslation': {'ar': 'إزري كونسا', 'bn': 'ইজরি কনসা', 'hi': 'एज़री कोंसा'}, 'shortNameTranslation': {'ar': 'إ. كونسا', 'bn': 'ই. কনসা', 'hi': 'ई. कोंसा'}}",26.829032258065,34.822580645161,31,Aston Villa,1748185200_manchester_united_vs_aston_villa
Pau Torres,Pau,Torres,pau-torres,P. Torres,D,14,4241,M,pauttorres,864169,"{'nameTranslation': {'ar': 'باو توريس', 'bn': 'পাউ টরেস', 'hi': 'पाऊ टोरेस'}, 'shortNameTranslation': {'ar': 'ب. توريس', 'bn': 'পি. টরেস', 'hi': 'पी. टोरेस'}}",24.22,65.648888888889,45,Aston Villa,1748185200_manchester_united_vs_aston_villa
Amadou Onana,,,amadou-onana,A. Onana,M,24,8056,M,its_onana,923973,"{'nameTranslation': {'ar': 'أمادو أونانا', 'bn': 'আমাদৌ ওনানা', 'hi': 'अमादौ ओनाना'}, 'shortNameTranslation': {'ar': 'أ. أونانا', 'bn': 'এ. ওনানা', 'hi': 'ए. ओनाना'}}",44.16,57.245,40,Aston Villa,1748185200_manchester_united_vs_aston_villa
Youri Tielemans,Youri,Tielemans,youri-tielemans,Y. Tielemans,M,8,10161,M,youritielemans,331737,"{'nameTranslation': {'ar': 'يوري تيليمانس', 'bn': 'ইউরি টাইলেম্যানস', 'hi': 'यूरी टिएलमान्स'}, 'shortNameTranslation': {'ar': 'ي. تيليمانس', 'bn': 'ওয়াই. টাইলেম্যানস', 'hi': 'वाई. टिएलमान्स'}}",50.912,59.864,25,Aston Villa,1748185200_manchester_united_vs_aston_villa
Morgan Rogers,,,morgan-rogers,M. Rogers,M,27,15039,M,mrogers,948261,"{'nameTranslation': {'ar': 'مورغان روجرز', 'bn': 'মরগান রজার্স', 'hi': 'मॉर्गन रोजर्स'}, 'shortNameTranslation': {'ar': 'م. روجرز', 'bn': 'এম. রজার্স', 'hi': 'एम. रोजर्स'}}",53.58,30.804,50,Aston Villa,1748185200_manchester_united_vs_aston_villa
Ollie Watkins,Ollie,Watkins,ollie-watkins,O. Watkins,F,11,20854,M,OllieWatkins,555386,"{'nameTranslation': {'ar': 'أولي واتكينز', 'bn': 'অলি ওয়াটকিন্স', 'hi': 'ओली वॉटकिंस'}, 'shortNameTranslation': {'ar': 'أ. واتكينز', 'bn': 'ও. ওয়াটকিন্স', 'hi': 'ओ. वॉटकिंस'}}",64.784848484848,51.115151515152,33,Aston Villa,1748185200_manchester_united_vs_aston_villa
Matty Cash,Matty,Cash,matty-cash,M. Cash,D,2,9807,M,mattycash622,833956,"{'nameTranslation': {'ar': 'ماتي كاش', 'bn': 'ম্যাটি ক্যাশ', 'hi': 'मैटी कैश'}, 'shortNameTranslation': {'ar': 'م. كاش', 'bn': 'এম. ক্যাশ', 'hi': 'एम. कैश'}}",41.2725,20.1475,80,Aston Villa,1748185200_manchester_united_vs_aston_villa
Boubacar Kamara,Boubacar,Kamara,boubacar-kamara,B. Kamara,M,44,3503,M,,826204,"{'nameTranslation': {'ar': 'بوبكر كامارا', 'bn': 'বউবকার কামারা', 'hi': 'बौबाकर कामारा'}, 'shortNameTranslation': {'ar': 'ب. كامارا', 'bn': 'বি.কামারা', 'hi': 'बी. कामारा'}}",35.4,32.421052631579,57,Aston Villa,1748185200_manchester_united_vs_aston_villa
