season,tracked_team,match_date,competition,opponent_team,original_file,Match_ID,Match_Report_URL,Date,Competition,Round,Venue,Opponent,Result,Match_Report_Name,Team,Player,shirtnumber,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,shots,shots_on_target,CrdY,CrdR,fouls,fouled,offsides,crosses,tackles_won,interceptions,own_goals,pens_won,pens_conceded
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Harvey Elliott,19,eng ENG,"FW,MF",21-143,8,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Alexis Mac Allister,10,ar ARG,DM,25-245,90,0,0,0,0,0.0,0.0,0,0,3.0,3.0,0.0,0.0,1.0,2.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Ryan Gravenberch,38,nl NED,DM,22-101,89,0,0,0,0,0.0,0.0,1,0,2.0,0.0,0.0,0.0,3.0,2.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Wataru Endo,3,jp JPN,"DF,MF",31-198,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Andrew Robertson,26,sct SCO,LB,30-167,90,0,0,0,0,2.0,2.0,0,0,0.0,0.0,0.0,6.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Virgil van Dijk,4,nl NED,CB,33-048,90,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Ibrahima Konaté,5,fr FRA,CB,25-092,90,0,0,0,0,2.0,1.0,0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Trent Alexander-Arnold,66,eng ENG,RB,25-323,71,0,0,0,0,2.0,0.0,0,0,0.0,0.0,0.0,5.0,0.0,0.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Conor Bradley,84,nir NIR,"DF,MF",21-047,19,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,,
2024-2025,Liverpool 2024 2025,2024-08-25,Premier League,Brentford,2024-08-25_premier_league_brentford_player_stats.csv,09b1742e,https://fbref.com/en/matches/09b1742e/Liverpool-Brentford-August-25-2024-Premier-League,2024-08-25,Premier League,Matchweek 2,Home,Brentford,W,2024-08-25_premier_league_brentford,Liverpool,Alisson,1,br BRA,GK,31-328,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,,
