name,slug,shortName,position,jerseyNumber,userCount,gender,sofascoreId,id,fieldTranslations,firstName,lastName,averageX,averageY,pointsCount,team,match
Raúl Asencio,raul-asencio,R. Asencio,D,17,127145,M,asencio,1156645,"{'nameTranslation': {'ar': 'راؤول أسينسيو', 'bn': 'রাউল আসেনসিও', 'hi': 'राउल असेंशियो'}, 'shortNameTranslation': {'ar': 'ر. أسينسيو', 'bn': 'আর. অ্যাসেনসিও', 'hi': 'आर. असेंशियो'}}",,,25.097916666667,26.772916666667,48,Real Madrid,1739995200_real_madrid_vs_manchester_city
Dani Ceballos,dani-ceballos,D. Ceballos,M,19,75582,M,Danifuli10,547838,"{'nameTranslation': {'ar': 'داني سيبايوس', 'bn': 'দানি সেবেলোস', 'hi': 'दानी सेबालोस'}, 'shortNameTranslation': {'ar': 'د. سيبايوس', 'bn': 'ডি. সেবেলোস', 'hi': 'डी. सेबालोस'}}",Dani,Ceballos,43.655555555556,62.638271604938,81,Real Madrid,1739995200_real_madrid_vs_manchester_city
Jude Bellingham,jude-bellingham,J. Bellingham,M,5,1154962,M,JudeBell,991011,"{'nameTranslation': {'ar': 'جود بيلينغهام', 'bn': 'জুড বেলিংহাম', 'hi': 'जूड बेलिंघम'}, 'shortNameTranslation': {'ar': 'ج. بيلينغهام', 'bn': 'জে. বেলিংহাম', 'hi': 'जे. बेलिंघम'}}",,,51.5075,53.105,80,Real Madrid,1739995200_real_madrid_vs_manchester_city
Antonio Rüdiger,antonio-rudiger,A. Rüdiger,D,22,192207,M,ARüdiger,142622,"{'nameTranslation': {'ar': 'أنطونيو روديغر', 'bn': 'আন্তোনিও রুডিগার', 'hi': 'एंटोनियो रुडिगर'}, 'shortNameTranslation': {'ar': 'أ. روديغر', 'bn': 'এ. রুডিগার', 'hi': 'ए. रुडिगर'}}",,,23.605882352941,66.073529411765,68,Real Madrid,1739995200_real_madrid_vs_manchester_city
Federico Valverde,federico-valverde,F. Valverde,M,8,443609,M,Fede,831808,"{'nameTranslation': {'ar': 'فيديريكو فالفيردي', 'bn': 'ফেদেরিকো ভালভার্দে', 'hi': 'फेडेरिको वेलवेर्डे'}, 'shortNameTranslation': {'ar': 'ف. فالفيردي', 'bn': 'এফ. ভালভার্দে', 'hi': 'एफ. वेलवेर्डे'}}",Federico,Valverde,44.678409090909,18.869318181818,88,Real Madrid,1739995200_real_madrid_vs_manchester_city
Aurélien Tchouaméni,aurelien-tchouameni,A. Tchouaméni,M,14,153988,M,ATchouaméni,859025,"{'nameTranslation': {'ar': 'أوريليان تشواميني', 'bn': 'অরেলিয়ান চৌমেনি', 'hi': 'ऑरेलियन टचौमेनी'}, 'shortNameTranslation': {'ar': 'أ. تشواميني', 'bn': 'এ. চৌমেনি', 'hi': 'ए. टचौमेनी'}}",Aurelien,Tchouameni,42.164705882353,46.979411764706,68,Real Madrid,1739995200_real_madrid_vs_manchester_city
James McAtee,james-mcatee,J. McAtee,M,24,10361,M,jamesmcatee_,1003334,"{'nameTranslation': {'ar': 'جيمس مكاتي', 'bn': 'জেমস ম্যাকাটি', 'hi': 'जेम्स मैकएटी'}, 'shortNameTranslation': {'ar': 'ج. مكاتي', 'bn': 'জে. ম্যাকাটি', 'hi': 'जे. मैकएटी'}}",,,76.023076923077,47.769230769231,13,Manchester City,1739995200_real_madrid_vs_manchester_city
Ederson,ederson,Ederson,G,31,49089,M,Ederson93,254491,"{'nameTranslation': {'ar': 'إيدرسون', 'bn': 'এডারসন', 'hi': 'एडरसन'}, 'shortNameTranslation': {'ar': 'إيدرسون', 'bn': 'এডারসন', 'hi': 'एडरसन'}}",Ederson,Ederson,7.1137931034483,49.979310344828,29,Manchester City,1739995200_real_madrid_vs_manchester_city
Mateo Kovačić,mateo-kovacic,M. Kovačić,M,8,35022,M,Kova8,136710,"{'nameTranslation': {'ar': 'ماتيو كوفاتشيتش', 'bn': 'মাতেও কোভাসিক', 'hi': 'माटेओ कोवासिक'}, 'shortNameTranslation': {'ar': 'م. كوفاتشيتش', 'bn': 'এম. কোভাসিচ', 'hi': 'एम. कोवासिक'}}",,,65.5125,65.770833333333,24,Manchester City,1739995200_real_madrid_vs_manchester_city
Savinho,savio,Savinho,M,26,52877,M,Savinho,1046795,"{'nameTranslation': {'ar': 'سافيو', 'bn': 'স্যাভিও', 'hi': 'सैवियो'}, 'shortNameTranslation': {'ar': 'سافيو', 'bn': 'স্যাভিও', 'hi': 'सैवियो'}}",,,65.507894736842,62.078947368421,38,Manchester City,1739995200_real_madrid_vs_manchester_city
John Stones,john-stones,J. Stones,D,5,23288,M,johnstones5,152077,"{'nameTranslation': {'ar': 'جون ستونز', 'bn': 'জন স্টোনস', 'hi': 'जॉन स्टोन्स'}, 'shortNameTranslation': {'ar': 'ج. ستونز', 'bn': 'জে. স্টোনস', 'hi': 'जे. स्टोन्स'}}",John,Stones,46.84,43.42,10,Manchester City,1739995200_real_madrid_vs_manchester_city
Omar Marmoush,omar-marmoush,O. Marmoush,F,7,208792,M,OMarmoush,873554,"{'nameTranslation': {'ar': 'عمر مرموش', 'bn': 'ওমর মারমাউস', 'hi': 'उमर मार्मौश'}, 'shortNameTranslation': {'ar': 'ع. مرموش', 'bn': 'ও. মারমাউস', 'hi': 'ओ. मार्मौश'}}",Omar,Marmoush,69.688372093023,64.374418604651,43,Manchester City,1739995200_real_madrid_vs_manchester_city
Bernardo Silva,bernardo-silva,B. Silva,M,20,64470,M,BSilva,331209,"{'nameTranslation': {'ar': 'بيرناردو سيلفا', 'bn': 'বার্নার্ডো সিলভা', 'hi': 'बर्नार्डो सिल्वा'}, 'shortNameTranslation': {'ar': 'ب. سيلفا', 'bn': 'বি. সিলভা', 'hi': 'बी. सिल्वा'}}",Bernardo,Silva,61.308620689655,45.098275862069,58,Manchester City,1739995200_real_madrid_vs_manchester_city
Nico González,nico-gonzalez,N. González,M,14,21308,M,nico14,954056,"{'nameTranslation': {'ar': 'نيكولاس غونزاليس', 'bn': 'নিকোলাস গঞ্জালেজ', 'hi': 'निकोलस गोंजालेज'}, 'shortNameTranslation': {'ar': 'ن. غونزاليس', 'bn': 'এন. গঞ্জালেজ', 'hi': 'एन. गोंजालेज'}}",Nicolas,Gonzalez,54.169,43.074,100,Manchester City,1739995200_real_madrid_vs_manchester_city
Nathan Aké,nathan-ake,N. Aké,D,6,22204,M,nathanake,149663,"{'nameTranslation': {'ar': 'ناثان أكي', 'bn': 'নাথান আকে', 'hi': 'नाथन एके'}, 'shortNameTranslation': {'ar': 'ن. أكي', 'bn': 'এন. আকে', 'hi': 'एन. एके'}}",,,44.070588235294,67.464705882353,51,Manchester City,1739995200_real_madrid_vs_manchester_city
Joško Gvardiol,josko-gvardiol,J. Gvardiol,D,24,52976,M,JGvardiol,964994,"{'nameTranslation': {'ar': 'يوشكو غفارديول', 'bn': 'জোসকো গোওয়ারদিওল', 'hi': 'जोस्को ग्वार्डिओल'}, 'shortNameTranslation': {'ar': 'ي. غفارديول', 'bn': 'জে. গোওয়ারদিওল', 'hi': 'जे. ग्वार्डिओल'}}",Josko,Gvardiol,58.83,84.13625,80,Manchester City,1739995200_real_madrid_vs_manchester_city
Phil Foden,phil-foden,P. Foden,M,47,172419,M,Foden,859765,"{'nameTranslation': {'ar': 'فيل فودين', 'bn': 'ফিল ফোডেন', 'hi': 'फिल फोडेन'}, 'shortNameTranslation': {'ar': 'ف. فودين', 'bn': 'পি. ফোডেন', 'hi': 'पी. फोडेन'}}",Phil,Foden,59.722641509434,36.220754716981,53,Manchester City,1739995200_real_madrid_vs_manchester_city
İlkay Gündoğan,ilkay-gundogan,İ. Gündoğan,M,20,49901,M,IGunny,45853,"{'nameTranslation': {'ar': 'إلكاي غوندوغان', 'bn': 'ইল্কে গুন্ডোগান', 'hi': 'इल्के गुंडोगन'}, 'shortNameTranslation': {'ar': 'إ. غوندوغان', 'bn': 'আই. গুন্ডোগান', 'hi': 'आई. गुंडोगन'}}",,,54.394366197183,62.214084507042,71,Manchester City,1739995200_real_madrid_vs_manchester_city
Abdukodir Khusanov,abdukodir-khusanov,A. Khusanov,D,45,103852,M,abdukodir_khusanov,1194333,"{'nameTranslation': {'ar': 'عبدالقدير خوسانوف', 'bn': 'আবদুকোদির খুসানভ', 'hi': 'अब्दुकोदिर खुसानोव'}, 'shortNameTranslation': {'ar': 'ع. خوسانوف', 'bn': 'এ. খুসানভ', 'hi': 'ए. खुसानोव'}}",,,51.263953488372,13.383720930233,86,Manchester City,1739995200_real_madrid_vs_manchester_city
Rúben Dias,ruben-dias,R. Dias,D,3,42234,M,RúbenD,318941,"{'nameTranslation': {'ar': 'روبن دياز', 'bn': 'রুবেন ডায়াস', 'hi': 'रुबेन डियास'}, 'shortNameTranslation': {'ar': 'ر. دياز', 'bn': 'আর. ডায়াস', 'hi': 'आर. डियास'}}",,,33.923157894737,36.561052631579,95,Manchester City,1739995200_real_madrid_vs_manchester_city
