name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,firstName,lastName,averageX,averageY,pointsCount,team,match
Rémy Cabella,remy-cabella,R. Cabella,M,20,1149,M,72998,"{'nameTranslation': {'ar': 'ريمي كابيللا', 'bn': 'রেমি ক্যাবেল্লা', 'hi': 'रेमी कैबेला'}, 'shortNameTranslation': {'ar': 'ر. كابيللا', 'bn': 'আর. ক্যাবেল্লা', 'hi': 'आर. कैबेला'}}",,,,54.983333333333,26.409090909091,66,Lille,1741801500_lille_vs_borussia_dortmund
Alexsandro Ribeiro,alexsandro-ribeiro,A. Ribeiro,D,4,4913,M,1049775,"{'nameTranslation': {'ar': 'أليكساندرو ريبيرو', 'bn': 'আলেক্সান্দ্রো রিবেইরো', 'hi': 'एलेक्ज़ांड्रो रिबेरो'}, 'shortNameTranslation': {'ar': 'أ. ريبيرو', 'bn': 'এ. রিবেইরো', 'hi': 'ए. रिबेरो'}}",,Alexsandro Ribeiro,,32.135632183908,63.497701149425,87,Lille,1741801500_lille_vs_borussia_dortmund
Jamie Gittens,jamie-bynoe-gittens,J. Gittens,M,11,24781,M,1140599,"{'nameTranslation': {'ar': 'جيمي باينو غيتنز', 'bn': 'জেমি বাইনো-গিটেনস', 'hi': 'जेमी बायनो-गिटेंस'}, 'shortNameTranslation': {'ar': 'ج. باينو غيتنز', 'bn': 'জে. বাইনো-গিটেনস', 'hi': 'जे. बायनो-गिटेंस'}}",jbgittens,,,49.47,18.11,10,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Giovanni Reyna,giovanni-reyna,G. Reyna,M,13,5110,M,989056,"{'nameTranslation': {'ar': 'جيوفاني رينا', 'bn': 'জিওভানি রেইনা', 'hi': 'जियोवानी रेयना'}, 'shortNameTranslation': {'ar': 'ج. رينا', 'bn': 'জি রেইনা', 'hi': 'जी. रेयना'}}",gioareyna,,,59.409090909091,44.872727272727,11,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Salih Özcan,salih-ozcan,S. Özcan,M,6,2666,M,795005,"{'nameTranslation': {'ar': 'صالح أوزكان', 'bn': 'সালিহ ওজকান', 'hi': 'सालिह ओज़कैन'}, 'shortNameTranslation': {'ar': 'ص. أوزكان', 'bn': 'এস. ওজকান', 'hi': 'एस. ओज़कैन'}}",,Salih,Ozcan,44.928571428571,49.614285714286,7,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Carney Chukwuemeka,carney-chukwuemeka,C. Chukwuemeka,M,17,10823,M,994556,"{'nameTranslation': {'ar': 'كارني تشوكويميكا', 'bn': 'কার্নি চুকউয়েমেকা', 'hi': 'कार्नी चुक्वुमेका'}, 'shortNameTranslation': {'ar': 'ك. تشوكويميكا', 'bn': 'সি. চুকউয়েমেকা', 'hi': 'सी. चुक्वुमेका'}}",chukwuemeka10,,,67.314285714286,77.885714285714,7,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Ramy Bensebaini,ramy-bensebaini,R. Bensebaini,D,5,32389,M,577726,"{'nameTranslation': {'ar': 'رامي بن سبعيني', 'bn': 'রামি বেনসেবাইনি', 'hi': 'रामी बेन्सेबैनी'}, 'shortNameTranslation': {'ar': 'ر. بن سبعيني', 'bn': 'আর. বেনসেবাইনি', 'hi': 'आर. बेन्सेबैनी'}}",rbens,Ramy,Bensebaini,36.316666666667,84.575,12,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Gregor Kobel,gregor-kobel,G. Kobel,G,1,7342,M,556866,"{'nameTranslation': {'ar': 'غريغور كوبل', 'bn': 'গ্রেগর কোবেল', 'hi': 'ग्रेगर कोबेल'}, 'shortNameTranslation': {'ar': 'غ. كوبل', 'bn': 'জি. কোবেল', 'hi': 'जी. कोबेल'}}",gregorkobel,Gregor,Kobel,11.045238095238,47.17380952381,42,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Nico Schlotterbeck,nico-schlotterbeck,N. Schlotterbeck,D,4,12036,M,940871,"{'nameTranslation': {'ar': 'نيكو شلوتربيك', 'bn': 'নিকো শ্লোটারবেক', 'hi': 'निको श्लोटरबेक'}, 'shortNameTranslation': {'ar': 'ن. شلوتربيك', 'bn': 'এন. শ্লোটারবেক', 'hi': 'एन. श्लोटरबेक'}}",nico.schlotterbeck,Nico,Schlotterbeck,37.434862385321,74.34495412844,109,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Julian Ryerson,julian-ryerson,J. Ryerson,M,26,3880,M,800951,"{'nameTranslation': {'ar': 'جوليان رايرسون'}, 'shortNameTranslation': {'ar': 'ج. رايرسون', 'bn': 'জে. রায়ারসন', 'hi': 'जे. रायर्सन'}}",,Julian,Ryerson,54.055238095238,69.897142857143,105,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Maximilian Beier,maximilian-beier,M. Beier,F,14,5257,M,980628,"{'nameTranslation': {'ar': 'ماكسيميليان بيير', 'bn': 'ম্যাক্সিমিলিয়ান বিয়ার', 'hi': 'मैक्सिमिलियन बेयर'}, 'shortNameTranslation': {'ar': 'م. بيير', 'bn': 'এম. বেয়ার', 'hi': 'एम. बेयर'}}",,Maximilian,Beier,54.735087719298,81.005263157895,57,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Serhou Guirassy,serhou-guirassy,S. Guirassy,F,9,54534,M,328027,"{'nameTranslation': {'ar': 'سيرو غيراسي', 'bn': 'সেরহাউ গুইরাসি', 'hi': 'सेरहो गुइरासी'}, 'shortNameTranslation': {'ar': 'س. غيراسي', 'bn': 'এস. গুইরাসি', 'hi': 'एस. गुइरासी'}}",guirassy19off,Serhou,Guirassy,62.744230769231,56.686538461538,52,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Emre Can,emre-can,E. Can,D,23,5142,M,138156,"{'nameTranslation': {'ar': 'إيمري كان', 'bn': 'এমরে ক্যান', 'hi': 'एमरे कैन'}, 'shortNameTranslation': {'ar': 'إ. كان', 'bn': 'ই. ক্যান', 'hi': 'ई. कैन'}}",emrecan23,Emre,Can,37.590804597701,43.993103448276,87,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Julian Brandt,julian-brandt,J. Brandt,F,10,9732,M,226978,"{'nameTranslation': {'ar': 'جوليان براندت', 'bn': 'জুলিয়ান ব্র্যান্ডট', 'hi': 'जूलियन ब्रैंट'}, 'shortNameTranslation': {'ar': 'ج. براندت', 'bn': 'জে. ব্র্যান্ড', 'hi': 'जे. ब्रैंट'}}",julianbrandt,Julian,Brandt,59.114754098361,43.181967213115,61,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Marcel Sabitzer,marcel-sabitzer,M. Sabitzer,M,20,8793,M,133908,"{'nameTranslation': {'ar': 'مارسيل سابيتزر', 'bn': 'মার্সেল সাবিৎজার', 'hi': 'मार्सेल सबिट्ज़र'}, 'shortNameTranslation': {'ar': 'م. سابيتزر', 'bn': 'এম. সাবিৎজার', 'hi': 'एम. सबिट्ज़र'}}",marcel7sabitzer,Marcel,Sabitzer,48.001639344262,40.411475409836,61,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Waldemar Anton,waldemar-anton,W. Anton,D,3,2462,M,799046,"{'nameTranslation': {'ar': 'فالديمار أنطون', 'bn': 'ওয়াল্ডেমার অ্যান্টন', 'hi': 'वाल्डेमर एंटोन'}, 'shortNameTranslation': {'ar': 'ف. أنطون', 'bn': 'ডব্লিউ. অ্যান্টন', 'hi': 'डब्लू. एंटोन'}}",,Waldemar,Anton,48.183783783784,19.717567567568,74,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Karim Adeyemi,karim-adeyemi,K. Adeyemi,F,27,17758,M,940054,"{'nameTranslation': {'ar': 'كريم أدييمي', 'bn': 'করিম আদয়েমি', 'hi': 'करीम अदेयमी'}, 'shortNameTranslation': {'ar': 'ك. أدييمي', 'bn': 'কে. আদিয়েমি', 'hi': 'के. अदेयमी'}}",karim_adeyemi,,,67.310714285714,18.403571428571,56,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
Pascal Groß,pascal-gro,P. Groß,M,30,4838,M,48480,"{'nameTranslation': {'ar': 'باسكال غروس', 'bn': 'প্যাসকেল গ্রোস', 'hi': 'पास्कल ग्रोस'}, 'shortNameTranslation': {'ar': 'ب. غروس', 'bn': 'পি. গ্রোস', 'hi': 'पी. ग्रोस'}}",pascalgross65,,,50.4578125,64.084375,64,Borussia Dortmund,1741801500_lille_vs_borussia_dortmund
