season,player_id,player_name,team_name,injury_type,reason,fixture_date,days_out
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-10-28,161
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-11-04,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-11-04,127
2023-2024,18872,L. Cook,Bournemouth,Missing Fixture,Red Card,2023-11-04,7
2023-2024,912,Neto,Bournemouth,Missing Fixture,Ankle Injury,2023-11-04,7
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-11-04,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-11-04,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-11-11,119
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-11-11,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-11-11,127
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-11-11,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-11-11,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-11-25,119
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-11-25,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-11-25,127
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2023-11-25,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-11-25,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-11-25,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-12-03,119
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-12-03,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-03,127
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-03,92
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2023-12-03,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-03,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-03,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-12-06,119
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-12-06,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-06,127
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-06,92
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2023-12-06,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-06,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-06,161
2023-2024,304853,A. Scott,Bournemouth,Missing Fixture,Knee Injury,2023-12-09,119
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-12-09,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-09,127
2023-2024,31057,H. J. Traore,Bournemouth,Missing Fixture,Illness,2023-12-09,21
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-09,92
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2023-12-09,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-09,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-09,161
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-12-23,49
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-23,127
2023-2024,31057,H. J. Traore,Bournemouth,Missing Fixture,Illness,2023-12-23,21
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-23,92
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2023-12-23,109
2023-2024,206254,M. Kerkez,Bournemouth,Missing Fixture,Ankle Injury,2023-12-23,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-23,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-23,161
2023-2024,19229,D. Randolph,Bournemouth,Questionable,Illness,2023-12-26,0
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-26,127
2023-2024,31057,H. J. Traore,Bournemouth,Missing Fixture,Illness,2023-12-26,21
2023-2024,18872,L. Cook,Bournemouth,Questionable,Groin Injury,2023-12-26,0
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-26,92
2023-2024,206254,M. Kerkez,Bournemouth,Questionable,Ankle Injury,2023-12-26,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-26,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-26,161
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2023-12-31,41
2023-2024,19356,E. Marcondes,Bournemouth,Missing Fixture,Ankle Injury,2023-12-31,127
2023-2024,31057,H. J. Traore,Bournemouth,Missing Fixture,Illness,2023-12-31,21
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Thigh Injury,2023-12-31,92
2023-2024,206254,M. Kerkez,Bournemouth,Missing Fixture,Ankle Injury,2023-12-31,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2023-12-31,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2023-12-31,161
2023-2024,19281,A. Semenyo,Bournemouth,Missing Fixture,National selection,2024-01-21,0
2023-2024,18869,A. Smith,Bournemouth,Questionable,Injury,2024-01-21,0
2023-2024,284797,D. Ouattara,Bournemouth,Missing Fixture,National selection,2024-01-21,11
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2024-01-21,41
2023-2024,206254,M. Kerkez,Bournemouth,Questionable,Ankle Injury,2024-01-21,0
2023-2024,6610,M. Senesi,Bournemouth,Missing Fixture,Yellow Cards,2024-01-21,52
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-01-21,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-01-21,161
2023-2024,284797,D. Ouattara,Bournemouth,Missing Fixture,International duty,2024-02-01,11
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2024-02-01,41
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-02-01,36
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-02-01,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-02-01,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-02-01,161
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2024-02-04,41
2023-2024,47499,E. Unal,Bournemouth,Missing Fixture,Inactive,2024-02-04,0
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-02-04,36
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-02-04,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-02-04,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-02-04,161
2023-2024,19229,D. Randolph,Bournemouth,Missing Fixture,Illness,2024-02-10,41
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-02-10,36
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-02-10,109
2023-2024,2734,P. Billing,Bournemouth,Missing Fixture,Red Card,2024-02-10,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-02-10,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-02-10,161
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-02-17,36
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-02-17,109
2023-2024,84082,R. Faivre,Bournemouth,Questionable,Illness,2024-02-17,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-02-17,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-02-17,161
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-02-24,36
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-02-24,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-02-24,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-02-24,161
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-03-03,36
2023-2024,19263,L. Kelly,Bournemouth,Questionable,Hip Injury,2024-03-03,0
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-03-03,109
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-03-03,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Thigh Injury,2024-03-03,161
2023-2024,20093,J. Hill,Bournemouth,Missing Fixture,Ankle Injury,2024-03-09,36
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Hip Injury,2024-03-09,4
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-03-09,109
2023-2024,6610,M. Senesi,Bournemouth,Missing Fixture,Thigh Injury,2024-03-09,52
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-03-09,281
2023-2024,19263,L. Kelly,Bournemouth,Missing Fixture,Hip Injury,2024-03-13,4
2023-2024,19070,M. Aarons,Bournemouth,Missing Fixture,Thigh Injury,2024-03-13,109
2023-2024,6610,M. Senesi,Bournemouth,Missing Fixture,Thigh Injury,2024-03-13,52
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-03-13,281
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Thigh Injury,2024-03-30,50
2023-2024,6610,M. Senesi,Bournemouth,Questionable,Thigh Injury,2024-03-30,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-03-30,281
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Thigh Injury,2024-04-02,50
2023-2024,6610,M. Senesi,Bournemouth,Questionable,Thigh Injury,2024-04-02,0
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-02,281
2023-2024,18866,C. Mepham,Bournemouth,Questionable,Illness,2024-04-06,0
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Thigh Injury,2024-04-06,50
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-06,281
2023-2024,19281,A. Semenyo,Bournemouth,Questionable,Injury,2024-04-13,0
2023-2024,18866,C. Mepham,Bournemouth,Questionable,Illness,2024-04-13,0
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2024-04-13,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-13,281
2023-2024,1150,T. Adams,Bournemouth,Questionable,Injury,2024-04-13,0
2023-2024,18866,C. Mepham,Bournemouth,Questionable,Illness,2024-04-21,0
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-04-21,50
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2024-04-21,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-21,281
2023-2024,1150,T. Adams,Bournemouth,Questionable,Injury,2024-04-21,0
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Illness,2024-04-24,16
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-04-24,50
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2024-04-24,265
2023-2024,84082,R. Faivre,Bournemouth,Missing Fixture,Injury,2024-04-24,3
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-24,281
2023-2024,1150,T. Adams,Bournemouth,Questionable,Injury,2024-04-24,0
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Illness,2024-04-28,16
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-04-28,50
2023-2024,206254,M. Kerkez,Bournemouth,Missing Fixture,Red Card,2024-04-28,13
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2024-04-28,265
2023-2024,84082,R. Faivre,Bournemouth,Missing Fixture,Injury,2024-04-28,3
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-04-28,281
2023-2024,1150,T. Adams,Bournemouth,Questionable,Injury,2024-04-28,0
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Illness,2024-05-04,16
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-05-04,50
2023-2024,206254,M. Kerkez,Bournemouth,Missing Fixture,Red Card,2024-05-04,13
2023-2024,19245,M. Tavernier,Bournemouth,Missing Fixture,Thigh Injury,2024-05-04,265
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-05-04,281
2023-2024,1150,T. Adams,Bournemouth,Missing Fixture,Injury,2024-05-04,0
2023-2024,18866,C. Mepham,Bournemouth,Missing Fixture,Illness,2024-05-11,16
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-05-11,50
2023-2024,206254,M. Kerkez,Bournemouth,Missing Fixture,Red Card,2024-05-11,13
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-05-11,281
2023-2024,18866,C. Mepham,Bournemouth,Questionable,Illness,2024-05-19,0
2023-2024,37161,L. Sinisterra,Bournemouth,Missing Fixture,Injury,2024-05-19,50
2023-2024,18815,R. Fredericks,Bournemouth,Missing Fixture,Calf Injury,2024-05-19,281
