team,appearances,minutesPlayed,goals,assists,keyPasses,bigChancesCreated,successfulDribbles,accurateCrosses,shotsOnTarget,totalShots,rating
Tottenham Hotspur,2,80,0,0,0,0,0,0,2,4,6.85
FC Porto,4,360,0,0,0,0,0,0,0,1,6.85
Eintracht Frankfurt,4,259,0,0,0,0,0,0,0,0,6.85
Chelsea,5,398,1,0,2,0,2,1,1,2,6.84
AFC Ajax,6,540,0,2,2,1,5,1,0,0,6.83
Atlético Madrid,6,512,0,0,2,0,3,1,0,3,6.83
FC København,6,482,0,0,7,1,1,6,0,2,6.83
Club Brugge KV,3,134,0,0,0,0,0,0,0,0,6.83
Tottenham Hotspur,7,618,0,0,1,0,0,0,2,9,6.83
Tottenham Hotspur,7,600,0,0,1,0,0,0,1,2,6.83
Juventus,4,239,0,0,0,0,2,1,0,1,6.83
Chelsea,5,259,0,0,4,0,1,2,0,0,6.82
Paris Saint-Germain,6,441,1,0,5,0,11,2,1,1,6.82
Tottenham Hotspur,6,428,0,1,6,2,7,10,2,6,6.82
Atlético Madrid,6,468,0,0,7,1,2,6,0,3,6.82
RB Leipzig,8,720,0,0,2,0,3,0,1,4,6.81
Bayer 04 Leverkusen,5,375,0,2,5,2,4,2,0,4,6.8
FC Barcelona,3,248,0,1,1,1,2,0,0,0,6.8
FC København,4,305,0,0,0,0,0,0,0,3,6.8
Real Madrid,11,712,0,0,8,1,3,6,3,5,6.8
Tottenham Hotspur,3,154,0,0,3,0,1,0,1,1,6.8
Red Bull Salzburg,6,540,0,0,7,1,4,2,1,3,6.8
Sporting CP,5,395,0,0,0,0,1,0,0,2,6.8
Tottenham Hotspur,1,17,0,0,0,0,0,0,0,1,6.8
Real Madrid,5,347,0,0,3,1,2,1,0,1,6.8
Bayer 04 Leverkusen,5,450,0,0,3,0,2,1,0,1,6.8
Celtic,1,90,0,0,0,0,0,0,0,0,6.8
SSC Napoli,8,512,0,2,11,1,1,2,0,4,6.79
FC Bayern München,8,350,0,0,5,0,3,1,0,0,6.79
Shakhtar Donetsk,4,360,0,2,2,1,0,2,0,5,6.78
Paris Saint-Germain,8,655,0,0,2,0,1,0,1,2,6.78
Manchester City,4,292,0,0,1,0,0,0,0,0,6.78
Sporting CP,6,540,0,0,0,0,6,0,0,1,6.77
Atlético Madrid,3,270,0,0,3,0,0,1,0,0,6.77
Club Brugge KV,7,524,0,0,1,0,2,0,0,1,6.76
RB Leipzig,4,166,0,1,3,1,1,4,0,1,6.75
Celtic,4,360,0,0,0,0,0,0,0,2,6.75
FC Barcelona,4,257,0,0,0,0,0,0,1,1,6.75
Inter,7,298,0,0,0,0,0,0,0,0,6.75
GNK Dinamo Zagreb,5,374,0,0,3,0,0,2,1,2,6.74
Maccabi Haifa,6,396,2,0,0,0,3,0,2,4,6.73
Juventus,6,443,1,0,0,0,2,0,1,2,6.73
FC Barcelona,4,222,0,1,1,0,0,2,0,0,6.73
Red Bull Salzburg,4,273,0,0,0,0,0,0,0,2,6.73
Liverpool FC,5,379,0,2,8,0,3,7,0,2,6.72
Maccabi Haifa,5,375,0,1,8,1,4,5,0,1,6.72
Paris Saint-Germain,5,274,0,0,1,0,0,0,0,0,6.72
FC Porto,6,152,0,0,4,1,2,2,1,2,6.72
Juventus,3,270,0,0,0,0,1,0,0,3,6.7
Celtic,6,540,0,0,0,0,0,0,1,3,6.7
Red Bull Salzburg,3,270,0,0,2,0,0,1,0,3,6.7
FC Barcelona,2,180,0,0,1,0,0,2,1,1,6.7
RB Leipzig,5,227,0,0,1,0,5,0,0,1,6.7
GNK Dinamo Zagreb,1,14,0,0,0,0,0,0,0,0,6.7
Manchester City,2,44,0,0,0,0,0,1,0,0,6.7
Benfica,2,106,0,0,1,0,0,0,0,0,6.7
Juventus,3,93,0,0,1,0,1,1,0,0,6.7
RB Leipzig,8,533,0,0,9,2,4,9,0,0,6.7
Club Brugge KV,6,495,1,0,1,0,4,0,1,1,6.68
Juventus,5,428,0,0,3,1,5,2,0,2,6.68
Olympique de Marseille,5,250,0,0,0,0,0,0,0,1,6.68
Eintracht Frankfurt,8,720,0,1,1,0,0,0,0,3,6.68
Sporting CP,4,190,0,0,1,0,0,0,0,1,6.68
Sevilla,6,391,0,1,5,0,3,7,0,4,6.67
GNK Dinamo Zagreb,3,35,0,0,0,0,0,0,1,3,6.67
GNK Dinamo Zagreb,6,410,0,0,7,0,3,7,1,1,6.67
Tottenham Hotspur,7,389,0,0,0,0,2,0,0,2,6.66
Celtic,6,540,0,0,9,0,2,2,1,2,6.63
Sporting CP,6,508,0,0,1,0,0,0,0,1,6.63
Paris Saint-Germain,4,114,0,0,1,0,0,0,0,0,6.63
FC København,6,336,0,0,2,0,0,0,0,3,6.62
Sevilla,5,450,0,0,3,0,5,2,0,3,6.6
FC København,5,431,0,0,0,0,0,0,0,1,6.6
Milan,10,828,0,0,3,0,0,0,0,2,6.6
FC Barcelona,1,90,0,0,0,0,0,0,1,1,6.6
Liverpool FC,1,13,0,0,0,0,0,0,0,0,6.6
Borussia Dortmund,1,18,0,0,0,0,0,0,0,0,6.6
Celtic,1,90,0,0,0,0,0,0,0,0,6.6
FC København,2,99,0,0,1,0,0,0,0,0,6.6
Paris Saint-Germain,3,146,0,0,0,0,0,0,0,0,6.6
Eintracht Frankfurt,3,120,0,0,0,0,0,0,0,0,6.6
Benfica,5,198,0,0,0,0,3,0,0,0,6.58
Liverpool FC,5,299,0,1,2,1,0,1,0,1,6.58
Sevilla,4,219,0,1,4,0,1,3,0,2,6.58
Rangers,4,315,0,0,1,0,0,0,0,1,6.58
SSC Napoli,3,204,0,0,0,0,0,0,0,0,6.57
Paris Saint-Germain,8,587,0,2,3,1,5,2,2,4,6.55
RB Leipzig,2,55,0,0,0,0,0,0,0,0,6.55
Sporting CP,2,100,0,0,0,0,0,0,0,0,6.55
Celtic,2,60,0,0,0,0,0,0,0,0,6.55
Maccabi Haifa,5,450,0,0,0,0,0,0,0,2,6.54
Atlético Madrid,3,157,1,0,1,0,0,0,1,4,6.53
FC Viktoria Plzeň,6,361,0,1,3,1,1,2,0,0,6.53
AFC Ajax,3,41,0,0,0,0,0,0,0,1,6.53
Atlético Madrid,3,213,0,0,2,0,1,0,0,1,6.53
Milan,4,132,0,0,0,0,1,0,0,0,6.53
FC Porto,5,450,0,0,1,0,0,0,1,2,6.52
Red Bull Salzburg,6,374,0,0,3,0,0,3,0,2,6.5
Paris Saint-Germain,1,45,0,0,0,0,0,0,0,0,6.5
Eintracht Frankfurt,2,112,0,0,1,0,0,1,0,0,6.5
Shakhtar Donetsk,2,11,0,0,0,0,0,0,0,0,6.5
Borussia Dortmund,2,13,0,0,0,0,0,0,0,0,6.5
Bayer 04 Leverkusen,3,25,0,0,0,0,0,0,0,0,6.5
Borussia Dortmund,3,63,0,0,0,0,0,0,0,0,6.5
Rangers,6,487,1,0,6,1,3,8,3,5,6.48
AFC Ajax,6,530,0,0,2,0,3,0,0,2,6.48
Shakhtar Donetsk,5,419,0,0,5,0,1,0,0,1,6.48
FC København,5,104,0,0,4,0,0,3,0,1,6.48
AFC Ajax,5,269,0,0,2,0,3,2,1,2,6.48
Sevilla,3,224,0,0,1,0,1,1,0,0,6.47
Rangers,6,464,0,0,5,0,0,6,0,0,6.47
Inter,6,162,0,0,0,0,1,0,1,2,6.46
Milan,4,188,0,0,2,0,0,2,0,2,6.45
Tottenham Hotspur,2,25,0,0,0,0,0,0,0,0,6.45
Maccabi Haifa,2,82,0,0,0,0,0,0,0,0,6.45
FC København,4,191,0,0,1,0,2,0,0,0,6.45
Eintracht Frankfurt,7,599,0,0,1,0,2,0,1,2,6.44
FC Porto,5,270,0,0,1,0,3,1,1,3,6.44
FC Viktoria Plzeň,3,169,0,0,2,0,0,0,0,0,6.43
Eintracht Frankfurt,4,199,0,0,2,0,3,3,0,3,6.43
Olympique de Marseille,4,149,0,0,0,0,1,0,0,1,6.4
FC Bayern München,5,410,0,0,2,0,1,0,0,3,6.4
Rangers,1,90,0,0,2,1,1,2,0,1,6.4
FC Viktoria Plzeň,6,513,0,0,0,0,0,0,0,2,6.38
Sporting CP,3,118,0,0,1,0,0,0,1,2,6.37
Maccabi Haifa,6,540,0,0,4,0,1,0,0,1,6.37
Eintracht Frankfurt,2,159,0,0,0,0,0,0,0,0,6.35
FC Viktoria Plzeň,6,292,0,1,2,0,0,6,1,3,6.33
RB Leipzig,3,262,0,0,2,0,0,1,0,2,6.33
Olympique de Marseille,6,540,0,0,3,0,15,3,1,12,6.32
FC Barcelona,4,167,0,0,1,0,5,2,0,1,6.3
Celtic,1,10,0,0,1,0,1,0,0,0,6.3
Juventus,2,180,0,0,0,0,2,0,0,0,6.3
RB Leipzig,7,198,0,0,1,0,1,2,0,2,6.28
Shakhtar Donetsk,5,309,0,0,0,0,5,0,0,0,6.26
Rangers,3,261,0,0,0,0,0,0,0,2,6.23
FC Viktoria Plzeň,6,495,0,0,0,0,0,0,1,1,6.22
FC København,1,24,0,0,0,0,0,0,0,0,6.2
Club Brugge KV,3,164,0,0,1,0,2,0,0,0,6.2
Rangers,6,373,0,0,0,0,1,0,0,1,6.1
Club Brugge KV,1,90,0,0,1,0,0,0,0,0,6.1
Sevilla,1,90,0,0,0,0,0,0,0,0,6.0
Sporting CP,3,110,0,0,1,0,0,0,0,0,4.65
Club Brugge KV,1,1,0,0,0,0,0,0,0,0,0.0
RB Leipzig,1,2,0,0,0,0,0,0,0,0,0.0
Benfica,2,4,0,0,0,0,0,0,0,0,0.0
FC Porto,2,3,0,0,0,0,0,0,0,0,0.0
FC Bayern München,9,810,1,3,21,4,3,12,10,22,7.77
Liverpool FC,8,624,8,2,13,4,9,1,13,23,7.7
Manchester City,10,721,2,6,22,8,10,19,7,16,7.61
Juventus,3,146,0,3,7,4,4,3,1,4,7.57
Chelsea,6,415,1,0,7,0,4,0,3,3,7.47
FC Bayern München,8,557,4,1,18,2,10,2,9,18,7.45
SSC Napoli,10,638,4,2,23,5,8,12,11,17,7.4
Manchester City,12,997,2,0,5,1,9,0,4,17,7.4
Olympique de Marseille,6,379,1,2,13,3,11,3,5,9,7.4
Tottenham Hotspur,7,574,0,3,10,5,8,15,0,2,7.4
Tottenham Hotspur,1,90,0,0,1,0,1,0,1,3,7.4
Real Madrid,11,968,2,3,19,4,11,4,8,24,7.38
Real Madrid,12,846,0,2,17,1,2,8,1,10,7.37
Sporting CP,3,111,2,0,2,1,2,0,2,2,7.37
Benfica,10,900,2,4,19,6,10,8,5,15,7.33
Atlético Madrid,3,225,0,0,1,0,1,0,0,7,7.3
FC Bayern München,7,537,1,1,15,3,17,8,5,14,7.29
Juventus,5,447,2,0,4,0,4,2,2,4,7.28
Liverpool FC,5,308,0,0,3,1,2,0,2,3,7.28
Manchester City,13,936,0,1,36,4,26,5,3,16,7.25
Benfica,10,865,6,2,15,5,14,6,7,12,7.23
Borussia Dortmund,7,630,4,1,7,0,11,0,4,11,7.23
AFC Ajax,6,452,4,2,5,0,11,0,4,8,7.22
Manchester City,9,506,3,2,19,1,12,8,7,12,7.2
Shakhtar Donetsk,3,189,2,0,0,0,3,0,3,7,7.2
Sevilla,1,90,0,0,1,0,0,0,0,0,7.2
Borussia Dortmund,1,90,0,0,0,0,1,0,0,0,7.2
Chelsea,9,763,0,1,6,0,5,3,6,19,7.19
FC Barcelona,5,298,0,2,11,2,1,6,0,10,7.18
FC Bayern München,9,608,2,4,9,5,1,0,7,16,7.18
Manchester City,13,909,3,1,20,1,26,6,5,8,7.17
FC Bayern München,9,551,3,1,8,2,12,0,10,15,7.17
Liverpool FC,3,269,1,0,3,0,4,0,3,9,7.17
SSC Napoli,9,374,1,1,9,4,11,1,3,8,7.16
SSC Napoli,8,653,1,3,10,2,14,0,2,9,7.15
Manchester City,8,384,1,1,10,2,7,10,5,9,7.14
Red Bull Salzburg,6,540,1,0,6,1,1,5,3,6,7.13
FC Barcelona,3,207,0,2,3,1,0,0,2,4,7.13
Tottenham Hotspur,7,625,1,2,5,0,7,3,2,6,7.13
FC Porto,7,530,0,2,14,4,11,6,2,5,7.13
FC Porto,7,596,2,0,5,1,3,5,6,12,7.1
Inter,12,807,1,2,17,2,4,15,4,13,7.1
Olympique de Marseille,6,490,0,1,8,0,1,4,2,3,7.1
Liverpool FC,2,153,0,0,2,0,2,0,1,2,7.1
FC Porto,8,568,2,1,10,0,10,4,5,15,7.09
Manchester City,13,997,1,2,14,2,11,2,8,19,7.08
Milan,12,1053,0,2,22,9,6,10,1,9,7.08
Liverpool FC,4,281,0,1,6,2,2,0,0,0,7.08
Real Madrid,10,750,2,1,9,3,10,7,3,7,7.07
Tottenham Hotspur,6,506,1,0,3,0,6,0,1,5,7.07
Olympique de Marseille,6,471,0,0,3,0,4,0,1,4,7.07
Benfica,9,403,0,1,5,0,7,4,1,7,7.06
Juventus,6,437,0,1,10,2,6,7,1,5,7.05
Celtic,6,485,0,0,2,1,3,3,5,16,7.05
Inter,11,735,0,5,16,6,4,15,3,13,7.05
Paris Saint-Germain,7,625,0,1,4,2,11,0,0,2,7.04
Club Brugge KV,5,298,1,1,8,0,3,8,2,3,7.04
Atlético Madrid,5,255,1,0,5,0,3,3,4,5,7.04
Bayer 04 Leverkusen,6,510,2,0,6,0,6,2,10,16,7.03
Borussia Dortmund,3,264,1,1,4,2,3,1,2,6,7.03
Atlético Madrid,6,461,0,1,3,1,1,0,0,1,7.03
Eintracht Frankfurt,8,700,3,0,3,1,6,2,6,13,7.03
Juventus,4,310,0,1,6,0,1,2,0,3,7.03
FC Porto,4,282,0,0,4,0,2,0,2,7,7.03
Olympique de Marseille,6,419,2,0,5,0,0,1,3,8,7.02
Benfica,10,827,5,1,14,0,21,4,12,28,7.01
Liverpool FC,8,416,2,1,10,2,7,0,3,6,7.0
FC København,2,171,0,0,0,0,0,0,0,3,7.0
GNK Dinamo Zagreb,6,521,0,0,1,0,2,0,2,5,7.0
FC København,2,162,0,0,0,0,3,0,0,2,7.0
FC Bayern München,8,343,2,3,4,3,4,1,4,10,6.99
Inter,12,997,3,0,13,1,8,6,5,20,6.98
FC København,6,486,0,1,7,1,4,0,3,7,6.98
Red Bull Salzburg,6,495,0,0,11,2,3,5,1,9,6.98
SSC Napoli,9,413,1,1,6,2,4,7,4,13,6.97
Sporting CP,6,298,1,0,5,0,3,5,1,3,6.97
FC Bayern München,6,278,0,0,3,0,1,0,3,10,6.97
RB Leipzig,3,62,0,0,2,0,1,2,0,2,6.97
Bayer 04 Leverkusen,4,215,0,0,3,0,0,0,0,1,6.97
Sevilla,6,402,1,1,5,0,7,1,5,8,6.95
Chelsea,8,627,1,0,8,1,8,0,1,4,6.95
Chelsea,2,82,1,0,1,0,0,0,1,1,6.95
Shakhtar Donetsk,6,484,0,2,6,2,6,0,0,2,6.95
Sevilla,6,421,0,1,3,0,1,1,0,5,6.95
Real Madrid,12,319,3,1,9,2,1,2,5,12,6.95
Inter,13,915,2,0,6,0,6,2,8,15,6.94
Liverpool FC,8,397,2,0,5,0,5,1,6,11,6.94
GNK Dinamo Zagreb,6,495,2,0,4,0,2,3,3,13,6.93
Paris Saint-Germain,6,159,1,0,3,0,2,1,1,2,6.93
FC Barcelona,5,404,0,0,8,0,9,0,4,6,6.92
SSC Napoli,10,876,0,0,6,0,6,1,0,3,6.92
Celtic,6,226,0,0,8,1,3,7,2,2,6.92
Club Brugge KV,7,595,2,0,6,0,7,0,5,13,6.91
Benfica,10,862,0,0,1,0,3,0,0,5,6.91
RB Leipzig,7,340,0,0,2,1,2,0,2,6,6.9
FC Barcelona,5,331,0,0,6,1,3,2,0,2,6.9
FC Porto,7,613,1,0,8,0,5,1,3,10,6.89
AFC Ajax,6,533,1,0,2,0,1,0,2,10,6.88
Bayer 04 Leverkusen,6,467,1,0,10,2,9,3,2,8,6.88
Juventus,5,266,0,0,1,0,1,0,1,8,6.88
FC Bayern München,8,363,1,0,6,0,0,0,4,9,6.88
Eintracht Frankfurt,8,720,0,0,9,1,0,1,0,3,6.88
FC Barcelona,4,235,0,0,2,0,4,1,0,0,6.88
Milan,10,593,1,0,4,1,13,1,3,7,6.87
Real Madrid,10,446,0,0,0,0,3,0,2,9,6.87
FC Barcelona,6,282,1,0,2,0,1,1,2,3,6.87
Inter,9,546,0,0,4,1,5,4,0,4,6.87
Sporting CP,6,388,2,0,2,1,5,0,4,9,6.85
Inter,12,886,1,0,3,1,8,0,5,11,6.85
FC København,6,297,1,0,1,0,4,0,4,8,6.85
Benfica,10,618,1,0,11,0,4,1,1,6,6.85
Atlético Madrid,2,105,0,0,3,0,1,1,0,1,6.85
Juventus,2,108,0,0,3,0,1,1,0,0,6.85
SSC Napoli,2,16,0,0,1,0,1,1,0,0,6.85
Inter,11,417,1,0,5,2,1,4,4,4,6.85
RB Leipzig,7,586,0,0,2,0,5,0,0,2,6.84
AFC Ajax,6,524,2,0,10,1,5,1,5,10,6.83
Borussia Dortmund,6,383,0,2,10,2,5,2,1,3,6.83
Tottenham Hotspur,4,41,0,0,2,0,1,0,0,1,6.83
Sporting CP,6,468,0,0,1,0,10,0,0,0,6.83
Bayer 04 Leverkusen,5,266,0,0,4,1,1,8,3,7,6.82
Atlético Madrid,5,284,0,0,2,0,1,1,1,5,6.82
Olympique de Marseille,6,416,0,1,4,1,7,1,1,5,6.82
Maccabi Haifa,6,468,0,0,7,0,3,0,0,1,6.82
Chelsea,7,288,0,1,1,1,3,0,0,2,6.81
Borussia Dortmund,5,206,1,0,5,0,1,2,1,4,6.8
FC København,3,42,0,0,0,0,4,0,0,2,6.8
Manchester City,4,137,0,0,0,0,4,1,2,4,6.8
FC Barcelona,4,292,0,0,0,0,1,0,0,2,6.8
Atlético Madrid,4,330,0,0,3,1,0,0,1,2,6.8
Sporting CP,1,27,0,0,0,0,1,0,0,0,6.8
Liverpool FC,1,17,0,0,0,0,2,0,0,0,6.8
FC Porto,1,20,0,0,1,0,0,0,0,0,6.8
Sevilla,3,54,0,0,1,0,2,0,0,0,6.8
Tottenham Hotspur,4,214,0,0,2,0,1,1,0,0,6.8
Milan,8,376,2,0,7,0,13,3,4,6,6.79
Borussia Dortmund,7,546,0,1,6,2,2,0,1,2,6.79
Real Madrid,7,84,0,0,1,1,5,0,2,2,6.79
FC Viktoria Plzeň,6,494,0,0,8,1,2,9,2,3,6.78
Inter,11,823,0,0,2,0,1,2,0,2,6.78
Sevilla,5,247,0,1,5,1,3,1,2,6,6.78
FC København,5,290,0,0,4,0,1,4,2,3,6.78
RB Leipzig,8,657,1,2,12,3,5,9,3,15,6.78
