Season,Season_Label,Team,Fixture_Date,Players_Missing_Total,Players_Missing_Injury,Players_Missing_Non_Injury,Soft_Tissue_Missing,Max_Reported_Days_Out,Mean_Reported_Days_Out
2023-2024,2023/24,Arsenal,2023-09-03,3,3,0,1,250,197.3
2023-2024,2023/24,Manchester United,2023-09-03,7,7,0,4,278,196.9
2023-2024,2023/24,Wolves,2023-09-16,1,1,0,1,112,112.0
2023-2024,2023/24,Liverpool,2023-09-16,2,1,1,0,268,185.0
2023-2024,2023/24,Tottenham,2023-09-16,4,4,0,2,280,150.5
2023-2024,2023/24,Sheffield Utd,2023-09-16,8,8,0,6,281,200.6
2023-2024,2023/24,West Ham,2023-09-16,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester City,2023-09-16,1,1,0,1,130,130.0
2023-2024,2023/24,Aston Villa,2023-09-16,7,7,0,0,280,99.0
2023-2024,2023/24,Crystal Palace,2023-09-16,4,4,0,3,281,195.0
2023-2024,2023/24,Fulham,2023-09-16,2,2,0,0,51,47.0
2023-2024,2023/24,Luton,2023-09-16,3,3,0,0,281,198.7
2023-2024,2023/24,Manchester United,2023-09-16,8,7,1,3,278,139.5
2023-2024,2023/24,Brighton,2023-09-16,2,2,0,0,230,152.5
2023-2024,2023/24,Newcastle,2023-09-16,2,2,0,1,280,161.0
2023-2024,2023/24,Brentford,2023-09-16,4,3,1,1,139,68.2
2023-2024,2023/24,Bournemouth,2023-09-17,4,4,0,2,281,131.8
2023-2024,2023/24,Chelsea,2023-09-17,7,7,0,1,279,205.3
2023-2024,2023/24,Everton,2023-09-17,2,2,0,1,281,270.0
2023-2024,2023/24,Arsenal,2023-09-17,3,3,0,1,250,197.3
2023-2024,2023/24,Nottingham Forest,2023-09-18,0,0,0,0,0,0.0
2023-2024,2023/24,Burnley,2023-09-18,3,3,0,1,70,47.3
2023-2024,2023/24,Luton,2023-09-23,3,3,0,0,281,198.7
2023-2024,2023/24,Wolves,2023-09-23,0,0,0,0,0,0.0
2023-2024,2023/24,Manchester City,2023-09-23,2,2,0,1,130,65.0
2023-2024,2023/24,Nottingham Forest,2023-09-23,1,1,0,1,36,36.0
2023-2024,2023/24,Crystal Palace,2023-09-23,4,4,0,3,281,195.0
2023-2024,2023/24,Fulham,2023-09-23,3,3,0,0,260,118.0
2023-2024,2023/24,Brentford,2023-09-23,6,4,2,1,238,121.3
2023-2024,2023/24,Everton,2023-09-23,2,2,0,1,281,270.0
2023-2024,2023/24,Burnley,2023-09-23,5,4,1,1,70,35.2
2023-2024,2023/24,Manchester United,2023-09-23,7,6,1,2,278,158.6
2023-2024,2023/24,Chelsea,2023-09-24,5,5,0,1,279,221.8
2023-2024,2023/24,Aston Villa,2023-09-24,6,6,0,0,280,115.5
2023-2024,2023/24,Arsenal,2023-09-24,3,3,0,2,250,140.3
2023-2024,2023/24,Tottenham,2023-09-24,5,5,0,2,280,142.8
2023-2024,2023/24,Liverpool,2023-09-24,1,1,0,0,268,268.0
2023-2024,2023/24,West Ham,2023-09-24,1,1,0,1,14,14.0
2023-2024,2023/24,Brighton,2023-09-24,4,4,0,2,230,76.2
2023-2024,2023/24,Bournemouth,2023-09-24,4,4,0,2,281,172.0
2023-2024,2023/24,Sheffield Utd,2023-09-24,8,7,1,6,281,198.5
2023-2024,2023/24,Newcastle,2023-09-24,3,3,0,1,280,179.0
2023-2024,2023/24,Aston Villa,2023-09-30,6,6,0,1,280,107.3
2023-2024,2023/24,Brighton,2023-09-30,4,4,0,1,230,76.2
2023-2024,2023/24,Manchester United,2023-09-30,8,7,1,2,278,166.1
2023-2024,2023/24,Crystal Palace,2023-09-30,6,6,0,5,281,142.7
2023-2024,2023/24,Wolves,2023-09-30,2,0,2,0,203,101.5
2023-2024,2023/24,Manchester City,2023-09-30,3,2,1,2,146,114.3
2023-2024,2023/24,West Ham,2023-09-30,0,0,0,0,0,0.0
2023-2024,2023/24,Sheffield Utd,2023-09-30,6,6,0,5,281,183.2
2023-2024,2023/24,Bournemouth,2023-09-30,5,5,0,3,281,125.2
2023-2024,2023/24,Arsenal,2023-09-30,2,2,0,1,250,210.5
2023-2024,2023/24,Newcastle,2023-09-30,2,2,0,1,280,192.5
2023-2024,2023/24,Burnley,2023-09-30,7,6,1,2,232,59.3
2023-2024,2023/24,Everton,2023-09-30,3,3,0,2,281,233.7
2023-2024,2023/24,Luton,2023-09-30,4,4,0,1,281,198.0
2023-2024,2023/24,Tottenham,2023-09-30,5,5,0,2,280,142.8
2023-2024,2023/24,Liverpool,2023-09-30,2,2,0,1,268,228.5
2023-2024,2023/24,Nottingham Forest,2023-10-01,3,3,0,1,154,82.0
2023-2024,2023/24,Brentford,2023-10-01,7,6,1,1,238,105.4
2023-2024,2023/24,Fulham,2023-10-02,3,3,0,1,102,65.3
2023-2024,2023/24,Chelsea,2023-10-02,7,5,2,1,279,198.7
2023-2024,2023/24,Luton,2023-10-03,4,4,0,1,281,198.0
2023-2024,2023/24,Burnley,2023-10-03,6,6,0,2,232,64.0
2023-2024,2023/24,Luton,2023-10-07,5,5,0,2,281,203.4
2023-2024,2023/24,Tottenham,2023-10-07,5,5,0,1,280,178.2
2023-2024,2023/24,Burnley,2023-10-07,5,5,0,2,232,69.4
2023-2024,2023/24,Chelsea,2023-10-07,6,4,2,1,279,248.7
2023-2024,2023/24,Manchester United,2023-10-07,8,7,1,2,278,164.8
2023-2024,2023/24,Brentford,2023-10-07,7,6,1,1,238,105.4
2023-2024,2023/24,Everton,2023-10-07,1,1,0,1,281,281.0
2023-2024,2023/24,Bournemouth,2023-10-07,6,6,0,4,281,131.2
2023-2024,2023/24,Fulham,2023-10-07,2,2,0,0,51,47.0
2023-2024,2023/24,Sheffield Utd,2023-10-07,7,7,0,5,281,192.1
2023-2024,2023/24,Crystal Palace,2023-10-07,6,6,0,4,281,154.3
2023-2024,2023/24,Nottingham Forest,2023-10-07,5,4,1,2,183,108.8
2023-2024,2023/24,West Ham,2023-10-08,2,2,0,2,14,7.0
2023-2024,2023/24,Newcastle,2023-10-08,4,3,1,1,280,197.2
2023-2024,2023/24,Wolves,2023-10-08,1,0,1,0,203,203.0
2023-2024,2023/24,Aston Villa,2023-10-08,6,6,0,0,280,146.8
2023-2024,2023/24,Brighton,2023-10-08,5,5,0,1,230,65.2
2023-2024,2023/24,Liverpool,2023-10-08,5,3,2,1,268,175.4
2023-2024,2023/24,Arsenal,2023-10-08,1,1,0,0,250,250.0
2023-2024,2023/24,Manchester City,2023-10-08,2,1,1,1,130,98.5
2023-2024,2023/24,Liverpool,2023-10-21,4,3,1,1,268,189.2
2023-2024,2023/24,Everton,2023-10-21,1,1,0,1,281,281.0
2023-2024,2023/24,Brentford,2023-10-21,8,6,2,2,238,118.6
2023-2024,2023/24,Burnley,2023-10-21,5,5,0,2,83,30.6
2023-2024,2023/24,Nottingham Forest,2023-10-21,3,3,0,2,154,112.3
2023-2024,2023/24,Luton,2023-10-21,5,5,0,3,281,196.6
2023-2024,2023/24,Bournemouth,2023-10-21,3,3,0,2,281,189.7
2023-2024,2023/24,Wolves,2023-10-21,2,0,2,0,42,21.0
2023-2024,2023/24,Newcastle,2023-10-21,2,2,0,0,211,158.0
2023-2024,2023/24,Crystal Palace,2023-10-21,3,3,0,3,135,86.7
2023-2024,2023/24,Manchester City,2023-10-21,1,1,0,1,130,130.0
2023-2024,2023/24,Brighton,2023-10-21,4,4,0,0,230,81.5
2023-2024,2023/24,Chelsea,2023-10-21,7,7,0,2,279,223.6
2023-2024,2023/24,Arsenal,2023-10-21,1,1,0,0,250,250.0
2023-2024,2023/24,Sheffield Utd,2023-10-21,6,6,0,2,281,242.7
2023-2024,2023/24,Manchester United,2023-10-21,6,5,1,2,278,194.5
2023-2024,2023/24,Aston Villa,2023-10-22,5,5,0,0,280,176.2
2023-2024,2023/24,West Ham,2023-10-22,0,0,0,0,0,0.0
2023-2024,2023/24,Tottenham,2023-10-23,6,5,1,1,280,183.2
2023-2024,2023/24,Fulham,2023-10-23,5,5,0,1,208,102.6
2023-2024,2023/24,Crystal Palace,2023-10-27,3,3,0,3,135,86.7
2023-2024,2023/24,Tottenham,2023-10-27,4,4,0,1,280,188.5
2023-2024,2023/24,Chelsea,2023-10-28,8,8,0,3,279,245.9
2023-2024,2023/24,Brentford,2023-10-28,7,6,1,2,238,97.4
2023-2024,2023/24,Arsenal,2023-10-28,3,3,0,2,250,204.7
2023-2024,2023/24,Sheffield Utd,2023-10-28,8,8,0,4,281,210.0
2023-2024,2023/24,Bournemouth,2023-10-28,5,4,1,2,281,116.6
2023-2024,2023/24,Burnley,2023-10-28,6,5,1,1,83,19.5
2023-2024,2023/24,Wolves,2023-10-28,2,2,0,1,112,59.0
2023-2024,2023/24,Newcastle,2023-10-28,7,6,1,1,227,147.9
2023-2024,2023/24,West Ham,2023-10-29,1,0,1,0,172,172.0
2023-2024,2023/24,Everton,2023-10-29,3,2,1,2,281,168.0
2023-2024,2023/24,Brighton,2023-10-29,5,5,0,1,230,139.2
2023-2024,2023/24,Fulham,2023-10-29,2,2,0,0,208,125.5
2023-2024,2023/24,Liverpool,2023-10-29,4,3,1,1,268,189.2
2023-2024,2023/24,Nottingham Forest,2023-10-29,4,4,0,4,147,73.8
2023-2024,2023/24,Aston Villa,2023-10-29,5,5,0,0,280,176.2
2023-2024,2023/24,Luton,2023-10-29,4,4,0,2,281,242.2
2023-2024,2023/24,Manchester United,2023-10-29,5,4,1,2,278,219.6
2023-2024,2023/24,Manchester City,2023-10-29,2,1,1,1,130,103.0
2023-2024,2023/24,Fulham,2023-11-04,1,1,0,0,208,208.0
2023-2024,2023/24,Manchester United,2023-11-04,7,6,1,3,278,170.3
2023-2024,2023/24,Brentford,2023-11-04,7,6,1,2,238,97.4
2023-2024,2023/24,West Ham,2023-11-04,1,0,1,0,203,203.0
2023-2024,2023/24,Burnley,2023-11-04,6,5,1,1,56,9.3
2023-2024,2023/24,Crystal Palace,2023-11-04,3,3,0,3,210,111.7
2023-2024,2023/24,Manchester City,2023-11-04,1,1,0,1,130,130.0
2023-2024,2023/24,Bournemouth,2023-11-04,6,5,1,2,281,105.3
2023-2024,2023/24,Everton,2023-11-04,2,2,0,2,281,221.0
2023-2024,2023/24,Brighton,2023-11-04,4,4,0,1,230,121.0
2023-2024,2023/24,Sheffield Utd,2023-11-04,6,6,0,2,281,242.7
2023-2024,2023/24,Wolves,2023-11-04,3,3,0,2,174,97.3
2023-2024,2023/24,Newcastle,2023-11-04,6,5,1,2,227,152.2
2023-2024,2023/24,Arsenal,2023-11-04,5,5,0,2,250,143.2
2023-2024,2023/24,Nottingham Forest,2023-11-05,4,4,0,4,147,94.2
2023-2024,2023/24,Aston Villa,2023-11-05,5,5,0,0,280,135.8
2023-2024,2023/24,Luton,2023-11-05,5,5,0,3,281,193.8
2023-2024,2023/24,Liverpool,2023-11-05,3,3,0,1,268,183.0
2023-2024,2023/24,Tottenham,2023-11-06,4,4,0,1,280,188.5
2023-2024,2023/24,Chelsea,2023-11-06,6,6,0,2,279,249.3
2023-2024,2023/24,Wolves,2023-11-11,1,1,0,0,112,112.0
2023-2024,2023/24,Tottenham,2023-11-11,9,7,2,2,280,152.7
2023-2024,2023/24,Manchester United,2023-11-11,7,6,1,3,278,190.6
2023-2024,2023/24,Luton,2023-11-11,4,4,0,2,281,242.2
2023-2024,2023/24,Crystal Palace,2023-11-11,3,3,0,3,143,89.3
2023-2024,2023/24,Everton,2023-11-11,2,2,0,2,281,221.0
2023-2024,2023/24,Arsenal,2023-11-11,4,4,0,2,250,178.0
2023-2024,2023/24,Burnley,2023-11-11,2,2,0,0,119,59.5
2023-2024,2023/24,Bournemouth,2023-11-11,5,5,0,2,281,147.4
2023-2024,2023/24,Newcastle,2023-11-11,9,7,2,1,227,122.0
2023-2024,2023/24,Aston Villa,2023-11-12,5,5,0,0,280,135.8
2023-2024,2023/24,Fulham,2023-11-12,2,2,0,0,208,116.0
2023-2024,2023/24,Brighton,2023-11-12,7,7,0,2,230,168.0
2023-2024,2023/24,Sheffield Utd,2023-11-12,6,6,0,3,281,241.7
2023-2024,2023/24,Liverpool,2023-11-12,5,4,1,1,268,160.2
2023-2024,2023/24,Brentford,2023-11-12,7,6,1,3,238,127.6
2023-2024,2023/24,West Ham,2023-11-12,0,0,0,0,0,0.0
2023-2024,2023/24,Nottingham Forest,2023-11-12,1,1,0,1,14,14.0
2023-2024,2023/24,Chelsea,2023-11-12,4,4,0,2,279,247.0
2023-2024,2023/24,Manchester City,2023-11-12,3,3,0,2,146,93.3
2023-2024,2023/24,Manchester City,2023-11-25,2,2,0,2,146,138.0
2023-2024,2023/24,Liverpool,2023-11-25,3,3,0,1,268,183.0
2023-2024,2023/24,Sheffield Utd,2023-11-25,6,6,0,3,281,241.7
2023-2024,2023/24,Bournemouth,2023-11-25,6,6,0,3,281,141.0
2023-2024,2023/24,Newcastle,2023-11-25,9,7,2,2,227,142.1
2023-2024,2023/24,Chelsea,2023-11-25,6,6,0,2,279,249.3
2023-2024,2023/24,Luton,2023-11-25,4,4,0,2,281,242.2
2023-2024,2023/24,Crystal Palace,2023-11-25,2,2,0,2,143,106.0
2023-2024,2023/24,Burnley,2023-11-25,4,4,0,0,119,29.8
2023-2024,2023/24,West Ham,2023-11-25,1,1,0,0,77,77.0
2023-2024,2023/24,Nottingham Forest,2023-11-25,1,1,0,1,155,155.0
2023-2024,2023/24,Brighton,2023-11-25,9,8,1,1,230,98.7
2023-2024,2023/24,Brentford,2023-11-25,7,6,1,2,238,112.3
2023-2024,2023/24,Arsenal,2023-11-25,5,3,2,1,250,140.2
2023-2024,2023/24,Tottenham,2023-11-26,9,7,2,2,280,154.7
2023-2024,2023/24,Aston Villa,2023-11-26,4,4,0,1,280,154.5
2023-2024,2023/24,Everton,2023-11-26,2,2,0,2,281,221.0
2023-2024,2023/24,Manchester United,2023-11-26,8,7,1,2,278,169.4
2023-2024,2023/24,Fulham,2023-11-27,4,3,1,1,208,132.5
2023-2024,2023/24,Wolves,2023-11-27,3,2,1,1,174,153.0
2023-2024,2023/24,Arsenal,2023-12-02,4,4,0,2,250,149.0
2023-2024,2023/24,Wolves,2023-12-02,4,2,2,1,174,82.0
2023-2024,2023/24,Brentford,2023-12-02,8,7,1,2,238,98.2
2023-2024,2023/24,Luton,2023-12-02,3,3,0,1,281,257.7
2023-2024,2023/24,Burnley,2023-12-02,3,3,0,0,119,39.7
2023-2024,2023/24,Sheffield Utd,2023-12-02,6,6,0,3,281,241.7
2023-2024,2023/24,Nottingham Forest,2023-12-02,1,1,0,1,155,155.0
2023-2024,2023/24,Everton,2023-12-02,2,2,0,2,281,221.0
2023-2024,2023/24,Newcastle,2023-12-02,11,10,1,2,280,138.3
2023-2024,2023/24,Manchester United,2023-12-02,7,6,1,2,278,155.4
2023-2024,2023/24,Bournemouth,2023-12-03,7,7,0,4,281,134.0
2023-2024,2023/24,Aston Villa,2023-12-03,4,3,1,1,280,196.5
2023-2024,2023/24,West Ham,2023-12-03,1,1,0,0,77,77.0
2023-2024,2023/24,Crystal Palace,2023-12-03,5,5,0,2,168,136.6
2023-2024,2023/24,Liverpool,2023-12-03,5,5,0,3,268,177.4
2023-2024,2023/24,Fulham,2023-12-03,3,3,0,1,208,111.3
2023-2024,2023/24,Chelsea,2023-12-03,6,4,2,2,279,222.7
2023-2024,2023/24,Brighton,2023-12-03,9,7,2,3,230,126.2
2023-2024,2023/24,Manchester City,2023-12-03,1,1,0,1,130,130.0
2023-2024,2023/24,Tottenham,2023-12-03,8,7,1,2,280,141.4
2023-2024,2023/24,Wolves,2023-12-05,3,3,0,1,174,111.3
2023-2024,2023/24,Burnley,2023-12-05,4,3,1,0,119,51.2
2023-2024,2023/24,Luton,2023-12-05,4,3,1,1,281,242.2
2023-2024,2023/24,Arsenal,2023-12-05,4,4,0,2,250,149.0
2023-2024,2023/24,Sheffield Utd,2023-12-06,8,7,1,4,281,240.6
2023-2024,2023/24,Liverpool,2023-12-06,6,6,0,3,268,175.2
2023-2024,2023/24,Brighton,2023-12-06,9,7,2,3,230,126.2
2023-2024,2023/24,Brentford,2023-12-06,9,7,2,2,238,101.0
2023-2024,2023/24,Crystal Palace,2023-12-06,5,5,0,2,168,136.6
2023-2024,2023/24,Bournemouth,2023-12-06,7,7,0,4,281,134.0
2023-2024,2023/24,Fulham,2023-12-06,3,3,0,1,208,111.3
2023-2024,2023/24,Nottingham Forest,2023-12-06,1,1,0,1,155,155.0
2023-2024,2023/24,Aston Villa,2023-12-06,3,3,0,1,280,206.0
2023-2024,2023/24,Manchester City,2023-12-06,3,1,2,1,130,97.0
2023-2024,2023/24,Manchester United,2023-12-06,7,6,1,2,278,169.7
2023-2024,2023/24,Chelsea,2023-12-06,9,8,1,2,279,179.2
2023-2024,2023/24,Everton,2023-12-07,1,1,0,1,281,281.0
2023-2024,2023/24,Newcastle,2023-12-07,12,11,1,2,280,138.5
2023-2024,2023/24,Tottenham,2023-12-07,8,8,0,3,280,135.4
2023-2024,2023/24,West Ham,2023-12-07,1,1,0,0,77,77.0
2023-2024,2023/24,Crystal Palace,2023-12-09,5,5,0,2,168,136.6
2023-2024,2023/24,Liverpool,2023-12-09,6,6,0,2,268,161.2
2023-2024,2023/24,Sheffield Utd,2023-12-09,8,6,2,3,281,209.9
2023-2024,2023/24,Brentford,2023-12-09,9,8,1,2,238,100.0
2023-2024,2023/24,Brighton,2023-12-09,7,7,0,3,230,132.1
2023-2024,2023/24,Burnley,2023-12-09,4,4,0,0,139,65.2
2023-2024,2023/24,Wolves,2023-12-09,2,2,0,0,112,80.0
2023-2024,2023/24,Nottingham Forest,2023-12-09,2,2,0,2,155,103.5
2023-2024,2023/24,Manchester United,2023-12-09,8,7,1,2,278,168.2
2023-2024,2023/24,Bournemouth,2023-12-09,8,8,0,4,281,119.9
2023-2024,2023/24,Aston Villa,2023-12-09,3,3,0,1,280,206.0
2023-2024,2023/24,Arsenal,2023-12-09,5,5,0,3,250,145.8
2023-2024,2023/24,Luton,2023-12-10,4,4,0,2,281,180.8
2023-2024,2023/24,Manchester City,2023-12-10,2,2,0,1,130,82.0
2023-2024,2023/24,Fulham,2023-12-10,1,1,0,0,208,208.0
2023-2024,2023/24,West Ham,2023-12-10,1,1,0,0,77,77.0
2023-2024,2023/24,Everton,2023-12-10,1,1,0,1,281,281.0
2023-2024,2023/24,Chelsea,2023-12-10,6,6,0,2,279,225.0
2023-2024,2023/24,Tottenham,2023-12-10,8,8,0,3,280,135.4
2023-2024,2023/24,Newcastle,2023-12-10,10,9,1,1,280,151.9
2023-2024,2023/24,Nottingham Forest,2023-12-15,3,3,0,3,155,120.3
2023-2024,2023/24,Tottenham,2023-12-15,7,7,0,2,280,154.4
2023-2024,2023/24,Chelsea,2023-12-16,7,7,0,3,279,223.6
2023-2024,2023/24,Sheffield Utd,2023-12-16,7,6,1,3,281,207.1
2023-2024,2023/24,Newcastle,2023-12-16,8,7,1,1,280,157.5
2023-2024,2023/24,Fulham,2023-12-16,1,1,0,1,102,102.0
2023-2024,2023/24,Manchester City,2023-12-16,2,2,0,1,130,72.0
2023-2024,2023/24,Crystal Palace,2023-12-16,6,5,1,2,168,113.2
2023-2024,2023/24,Burnley,2023-12-16,4,3,1,0,139,46.2
2023-2024,2023/24,Everton,2023-12-16,3,1,2,1,281,108.7
2023-2024,2023/24,West Ham,2023-12-17,1,1,0,0,77,77.0
2023-2024,2023/24,Wolves,2023-12-17,2,2,0,0,112,80.0
2023-2024,2023/24,Arsenal,2023-12-17,5,5,0,4,250,160.4
2023-2024,2023/24,Brighton,2023-12-17,6,6,0,2,230,146.0
2023-2024,2023/24,Brentford,2023-12-17,8,7,1,2,238,130.1
2023-2024,2023/24,Aston Villa,2023-12-17,6,4,2,1,280,126.2
2023-2024,2023/24,Liverpool,2023-12-17,6,6,0,2,268,161.2
2023-2024,2023/24,Manchester United,2023-12-17,9,8,1,3,278,158.8
2023-2024,2023/24,Crystal Palace,2023-12-21,6,6,0,3,168,114.2
2023-2024,2023/24,Brighton,2023-12-21,7,7,0,2,230,147.4
2023-2024,2023/24,Aston Villa,2023-12-22,7,6,1,1,280,113.3
2023-2024,2023/24,Sheffield Utd,2023-12-22,6,6,0,3,281,241.7
2023-2024,2023/24,West Ham,2023-12-23,1,1,0,0,77,77.0
2023-2024,2023/24,Manchester United,2023-12-23,9,8,1,3,278,174.0
2023-2024,2023/24,Fulham,2023-12-23,3,2,1,2,102,59.7
2023-2024,2023/24,Burnley,2023-12-23,4,4,0,0,148,71.8
2023-2024,2023/24,Nottingham Forest,2023-12-23,4,4,0,4,155,106.0
2023-2024,2023/24,Bournemouth,2023-12-23,8,8,0,4,281,105.0
2023-2024,2023/24,Luton,2023-12-23,3,3,0,0,281,236.7
2023-2024,2023/24,Newcastle,2023-12-23,9,8,1,2,280,163.9
2023-2024,2023/24,Tottenham,2023-12-23,9,7,2,2,280,164.3
2023-2024,2023/24,Everton,2023-12-23,4,4,0,2,281,160.0
2023-2024,2023/24,Liverpool,2023-12-23,6,6,0,2,268,161.2
2023-2024,2023/24,Arsenal,2023-12-23,4,4,0,3,250,157.8
2023-2024,2023/24,Wolves,2023-12-24,2,2,0,0,112,80.0
2023-2024,2023/24,Chelsea,2023-12-24,9,9,0,3,279,188.3
2023-2024,2023/24,Newcastle,2023-12-26,8,7,1,1,280,157.5
2023-2024,2023/24,Nottingham Forest,2023-12-26,2,1,1,1,155,136.0
2023-2024,2023/24,Bournemouth,2023-12-26,8,8,0,4,281,85.2
2023-2024,2023/24,Fulham,2023-12-26,2,1,1,1,102,86.0
2023-2024,2023/24,Sheffield Utd,2023-12-26,5,4,1,1,258,212.0
2023-2024,2023/24,Luton,2023-12-26,3,3,0,0,281,236.7
2023-2024,2023/24,Burnley,2023-12-26,2,2,0,0,139,69.5
