Season,Season_Label,Team,Player,Player_ID,Matches_Missed_Total,Matches_Missed_Injury,First_Missed_Fixture,Last_Missed_Fixture,Main_Reason,Main_Injury_Category,Max_Reported_Days_Out
2023-2024,2023/24,Brighton,J. P. van Hecke,38695,6,5,2023-11-30,2024-05-19,Thigh Injury,Thigh,170
2023-2024,2023/24,Brighton,J. Veltman,537,8,8,2023-12-21,2024-05-19,Knee Injury,Knee,43
2023-2024,2023/24,Brighton,S. Adingra,301771,5,1,2024-01-02,2024-02-10,National selection,Other,38
2023-2024,2023/24,Brighton,Joao Pedro,10329,9,9,2024-02-10,2024-05-11,Thigh Injury,Thigh,33
2023-2024,2023/24,Brighton,J. Hinshelwood,305730,16,16,2024-02-18,2024-05-19,Ankle Injury,Ankle,91
2023-2024,2023/24,Brighton,B. Gilmour,130423,4,4,2024-04-03,2024-04-25,Knee Injury,Knee,22
2023-2024,2023/24,Brighton,E. Ferguson,129643,8,8,2024-04-06,2024-05-19,Ankle Injury,Ankle,36
2023-2024,2023/24,Burnley,M. Obafemi,18957,11,11,2023-08-11,2023-11-04,Thigh Injury,Thigh,70
2023-2024,2023/24,Burnley,D. Churlinov,105789,6,6,2023-08-27,2023-10-03,Injury,Generic injury,37
2023-2024,2023/24,Burnley,J. Beyer,25628,21,20,2023-08-27,2024-05-19,Thigh Injury,Thigh,83
2023-2024,2023/24,Burnley,A. Ramsey,278079,17,17,2023-09-02,2024-05-19,Knee Injury,Knee,148
2023-2024,2023/24,Burnley,A. Zaroury,129169,1,0,2023-09-02,2023-09-02,Red Card,Other,0
2023-2024,2023/24,Burnley,H. Ekdal,47903,10,10,2023-09-02,2023-12-30,Knee Injury,Knee,56
2023-2024,2023/24,Burnley,Vitinho,8661,2,2,2023-09-02,2023-09-23,Knee Injury,Knee,0
2023-2024,2023/24,Burnley,L. Foster,98936,13,11,2023-09-23,2024-03-10,Illness,Other,119
2023-2024,2023/24,Burnley,B. Manuel Hedilazio,8589,6,6,2023-09-30,2023-11-04,Ankle Injury,Ankle,7
2023-2024,2023/24,Burnley,J. B. Gudmundsson,2790,5,5,2023-09-30,2023-12-23,Muscle Injury,Muscle,3
2023-2024,2023/24,Burnley,N. Redmond,18948,20,20,2023-09-30,2024-05-19,Muscle Injury,Muscle,232
2023-2024,2023/24,Burnley,C. Roberts,19331,1,0,2023-10-28,2023-10-28,Red Card,Other,0
2023-2024,2023/24,Burnley,J. Cullen,19827,3,2,2023-11-04,2023-12-09,Knock,Knock,0
2023-2024,2023/24,Burnley,A. Al Dakhil,323449,12,12,2023-11-11,2024-05-19,Injury,Generic injury,36
2023-2024,2023/24,Burnley,A. Muric,616,2,2,2023-11-25,2023-12-02,Illness,Other,0
2023-2024,2023/24,Burnley,J. Cork,18922,8,8,2023-11-25,2023-12-30,Injury,Generic injury,3
2023-2024,2023/24,Burnley,L. Koleosho,359603,23,23,2023-12-09,2024-05-19,Knee Injury,Knee,139
2023-2024,2023/24,Burnley,C. Taylor,18918,5,4,2023-12-16,2024-02-10,Shoulder Injury,Generic injury,46
2023-2024,2023/24,Burnley,S. Berge,1934,1,0,2024-01-12,2024-01-12,Red Card,Other,0
2023-2024,2023/24,Burnley,H. Delcroix,1411,1,1,2024-02-03,2024-02-03,Knock,Knock,0
2023-2024,2023/24,Burnley,J. Brownhill,19268,1,0,2024-03-03,2024-03-03,Red Card,Other,0
2023-2024,2023/24,Burnley,D. D. Fofana,291476,1,0,2024-03-30,2024-03-30,Loan agreement,Other,0
2023-2024,2023/24,Burnley,L. Assignon,180731,1,0,2024-04-02,2024-04-02,Red Card,Other,0
2023-2024,2023/24,Burnley,V. Kompany,621,1,0,2024-04-02,2024-04-02,Red Card,Other,0
2023-2024,2023/24,Burnley,D. O'Shea,17597,1,0,2024-04-13,2024-04-13,Red Card,Other,0
2023-2024,2023/24,Chelsea,A. Broja,138822,6,6,2023-08-13,2023-10-21,Knee Injury,Knee,69
2023-2024,2023/24,Chelsea,C. Nkunku,269,23,23,2023-08-13,2024-05-02,Knee Injury,Knee,263
2023-2024,2023/24,Chelsea,M. Bettinelli,19012,7,7,2023-08-13,2023-10-02,Injury,Generic injury,50
2023-2024,2023/24,Chelsea,T. Chalobah,19720,17,17,2023-08-13,2024-03-30,Thigh Injury,Thigh,229
2023-2024,2023/24,Chelsea,W. Fofana,22094,38,38,2023-08-13,2024-05-19,Knee Injury,Knee,279
2023-2024,2023/24,Chelsea,R. James,19545,27,24,2023-08-20,2024-05-19,Thigh Injury,Thigh,272
2023-2024,2023/24,Chelsea,B. Badiashile,95,4,4,2023-08-25,2024-03-02,Groin Injury,Groin,189
2023-2024,2023/24,Chelsea,C. Chukwuemeka,138935,22,22,2023-08-25,2024-05-11,Knee Injury,Knee,259
2023-2024,2023/24,Chelsea,M. Mudryk,63577,3,3,2023-08-25,2024-05-19,Injury,Generic injury,267
2023-2024,2023/24,Chelsea,R. Lavia,282125,26,26,2023-09-17,2024-05-19,Injury,Generic injury,245
2023-2024,2023/24,Chelsea,B. Chilwell,2933,17,17,2023-10-02,2024-05-11,Thigh Injury,Thigh,221
2023-2024,2023/24,Chelsea,M. Gusto,161907,7,5,2023-10-02,2024-05-02,Knee Injury,Knee,212
2023-2024,2023/24,Chelsea,N. Jackson,283058,3,0,2023-10-02,2024-01-31,Yellow Cards,Other,121
2023-2024,2023/24,Chelsea,E. Fernandez,5996,9,9,2023-10-28,2024-05-19,Groin Injury,Groin,204
2023-2024,2023/24,Chelsea,M. Cucurella,47380,9,8,2023-12-03,2024-02-17,Ankle Injury,Ankle,76
2023-2024,2023/24,Chelsea,C. Gallagher,67972,1,0,2023-12-06,2023-12-06,Red Card,Other,0
2023-2024,2023/24,Chelsea,L. Ugochukwu,270508,18,18,2023-12-06,2024-05-05,Thigh Injury,Thigh,150
2023-2024,2023/24,Chelsea,N. Madueke,136723,1,1,2023-12-06,2023-12-06,Injury,Generic injury,0
2023-2024,2023/24,Chelsea,R. Sanchez,18959,16,16,2023-12-16,2024-05-19,Knee Injury,Knee,155
2023-2024,2023/24,Chelsea,M. Caicedo,116117,1,1,2023-12-24,2023-12-24,Illness,Other,0
2023-2024,2023/24,Chelsea,C. Palmer,152982,1,0,2023-12-27,2023-12-27,Yellow Cards,Other,0
2023-2024,2023/24,Chelsea,R. Sterling,645,1,0,2023-12-27,2023-12-27,Yellow Cards,Other,0
2023-2024,2023/24,Chelsea,L. Colwill,152953,7,7,2024-01-31,2024-05-02,Injury,Generic injury,91
2023-2024,2023/24,Chelsea,T. Silva,259,2,2,2024-02-17,2024-05-02,Groin Injury,Groin,75
2023-2024,2023/24,Chelsea,A. Disasi,21998,1,1,2024-05-02,2024-05-02,Knock,Knock,0
2023-2024,2023/24,Crystal Palace,M. Olise,19617,15,15,2023-08-12,2024-03-09,Thigh Injury,Thigh,210
2023-2024,2023/24,Crystal Palace,Matheus Franca,311157,18,18,2023-08-12,2024-05-19,Muscle Injury,Muscle,281
2023-2024,2023/24,Crystal Palace,W. Hughes,18806,2,2,2023-08-21,2024-05-19,Knee Injury,Knee,271
2023-2024,2023/24,Crystal Palace,J. Lerma,2490,7,7,2023-09-16,2024-05-06,Thigh Injury,Thigh,233
2023-2024,2023/24,Crystal Palace,J. Tomkins,18844,7,7,2023-09-16,2023-11-11,Calf Injury,Calf,56
2023-2024,2023/24,Crystal Palace,D. Henderson,19088,10,10,2023-09-30,2023-12-09,Thigh Injury,Thigh,69
2023-2024,2023/24,Crystal Palace,N. Ferguson,127605,2,2,2023-09-30,2023-10-07,Thigh Injury,Thigh,7
2023-2024,2023/24,Crystal Palace,E. Eze,19586,8,8,2023-10-07,2024-02-19,Muscle Injury,Muscle,135
2023-2024,2023/24,Crystal Palace,N. Ahamada,152418,2,1,2023-10-07,2024-05-19,Ankle Injury,Ankle,224
2023-2024,2023/24,Crystal Palace,J. Rak-Sakyi,284449,16,16,2023-11-11,2024-04-02,Thigh Injury,Thigh,143
2023-2024,2023/24,Crystal Palace,C. Doucoure,3339,25,25,2023-12-03,2024-05-19,Achilles Tendon Injury,Generic injury,168
2023-2024,2023/24,Crystal Palace,R. Holding,1440,24,24,2023-12-03,2024-05-19,Ankle Injury,Ankle,168
2023-2024,2023/24,Crystal Palace,J. Ayew,3428,2,0,2023-12-16,2024-01-20,Red Card,Other,34
2023-2024,2023/24,Crystal Palace,O. Edouard,1135,3,3,2023-12-16,2023-12-27,Knee Injury,Knee,11
2023-2024,2023/24,Crystal Palace,S. Johnstone,19143,14,14,2023-12-16,2024-05-19,Elbow Injury,Generic injury,155
2023-2024,2023/24,Crystal Palace,J. Ward,18847,5,5,2023-12-21,2024-01-30,Thigh Injury,Thigh,40
2023-2024,2023/24,Crystal Palace,M. Guehi,67971,12,12,2024-02-12,2024-04-27,Knee Injury,Knee,74
2023-2024,2023/24,Crystal Palace,C. Richards,126949,2,2,2024-04-06,2024-04-14,Knee Injury,Knee,8
2023-2024,2023/24,Everton,D. Alli,172,38,38,2023-08-12,2024-05-19,Muscle Injury,Muscle,281
2023-2024,2023/24,Everton,D. McNeil,18929,3,3,2023-08-12,2023-08-26,Ankle Injury,Ankle,14
2023-2024,2023/24,Everton,S. Coleman,18758,9,9,2023-08-12,2024-04-27,Knee Injury,Knee,259
2023-2024,2023/24,Everton,J. Harrison,19128,3,3,2023-08-20,2024-05-19,Injury,Generic injury,273
2023-2024,2023/24,Everton,A. Iwobi,1455,1,1,2023-08-26,2023-08-26,Thigh Injury,Thigh,0
2023-2024,2023/24,Everton,D. Calvert-Lewin,18766,1,1,2023-08-26,2023-08-26,Head Injury,Generic injury,0
2023-2024,2023/24,Everton,A. Gomes,18765,10,10,2023-09-02,2024-02-10,Calf Injury,Calf,161
2023-2024,2023/24,Everton,A. Young,894,3,2,2023-10-29,2023-12-30,Injury,Generic injury,62
2023-2024,2023/24,Everton,I. Gueye,434410,5,2,2023-12-16,2024-01-30,Injury,Other,45
2023-2024,2023/24,Everton,J. Branthwaite,17661,1,0,2023-12-16,2023-12-16,Yellow Cards,Other,0
2023-2024,2023/24,Everton,A. Doucoure,18805,2,2,2023-12-23,2024-01-30,Thigh Injury,Thigh,38
2023-2024,2023/24,Everton,A. Danjuma,83,6,6,2024-02-19,2024-04-02,Ankle Injury,Ankle,42
2023-2024,2023/24,Everton,L. Dobbin,153425,7,7,2024-03-30,2024-04-27,Ankle Injury,Ankle,28
2023-2024,2023/24,Everton,N. Patterson,138417,6,6,2024-04-21,2024-05-19,Thigh Injury,Thigh,28
2023-2024,2023/24,Everton,Beto,125743,2,2,2024-04-24,2024-04-27,Head Injury,Generic injury,2
2023-2024,2023/24,Everton,V. Mykolenko,2165,3,3,2024-05-03,2024-05-19,Ankle Injury,Ankle,15
2023-2024,2023/24,Fulham,J. Palhinha,41104,3,1,2023-08-12,2024-02-24,Yellow Cards,Other,196
2023-2024,2023/24,Fulham,A. Mitrovic,2825,1,1,2023-08-19,2023-08-19,Ankle Injury,Ankle,0
2023-2024,2023/24,Fulham,S. Benda,19312,6,6,2023-09-02,2023-10-23,Knee Injury,Knee,51
2023-2024,2023/24,Fulham,S. Lukic,2823,3,3,2023-09-02,2024-05-19,Knee Injury,Knee,260
2023-2024,2023/24,Fulham,T. Adarabioyo,19145,6,6,2023-09-16,2023-10-29,Injury,Generic injury,43
2023-2024,2023/24,Fulham,A. Traore,18753,10,10,2023-10-02,2024-01-13,Thigh Injury,Thigh,102
2023-2024,2023/24,Fulham,I. Diop,18814,10,9,2023-10-23,2024-05-19,Foot Injury,Generic injury,208
2023-2024,2023/24,Fulham,K. Tete,657,2,2,2023-10-23,2024-02-10,Injury,Generic injury,109
2023-2024,2023/24,Fulham,Rodrigo Muniz,195106,4,4,2023-11-12,2023-12-06,Injury,Generic injury,24
2023-2024,2023/24,Fulham,R. Jimenez,2887,7,5,2023-12-23,2024-03-02,Thigh Injury,Thigh,70
2023-2024,2023/24,Fulham,T. Ream,19023,2,2,2023-12-23,2023-12-31,Calf Injury,Calf,7
2023-2024,2023/24,Fulham,A. Iwobi,1455,4,0,2024-01-13,2024-02-10,National selection,Other,28
2023-2024,2023/24,Fulham,C. Bassey,152967,4,0,2024-01-13,2024-02-10,National selection,Other,28
2023-2024,2023/24,Fulham,F. Ballo-Toure,105,2,0,2024-01-13,2024-01-30,National selection,Other,17
2023-2024,2023/24,Fulham,H. Wilson,19221,2,2,2024-01-30,2024-02-03,Injury,Generic injury,3
2023-2024,2023/24,Liverpool,C. Jones,293,12,9,2023-08-19,2024-03-14,Ankle Injury,Ankle,208
2023-2024,2023/24,Liverpool,Thiago,507,44,44,2023-08-19,2024-05-13,Hip Injury,Generic injury,268
2023-2024,2023/24,Liverpool,V. van Dijk,290,4,2,2023-09-03,2023-12-14,Red Card,Other,102
2023-2024,2023/24,Liverpool,T. Alexander-Arnold,283,12,12,2023-09-21,2024-04-07,Knee Injury,Knee,198
2023-2024,2023/24,Liverpool,S. Bajcetic,310187,32,32,2023-09-30,2024-04-07,Calf Injury,Calf,189
2023-2024,2023/24,Liverpool,C. Gakpo,247,2,2,2023-10-05,2024-04-24,Knee Injury,Knee,202
2023-2024,2023/24,Liverpool,C. Kelleher,281,2,2,2023-10-05,2023-10-08,Injury,Generic injury,2
2023-2024,2023/24,Liverpool,Diogo Jota,2678,19,18,2023-10-08,2024-05-05,Knee Injury,Knee,210
2023-2024,2023/24,Liverpool,A. Robertson,289,17,17,2023-10-21,2024-01-21,Shoulder Injury,Generic injury,92
2023-2024,2023/24,Liverpool,R. Gravenberch,542,5,5,2023-11-09,2024-03-14,Ankle Injury,Ankle,126
2023-2024,2023/24,Liverpool,A. Mac Allister,6716,6,5,2023-11-12,2023-12-26,Knee Injury,Knee,44
2023-2024,2023/24,Liverpool,Alisson,280,13,13,2023-11-30,2024-04-07,Muscle Injury,Muscle,128
2023-2024,2023/24,Liverpool,J. Matip,286,29,29,2023-12-06,2024-05-19,Knee Injury,Knee,164
2023-2024,2023/24,Liverpool,M. Salah,306,6,5,2023-12-14,2024-03-02,Thigh Injury,Thigh,78
2023-2024,2023/24,Liverpool,K. Tsimikas,1600,5,5,2023-12-26,2024-02-04,Collarbone injury,Generic injury,39
2023-2024,2023/24,Liverpool,W. Endo,8500,3,0,2024-01-21,2024-02-04,International duty,Other,14
2023-2024,2023/24,Liverpool,C. Bradley,180317,5,5,2024-02-10,2024-04-27,Ankle Injury,Ankle,76
2023-2024,2023/24,Liverpool,D. Szoboszlai,1096,2,2,2024-02-10,2024-02-17,Knee Injury,Knee,6
2023-2024,2023/24,Liverpool,I. Konate,1145,1,0,2024-02-10,2024-02-10,Red Card,Other,0
2023-2024,2023/24,Liverpool,B. Doak,343576,8,8,2024-04-11,2024-05-19,Knee Injury,Knee,37
2023-2024,2023/24,Luton,D. Potts,19756,31,31,2023-08-12,2024-05-19,Ankle Injury,Ankle,281
2023-2024,2023/24,Luton,G. Osho,20206,10,10,2023-08-12,2024-04-13,Knee Injury,Knee,245
2023-2024,2023/24,Luton,J. Clark,20189,9,9,2023-08-12,2023-10-21,Ankle Injury,Ankle,70
2023-2024,2023/24,Luton,R. Burke,19408,12,12,2023-08-12,2024-05-19,Injury,Generic injury,281
2023-2024,2023/24,Luton,A. S. Lokonga,1427,15,14,2023-09-30,2024-04-13,Thigh Injury,Thigh,196
2023-2024,2023/24,Luton,A. Bell,19466,14,14,2023-10-07,2024-05-19,Thigh Injury,Thigh,225
2023-2024,2023/24,Luton,M. Andersen,15632,25,25,2023-10-21,2024-05-19,Calf Injury,Calf,211
2023-2024,2023/24,Luton,L. Berry,19759,1,1,2023-11-05,2023-11-05,Calf Injury,Calf,0
2023-2024,2023/24,Luton,C. Woodrow,19808,1,1,2023-12-10,2023-12-10,Calf Injury,Calf,0
2023-2024,2023/24,Luton,I. Kabore,140947,8,5,2023-12-10,2024-05-19,Ankle Injury,Ankle,161
2023-2024,2023/24,Luton,T. Lockyer,20203,22,22,2023-12-23,2024-05-19,Heart Problems,Other,148
2023-2024,2023/24,Luton,M. Nakamba,76,20,20,2023-12-30,2024-05-19,Knee Injury,Knee,141
2023-2024,2023/24,Luton,E. Adebayo,17641,8,8,2024-02-21,2024-04-20,Thigh Injury,Thigh,58
