Season,Season_Label,Team,Player,Player_ID,Reason,Injury_Category,First_Missed_Fixture,Last_Missed_Fixture,Matches_Missed,Reported_Days_Out
2023-2024,2023/24,Aston Villa,B. Traore,671,Muscle Injury,Muscle,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Aston Villa,B. Traore,671,Injury,Generic injury,2023-09-16,2023-09-16,1,0
2023-2024,2023/24,Aston Villa,B. Traore,671,Injury,Generic injury,2023-09-24,2023-09-24,1,0
2023-2024,2023/24,Aston Villa,B. Traore,671,Muscle Injury,Muscle,2023-11-26,2024-04-04,10,65
2023-2024,2023/24,Aston Villa,E. Buendia,19071,Knee Injury,Knee,2023-08-12,2025-02-23,38,280
2023-2024,2023/24,Aston Villa,J. Duran,13489,Injury,Generic injury,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Aston Villa,J. Duran,13489,Toe Injury,Generic injury,2023-11-05,2023-11-05,1,0
2023-2024,2023/24,Aston Villa,J. Duran,13489,Injury,Generic injury,2024-01-30,2024-04-02,6,31
2023-2024,2023/24,Aston Villa,J. Ramsey,19192,Foot Injury,Generic injury,2023-08-12,2023-09-16,5,21
2023-2024,2023/24,Aston Villa,J. Ramsey,19192,Injury,Generic injury,2023-10-08,2023-12-17,5,35
2023-2024,2023/24,Aston Villa,J. Ramsey,19192,Ankle Injury,Ankle,2024-03-10,2024-03-17,2,0
2023-2024,2023/24,Aston Villa,J. Ramsey,19192,Ankle Injury,Ankle,2024-03-30,2024-07-01,9,43
2023-2024,2023/24,Aston Villa,K. Hause,19177,Knee Injury,Knee,2023-08-12,2024-02-11,12,91
2023-2024,2023/24,Aston Villa,L. Dendoncker,2922,Muscle Injury,Muscle,2023-08-12,2023-09-10,3,14
2023-2024,2023/24,Aston Villa,T. Iroegbunam,284500,Surgery,Other,2023-08-12,2023-09-30,7,42
2023-2024,2023/24,Aston Villa,T. Iroegbunam,284500,Surgery,Other,2023-10-08,2023-10-08,1,0
2023-2024,2023/24,Aston Villa,T. Mings,19179,Knee Injury,Knee,2023-08-20,2025-02-16,37,273
2023-2024,2023/24,Aston Villa,Coutinho,147,Hamstring Injury,Hamstring,2023-08-27,2023-09-10,2,7
2023-2024,2023/24,Aston Villa,Diego Carlos,21090,Injury,Generic injury,2023-09-16,2023-10-01,2,7
2023-2024,2023/24,Aston Villa,Diego Carlos,21090,Injury,Generic injury,2023-11-12,2023-11-12,1,0
2023-2024,2023/24,Aston Villa,Diego Carlos,21090,Muscle Injury,Muscle,2024-02-17,2024-03-16,3,14
2023-2024,2023/24,Aston Villa,L. Bailey,983,Thigh Injury,Thigh,2023-09-30,2023-09-30,1,0
2023-2024,2023/24,Aston Villa,N. Zaniolo,786,Injury,Generic injury,2023-11-26,2023-11-26,1,0
2023-2024,2023/24,Aston Villa,N. Zaniolo,786,Injury,Generic injury,2024-02-03,2024-02-03,1,0
2023-2024,2023/24,Aston Villa,N. Zaniolo,786,Muscle Injury,Muscle,2024-04-21,2024-06-16,3,28
2023-2024,2023/24,Aston Villa,B. Kamara,1904,Yellow Cards,Other,2023-12-03,2024-11-03,18,168
2023-2024,2023/24,Aston Villa,Douglas Luiz,47522,Yellow Cards,Other,2023-12-17,2024-08-25,3,126
2023-2024,2023/24,Aston Villa,L. Digne,2724,Yellow Cards,Other,2023-12-17,2024-01-14,3,13
2023-2024,2023/24,Aston Villa,L. Digne,2724,Thigh Injury,Thigh,2024-01-30,2024-02-03,2,0
2023-2024,2023/24,Aston Villa,Y. Tielemans,2926,Knock,Knock,2023-12-17,2024-01-02,4,3
2023-2024,2023/24,Aston Villa,Y. Tielemans,2926,Injury,Generic injury,2024-05-05,2024-05-05,1,0
2023-2024,2023/24,Aston Villa,Y. Tielemans,2926,Muscle Injury,Muscle,2024-05-19,2024-05-19,1,0
2023-2024,2023/24,Aston Villa,P. Torres,46815,Injury,Generic injury,2023-12-22,2023-12-22,1,0
2023-2024,2023/24,Aston Villa,P. Torres,46815,Ankle Injury,Ankle,2024-01-14,2024-01-14,1,0
2023-2024,2023/24,Aston Villa,P. Torres,46815,Ankle Injury,Ankle,2024-01-30,2024-02-03,2,0
2023-2024,2023/24,Aston Villa,R. Olsen,766,Knock,Knock,2023-12-22,2024-01-06,3,7
2023-2024,2023/24,Aston Villa,R. Olsen,766,Knock,Knock,2024-01-14,2024-01-14,1,0
2023-2024,2023/24,Aston Villa,M. Cash,19298,Yellow Cards,Other,2023-12-26,2024-10-10,5,144
2023-2024,2023/24,Aston Villa,J. Gauci,7029,International duty,Other,2024-02-03,2024-02-03,1,0
2023-2024,2023/24,Aston Villa,E. Konsa,19354,Knee Injury,Knee,2024-02-11,2024-03-07,3,12
2023-2024,2023/24,Aston Villa,J. McGinn,19191,Red Card,Other,2024-03-17,2024-03-17,1,0
2023-2024,2023/24,Aston Villa,O. Watkins,19366,Thigh Injury,Thigh,2024-04-03,2024-04-03,1,0
2023-2024,2023/24,Aston Villa,E. Martinez,19599,Thigh Injury,Thigh,2024-05-05,2024-05-05,1,0
2023-2024,2023/24,Aston Villa,M. Rogers,19170,Thigh Injury,Thigh,2024-05-13,2024-05-24,2,5
2023-2024,2023/24,Bournemouth,A. Scott,304853,Knee Injury,Knee,2023-08-12,2024-04-06,13,119
2023-2024,2023/24,Bournemouth,A. Smith,18869,Muscle Injury,Muscle,2023-08-12,2023-08-26,3,0
2023-2024,2023/24,Bournemouth,A. Smith,18869,Injury,Generic injury,2024-01-21,2024-01-21,1,0
2023-2024,2023/24,Bournemouth,L. Kelly,19263,Injury,Generic injury,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Bournemouth,L. Kelly,19263,Calf Injury,Calf,2023-09-30,2024-03-17,11,92
2023-2024,2023/24,Bournemouth,M. Tavernier,19245,Thigh Injury,Thigh,2023-08-12,2025-01-24,8,265
2023-2024,2023/24,Bournemouth,R. Fredericks,18815,Calf Injury,Calf,2023-08-12,2025-02-24,38,281
2023-2024,2023/24,Bournemouth,L. Cook,18872,Hip Injury,Generic injury,2023-08-19,2023-08-19,1,0
2023-2024,2023/24,Bournemouth,L. Cook,18872,Red Card,Other,2023-10-28,2023-11-11,2,7
2023-2024,2023/24,Bournemouth,L. Cook,18872,Groin Injury,Groin,2023-12-26,2023-12-26,1,0
2023-2024,2023/24,Bournemouth,E. Marcondes,19356,Ankle Injury,Ankle,2023-08-26,2024-05-06,17,127
2023-2024,2023/24,Bournemouth,T. Adams,1150,Thigh Injury,Thigh,2023-08-26,2023-09-09,2,7
2023-2024,2023/24,Bournemouth,T. Adams,1150,Thigh Injury,Thigh,2023-09-17,2024-04-13,22,161
2023-2024,2023/24,Bournemouth,T. Adams,1150,Injury,Generic injury,2024-04-21,2024-05-04,4,0
2023-2024,2023/24,Bournemouth,C. Mepham,18866,Muscle Injury,Muscle,2023-09-30,2023-10-14,2,7
2023-2024,2023/24,Bournemouth,C. Mepham,18866,Illness,Other,2024-04-06,2024-04-13,2,0
2023-2024,2023/24,Bournemouth,C. Mepham,18866,Illness,Other,2024-04-21,2024-05-19,6,16
2023-2024,2023/24,Bournemouth,Neto,912,Ankle Injury,Ankle,2023-10-28,2023-11-11,2,7
2023-2024,2023/24,Bournemouth,D. Randolph,19229,Illness,Other,2023-11-04,2024-03-22,13,49
2023-2024,2023/24,Bournemouth,M. Aarons,19070,Thigh Injury,Thigh,2023-11-25,2024-06-30,13,109
2023-2024,2023/24,Bournemouth,H. J. Traore,31057,Illness,Other,2023-12-09,2024-01-21,4,21
2023-2024,2023/24,Bournemouth,M. Kerkez,206254,Ankle Injury,Ankle,2023-12-23,2023-12-31,3,0
2023-2024,2023/24,Bournemouth,M. Kerkez,206254,Ankle Injury,Ankle,2024-01-21,2024-01-21,1,0
2023-2024,2023/24,Bournemouth,M. Kerkez,206254,Red Card,Other,2024-04-28,2024-05-24,3,13
2023-2024,2023/24,Bournemouth,A. Semenyo,19281,National selection,Other,2024-01-21,2024-01-21,1,0
2023-2024,2023/24,Bournemouth,A. Semenyo,19281,Injury,Generic injury,2024-04-13,2024-04-13,1,0
2023-2024,2023/24,Bournemouth,D. Ouattara,284797,National selection,Other,2024-01-21,2024-02-12,2,11
2023-2024,2023/24,Bournemouth,M. Senesi,6610,Yellow Cards,Other,2024-01-21,2024-04-02,5,52
2023-2024,2023/24,Bournemouth,J. Hill,20093,Ankle Injury,Ankle,2024-02-01,2024-04-14,7,36
2023-2024,2023/24,Bournemouth,E. Unal,47499,Inactive,Other,2024-02-04,2024-02-04,1,0
2023-2024,2023/24,Bournemouth,P. Billing,2734,Red Card,Other,2024-02-10,2024-02-10,1,0
2023-2024,2023/24,Bournemouth,R. Faivre,84082,Illness,Other,2024-02-17,2024-02-17,1,0
2023-2024,2023/24,Bournemouth,R. Faivre,84082,Injury,Generic injury,2024-04-24,2024-05-01,2,3
2023-2024,2023/24,Bournemouth,L. Sinisterra,37161,Thigh Injury,Thigh,2024-03-30,2024-07-08,9,50
2023-2024,2023/24,Brentford,F. Onyeka,15799,Thigh Injury,Thigh,2023-08-13,2023-08-13,1,0
2023-2024,2023/24,Brentford,F. Onyeka,15799,Yellow Cards,Other,2023-12-27,2024-03-25,5,44
2023-2024,2023/24,Brentford,I. Toney,19974,Suspended,Other,2023-08-13,2024-05-17,19,139
2023-2024,2023/24,Brentford,B. Mee,18917,Muscle Injury,Muscle,2023-08-19,2023-08-26,2,0
2023-2024,2023/24,Brentford,B. Mee,18917,Knock,Knock,2023-10-01,2023-10-07,2,0
2023-2024,2023/24,Brentford,B. Mee,18917,Red Card,Other,2023-12-27,2024-10-09,14,143
2023-2024,2023/24,Brentford,J. Dasilva,19362,Thigh Injury,Thigh,2023-08-26,2023-12-09,14,78
2023-2024,2023/24,Brentford,J. Dasilva,19362,Thigh Injury,Thigh,2023-12-17,2024-10-20,19,154
2023-2024,2023/24,Brentford,S. Baptiste,20110,Shoulder Injury,Generic injury,2023-08-26,2023-11-04,9,56
2023-2024,2023/24,Brentford,S. Baptiste,20110,Foot Injury,Generic injury,2023-12-30,2023-12-30,1,0
2023-2024,2023/24,Brentford,M. Damsgaard,15908,Knock,Knock,2023-09-02,2023-09-02,1,0
2023-2024,2023/24,Brentford,M. Damsgaard,15908,Knock,Knock,2023-09-16,2023-09-23,2,0
2023-2024,2023/24,Brentford,M. Damsgaard,15908,Knock,Knock,2023-10-01,2023-12-02,8,42
2023-2024,2023/24,Brentford,N. Maupay,19364,Loan agreement,Other,2023-09-23,2024-11-30,2,217
2023-2024,2023/24,Brentford,R. Henry,19346,Knee Injury,Knee,2023-09-23,2025-01-12,33,238
2023-2024,2023/24,Brentford,K. Schade,178077,Hip Injury,Generic injury,2023-10-01,2024-04-06,26,185
2023-2024,2023/24,Brentford,A. Hickey,44871,Yellow Cards,Other,2023-10-21,2024-12-16,28,211
2023-2024,2023/24,Brentford,K. Lewis-Potter,106725,Calf Injury,Calf,2023-10-21,2023-11-04,3,0
2023-2024,2023/24,Brentford,K. Lewis-Potter,106725,Calf Injury,Calf,2023-11-12,2023-11-12,1,0
2023-2024,2023/24,Brentford,N. Collins,19495,Ankle Injury,Ankle,2023-11-25,2023-12-22,4,13
2023-2024,2023/24,Brentford,N. Collins,19495,Injury,Generic injury,2024-05-19,2024-05-19,1,0
2023-2024,2023/24,Brentford,M. Jensen,47438,Knock,Knock,2023-12-02,2023-12-09,3,0
2023-2024,2023/24,Brentford,M. Jensen,47438,Knock,Knock,2023-12-17,2023-12-17,1,0
2023-2024,2023/24,Brentford,C. Norgaard,30407,Yellow Cards,Other,2023-12-06,2024-04-13,7,100
2023-2024,2023/24,Brentford,K. Ajer,1119,Ankle Injury,Ankle,2023-12-06,2024-01-22,5,23
2023-2024,2023/24,Brentford,B. Mbeumo,20589,Ankle Injury,Ankle,2023-12-09,2024-06-08,13,91
2023-2024,2023/24,Brentford,S. Ghoddos,2699,National selection,Other,2024-01-20,2024-02-21,3,16
2023-2024,2023/24,Brentford,Y. Wissa,20649,National selection,Other,2024-01-20,2024-03-01,4,20
2023-2024,2023/24,Brentford,S. Reguilon,739,Loan agreement,Other,2024-01-31,2024-05-28,2,59
2023-2024,2023/24,Brentford,E. Pinnock,19789,Ankle Injury,Ankle,2024-02-20,2024-04-06,8,24
2023-2024,2023/24,Brighton,A. Lallana,295,Lacking Match Fitness,Other,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Brighton,A. Lallana,295,Injury,Generic injury,2023-09-30,2023-09-30,1,0
2023-2024,2023/24,Brighton,A. Lallana,295,Injury,Generic injury,2024-05-05,2024-05-05,1,0
2023-2024,2023/24,Brighton,A. Webster,19265,Knock,Knock,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Brighton,A. Webster,19265,Knock,Knock,2023-11-25,2024-08-04,11,113
2023-2024,2023/24,Brighton,J. Moder,40911,Knee Injury,Knee,2023-08-12,2024-01-09,12,75
2023-2024,2023/24,Brighton,M. Caicedo,116117,Thigh Injury,Thigh,2023-08-12,2023-08-12,1,0
2023-2024,2023/24,Brighton,J. Enciso,70747,Knee Injury,Knee,2023-08-26,2024-11-29,30,230
2023-2024,2023/24,Brighton,D. Welbeck,1469,Muscle Injury,Muscle,2023-09-02,2023-09-02,1,0
2023-2024,2023/24,Brighton,D. Welbeck,1469,Muscle Injury,Muscle,2023-10-26,2024-02-01,11,49
2023-2024,2023/24,Brighton,J. Milner,296,Muscle Injury,Muscle,2023-09-24,2023-09-24,1,0
2023-2024,2023/24,Brighton,J. Milner,296,Muscle Injury,Muscle,2023-10-08,2023-10-08,1,0
2023-2024,2023/24,Brighton,J. Milner,296,Injury,Generic injury,2023-11-12,2024-07-03,20,123
2023-2024,2023/24,Brighton,P. Gross,18970,Muscle Injury,Muscle,2023-09-24,2023-09-30,2,0
2023-2024,2023/24,Brighton,P. Estupinan,46731,Injury,Generic injury,2023-10-08,2023-11-04,5,21
2023-2024,2023/24,Brighton,P. Estupinan,46731,Injury,Generic injury,2023-11-12,2024-11-24,15,189
2023-2024,2023/24,Brighton,T. Lamptey,138815,Injury,Generic injury,2023-10-08,2023-10-08,1,0
2023-2024,2023/24,Brighton,T. Lamptey,138815,Injury,Generic injury,2023-10-21,2024-11-12,17,191
2023-2024,2023/24,Brighton,S. March,18973,Knee Injury,Knee,2023-10-26,2024-12-10,35,205
2023-2024,2023/24,Brighton,L. Dunk,18963,Groin Injury,Groin,2023-11-12,2024-11-24,5,189
2023-2024,2023/24,Brighton,Igor,7600,Ankle Injury,Ankle,2023-11-25,2023-11-25,1,0
2023-2024,2023/24,Brighton,Igor,7600,Knock,Knock,2024-01-02,2024-01-02,1,0
2023-2024,2023/24,Brighton,K. Mitoma,106835,Injury,Generic injury,2023-11-25,2024-08-05,21,78
2023-2024,2023/24,Brighton,M. Dahoud,14,Red Card,Other,2023-11-25,2023-12-17,3,11
2023-2024,2023/24,Brighton,A. Fati,135775,Calf Injury,Calf,2023-11-30,2024-03-31,11,61
2023-2024,2023/24,Brighton,J. P. van Hecke,38695,Yellow Cards,Other,2023-11-30,2024-11-05,6,170
2023-2024,2023/24,Brighton,J. Veltman,537,Knee Injury,Knee,2023-12-21,2024-03-17,6,43
2023-2024,2023/24,Brighton,J. Veltman,537,Knock,Knock,2024-05-15,2024-05-19,2,0
2023-2024,2023/24,Brighton,S. Adingra,301771,Thigh Injury,Thigh,2024-01-02,2024-03-19,5,38
2023-2024,2023/24,Brighton,Joao Pedro,10329,Thigh Injury,Thigh,2024-02-10,2024-03-31,8,33
2023-2024,2023/24,Brighton,Joao Pedro,10329,Ankle Injury,Ankle,2024-05-11,2024-05-11,1,0
2023-2024,2023/24,Brighton,J. Hinshelwood,305730,Ankle Injury,Ankle,2024-02-18,2024-08-18,16,91
2023-2024,2023/24,Brighton,B. Gilmour,130423,Knee Injury,Knee,2024-04-03,2024-05-17,4,22
2023-2024,2023/24,Brighton,E. Ferguson,129643,Ankle Injury,Ankle,2024-04-06,2024-06-24,8,36
2023-2024,2023/24,Burnley,M. Obafemi,18957,Thigh Injury,Thigh,2023-08-11,2023-11-04,11,70
2023-2024,2023/24,Burnley,D. Churlinov,105789,Injury,Generic injury,2023-08-27,2023-11-09,6,37
2023-2024,2023/24,Burnley,J. Beyer,25628,Thigh Injury,Thigh,2023-08-27,2023-08-27,1,0
2023-2024,2023/24,Burnley,J. Beyer,25628,Knock,Knock,2023-10-21,2024-03-16,11,83
2023-2024,2023/24,Burnley,J. Beyer,25628,Thigh Injury,Thigh,2024-03-30,2024-06-24,9,36
2023-2024,2023/24,Burnley,A. Ramsey,278079,Knock,Knock,2023-09-02,2023-09-02,1,0
2023-2024,2023/24,Burnley,A. Ramsey,278079,Injury,Generic injury,2023-11-04,2023-11-04,1,0
2023-2024,2023/24,Burnley,A. Ramsey,278079,Knee Injury,Knee,2023-12-16,2024-10-14,15,148
2023-2024,2023/24,Burnley,A. Zaroury,129169,Red Card,Other,2023-09-02,2023-09-02,1,0
2023-2024,2023/24,Burnley,H. Ekdal,47903,Knee Injury,Knee,2023-09-02,2024-02-24,10,56
2023-2024,2023/24,Burnley,Vitinho,8661,Knee Injury,Knee,2023-09-02,2023-09-02,1,0
2023-2024,2023/24,Burnley,Vitinho,8661,Knee Injury,Knee,2023-09-23,2023-09-23,1,0
2023-2024,2023/24,Burnley,L. Foster,98936,Red Card,Other,2023-09-23,2024-07-07,13,119
2023-2024,2023/24,Burnley,B. Manuel Hedilazio,8589,Ankle Injury,Ankle,2023-09-30,2023-11-04,6,7
2023-2024,2023/24,Burnley,J. B. Gudmundsson,2790,Muscle Injury,Muscle,2023-09-30,2023-10-10,3,3
2023-2024,2023/24,Burnley,J. B. Gudmundsson,2790,Muscle Injury,Muscle,2023-10-21,2023-10-21,1,0
2023-2024,2023/24,Burnley,J. B. Gudmundsson,2790,Injury,Generic injury,2023-12-23,2023-12-23,1,0
2023-2024,2023/24,Burnley,N. Redmond,18948,Injury,Generic injury,2023-09-30,2025-01-06,20,232
2023-2024,2023/24,Burnley,C. Roberts,19331,Red Card,Other,2023-10-28,2023-10-28,1,0
2023-2024,2023/24,Burnley,J. Cullen,19827,Yellow Cards,Other,2023-11-04,2023-11-04,1,0
2023-2024,2023/24,Burnley,J. Cullen,19827,Knock,Knock,2023-12-05,2023-12-09,2,0
2023-2024,2023/24,Burnley,A. Al Dakhil,323449,Knock,Knock,2023-11-11,2023-11-11,1,0
2023-2024,2023/24,Burnley,A. Al Dakhil,323449,Knock,Knock,2023-11-25,2023-11-25,1,0
2023-2024,2023/24,Burnley,A. Al Dakhil,323449,Injury,Generic injury,2024-03-16,2024-03-16,1,0
2023-2024,2023/24,Burnley,A. Al Dakhil,323449,Injury,Generic injury,2024-03-30,2024-06-24,9,36
2023-2024,2023/24,Burnley,A. Muric,616,Illness,Other,2023-11-25,2023-12-02,2,0
2023-2024,2023/24,Burnley,J. Cork,18922,Injury,Generic injury,2023-11-25,2023-12-30,8,3
2023-2024,2023/24,Burnley,L. Koleosho,359603,Knee Injury,Knee,2023-12-09,2024-05-11,22,139
2023-2024,2023/24,Burnley,L. Koleosho,359603,Knee Injury,Knee,2024-05-19,2024-05-19,1,0
2023-2024,2023/24,Burnley,C. Taylor,18918,Yellow Cards,Other,2023-12-16,2024-02-10,5,46
2023-2024,2023/24,Burnley,S. Berge,1934,Red Card,Other,2024-01-12,2024-01-12,1,0
2023-2024,2023/24,Burnley,H. Delcroix,1411,Knock,Knock,2024-02-03,2024-02-03,1,0
2023-2024,2023/24,Burnley,J. Brownhill,19268,Red Card,Other,2024-03-03,2024-03-03,1,0
2023-2024,2023/24,Burnley,D. D. Fofana,291476,Loan agreement,Other,2024-03-30,2024-03-30,1,0
2023-2024,2023/24,Burnley,L. Assignon,180731,Red Card,Other,2024-04-02,2024-04-02,1,0
2023-2024,2023/24,Burnley,V. Kompany,621,Red Card,Other,2024-04-02,2024-04-02,1,0
2023-2024,2023/24,Burnley,D. O'Shea,17597,Red Card,Other,2024-04-13,2024-04-13,1,0
2023-2024,2023/24,Chelsea,A. Broja,138822,Knee Injury,Knee,2023-08-13,2023-12-29,6,69
2023-2024,2023/24,Chelsea,C. Nkunku,269,Knee Injury,Knee,2023-08-13,2025-01-20,23,263
2023-2024,2023/24,Chelsea,M. Bettinelli,19012,Injury,Generic injury,2023-08-13,2023-11-21,7,50
2023-2024,2023/24,Chelsea,T. Chalobah,19720,Injury,Generic injury,2023-08-13,2024-11-14,17,229
2023-2024,2023/24,Chelsea,W. Fofana,22094,Leg Injury,Generic injury,2023-08-13,2025-02-22,38,279
2023-2024,2023/24,Chelsea,R. James,19545,Hamstring Injury,Hamstring,2023-08-20,2025-02-15,27,272
2023-2024,2023/24,Chelsea,B. Badiashile,95,Groin Injury,Groin,2023-08-25,2024-09-07,4,189
2023-2024,2023/24,Chelsea,C. Chukwuemeka,138935,Knee Injury,Knee,2023-08-25,2025-01-25,22,259
2023-2024,2023/24,Chelsea,M. Mudryk,63577,Injury,Generic injury,2023-08-25,2025-02-10,3,267
2023-2024,2023/24,Chelsea,R. Lavia,282125,Ankle Injury,Ankle,2023-09-17,2025-01-19,26,245
2023-2024,2023/24,Chelsea,B. Chilwell,2933,Thigh Injury,Thigh,2023-10-02,2024-12-18,17,221
2023-2024,2023/24,Chelsea,M. Gusto,161907,Red Card,Other,2023-10-02,2024-11-30,7,212
2023-2024,2023/24,Chelsea,N. Jackson,283058,Yellow Cards,Other,2023-10-02,2024-05-31,3,121
2023-2024,2023/24,Chelsea,E. Fernandez,5996,Rest,Other,2023-10-28,2024-12-09,9,204
2023-2024,2023/24,Chelsea,M. Cucurella,47380,Yellow Cards,Other,2023-12-03,2024-05-03,9,76
2023-2024,2023/24,Chelsea,C. Gallagher,67972,Red Card,Other,2023-12-06,2023-12-06,1,0
2023-2024,2023/24,Chelsea,L. Ugochukwu,270508,Injury,Generic injury,2023-12-06,2024-10-02,18,150
2023-2024,2023/24,Chelsea,N. Madueke,136723,Injury,Generic injury,2023-12-06,2023-12-06,1,0
2023-2024,2023/24,Chelsea,R. Sanchez,18959,Knee Injury,Knee,2023-12-16,2024-10-21,16,155
2023-2024,2023/24,Chelsea,M. Caicedo,116117,Illness,Other,2023-12-24,2023-12-24,1,0
2023-2024,2023/24,Chelsea,C. Palmer,152982,Yellow Cards,Other,2023-12-27,2023-12-27,1,0
2023-2024,2023/24,Chelsea,R. Sterling,645,Yellow Cards,Other,2023-12-27,2023-12-27,1,0
2023-2024,2023/24,Chelsea,L. Colwill,152953,Injury,Generic injury,2024-01-31,2024-08-01,7,91
2023-2024,2023/24,Chelsea,T. Silva,259,Groin Injury,Groin,2024-02-17,2024-07-16,2,75
2023-2024,2023/24,Chelsea,A. Disasi,21998,Knock,Knock,2024-05-02,2024-05-02,1,0
2023-2024,2023/24,Crystal Palace,M. Olise,19617,Thigh Injury,Thigh,2023-08-12,2024-10-05,15,210
2023-2024,2023/24,Crystal Palace,Matheus Franca,311157,Injury,Generic injury,2023-08-12,2025-02-24,18,281
2023-2024,2023/24,Crystal Palace,W. Hughes,18806,Knee Injury,Knee,2023-08-21,2025-02-14,2,271
2023-2024,2023/24,Crystal Palace,J. Lerma,2490,Thigh Injury,Thigh,2023-09-16,2024-12-25,7,233
2023-2024,2023/24,Crystal Palace,J. Tomkins,18844,Calf Injury,Calf,2023-09-16,2024-01-06,7,56
2023-2024,2023/24,Crystal Palace,D. Henderson,19088,Thigh Injury,Thigh,2023-09-30,2024-02-16,10,69
2023-2024,2023/24,Crystal Palace,N. Ferguson,127605,Thigh Injury,Thigh,2023-09-30,2023-10-14,2,7
2023-2024,2023/24,Crystal Palace,E. Eze,19586,Muscle Injury,Muscle,2023-10-07,2024-07-03,8,135
2023-2024,2023/24,Crystal Palace,N. Ahamada,152418,Ankle Injury,Ankle,2023-10-07,2024-12-29,2,224
2023-2024,2023/24,Crystal Palace,J. Rak-Sakyi,284449,Thigh Injury,Thigh,2023-11-11,2024-08-23,16,143
2023-2024,2023/24,Crystal Palace,C. Doucoure,3339,Achilles Tendon Injury,Generic injury,2023-12-03,2024-11-03,25,168
2023-2024,2023/24,Crystal Palace,R. Holding,1440,Ankle Injury,Ankle,2023-12-03,2024-11-03,24,168
2023-2024,2023/24,Crystal Palace,J. Ayew,3428,Red Card,Other,2023-12-16,2024-02-23,2,34
2023-2024,2023/24,Crystal Palace,O. Edouard,1135,Knee Injury,Knee,2023-12-16,2024-01-07,3,11
2023-2024,2023/24,Crystal Palace,S. Johnstone,19143,Calf Injury,Calf,2023-12-16,2024-10-21,14,155
2023-2024,2023/24,Crystal Palace,J. Ward,18847,Thigh Injury,Thigh,2023-12-21,2024-03-10,5,40
2023-2024,2023/24,Crystal Palace,M. Guehi,67971,Knee Injury,Knee,2024-02-12,2024-07-10,12,74
2023-2024,2023/24,Crystal Palace,C. Richards,126949,Knee Injury,Knee,2024-04-06,2024-04-22,2,8
2023-2024,2023/24,Everton,D. Alli,172,Muscle Injury,Muscle,2023-08-12,2025-02-24,38,281
2023-2024,2023/24,Everton,D. McNeil,18929,Ankle Injury,Ankle,2023-08-12,2023-09-09,3,14
2023-2024,2023/24,Everton,S. Coleman,18758,Knee Injury,Knee,2023-08-12,2025-01-11,9,259
2023-2024,2023/24,Everton,J. Harrison,19128,Injury,Generic injury,2023-08-20,2025-02-16,3,273
2023-2024,2023/24,Everton,A. Iwobi,1455,Thigh Injury,Thigh,2023-08-26,2023-08-26,1,0
2023-2024,2023/24,Everton,D. Calvert-Lewin,18766,Head Injury,Generic injury,2023-08-26,2023-08-26,1,0
