team,appearances,minutesPlayed,saves,goalsConceded,rating
Inter,12,910,0,6,7.13
FC Bayern München,11,785,0,9,7.13
Milan,5,343,0,4,7.12
Benfica,7,500,0,7,7.11
Bologna,7,530,0,8,7.11
Atalanta,8,618,0,8,7.11
Lille,10,900,0,13,7.11
Borussia Dortmund,12,747,0,14,7.1
Shakhtar Donetsk,2,162,0,2,7.1
SK Sturm Graz,5,450,0,6,7.08
Stade Brestois,4,256,0,5,7.08
Liverpool FC,8,551,0,4,7.08
Manchester City,8,646,0,12,7.08
Girona FC,6,540,0,10,7.07
VfB Stuttgart,8,705,0,17,7.06
Manchester City,10,814,0,20,7.06
Sporting CP,7,488,0,8,7.06
Bayer 04 Leverkusen,9,774,0,11,7.06
Juventus,9,801,0,9,7.06
Bayer 04 Leverkusen,9,669,0,7,7.06
Paris Saint-Germain,17,1542,0,15,7.05
Arsenal,8,430,0,5,7.05
GNK Dinamo Zagreb,6,540,0,10,7.05
FC Bayern München,13,1074,0,15,7.04
AS Monaco,9,781,0,13,7.03
Borussia Dortmund,12,940,0,16,7.03
Bologna,4,236,0,1,7.03
Manchester City,4,286,0,3,7.03
FC Bayern München,6,301,0,5,7.02
Benfica,10,900,0,16,7.02
Sporting CP,5,221,0,2,7.02
Aston Villa,11,990,0,12,7.02
FC Barcelona,13,1106,0,19,7.02
Atlético Madrid,8,750,0,12,7.01
Stade Brestois,8,720,0,14,7.01
Atalanta,9,678,0,10,7.01
Club Brugge KV,12,1079,0,19,7.01
Atalanta,9,639,0,8,7.0
Girona FC,5,389,0,6,7.0
Milan,1,27,0,1,7.0
Bologna,8,647,0,7,6.99
VfB Stuttgart,7,622,0,12,6.99
Arsenal,13,852,0,7,6.98
Bologna,5,371,0,6,6.98
Manchester City,9,639,0,16,6.98
Inter,14,1077,0,15,6.97
Bayer 04 Leverkusen,10,900,0,12,6.97
FC Bayern München,6,422,0,5,6.97
Club Brugge KV,12,1080,0,19,6.97
FC Bayern München,3,102,0,1,6.97
Celtic,6,370,0,11,6.96
Inter,9,770,0,15,6.96
Aston Villa,6,485,0,3,6.95
Lille,9,623,0,10,6.94
Stade Brestois,9,810,0,21,6.94
PSV Eindhoven,10,829,0,11,6.94
Celtic,7,609,0,6,6.93
Arsenal,11,990,0,7,6.93
Aston Villa,9,678,0,7,6.92
Arsenal,10,566,0,5,6.92
Aston Villa,10,384,0,2,6.92
Arsenal,6,193,0,2,6.92
Girona FC,6,435,0,6,6.92
Red Bull Salzburg,7,630,0,26,6.91
VfB Stuttgart,8,646,0,16,6.91
Juventus,8,646,0,5,6.91
FC Bayern München,9,527,0,12,6.91
GNK Dinamo Zagreb,3,225,0,7,6.9
Bayer 04 Leverkusen,10,796,0,10,6.9
Paris Saint-Germain,1,18,0,0,6.9
Juventus,2,102,0,1,6.9
Atlético Madrid,2,112,0,1,6.9
Bayer 04 Leverkusen,2,128,0,3,6.9
Celtic,3,66,0,0,6.9
Milan,6,411,0,4,6.9
Real Madrid,4,282,0,7,6.9
Juventus,2,210,0,4,6.9
Feyenoord,3,244,0,3,6.9
Shakhtar Donetsk,3,210,0,3,6.9
AS Monaco,10,855,0,16,6.89
Celtic,10,818,0,16,6.89
FC Barcelona,8,446,0,11,6.89
Girona FC,7,630,0,11,6.89
Real Madrid,13,1188,0,19,6.88
Feyenoord,12,1080,0,26,6.88
Liverpool FC,4,124,0,0,6.88
Milan,4,282,0,4,6.88
Borussia Dortmund,5,282,0,6,6.88
Bayer 04 Leverkusen,7,277,0,4,6.87
Atalanta,6,300,0,4,6.87
RB Leipzig,8,720,0,15,6.86
Milan,10,861,0,12,6.86
VfB Stuttgart,7,545,0,13,6.86
Sporting CP,8,568,0,6,6.85
Red Bull Salzburg,4,152,0,6,6.85
Atlético Madrid,6,452,0,7,6.85
AC Sparta Praha,7,562,0,15,6.84
FC Barcelona,8,520,0,13,6.84
Atalanta,8,710,0,8,6.84
Aston Villa,8,515,0,6,6.84
SK Sturm Graz,3,188,0,5,6.83
Liverpool FC,4,229,0,4,6.83
Aston Villa,9,748,0,11,6.83
Liverpool FC,8,581,0,2,6.83
Lille,4,228,0,5,6.83
Milan,5,314,0,5,6.83
Inter,13,705,0,8,6.82
Feyenoord,9,551,0,11,6.82
FC Barcelona,10,804,0,12,6.82
Celtic,5,209,0,2,6.82
Lille,10,855,0,12,6.82
Milan,7,564,0,10,6.81
Feyenoord,9,658,0,20,6.81
Arsenal,10,774,0,7,6.81
Benfica,11,927,0,17,6.81
ŠK Slovan Bratislava,5,450,0,17,6.8
RB Leipzig,4,266,0,5,6.8
Club Brugge KV,1,32,0,1,6.8
PSV Eindhoven,1,19,0,0,6.8
BSC Young Boys,6,497,0,19,6.8
Atlético Madrid,7,630,0,6,6.8
Stade Brestois,8,620,0,13,6.8
Aston Villa,4,312,0,3,6.8
Benfica,3,155,0,5,6.8
Manchester City,1,90,0,3,6.8
Sporting CP,8,440,0,4,6.8
FC Barcelona,2,48,0,1,6.8
Lille,8,428,0,6,6.79
Borussia Dortmund,10,590,0,14,6.79
GNK Dinamo Zagreb,6,465,0,8,6.78
Liverpool FC,5,281,0,4,6.78
Club Brugge KV,10,767,0,8,6.78
FK Crvena zvezda,5,371,0,6,6.78
Bologna,5,303,0,4,6.78
Inter,13,660,0,9,6.78
Bologna,4,218,0,2,6.78
Juventus,4,231,0,1,6.78
Feyenoord,11,723,0,16,6.76
RB Leipzig,5,378,0,7,6.76
Club Brugge KV,12,1048,0,18,6.76
Manchester City,7,450,0,8,6.76
SK Sturm Graz,7,627,0,13,6.76
Benfica,9,730,0,14,6.76
Sporting CP,10,625,0,12,6.75
RB Leipzig,4,268,0,5,6.75
Arsenal,5,119,0,2,6.75
Shakhtar Donetsk,6,447,0,6,6.75
Real Madrid,10,757,0,12,6.74
AC Sparta Praha,5,302,0,3,6.74
FK Crvena zvezda,8,720,0,22,6.74
Stade Brestois,8,642,0,16,6.74
Lille,9,489,0,5,6.73
Sporting CP,3,239,0,4,6.73
Paris Saint-Germain,4,140,0,2,6.73
Arsenal,9,345,0,3,6.73
Real Madrid,9,262,0,5,6.73
Shakhtar Donetsk,8,720,0,16,6.73
Atlético Madrid,5,232,0,2,6.73
AS Monaco,6,477,0,12,6.72
GNK Dinamo Zagreb,8,650,0,18,6.7
GNK Dinamo Zagreb,8,535,0,14,6.7
FC Barcelona,1,10,0,0,6.7
Girona FC,1,90,0,2,6.7
ŠK Slovan Bratislava,1,12,0,0,6.7
Feyenoord,2,15,0,0,6.7
Shakhtar Donetsk,2,20,0,3,6.7
Real Madrid,5,176,0,5,6.7
PSV Eindhoven,6,417,0,8,6.7
ŠK Slovan Bratislava,8,709,0,27,6.7
Milan,7,321,0,4,6.7
Aston Villa,3,126,0,3,6.7
Real Madrid,11,888,0,14,6.69
RB Leipzig,6,475,0,12,6.68
Shakhtar Donetsk,8,720,0,16,6.68
BSC Young Boys,7,524,0,19,6.67
BSC Young Boys,3,270,0,9,6.67
VfB Stuttgart,4,55,0,1,6.67
Atlético Madrid,6,366,0,6,6.67
SK Sturm Graz,6,540,0,11,6.67
Celtic,8,576,0,14,6.66
ŠK Slovan Bratislava,5,283,0,7,6.66
FK Crvena zvezda,8,701,0,22,6.65
Milan,2,60,0,1,6.65
Feyenoord,12,825,0,20,6.64
RB Leipzig,3,50,0,2,6.63
SK Sturm Graz,6,449,0,7,6.63
PSV Eindhoven,6,268,0,7,6.63
Shakhtar Donetsk,7,465,0,11,6.63
Girona FC,4,324,0,7,6.63
Red Bull Salzburg,4,283,0,12,6.63
SK Sturm Graz,4,280,0,8,6.63
Girona FC,5,371,0,9,6.62
Feyenoord,5,353,0,9,6.62
Paris Saint-Germain,5,119,0,1,6.62
Feyenoord,5,281,0,8,6.62
Sporting CP,9,752,0,15,6.61
Atlético Madrid,8,426,0,8,6.6
FC Barcelona,1,10,0,0,6.6
Atalanta,1,34,0,1,6.6
Stade Brestois,1,84,0,1,6.6
ŠK Slovan Bratislava,1,11,0,0,6.6
Juventus,2,158,0,2,6.6
Bayer 04 Leverkusen,2,11,0,0,6.6
AC Sparta Praha,8,720,0,21,6.6
Juventus,7,427,0,2,6.6
AS Monaco,8,487,0,10,6.6
ŠK Slovan Bratislava,3,256,0,10,6.6
BSC Young Boys,8,498,0,14,6.6
Red Bull Salzburg,7,617,0,24,6.6
Atalanta,4,211,0,4,6.6
BSC Young Boys,1,28,0,0,6.6
FC Barcelona,13,981,0,21,6.59
PSV Eindhoven,7,334,0,8,6.59
RB Leipzig,8,614,0,14,6.58
VfB Stuttgart,5,156,0,3,6.58
PSV Eindhoven,5,148,0,6,6.58
GNK Dinamo Zagreb,7,630,0,16,6.57
ŠK Slovan Bratislava,8,714,0,27,6.56
FC Bayern München,2,33,0,1,6.55
FC Barcelona,2,33,0,1,6.55
Atalanta,2,22,0,0,6.55
SK Sturm Graz,5,348,0,6,6.54
Red Bull Salzburg,8,513,0,20,6.54
AS Monaco,3,60,0,2,6.53
PSV Eindhoven,3,222,0,9,6.53
Sporting CP,4,169,0,2,6.53
Club Brugge KV,4,81,0,1,6.53
VfB Stuttgart,5,131,0,4,6.53
Girona FC,5,415,0,8,6.52
Red Bull Salzburg,6,477,0,16,6.52
Manchester City,1,9,0,0,6.5
Inter,1,10,0,0,6.5
AC Sparta Praha,1,90,0,2,6.5
AC Sparta Praha,1,11,0,2,6.5
Club Brugge KV,2,16,0,0,6.5
FK Crvena zvezda,2,179,0,4,6.5
Red Bull Salzburg,6,401,0,15,6.48
Lille,5,320,0,4,6.46
Aston Villa,2,29,0,0,6.45
Sporting CP,6,289,0,10,6.45
AS Monaco,2,20,0,1,6.45
FK Crvena zvezda,7,630,0,22,6.43
ŠK Slovan Bratislava,8,719,0,27,6.43
Bologna,1,45,0,1,6.4
Red Bull Salzburg,1,45,0,2,6.4
BSC Young Boys,1,20,0,1,6.4
PSV Eindhoven,1,16,0,1,6.4
VfB Stuttgart,3,94,0,5,6.4
BSC Young Boys,5,326,0,9,6.4
Real Madrid,1,12,0,1,6.4
BSC Young Boys,7,446,0,15,6.4
Feyenoord,7,186,0,5,6.4
GNK Dinamo Zagreb,3,270,0,13,6.37
Manchester City,2,111,0,7,6.35
FC Barcelona,9,274,0,6,6.33
AC Sparta Praha,4,360,0,12,6.33
ŠK Slovan Bratislava,4,191,0,8,6.3
VfB Stuttgart,1,8,0,1,6.3
BSC Young Boys,6,481,0,18,6.23
Shakhtar Donetsk,2,135,0,7,6.15
Red Bull Salzburg,3,90,0,4,6.15
Juventus,1,9,0,1,6.1
AC Sparta Praha,2,158,0,6,6.1
AS Monaco,6,302,0,5,6.07
Lille,1,45,0,1,6.0
Club Brugge KV,6,239,0,8,5.9
AC Sparta Praha,1,90,0,6,5.9
FK Crvena zvezda,3,90,0,6,5.9
Stade Brestois,1,90,0,7,5.6
Liverpool FC,1,4,0,0,5.3
Celtic,1,11,0,1,4.6
FC Bayern München,1,1,0,0,0.0
GNK Dinamo Zagreb,1,1,0,0,0.0
SK Sturm Graz,1,1,0,0,0.0
FC Barcelona,14,1225,0,22,8.24
PSV Eindhoven,6,534,0,8,8.18
Bayer 04 Leverkusen,9,764,0,9,7.84
FC Bayern München,14,1260,0,18,7.84
Red Bull Salzburg,1,90,0,2,7.7
FC Barcelona,13,1101,0,23,7.69
PSV Eindhoven,4,333,0,12,7.68
Bayer 04 Leverkusen,10,870,0,10,7.67
FC Bayern München,14,1033,0,16,7.62
Milan,1,75,0,0,7.6
Manchester City,1,90,0,0,7.6
Manchester City,9,689,0,15,7.59
Atalanta,8,288,0,2,7.57
FC Bayern München,12,866,0,9,7.57
Liverpool FC,8,674,0,3,7.54
Paris Saint-Germain,17,1448,0,14,7.5
Liverpool FC,1,38,0,0,7.5
Sporting CP,2,163,0,1,7.45
Liverpool FC,9,808,0,3,7.43
FC Barcelona,14,1117,0,21,7.43
VfB Stuttgart,8,695,0,16,7.43
Sporting CP,3,200,0,1,7.4
VfB Stuttgart,5,412,0,8,7.38
Real Madrid,13,1136,0,20,7.37
Atalanta,9,698,0,6,7.37
FK Crvena zvezda,5,346,0,6,7.36
Paris Saint-Germain,17,1435,0,13,7.36
Aston Villa,12,1046,0,11,7.34
Arsenal,11,798,0,7,7.34
Juventus,9,671,0,7,7.33
Arsenal,13,1005,0,7,7.33
FK Crvena zvezda,4,157,0,6,7.33
Atalanta,8,316,0,5,7.31
Liverpool FC,9,634,0,2,7.3
Manchester City,1,90,0,3,7.3
FK Crvena zvezda,8,720,0,22,7.29
VfB Stuttgart,8,690,0,14,7.28
Feyenoord,4,360,0,5,7.28
Feyenoord,11,921,0,21,7.27
Celtic,10,788,0,11,7.25
Stade Brestois,5,374,0,12,7.24
Bayer 04 Leverkusen,10,664,0,10,7.24
Atlético Madrid,10,748,0,10,7.23
Manchester City,4,192,0,3,7.23
Real Madrid,14,1236,0,20,7.22
Liverpool FC,8,367,0,4,7.21
Borussia Dortmund,13,917,0,12,7.2
PSV Eindhoven,8,546,0,11,7.2
Benfica,12,996,0,16,7.19
Inter,12,974,0,12,7.18
Paris Saint-Germain,17,1151,0,11,7.17
FC Barcelona,9,443,0,8,7.17
GNK Dinamo Zagreb,8,625,0,14,7.16
Arsenal,12,817,0,8,7.16
Juventus,6,364,0,5,7.15
Celtic,2,115,0,1,7.15
Milan,10,870,0,13,7.14
GNK Dinamo Zagreb,3,265,0,3,7.13
SK Sturm Graz,7,616,0,11,7.13
Inter,12,835,0,12,7.13
FC Bayern München,5,298,0,4,7.12
RB Leipzig,5,337,0,5,7.12
GNK Dinamo Zagreb,6,344,0,9,7.12
Bayer 04 Leverkusen,10,819,0,11,7.11
Real Madrid,11,805,0,12,7.11
Arsenal,7,222,0,2,7.1
Club Brugge KV,12,939,0,15,7.1
FC Barcelona,10,632,0,10,7.1
VfB Stuttgart,7,555,0,15,7.1
Inter,10,570,0,7,7.09
Lille,7,388,0,7,7.09
Real Madrid,14,655,0,12,7.09
Paris Saint-Germain,11,462,0,5,7.08
Aston Villa,10,740,0,10,7.08
PSV Eindhoven,10,727,0,14,7.08
Atlético Madrid,9,571,0,8,7.08
Sporting CP,9,791,0,15,7.08
Liverpool FC,9,784,0,2,7.08
Aston Villa,12,1026,0,12,7.08
Borussia Dortmund,4,352,0,2,7.08
AS Monaco,10,807,0,16,7.07
Celtic,10,729,0,16,7.07
Feyenoord,9,764,0,19,7.07
Lille,6,310,0,5,7.07
Club Brugge KV,12,1080,0,19,7.07
VfB Stuttgart,8,244,0,8,7.06
Shakhtar Donetsk,7,460,0,7,7.06
VfB Stuttgart,7,506,0,12,7.06
Borussia Dortmund,9,618,0,11,7.06
FC Bayern München,12,384,0,9,7.05
Bologna,8,619,0,9,7.05
Liverpool FC,9,643,0,3,7.04
Atalanta,9,739,0,10,7.04
Borussia Dortmund,12,957,0,12,7.04
FK Crvena zvezda,8,667,0,20,7.04
Borussia Dortmund,14,850,0,11,7.04
Benfica,9,547,0,9,7.03
Manchester City,10,527,0,11,7.03
Shakhtar Donetsk,8,702,0,16,7.03
Inter,13,856,0,10,7.02
SK Sturm Graz,7,607,0,10,7.01
Shakhtar Donetsk,8,544,0,10,7.01
Bayer 04 Leverkusen,10,367,0,5,7.01
RB Leipzig,8,593,0,11,7.01
Real Madrid,9,497,0,10,7.01
Atalanta,10,874,0,11,7.01
Liverpool FC,5,174,0,4,7.0
FC Bayern München,12,845,0,10,7.0
Milan,10,800,0,12,7.0
RB Leipzig,7,405,0,9,7.0
Real Madrid,11,487,0,9,6.99
Aston Villa,10,398,0,4,6.99
Manchester City,9,577,0,7,6.99
ŠK Slovan Bratislava,8,552,0,21,6.99
Liverpool FC,8,354,0,0,6.99
Inter,13,994,0,15,6.98
Real Madrid,10,575,0,9,6.98
Bologna,5,249,0,2,6.98
Juventus,4,211,0,4,6.98
Club Brugge KV,11,951,0,15,6.97
Atalanta,10,605,0,9,6.97
Manchester City,6,354,0,9,6.97
Benfica,12,990,0,15,6.97
AS Monaco,9,575,0,11,6.97
Sporting CP,10,730,0,14,6.96
AS Monaco,9,568,0,12,6.96
Sporting CP,9,765,0,12,6.96
GNK Dinamo Zagreb,6,481,0,15,6.95
Girona FC,6,446,0,8,6.95
Lille,9,467,0,8,6.94
AS Monaco,9,610,0,12,6.94
Arsenal,12,899,0,7,6.94
Celtic,10,900,0,17,6.94
Sporting CP,8,504,0,6,6.94
Benfica,9,717,0,12,6.93
Manchester City,7,404,0,9,6.93
FC Bayern München,11,464,0,5,6.93
Aston Villa,8,266,0,2,6.93
AC Sparta Praha,8,605,0,15,6.93
Aston Villa,5,272,0,3,6.92
RB Leipzig,5,261,0,7,6.92
AS Monaco,7,615,0,11,6.91
Juventus,9,555,0,8,6.91
Lille,9,810,0,12,6.91
Atlético Madrid,10,416,0,8,6.91
FC Barcelona,11,450,0,9,6.91
FC Bayern München,12,548,0,12,6.91
FC Bayern München,13,633,0,7,6.9
Feyenoord,7,597,0,14,6.9
Celtic,4,60,0,0,6.9
Real Madrid,9,405,0,8,6.9
Girona FC,6,453,0,7,6.9
Atalanta,8,468,0,6,6.89
Juventus,9,555,0,8,6.88
Paris Saint-Germain,4,47,0,1,6.88
VfB Stuttgart,4,137,0,3,6.88
Shakhtar Donetsk,4,205,0,5,6.88
Atlético Madrid,7,401,0,7,6.87
Stade Brestois,10,712,0,15,6.87
Inter,10,586,0,2,6.87
Juventus,9,654,0,7,6.87
BSC Young Boys,7,598,0,22,6.86
Juventus,7,563,0,7,6.86
Bologna,7,506,0,8,6.86
Lille,8,566,0,9,6.85
Sporting CP,5,234,0,3,6.85
Benfica,5,109,0,2,6.85
Lille,2,82,0,1,6.85
Juventus,7,228,0,3,6.84
Borussia Dortmund,11,846,0,11,6.84
Bologna,6,325,0,6,6.83
Bologna,7,386,0,3,6.83
Paris Saint-Germain,13,602,0,7,6.83
Red Bull Salzburg,8,679,0,25,6.83
FC Barcelona,13,801,0,16,6.83
AS Monaco,4,211,0,4,6.83
Girona FC,5,330,0,5,6.82
Girona FC,5,343,0,6,6.82
Manchester City,6,307,0,9,6.82
Real Madrid,7,147,0,2,6.82
Feyenoord,7,569,0,16,6.81
Manchester City,9,766,0,19,6.81
RB Leipzig,8,482,0,10,6.8
Aston Villa,8,530,0,5,6.8
BSC Young Boys,5,309,0,10,6.8
Aston Villa,6,109,0,0,6.8
Liverpool FC,1,90,0,3,6.8
FK Crvena zvezda,1,14,0,0,6.8
Club Brugge KV,6,369,0,6,6.8
FC Bayern München,5,181,0,5,6.8
Borussia Dortmund,3,86,0,3,6.8
Stade Brestois,7,316,0,3,6.8
GNK Dinamo Zagreb,1,16,0,0,6.8
Sporting CP,1,45,0,0,6.8
Arsenal,6,329,0,3,6.78
AC Sparta Praha,6,309,0,7,6.78
Atlético Madrid,5,143,0,2,6.78
Aston Villa,10,701,0,11,6.78
Atlético Madrid,9,468,0,7,6.78
ŠK Slovan Bratislava,8,604,0,21,6.78
SK Sturm Graz,8,621,0,11,6.78
Inter,8,354,0,3,6.78
Feyenoord,11,785,0,17,6.77
PSV Eindhoven,4,114,0,2,6.77
AC Sparta Praha,3,30,0,0,6.77
Juventus,9,485,0,4,6.77
AC Sparta Praha,3,270,0,6,6.77
Aston Villa,3,124,0,0,6.77
FK Crvena zvezda,5,175,0,3,6.76
Sporting CP,8,315,0,5,6.75
Girona FC,6,242,0,6,6.75
Girona FC,7,454,0,7,6.74
AS Monaco,7,284,0,4,6.74
Inter,10,550,0,7,6.74
Inter,13,497,0,3,6.74
PSV Eindhoven,12,774,0,18,6.73
Juventus,6,308,0,5,6.73
ŠK Slovan Bratislava,7,459,0,19,6.73
PSV Eindhoven,7,567,0,18,6.73
Club Brugge KV,11,554,0,11,6.73
Benfica,6,96,0,2,6.73
Club Brugge KV,6,146,0,1,6.72
FK Crvena zvezda,5,140,0,6,6.72
GNK Dinamo Zagreb,6,289,0,4,6.72
BSC Young Boys,7,444,0,12,6.71
Club Brugge KV,11,939,0,17,6.71
AC Sparta Praha,8,714,0,21,6.7
Manchester City,5,105,0,5,6.7
Feyenoord,3,80,0,1,6.7
Aston Villa,4,146,0,2,6.7
Bologna,5,289,0,4,6.7
Borussia Dortmund,9,282,0,2,6.69
Girona FC,5,95,0,1,6.68
Lille,4,168,0,2,6.68
Club Brugge KV,5,118,0,3,6.68
RB Leipzig,7,351,0,5,6.67
Bologna,7,497,0,5,6.67
FC Barcelona,10,303,0,7,6.67
BSC Young Boys,8,627,0,19,6.66
Benfica,9,275,0,8,6.66
Shakhtar Donetsk,7,295,0,8,6.66
FK Crvena zvezda,8,624,0,18,6.65
Lille,2,25,0,0,6.65
Borussia Dortmund,3,34,0,1,6.65
Milan,6,283,0,6,6.65
Bologna,4,211,0,3,6.65
Celtic,8,236,0,6,6.65
GNK Dinamo Zagreb,7,362,0,9,6.64
Red Bull Salzburg,7,365,0,12,6.64
Stade Brestois,10,659,0,12,6.64
Stade Brestois,5,76,0,3,6.64
Atalanta,6,140,0,2,6.63
ŠK Slovan Bratislava,3,114,0,3,6.63
Atlético Madrid,4,271,0,8,6.63
ŠK Slovan Bratislava,4,34,0,2,6.63
ŠK Slovan Bratislava,3,251,0,10,6.63
Stade Brestois,10,697,0,16,6.63
PSV Eindhoven,11,582,0,16,6.63
VfB Stuttgart,4,149,0,1,6.63
Bologna,5,128,0,3,6.63
Stade Brestois,8,310,0,11,6.63
Red Bull Salzburg,5,335,0,11,6.62
Girona FC,7,332,0,5,6.61
FK Crvena zvezda,7,419,0,12,6.61
ŠK Slovan Bratislava,8,330,0,10,6.61
BSC Young Boys,7,297,0,10,6.6
Inter,1,10,0,0,6.6
BSC Young Boys,7,289,0,8,6.6
GNK Dinamo Zagreb,6,265,0,11,6.6
AS Monaco,3,31,0,1,6.6
FK Crvena zvezda,5,179,0,7,6.6
Feyenoord,4,184,0,5,6.6
Sporting CP,7,371,0,9,6.59
SK Sturm Graz,6,136,0,3,6.58
Shakhtar Donetsk,8,673,0,14,6.58
Benfica,4,150,0,2,6.58
AC Sparta Praha,7,526,0,19,6.57
Red Bull Salzburg,3,49,0,2,6.57
Bayer 04 Leverkusen,6,138,0,1,6.57
Atlético Madrid,6,434,0,3,6.57
Celtic,3,51,0,1,6.57
Milan,7,412,0,5,6.56
Liverpool FC,6,139,0,3,6.55
Red Bull Salzburg,6,301,0,9,6.55
BSC Young Boys,5,341,0,11,6.54
Lille,9,622,0,9,6.53
Red Bull Salzburg,6,327,0,11,6.53
FK Crvena zvezda,3,240,0,10,6.53
Stade Brestois,10,444,0,8,6.53
Liverpool FC,1,26,0,0,6.5
GNK Dinamo Zagreb,1,73,0,2,6.5
RB Leipzig,1,10,0,0,6.5
VfB Stuttgart,1,11,0,1,6.5
Girona FC,1,79,0,2,6.5
GNK Dinamo Zagreb,2,18,0,0,6.5
SK Sturm Graz,5,364,0,10,6.5
ŠK Slovan Bratislava,3,149,0,7,6.5
Atlético Madrid,1,9,0,1,6.5
SK Sturm Graz,7,195,0,5,6.5
Feyenoord,1,63,0,2,6.5
VfB Stuttgart,3,36,0,2,6.5
Feyenoord,2,53,0,4,6.5
Red Bull Salzburg,6,202,0,8,6.5
Shakhtar Donetsk,8,473,0,8,6.49
AC Sparta Praha,7,506,0,15,6.48
Borussia Dortmund,8,240,0,5,6.48
Shakhtar Donetsk,4,92,0,2,6.48
AC Sparta Praha,3,52,0,2,6.47
Feyenoord,3,91,0,1,6.47
FK Crvena zvezda,5,90,0,5,6.46
Club Brugge KV,7,188,0,4,6.45
FK Crvena zvezda,2,24,0,1,6.45
BSC Young Boys,2,39,0,1,6.45
FC Barcelona,2,26,0,0,6.45
Feyenoord,4,111,0,6,6.45
ŠK Slovan Bratislava,4,22,0,1,6.45
Bayer 04 Leverkusen,5,106,0,2,6.45
SK Sturm Graz,6,42,0,2,6.45
RB Leipzig,3,46,0,2,6.43
GNK Dinamo Zagreb,6,214,0,5,6.43
