name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Leandro Trossard,leandro-trossard,L. Trossard,F,19,32932,M,135666,"{'nameTranslation': {'ar': 'لياندرو تروسار', 'bn': 'লিয়েন্দ্রো ট্রসার্ড', 'hi': 'लिएंड्रो ट्रोसार्ड'}, 'shortNameTranslation': {'ar': 'ل. تروسار', 'bn': 'এল. ট্রসার্ড', 'hi': 'एल. ट्रोसार्ड'}}",Leandro,Trossard,leandrotrossard,73.690476190476,75.385714285714,21,Arsenal,1748185200_southampton_vs_arsenal
Martin Ødegaard,martin-degaard,M. Ødegaard,M,8,82083,M,547410,"{'nameTranslation': {'ar': 'مارتن أوديغارد', 'bn': 'মার্টিন ওডেগার্ড', 'hi': 'मार्टिन ओडेगार्ड'}, 'shortNameTranslation': {'ar': 'م. أوديغارد', 'bn': 'এম. ওডেগার্ড', 'hi': 'एम. ओडेगार्ड'}}",,,Ødegaard,68.441666666667,26.695833333333,24,Arsenal,1748185200_southampton_vs_arsenal
David Raya,david-raya,D. Raya,G,1,29489,M,581310,"{'nameTranslation': {'ar': 'ديفيد رايا', 'bn': 'ডেভিড রায়া', 'hi': 'डेविड राया'}, 'shortNameTranslation': {'ar': 'د. رايا', 'bn': 'ডি. রায়া', 'hi': 'डी. राया'}}",David,Raya,d_raya1,17.892592592593,47.07037037037,27,Arsenal,1748185200_southampton_vs_arsenal
Myles Lewis-Skelly,lewis-skelly-myles,M. Lewis-Skelly,D,49,18194,M,1423711,"{'nameTranslation': {'ar': 'مايلز لويس سكيلي', 'bn': 'লুইস-স্কেলি, মাইলস', 'hi': 'लुईस-स्केली, माइल्स'}, 'shortNameTranslation': {'ar': 'م. لويس سكيلي', 'bn': 'এম. লুইস-স্কেলি', 'hi': 'एम. लुईस-स्केली'}}",Myles Lewis-Skelly,,myleslewisskelly,49.808333333333,82.845833333333,24,Arsenal,1748185200_southampton_vs_arsenal
Raheem Sterling,raheem-sterling,R. Sterling,F,19,36919,M,138534,"{'nameTranslation': {'ar': 'رحيم ستيرلينغ', 'bn': 'রাহিম স্টার্লিং', 'hi': 'रहीम स्टर्लिंग'}, 'shortNameTranslation': {'ar': 'ر. سترلينغ', 'bn': 'আর. স্টার্লিং', 'hi': 'आर. स्टर्लिंग'}}",Raheem,Sterling,Sterling7,67.359459459459,51.164864864865,37,Arsenal,1748185200_southampton_vs_arsenal
Gabriel Martinelli,gabriel-martinelli,G. Martinelli,F,11,71477,M,922573,"{'nameTranslation': {'ar': 'غابرييل مارتينيلي', 'bn': 'গ্যাব্রিয়েল মার্টিনেলি', 'hi': 'गेब्रियल मार्टिनेली'}, 'shortNameTranslation': {'ar': 'غ. مارتينيلي', 'bn': 'জি. মার্টিনেলি', 'hi': 'जी. मार्टिनेली'}}",,,GabiMartinelli,77.698039215686,60.819607843137,51,Arsenal,1748185200_southampton_vs_arsenal
Mikel Merino,mikel-merino,M. Merino,M,23,32119,M,592010,"{'nameTranslation': {'ar': 'ميكيل ميرينو', 'bn': 'মাইকেল মেরিনো', 'hi': 'मिकेल मेरिनो'}, 'shortNameTranslation': {'ar': 'م. ميرينو', 'bn': 'এম. মেরিনো', 'hi': 'एम. मेरिनो'}}",Mikel,Merino,mikelmerino,57.922857142857,45.528571428571,35,Arsenal,1748185200_southampton_vs_arsenal
Kieran Tierney,kieran-tierney,K. Tierney,D,63,4899,M,366592,"{'nameTranslation': {'ar': 'كيران تيرني', 'bn': 'কাইরান টিয়ার্নি', 'hi': 'किरन टियरनी'}, 'shortNameTranslation': {'ar': 'ك. تيرني', 'bn': 'কে. টিয়ার্নি', 'hi': 'के. टियरनी'}}",Kieran,Tierney,kierantierney1,53.453623188406,70.752173913043,69,Arsenal,1748185200_southampton_vs_arsenal
Bukayo Saka,bukayo-saka,B. Saka,F,7,200357,M,934235,"{'nameTranslation': {'ar': 'بوكايو ساكا', 'bn': 'বুকায়ো সাকা', 'hi': 'बुकायो साका'}, 'shortNameTranslation': {'ar': 'ب. ساكا', 'bn': 'বি. সাকা', 'hi': 'बी. साका'}}",Bukayo,Saka,BSaka7,78.835483870968,16.951612903226,31,Arsenal,1748185200_southampton_vs_arsenal
Ben White,ben-white,B. White,D,4,15323,M,846036,"{'nameTranslation': {'ar': 'بن وايت', 'bn': 'বেঞ্জামিন হোয়াইট', 'hi': 'बेंजामिन व्हाइट'}, 'shortNameTranslation': {'ar': 'ب. وايت', 'bn': 'বি. হোয়াইট', 'hi': 'बी. व्हाइट'}}",Ben,White,benwhite,61.90652173913,17.386956521739,92,Arsenal,1748185200_southampton_vs_arsenal
Oleksandr Zinchenko,oleksandr-zinchenko,O. Zinchenko,D,47,17792,M,287643,"{'nameTranslation': {'ar': 'أوليكساندر زينتشينكو', 'bn': 'অলেক্সান্ডার জিনচেনকো', 'hi': 'ओलेक्सांद्र ज़िनचेंको'}, 'shortNameTranslation': {'ar': 'أ. زينتشينكو', 'bn': 'ও. জিনচেনকো', 'hi': 'ओ. ज़िनचेंको'}}",Oleksandr,Zinchenko,OZinchenko,59.830526315789,72.931578947368,95,Arsenal,1748185200_southampton_vs_arsenal
Ethan Nwaneri,ethan-nwaneri,E. Nwaneri,M,11,28577,M,1401702,"{'nameTranslation': {'ar': 'إيثان نوانيري', 'bn': 'ইথান নওয়ানেরি', 'hi': 'एथन नवानेरी'}, 'shortNameTranslation': {'ar': 'إ. نوانيري', 'bn': 'ই. নওয়ানেরি', 'hi': 'ई. नवानेरी'}}",,,ethan_nwaneri,74.116393442623,24.562295081967,61,Arsenal,1748185200_southampton_vs_arsenal
Thomas Partey,thomas-partey,T. Partey,M,16,41620,M,316148,"{'nameTranslation': {'ar': 'توماس بارتي', 'bn': 'টমাস পার্টি', 'hi': 'थॉमस पार्टी'}, 'shortNameTranslation': {'ar': 'ت. بارتي', 'bn': 'টি. পার্টি', 'hi': 'टी. पार्टी'}}",Thomas,Partey,TPartey5,52.789285714286,40.420238095238,84,Arsenal,1748185200_southampton_vs_arsenal
Declan Rice,declan-rice,D. Rice,M,41,70639,M,856714,"{'nameTranslation': {'ar': 'ديكلان رايس', 'bn': 'ডেক্লান রাইস', 'hi': 'डेक्लान राइस'}, 'shortNameTranslation': {'ar': 'د. رايس', 'bn': 'ডি. রাইস', 'hi': 'डी. राइस'}}",Declan,Rice,DeclanRice,53.15,53.215217391304,92,Arsenal,1748185200_southampton_vs_arsenal
Jakub Kiwior,jakub-kiwior,J. Kiwior,D,4,19028,M,976037,"{'nameTranslation': {'ar': 'كيويور، جاكوب', 'bn': 'কিভিওর, জাকুব', 'hi': 'किविओर, जेकब'}, 'shortNameTranslation': {'ar': 'ج. كيويور', 'bn': 'জে. কিভিওর', 'hi': 'जे. किविओर'}}",Jakub,Kiwior,j_kiwior,44.829885057471,56.401149425287,87,Arsenal,1748185200_southampton_vs_arsenal
Kai Havertz,kai-havertz,K. Havertz,F,29,69996,M,836705,"{'nameTranslation': {'ar': 'كاي هافرتز', 'bn': 'কাই হাভার্টজ', 'hi': 'काई हावर्ट्ज़'}, 'shortNameTranslation': {'ar': 'ك. هافيرتز', 'bn': 'কে. হাভার্টজ', 'hi': 'के. हावर्ट्ज़'}}",Kai,Havertz,KaiHav,77.16,47.733333333333,15,Arsenal,1748185200_southampton_vs_arsenal
