name,firstName,lastName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,sofascoreId,averageX,averageY,pointsCount,team,match
André,André,,andre,André,M,7,9623,M,1035996,"{'nameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}, 'shortNameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}}",Andre7,43.965178571429,57.750892857143,112,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Toti Gomes,Toti,Gomes,toti-gomes,T. Gomes,D,24,1118,M,973418,"{'nameTranslation': {'ar': 'توتي غوميس', 'bn': 'টোটি গোমস', 'hi': 'टोटी गोम्स'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'bn': 'টি. গোমেজ', 'hi': 'टी. गोम्स'}}",,39.29298245614,79.927192982456,114,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
José Sá,,,jose-sa,J. Sá,G,1,4370,M,252669,"{'nameTranslation': {'ar': 'خوسيه سا', 'bn': 'জোসে সা', 'hi': 'जोस सा'}, 'shortNameTranslation': {'ar': 'خ. سا', 'bn': 'জে. সা', 'hi': 'जे. सा'}}",,12.558490566038,44.822641509434,53,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Nélson Semedo,,,nelson-semedo,N. Semedo,D,27,8143,M,252821,"{'nameTranslation': {'ar': 'نيلسون سيميدو', 'bn': 'নেলসন সেমেডো', 'hi': 'नेल्सन सेमेदो'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'bn': 'এন. সেমিডো', 'hi': 'एन. सेमेदो'}}",nelsonsemedo50,47.231944444444,18.783333333333,72,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Rayan Aït-Nouri,Rayan,Ait Nouri,rayan-ait-nouri,R. Aït-Nouri,D,21,50323,M,931278,"{'nameTranslation': {'ar': 'ريان آيت نوري', 'bn': 'রায়ান আইত নুরী', 'hi': 'रेयान ऐत नूरी'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'bn': 'আর. এ. নুরী', 'hi': 'आर. ऐ. नूरी'}}",r_aitnouri,54.356842105263,85.852631578947,95,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Matheus Cunha,Matheus,Cunha,matheus-cunha,M. Cunha,F,10,77284,M,886363,"{'nameTranslation': {'ar': 'ماثيوس كونيا', 'bn': 'ম্যাথিউস কুনহা', 'hi': 'मैथियस कुन्हा'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'bn': 'এম. কুনহা', 'hi': 'एम. कुन्हा'}}",Cunha,73.1875,74.154166666667,48,Wolverhampton,1746885600_wolverhampton_vs_brighton_hove_albion
Simon Adingra,,,simon-adingra,S. Adingra,M,24,63627,M,1110842,"{'nameTranslation': {'ar': 'سيمون أدينغرا', 'bn': 'সাইমন আদিংরা', 'hi': 'साइमन एडिंगरा'}, 'shortNameTranslation': {'ar': 'س. أدينغرا', 'bn': 'এস. আদিংরা', 'hi': 'एस. एडिंगरा'}}",simon.adingra,55.521739130435,28.604347826087,23,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Brajan Gruda,Brajan Gruda,,gruda-brajan,B. Gruda,M,10,3242,M,1198075,"{'nameTranslation': {'ar': 'غرودا، برايان', 'bn': 'গ্রুডা, ব্রজান', 'hi': 'ग्रुडा, ब्रजन'}, 'shortNameTranslation': {'ar': 'ب. غرودا', 'bn': 'বি. গ্রুডা', 'hi': 'बी. ग्रुडा'}}",,63.633333333333,35.604761904762,21,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Jack Hinshelwood,Jack Hinshelwood,,jack-hinshelwood,J. Hinshelwood,M,13,1804,M,1142315,"{'nameTranslation': {'ar': 'جاك هينشلوود', 'bn': 'জ্যাক হিনশেলউড', 'hi': 'जैक हिन्शेलवुड'}, 'shortNameTranslation': {'ar': 'ج. هينشلوود', 'bn': 'জে. হিনশেলউড', 'hi': 'जे. हिन्शेलवुड'}}",,43.325,48.8,4,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
Diego Gómez,Diego Gomez,,diego-gomez,D. Gómez,M,25,12101,M,1065588,"{'nameTranslation': {'ar': 'دييغو غوميز', 'bn': 'দিয়েগো গোমেজ', 'hi': 'डिएगो गोमेज़'}, 'shortNameTranslation': {'ar': 'د. غوميز', 'bn': 'ডি. গোমেজ', 'hi': 'डी. गोमेज़'}}",,44.669230769231,53.923076923077,13,Brighton & Hove Albion,1746885600_wolverhampton_vs_brighton_hove_albion
