name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Jordan Ayew,Jordan,jordan-ayew,J. Ayew,F,9,13423,M,103045,"{'nameTranslation': {'ar': 'جوردان أيو', 'bn': 'জর্ডান আইউ', 'hi': 'जॉर्डन अय्यू'}, 'shortNameTranslation': {'ar': 'ج. أيو', 'bn': 'জে. আইউ', 'hi': 'जे. अय्यू'}}",Ayew,jordanayew9,52.358139534884,37.593023255814,43,Leicester City,1747576800_leicester_city_vs_ipswich_town
Wilfred Ndidi,Wilfred,wilfred-ndidi,W. Ndidi,M,4,9887,M,787885,"{'nameTranslation': {'ar': 'ويلفريد نديدي', 'bn': 'উইলফ্রেড নাদিদি', 'hi': 'विल्फ्रेड एनडीडी'}, 'shortNameTranslation': {'ar': 'و. نديدي', 'bn': 'ডব্লিউ. নাদিদি', 'hi': 'डब्लू. एनडीडी'}}",Ndidi,,46.555223880597,33.75671641791,67,Leicester City,1747576800_leicester_city_vs_ipswich_town
Luke Thomas,,luke-thomas,L. Thomas,D,33,541,M,991584,"{'nameTranslation': {'ar': 'لوك توماس', 'bn': 'লুক থমাস', 'hi': 'ल्यूक थॉमस'}, 'shortNameTranslation': {'ar': 'ل. توماس', 'bn': 'এল. থমাস', 'hi': 'एल. थॉमस'}}",,,40.56,86.355714285714,70,Leicester City,1747576800_leicester_city_vs_ipswich_town
James Justin,James,james-justin,J. Justin,D,24,1394,M,827681,"{'nameTranslation': {'ar': 'جيمس جاستين', 'bn': 'জেমস জাস্টিন', 'hi': 'जेम्स जस्टिन'}, 'shortNameTranslation': {'ar': 'ج. جاستين', 'bn': 'জে.জাস্টিন', 'hi': 'जे. जस्टिन'}}",Justin,,34.324324324324,19.381081081081,74,Leicester City,1747576800_leicester_city_vs_ipswich_town
Bilal El Khannouss,Bilal,bilal-el-khannouss,B. E. Khannouss,M,11,27622,M,1126569,"{'nameTranslation': {'ar': 'بلال الخنوس', 'bn': 'বিলাল এল খানৌস', 'hi': 'बिलाल अल खन्नौस'}, 'shortNameTranslation': {'ar': 'ب. أ. خنوس', 'bn': 'বি. ই. খানৌস', 'hi': 'बी.ई. खन्नौस'}}",El Khannouss,bilalekns_34,54.234246575342,69.161643835616,73,Leicester City,1747576800_leicester_city_vs_ipswich_town
Wout Faes,Wout,wout-faes,W. Faes,D,25,1814,M,361696,"{'nameTranslation': {'ar': 'ووت فايس', 'bn': 'ওয়াউট ফেইস', 'hi': 'वाउट फ़ेस'}, 'shortNameTranslation': {'ar': 'ووت فايس', 'bn': 'ডব্লিউ. ফেইস', 'hi': 'डब्लू. फ़ेस'}}",Faes,,31.353164556962,65.751898734177,79,Leicester City,1747576800_leicester_city_vs_ipswich_town
Nathan Broadhead,Nathan,nathan-broadhead,N. Broadhead,F,33,466,M,911710,"{'nameTranslation': {'ar': 'ناثان برودهد', 'bn': 'নাথান ব্রডহেড', 'hi': 'नाथन ब्रॉडहेड'}, 'shortNameTranslation': {'ar': 'ن. برودهد', 'bn': 'এন. ব্রডহেড', 'hi': 'एन. ब्रॉडहेड'}}",Broadhead,,54.885714285714,77.885714285714,14,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Jack Taylor,Jack,jack-taylor,J. Taylor,M,14,368,M,856669,"{'nameTranslation': {'ar': 'جاك تايلور'}, 'shortNameTranslation': {'ar': 'ج. تايلور'}}",Taylor,,51.89,68.8,20,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Liam Delap,,liam-delap,L. Delap,F,9,25609,M,997087,"{'nameTranslation': {'ar': 'ليام ديلاب', 'bn': 'লিয়াম ডেলাপ', 'hi': 'लियाम डेलाप'}, 'shortNameTranslation': {'ar': 'ل. ديلاب', 'bn': 'এল. ডেলাপ', 'hi': 'एल. डेलाप'}}",,,56.433333333333,60.833333333333,3,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
George Hirst,George,george-hirst,G. Hirst,F,9,522,M,839712,"{'nameTranslation': {'ar': 'جورج هيرست', 'bn': 'জর্জ হার্স্ট', 'hi': 'जॉर्ज हर्स्ट'}, 'shortNameTranslation': {'ar': 'ج. هيرست', 'bn': 'জি. হার্স্ট', 'hi': 'जी. हर्स्ट'}}",Hirst,,74.53,63.56,10,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Massimo Luongo,Massimo,massimo-luongo,M. Luongo,M,21,264,M,204300,"{'nameTranslation': {'ar': 'ماسيمو لونغو', 'bn': 'ম্যাসিমো লুওঙ্গো', 'hi': 'मासिमो लुओंगो'}, 'shortNameTranslation': {'ar': 'م. لونغو', 'bn': 'এম. লুওঙ্গো', 'hi': 'एम. लुओंगो'}}",Luongo,,46.8,65.65,4,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Conor Chaplin,Conor,conor-chaplin,C. Chaplin,M,36,483,M,784625,"{'nameTranslation': {'ar': 'كونور تشابلن'}, 'shortNameTranslation': {'ar': 'ك. تشابلن'}}",Chaplin,,53.282352941176,21.852941176471,17,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Alex Palmer,Alex,alex-palmer,A. Palmer,G,1,233,M,796143,"{'nameTranslation': {'ar': 'أليكس بالمر'}, 'shortNameTranslation': {'ar': 'أ. بالمر'}}",Palmer,,11.754761904762,45.692857142857,42,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Jacob Greaves,,jacob-greaves,J. Greaves,D,24,543,M,990821,"{'nameTranslation': {'ar': 'جاكوب غريفز'}, 'shortNameTranslation': {'ar': 'ج. غريفز'}}",,,36.758252427184,71.283495145631,103,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Jack Clarke,,jack-clarke,J. Clarke,M,47,1713,M,921005,"{'nameTranslation': {'ar': 'جاك كلارك', 'bn': 'জ্যাক ক্লার্ক', 'hi': 'जैक क्लार्क'}, 'shortNameTranslation': {'ar': 'ج. كلارك', 'bn': 'জে. ক্লার্ক', 'hi': 'जे. क्लार्क'}}",,,61.923913043478,73.658695652174,46,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Julio Enciso,,julio-enciso,J. Enciso,M,19,14937,M,973556,"{'nameTranslation': {'ar': 'خوليو إنسيسو', 'bn': 'জুলিও এনসিসো', 'hi': 'जूलियो एनकिसो'}, 'shortNameTranslation': {'ar': 'خ. إنسيسو', 'bn': 'জে. এনসিসো', 'hi': 'जे. एनकिसो'}}",,julioenciso.33,70.075,54.9125,40,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Leif Davis,,leif-davis,L. Davis,D,3,1002,M,963493,"{'nameTranslation': {'ar': 'ليف دافيس', 'bn': 'লিফ ডেভিস', 'hi': 'लीफ डेविस'}, 'shortNameTranslation': {'ar': 'ل. دافيس', 'bn': 'এল. ডেভিস', 'hi': 'एल. डेविस'}}",,,58.288524590164,86.886885245902,61,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Jens-Lys Cajuste,Jens-Lys,jens-lys-cajuste,J. Cajuste,M,12,1130,M,857671,"{'nameTranslation': {'ar': 'ينس-ليس كاجوست', 'bn': 'জেনস ক্যাজুস্টে', 'hi': 'जेन्स कैजस्टे'}, 'shortNameTranslation': {'ar': 'ي. كاجوست', 'bn': 'জে. ক্যাজুস্টে', 'hi': 'जे. कैजस्टे'}}",Cajuste,,54.66,69.236,50,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Sam Morsy,Sam,sam-morsy,S. Morsy,M,40,1813,M,108515,"{'nameTranslation': {'ar': 'سام مرسي', 'bn': 'স্যাম মরসি', 'hi': 'सैम मोर्सी'}, 'shortNameTranslation': {'ar': 'س. مرسي', 'bn': 'এস. মুরসি', 'hi': 'एस. मोर्सी'}}",Morsy,,49.216049382716,39.148148148148,81,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Axel Tuanzebe,Axel,axel-tuanzebe,A. Tuanzebe,D,6,7773,M,817979,"{'nameTranslation': {'ar': 'أكسل توانزيبي', 'bn': 'অ্যাক্সেল তুয়ানজেবে', 'hi': 'एक्सल टुआनज़ेबे'}, 'shortNameTranslation': {'ar': 'أ. توانزيبي', 'bn': 'এ. তুয়ানজেবে', 'hi': 'ए. टुआनज़ेबे'}}",Tuanzebe,,44.794117647059,15.361764705882,68,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Dara O'Shea,Dara,dara-oshea,D. O'Shea,D,26,697,M,856719,"{'nameTranslation': {'ar': 'دارا أوشيا', 'bn': ""দারা ও'শিয়া"", 'hi': ""दारा ओ'शीया""}, 'shortNameTranslation': {'ar': 'د. أوشيا', 'bn': ""ডি. ও'শিয়া"", 'hi': ""डी. ओ'शीया""}}",O'Shea,,37.648888888889,36.526666666667,90,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
Omari Hutchinson,,omari-hutchinson,O. Hutchinson,M,21,3921,M,1090963,"{'nameTranslation': {'ar': 'أوماري هاتشينسون', 'bn': 'ওমারি হাচিনসন', 'hi': 'ओमारी हचिंसन'}, 'shortNameTranslation': {'ar': 'أ. هاتشينسون', 'bn': 'ও. হাচিনসন', 'hi': 'ओ. हचिंसन'}}",,,59.506666666667,15.718666666667,75,Ipswich Town,1747576800_leicester_city_vs_ipswich_town
