name,firstName,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Welington,Welington,welington,Welington,D,34,989,M,1009920,"{'nameTranslation': {'ar': 'ويلينغتون'}, 'shortNameTranslation': {'ar': 'ويلينغتون'}}",Welington,,63.26,73.97,10,Southampton,1745071200_west_ham_united_vs_southampton
Tyler Dibling,Tyler,tyler-dibling,T. Dibling,M,20,2993,M,1174472,"{'nameTranslation': {'ar': 'تايلر ديبلنج', 'bn': 'টাইলার ডিবলিং', 'hi': 'टायलर डिब्लिंग'}, 'shortNameTranslation': {'ar': 'ت. ديبلنج', 'bn': 'টি. ডিবলিং', 'hi': 'टी. डिब्लिंग'}}",Dibling,,70.88,16.168,25,Southampton,1745071200_west_ham_united_vs_southampton
Paul Onuachu,Paul,paul-onuachu,P. Onuachu,F,30,8501,M,295123,"{'nameTranslation': {'ar': 'بول أونواتشو', 'bn': 'পল ওনুয়াচু', 'hi': 'पॉल ओनुआचू'}, 'shortNameTranslation': {'ar': 'ب. أونواتشو', 'bn': 'পি. ওনুয়াচু', 'hi': 'पी. ओनुआचू'}}",Onuachu,,69.728571428571,62.717857142857,28,Southampton,1745071200_west_ham_united_vs_southampton
Kamaldeen Sulemana,,kamaldeen-sulemana,K. Sulemana,F,7,8616,M,1019442,"{'nameTranslation': {'ar': 'كمال الدين سليمانا', 'bn': 'কামালউদ্দিন সুলেমানা', 'hi': 'कमालदीन सुलेमान'}, 'shortNameTranslation': {'ar': 'ك. سليمانا', 'bn': 'কে. সুলেমানা', 'hi': 'के. सुलेमान'}}",,kamaldeenho10,68.0725,73.0675,40,Southampton,1745071200_west_ham_united_vs_southampton
Aaron Ramsdale,Aaron,aaron-ramsdale,A. Ramsdale,G,32,8906,M,839410,"{'nameTranslation': {'ar': 'آرون رامسديل', 'bn': 'অ্যারন রামসডেল', 'hi': 'आरोन रामस्डेल'}, 'shortNameTranslation': {'ar': 'آ. رامسديل', 'bn': 'এ. রামসডেল', 'hi': 'ए. रामस्डेल'}}",Ramsdale,ARamsdale,14.635416666667,49.29375,48,Southampton,1745071200_west_ham_united_vs_southampton
Taylor Harwood-Bellis,Taylor,taylor-harwood-bellis,T. Harwood-Bellis,D,6,1771,M,980637,"{'nameTranslation': {'ar': 'تايلور هاروود-بيليس', 'bn': 'টেলর হারউড-বেলিস', 'hi': 'टेलर हारवुड-बेलिस'}, 'shortNameTranslation': {'ar': 'ت. هاروود-بيليس', 'bn': 'টি. হারউড-বেলিস', 'hi': 'टी. हारवुड-बेलिस'}}",Harwood-Bellis,,45.272131147541,28.460655737705,61,Southampton,1745071200_west_ham_united_vs_southampton
Kyle Walker-Peters,Kyle,kyle-walker-peters,K. Walker-Peters,D,2,1577,M,823085,"{'nameTranslation': {'ar': 'كايل ووكر-بيترس', 'bn': 'কাইল ওয়াকার-পিটার্স', 'hi': 'काइल वॉकर-पीटर्स'}, 'shortNameTranslation': {'ar': 'ك. ووكر-بيترس', 'bn': 'কে. ওয়াকার-পিটার্স', 'hi': 'के. वॉकर-पीटर्स'}}",Walker-Peters,,53.590625,11.928125,64,Southampton,1745071200_west_ham_united_vs_southampton
Flynn Downes,Flynn,flynn-downes,F. Downes,M,4,389,M,879810,"{'nameTranslation': {'ar': 'فلين داونز', 'bn': 'ফ্লিন ডাউনস', 'hi': 'फ्लिन डाउंस'}, 'shortNameTranslation': {'ar': 'ف. داونز', 'bn': 'এফ. ডাউন্স', 'hi': 'एफ. डाउंस'}}",Downes,,53.42,33.97,60,Southampton,1745071200_west_ham_united_vs_southampton
Ryan Manning,Ryan,ryan-manning,R. Manning,M,3,495,M,328701,"{'nameTranslation': {'ar': 'ريان مانينغ', 'bn': 'রায়ান ম্যানিং', 'hi': 'रयान मैनिंग'}, 'shortNameTranslation': {'ar': 'ر. مانينغ', 'bn': 'আর. ম্যানিং', 'hi': 'आर. मैनिंग'}}",Manning,,62.785483870968,80.522580645161,62,Southampton,1745071200_west_ham_united_vs_southampton
Mateus Fernandes,,mateus-fernandes,M. Fernandes,M,18,5271,M,1142562,"{'nameTranslation': {'ar': 'ماتيوس فرنانديز', 'bn': 'মাতেউস ফার্নান্ডেজ', 'hi': 'माटेयस फर्नांडीस'}, 'shortNameTranslation': {'ar': 'م. فرنانديز', 'bn': 'এম. ফার্নান্ডেজ', 'hi': 'एम. फर्नांडीस'}}",,,64.661764705882,35.457352941176,68,Southampton,1745071200_west_ham_united_vs_southampton
Jan Bednarek,Jan,jan-bednarek,J. Bednarek,D,5,7569,M,286085,"{'nameTranslation': {'ar': 'يان بيدناريك', 'bn': 'জান বেদনারেক', 'hi': 'जान बेडनारेक'}, 'shortNameTranslation': {'ar': 'ي. بيدناريك', 'bn': 'জে. বেদনারেক', 'hi': 'जे. बेडनारेक'}}",Bednarek,janbednarek_,35.646268656716,53.49552238806,67,Southampton,1745071200_west_ham_united_vs_southampton
Lesley Ugochukwu,,lesley-ugochukwu,L. Ugochukwu,M,8,5050,M,1048916,"{'nameTranslation': {'ar': 'ليزلي أوغوتشوكوو', 'bn': 'লেসলি উগোচুকউ', 'hi': 'लेस्ली उगोचुकु'}, 'shortNameTranslation': {'ar': 'ل. أوغوتشوكوو', 'bn': 'এল. উগোচুকউ', 'hi': 'एल. उगोचुकु'}}",,l.ugochukwu8,44.004054054054,59.681081081081,74,Southampton,1745071200_west_ham_united_vs_southampton
Jack Stephens,Jack,jack-stephens,J. Stephens,D,5,213,M,134361,"{'nameTranslation': {'ar': 'جاك ستيفنز', 'bn': 'জ্যাক স্টিফেনস', 'hi': 'जैक स्टीफंस'}, 'shortNameTranslation': {'ar': 'ج. ستيفنز', 'bn': 'জে. স্টিফেনস', 'hi': 'जे. स्टीफंस'}}",Stephens,,43.644943820225,73.831460674157,89,Southampton,1745071200_west_ham_united_vs_southampton
