name,slug,shortName,position,jerseyNumber,userCount,gender,id,fieldTranslations,firstName,lastName,sofascoreId,averageX,averageY,pointsCount,team,match
Alejandro Garnacho,alejandro-garnacho,A. Garnacho,F,49,137188,M,1135873,"{'nameTranslation': {'ar': 'أليخاندرو غارناتشو', 'bn': 'আলেজান্দ্রো গার্নাচো', 'hi': 'एलेजांद्रो गार्नाचो'}, 'shortNameTranslation': {'ar': 'أ. غارناتشو', 'bn': 'এ. গার্নাচো', 'hi': 'ए. गार्नाचो'}}",,,AleGarnacho,66.275,67.071590909091,88,Manchester United,1745154000_manchester_united_vs_wolverhampton
Bruno Fernandes,bruno-fernandes,B. Fernandes,M,8,293545,M,288205,"{'nameTranslation': {'ar': 'برونو فيرنانديز', 'bn': 'ব্রুনো ফার্নান্দেস', 'hi': 'ब्रूनो फर्नांडीस'}, 'shortNameTranslation': {'ar': 'ب. فرنانديز', 'bn': 'বি. ফার্নান্দেস', 'hi': 'बी. फर्नांडीस'}}",Bruno,Fernandes,BrunoFernandes,59.695238095238,32.557142857143,63,Manchester United,1745154000_manchester_united_vs_wolverhampton
Harry Amass,amass-harry,H. Amass,M,2,8264,M,1461595,"{'nameTranslation': {'ar': 'أماس، هاري', 'bn': 'অ্যামাস, হ্যারি', 'hi': 'अमास, हैरी'}, 'shortNameTranslation': {'ar': 'ه. أماس', 'bn': 'এইচ. আমাস', 'hi': 'एच. अमास'}}",Harry Amass,,,56.127777777778,82.448888888889,90,Manchester United,1745154000_manchester_united_vs_wolverhampton
Victor Lindelöf,victor-lindelof,V. Lindelöf,D,3,8746,M,143334,"{'nameTranslation': {'ar': 'فيكتور ليندلوف', 'bn': 'ভিক্টর লিন্ডেলফ', 'hi': 'विक्टर लिंडलोफ'}, 'shortNameTranslation': {'ar': 'ف. ليندلوف', 'bn': 'ভি. লিন্ডেলফ', 'hi': 'वी. लिंडलोफ'}}",,,victorlindelof,31.890909090909,54.459090909091,66,Manchester United,1745154000_manchester_united_vs_wolverhampton
Manuel Ugarte,manuel-ugarte,M. Ugarte,M,25,20114,M,846425,"{'nameTranslation': {'ar': 'مانويل أوغارتي', 'bn': 'ম্যানুয়েল উগার্তে', 'hi': 'मैनुअल उगार्टे'}, 'shortNameTranslation': {'ar': 'م. أوغارتي', 'bn': 'এম. উগার্তে', 'hi': 'एम. उगार्टे'}}",Manuel,Ugarte,ugartemanu,45.725,38.783333333333,60,Manchester United,1745154000_manchester_united_vs_wolverhampton
Tyler Fredricson,tyler-fredricson,T. Fredricson,D,33,6030,M,1142182,"{'nameTranslation': {'ar': 'تايلر فريدريكسون', 'bn': 'টাইলার ফ্রেডেরিকসন', 'hi': 'टायलर फ्रेडरिकसन'}, 'shortNameTranslation': {'ar': 'ت. فريدريكسون', 'bn': 'টি. ফ্রেডরিকসন', 'hi': 'टी. फ्रेडरिकसन'}}",Tyler,Fredricson,,42.1875,73.942708333333,96,Manchester United,1745154000_manchester_united_vs_wolverhampton
Matt Doherty,matt-doherty,M. Doherty,D,2,1442,M,143047,"{'nameTranslation': {'ar': 'مات دوهيرتي', 'bn': 'ম্যাট ডোহার্টি', 'hi': 'मैट डोहर्टी'}, 'shortNameTranslation': {'ar': 'م. دوهيرتي', 'bn': 'এম. ডোহার্টি', 'hi': 'एम. डोहर्टी'}}",Matt,Doherty,,22.08,81.64,5,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
André,andre,André,M,7,9623,M,1035996,"{'nameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}, 'shortNameTranslation': {'ar': 'أندريه', 'bn': 'অ্যান্ড্রু', 'hi': 'आंद्रे'}}",André,,Andre7,46.196629213483,50.692134831461,89,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Pablo Sarabia,pablo-sarabia,P. Sarabia,M,7,2484,M,138573,"{'nameTranslation': {'ar': 'بابلو سارابيا', 'bn': 'পাবলো সারাবিয়া', 'hi': 'पाब्लो साराबिया'}, 'shortNameTranslation': {'ar': 'ب. سارابيا', 'bn': 'পি. সারাবিয়া', 'hi': 'पी. साराबिया'}}",,,,47.441666666667,62.441666666667,12,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Rodrigo Gomes,gomes-rodrigo,R. Gomes,M,21,1415,M,1006073,"{'nameTranslation': {'ar': 'غوميز، رودريغو', 'bn': 'গোমেস, রদ্রিগো', 'hi': 'गोम्स, रोड्रिगो'}, 'shortNameTranslation': {'ar': 'ر. غوميز', 'bn': 'আর. গোমেস', 'hi': 'आर. गोम्स'}}",,,,58.425,11.175,12,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Jørgen Strand Larsen,jorgen-strand-larsen,J. Larsen,F,22,7690,M,876599,"{'nameTranslation': {'ar': 'يورغن ستراند لارسون', 'bn': 'জার্গেন স্ট্র্যান্ড লারসেন', 'hi': 'जोर्गेन स्ट्रैण्ड लार्सन'}, 'shortNameTranslation': {'ar': 'ي. لارسون', 'bn': 'জে. এস. লারসেন', 'hi': 'जे.एस. लार्सन'}}",Jorgen Strand,Larsen,,62.67,51.1825,40,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Daniel Bentley,daniel-bentley,D. Bentley,G,25,253,M,101367,"{'nameTranslation': {'ar': 'دانيال بنتلي', 'bn': 'ড্যানিয়েল বেন্টলি', 'hi': 'डैनियल बेंटले'}, 'shortNameTranslation': {'ar': 'د. بنتلي', 'bn': 'ডি. বেন্টলি', 'hi': 'डी. बेंटले'}}",Daniel,Bentley,,8.7404255319149,51.674468085106,47,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Marshall Munetsi,marshall-munetsi,M. Munetsi,M,18,2139,M,894733,"{'nameTranslation': {'ar': 'مارشال مونيتسي', 'bn': 'মার্শাল মুনেতসি', 'hi': 'मार्शल मुनेत्सी'}, 'shortNameTranslation': {'ar': 'م. مونيتسي', 'bn': 'এম. মুনেতসি', 'hi': 'एम. मुनेत्सी'}}",Marshall,Munetsi,,55.819230769231,40.878846153846,52,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Nélson Semedo,nelson-semedo,N. Semedo,D,27,8143,M,252821,"{'nameTranslation': {'ar': 'نيلسون سيميدو', 'bn': 'নেলসন সেমেডো', 'hi': 'नेल्सन सेमेदो'}, 'shortNameTranslation': {'ar': 'ن. سيميدو', 'bn': 'এন. সেমিডো', 'hi': 'एन. सेमेदो'}}",,,nelsonsemedo50,51.835849056604,12.675471698113,53,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Emmanuel Agbadou,emmanuel-agbadou,E. Agbadou,D,12,4391,M,1013842,"{'nameTranslation': {'ar': 'إيمانويل أغبادو', 'bn': 'ইমানুয়েল আগবাদৌ', 'hi': 'इमैनुएल अग्बाडौ'}, 'shortNameTranslation': {'ar': 'إ. أغبادو', 'bn': 'ই. আগবাদৌ', 'hi': 'ई. अग्बाडौ'}}",,,,29.255405405405,45.521621621622,74,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Santiago Bueno,santiago-bueno,S. Bueno,D,4,1390,M,846308,"{'nameTranslation': {'ar': 'سانتياغو بويينو', 'bn': 'সান্তিয়াগো বুয়েনো', 'hi': 'सैंटियागो ब्यूनो'}, 'shortNameTranslation': {'ar': 'س. بويينو', 'bn': 'এস. বুয়েনো', 'hi': 'एस. ब्यूनो'}}",Santiago,Bueno,,34.154901960784,27.339215686274,51,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Rayan Aït-Nouri,rayan-ait-nouri,R. Aït-Nouri,D,21,50323,M,931278,"{'nameTranslation': {'ar': 'ريان آيت نوري', 'bn': 'রায়ান আইত নুরী', 'hi': 'रेयान ऐत नूरी'}, 'shortNameTranslation': {'ar': 'ر. أ. نوري', 'bn': 'আর. এ. নুরী', 'hi': 'आर. ऐ. नूरी'}}",Rayan,Ait Nouri,r_aitnouri,53.649122807018,87.933333333333,57,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
João Gomes,joao-gomes,J. Gomes,M,8,15677,M,1015267,"{'nameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}, 'shortNameTranslation': {'ar': 'جواو غوميش', 'bn': 'জোয়াও গোমেস', 'hi': 'जोआओ गोम्स'}}",,,joaogomes.01,47.249350649351,53.598701298701,77,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Toti Gomes,toti-gomes,T. Gomes,D,24,1118,M,973418,"{'nameTranslation': {'ar': 'توتي غوميس', 'bn': 'টোটি গোমস', 'hi': 'टोटी गोम्स'}, 'shortNameTranslation': {'ar': 'ت. غوميس', 'bn': 'টি. গোমেজ', 'hi': 'टी. गोम्स'}}",Toti,Gomes,,34.26231884058,71.98115942029,69,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
Matheus Cunha,matheus-cunha,M. Cunha,F,10,77284,M,886363,"{'nameTranslation': {'ar': 'ماثيوس كونيا', 'bn': 'ম্যাথিউস কুনহা', 'hi': 'मैथियस कुन्हा'}, 'shortNameTranslation': {'ar': 'م. كونيا', 'bn': 'এম. কুনহা', 'hi': 'एम. कुन्हा'}}",Matheus,Cunha,Cunha,55.930136986301,63.346575342466,73,Wolverhampton,1745154000_manchester_united_vs_wolverhampton
